date,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyBasicEPS,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyCommonStockIssuance,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1994-03-31,1400000.0,,9900000.0,,,-500000.0,,2600000.0,9500000.0,26300000.0,300000,,-900000.0,-12900000.0,20000000.0,200000.0,,2700000,900000.0,20000000.0,2400000,,,-300000.0,14100000.0,3600000.0,-10700000.0,,,8400000.0,,,5800000,-4300000.0,-0.01,-200000,2600000.0,-1500000.0,-200000,-300000.0,-200000,-10500000.0,200000.0,700000.0,-0.01,,,,3100000,,,700000.0,100000,1600000.0,,,2900000,5100000.0,,500000.0,10600000.0,,100000.0,100000.0,800000.0,-9100000.0,100000,18100000.0,-300000.0,-200000,32200000.0,2600000.0,4600000.0,-4600000.0,5900000.0,,
1994-06-30,4400000.0,,11500000.0,,,-4000000.0,,1800000.0,6200000.0,28300000.0,1700000,,-400000.0,-2800000.0,16666667.0,-900000.0,,3800000,2200000.0,16666667.0,2400000,,,-400000.0,14700000.0,4000000.0,-10200000.0,,,9200000.0,,,8500000,-1700000.0,0.03,600000,5900000.0,-2300000.0,500000,-2300000.0,500000,800000.0,400000.0,800000.0,0.03,,,,4700000,,,900000.0,100000,5000000.0,,,3200000,5000000.0,,1100000.0,,,900000.0,900000.0,1800000.0,-5100000.0,200000,23400000.0,-2800000.0,500000,38100000.0,5900000.0,9200000.0,-4000000.0,9800000.0,,
1994-09-30,3800000.0,,12500000.0,,,-300000.0,,1300000.0,5100000.0,29900000.0,2100000,,-300000.0,300000.0,20000000.0,-600000.0,0.0,5100000,1200000.0,20000000.0,3000000,1500000.0,,-800000.0,15500000.0,4000000.0,-9100000.0,,100000.0,9700000.0,,,12200000,-800000.0,0.07,1300000,-700000.0,-2800000.0,1400000,2100000.0,1400000,1600000.0,800000.0,700000.0,0.07,,,,7100000,,,800000.0,300000,4500000.0,,,3800000,5000000.0,,700000.0,,,2500000.0,2500000.0,1900000.0,-2400000.0,100000,23600000.0,-500000.0,1400000,39100000.0,-700000.0,8900000.0,1300000.0,9200000.0,,
1994-12-31,3600000.0,,14100000.0,,,-2600000.0,,2400000.0,2800000.0,30500000.0,1400000,,-200000.0,1400000.0,,1100000.0,-800000.0,4400000,2000000.0,,3000000,,,-600000.0,15300000.0,4700000.0,-8500000.0,,,10600000.0,,,11300000,-1100000.0,,500000,-600000.0,-3500000.0,600000,-1000000.0,600000,-200000.0,400000.0,600000.0,,,,,6900000,,,2200000.0,200000,4000000.0,,,3900000,4900000.0,,900000.0,,,2300000.0,2300000.0,1900000.0,-1000000.0,100000,24500000.0,-2200000.0,600000,39800000.0,-600000.0,9000000.0,-2100000.0,9300000.0,,
1995-03-31,1300000.0,,17200000.0,,,-2900000.0,,4900000.0,1700000.0,36300000.0,2500000,,600000.0,300000.0,21666667.0,1300000.0,100000.0,5400000,2300000.0,21666667.0,2900000,1400000.0,,-500000.0,19200000.0,9300000.0,-5900000.0,,100000.0,12000000.0,,,17000000,-1500000.0,0.06,1400000,-1700000.0,-5200000.0,1300000,-300000.0,1300000,-1800000.0,2400000.0,400000.0,0.06,,,,11600000,,,2100000.0,200000,4100000.0,,,4000000,9000000.0,,1100000.0,3700000.0,,2000000.0,2000000.0,2000000.0,-100000.0,100000,30900000.0,-3800000.0,1300000,50100000.0,-1700000.0,9900000.0,-1800000.0,13800000.0,,
1995-06-30,100000.0,,17900000.0,,,-2600000.0,,4500000.0,2200000.0,38300000.0,3700000,,,-1000000.0,23000000.0,-300000.0,,7000000,2500000.0,23000000.0,3300000,2800000.0,,-400000.0,20300000.0,9200000.0,-3900000.0,,500000.0,11900000.0,,,19000000,-600000.0,0.1,2400000,-500000.0,-6000000.0,2300000,600000.0,2300000,-800000.0,2000000.0,200000.0,0.1,,,,12000000,,,2200000.0,300000,3600000.0,,,4600000,8800000.0,,1300000.0,,,1100000.0,1100000.0,2700000.0,,100000,31000000.0,-1400000.0,2300000,51300000.0,-500000.0,10300000.0,0.0,13000000.0,,
1995-09-30,0.0,,22200000.0,,,-3800000.0,,13400000.0,2600000.0,38800000.0,4400000,,,,22000000.0,-1100000.0,,7800000,2400000.0,22000000.0,3400000,200000.0,,-700000.0,33100000.0,26400000.0,-3700000.0,,100000.0,17100000.0,,,20500000,-1100000.0,0.01,3300000,2900000.0,-5100000.0,100000,700000.0,100000,4200000.0,9700000.0,200000.0,0.01,,,,12700000,,,2600000.0,-2800000,78500000.0,,,4500000,84400000.0,,1100000.0,,,5300000.0,5300000.0,3300000.0,,200000,110800000.0,-3000000.0,100000,143900000.0,2900000.0,9300000.0,-400000.0,105100000.0,,
1995-12-31,65200000.0,,21500000.0,,,-8600000.0,,12300000.0,33700000.0,136400000.0,4800000,,,,,-3100000.0,-1100000.0,9500000,9000000.0,,4700000,-400000.0,,-1400000.0,63500000.0,25200000.0,-3600000.0,,-500000.0,15400000.0,,,31500000,-1600000.0,,600000,48200000.0,-6100000.0,100000,-4000000.0,100000,-2800000.0,7500000.0,1200000.0,,,,,22000000,,,3600000.0,500000,2600000.0,900000.0,,8900000,80300000.0,,4200000.0,,,2500000.0,2500000.0,5400000.0,,1400000,101900000.0,-2900000.0,100000,165400000.0,48200000.0,6200000.0,-5600000.0,29000000.0,,
1996-03-31,12800000.0,,23000000.0,,,-7300000.0,,10900000.0,25700000.0,139800000.0,5700000,,,6700000.0,36000000.0,-1400000.0,-200000.0,10000000,5700000.0,36000000.0,4300000,3300000.0,,-4200000.0,64100000.0,21400000.0,-1800000.0,,1500000.0,15800000.0,,,34600000,-1500000.0,0.05,2800000,-2700000.0,-7200000.0,1800000,-2800000.0,1800000,1300000.0,8900000.0,1300000.0,0.05,,,,24600000,,,3800000.0,500000,2100000.0,900000.0,,7200000,78700000.0,,2900000.0,2500000.0,,3800000.0,3800000.0,1600000.0,-4600000.0,100000,100500000.0,-6900000.0,1800000,164600000.0,-2700000.0,6000000.0,-4300000.0,24800000.0,,
1996-06-30,12200000.0,,24100000.0,,,3300000.0,,16900000.0,22400000.0,143900000.0,7600000,,,-6600000.0,33333333.0,3700000.0,-300000.0,12300000,6100000.0,33333333.0,4700000,4900000.0,,-500000.0,63500000.0,26800000.0,1200000.0,,1900000.0,16100000.0,,,39600000,-1400000.0,0.09,4500000,500000.0,-8000000.0,3000000,9500000.0,3000000,3200000.0,8600000.0,1400000.0,0.09,,,,27300000,,,3800000.0,500000,1800000.0,900000.0,,7800000,83500000.0,,3100000.0,,,7100000.0,7100000.0,1300000.0,-8200000.0,100000,110400000.0,1000000.0,3000000,173900000.0,500000.0,10800000.0,8100000.0,30000000.0,,
1996-09-30,19400000.0,,26200000.0,,,-1200000.0,,16500000.0,20000000.0,148200000.0,9500000,,-3400000.0,-3500000.0,35833333.0,-500000.0,200000.0,13800000,4900000.0,35833333.0,4300000,7200000.0,,-200000.0,62700000.0,25400000.0,5500000.0,,2900000.0,17000000.0,,,37700000,-2100000.0,0.12,6900000,-100000.0,-9200000.0,4300000,5600000.0,4300000,1900000.0,7700000.0,1200000.0,0.12,,,,23900000,,,4000000.0,400000,1600000.0,900000.0,,6900000,82700000.0,,2600000.0,,,8900000.0,8900000.0,1200000.0,-17400000.0,100000,113700000.0,400000.0,4300000,176400000.0,-100000.0,14000000.0,3500000.0,28200000.0,,
