date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyChangesInAccountReceivables,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1993-03-31,,400000,,3300000,,9000000,31500000,0.005,-600000,,-10000000,2400000,,,,,,4100000.0,10900000,,,68936000.0,,28500000,100000,,30700000,3200000,-800000,900000,3400000,20700000,1300000,,-2100000.0,,,-400000,,3200000,13100000,-700000,31100000,18400000,35100000,9000000,,63000000,2000000,27900000,0.005,600000,,,31500000,7200000,,200000,12200000,2000000,2000000,12500000,-1400000,,68936000.0,0,100000,,26200000,,,16300000,,,,,
1993-06-30,,0,,3600000,,10100000,54300000,0.005625,6600000,,-10300000,800000,,10100000.0,,10100000.0,,500000.0,9300000,,,68936000.0,,35400000,-400000,,23700000,3500000,-2500000,14200000,2800000,13400000,1200000,,-2900000.0,,,9000000,,3500000,1400000,-2900000,34200000,12600000,54100000,10100000,,68300000,2400000,14200000,0.005625,400000,,,14000000,800000,,19500000,13600000,2400000,2400000,1000000,-4800000,,68936000.0,0,100000,,26800000,,,21800000,,,,,
1993-09-30,,0,,4200000,,11100000,57000000,0.005,0,,-10300000,15400000,,3900000.0,,3900000.0,,500000.0,9900000,,,68960000.0,,37800000,1600000,,25300000,4200000,-2300000,-100000,2700000,15000000,1600000,,-1000000.0,,,-6200000,,4200000,1400000,-700000,26800000,13100000,55600000,11100000,,71500000,2600000,15900000,0.005,500000,,-6000000.0,14500000,900000,,19600000,15300000,2600000,2600000,900000,-7800000,,68960000.0,0,100000,,28700000,,,22500000,,,,,
1993-12-31,,0,,1600000,,15100000,57800000,,0,,-11200000,1800000,9600000.0,3200000.0,,3200000.0,,500000.0,10500000,,,,,35500000,-3100000,,28200000,1600000,-2900000,-500000,3000000,17000000,500000,,6100000.0,,,-800000,,1600000,1300000,-6000000,37600000,14000000,55200000,12300000,,73100000,1100000,17900000,,400000,,-4000000.0,15300000,900000,,-20100000,16700000,1100000,1100000,700000,2900000,200000.0,,0,200000,,34800000,,,18800000,,,,,
1994-03-31,,3200000,,3900000,,11100000,60800000,0.004375,100000,,-11200000,1200000,1900000.0,3700000.0,,3700000.0,,400000.0,13100000,,,69160000.0,,36700000,700000,,30100000,3800000,-2700000,500000,3300000,18900000,1500000,,-1700000.0,,600000.0,500000,,3800000,1300000,-2000000,40000000,16800000,58700000,11100000,,78900000,2400000,20200000,0.004375,600000,,,18100000,1300000,,-100000,14900000,2400000,2400000,700000,-700000,,69160000.0,0,100000,,38900000,,,21800000,,,,,
1994-06-30,,0,,4600000,,13100000,64100000,0.005625,-400000,,-11800000,1200000,1700000.0,2000000.0,,2000000.0,,400000.0,11500000,,,69264000.0,,43300000,0,,33200000,4500000,-3200000,200000,3700000,21400000,1700000,,-3000000.0,,300000.0,-1700000,,4500000,1200000,-3200000,42900000,15600000,58000000,13100000,,80900000,2900000,22900000,0.005625,600000,,,16800000,1500000,,-100000,17600000,2900000,2900000,600000,-1900000,,69264000.0,0,100000,,40400000,,,25700000,,,,,
1994-09-30,,0,,5100000,,13500000,67500000,0.00625,300000,,-12600000,1200000,0.0,900000.0,,900000.0,,400000.0,12400000,,,69344000.0,,44700000,2000000,,36800000,5100000,-3600000,100000,3800000,24200000,1900000,,-1200000.0,,200000.0,-1100000,,5100000,1200000,-1600000,46200000,16600000,59000000,13500000,,85300000,3200000,26300000,0.00625,600000,,,17800000,2100000,,0,18600000,3200000,3200000,600000,-3300000,,69344000.0,0,100000,,42800000,,,26100000,,,,,
1994-12-31,,0,,4000000,,17500000,70200000,,-1300000,,-13400000,1600000,4100000.0,3400000.0,,3400000.0,,300000.0,10300000,,,,,42400000,5700000,,40900000,3900000,-4200000,-700000,5200000,27500000,1500000,,6500000.0,,-500000.0,2500000,,3900000,1300000,1500000,48700000,15800000,57200000,14300000,,87300000,2500000,30100000,,400000,,,17100000,2600000,,0,21400000,2500000,2500000,500000,-2400000,400000.0,,0,200000,,42500000,,,21000000,,,,,
1995-03-31,,3400000,,4600000,,13000000,74100000,0.005625,0,,-14200000,2900000,1100000.0,2000000.0,,2000000.0,,1300000.0,12100000,,,69776000.0,,42800000,1000000,,45700000,4600000,-4800000,1400000,5500000,31500000,1700000,,-1900000.0,,300000.0,-1300000,,4600000,1400000,-3800000,51600000,18900000,59900000,13000000,,94400000,2900000,34500000,0.005625,900000,,,20300000,3000000,,100000,17600000,2900000,2900000,500000,-3700000,,69776000.0,0,100000,,45800000,,,25200000,,,,,
1995-06-30,,0,,5400000,,15100000,77800000,0.00625,-200000,,-14600000,4500000,0.0,700000.0,,700000.0,,13400000.0,14100000,,,69872000.0,,50600000,-5400000,,53000000,5400000,-8000000,12100000,5000000,38400000,2000000,,-8900000.0,,200000.0,-1300000,,5400000,1400000,-13400000,55000000,32500000,70300000,15100000,,111700000,3400000,41400000,0.00625,900000,,,33900000,3000000,,-200000,20500000,3400000,3400000,500000,-8200000,,69872000.0,0,0,,53800000,,,30100000,,,,,
