date,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyEbitda,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue
1993-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516000000.0,0.125,1748500000.0,1748500000.0,,,189500000.0,,,,,,,,,,,1748500000.0,,,,,,,,,,0.125,,,,1516000000.0,189500000.0,,189500000.0,,,,,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516000000.0,0.125,1748500000.0,1748500000.0,,,189500000.0,,,,,,,,,,,1748500000.0,,,,,,,,,,0.125,,,,1516000000.0,189500000.0,,189500000.0,,,,,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092307692.0,0.065,1537000000.0,1537000000.0,,,136000000.0,,,,,,,,,,,1537000000.0,,,,,,,,,,0.065,,,,2092307692.0,136000000.0,,136000000.0,,,,,,,,,
1993-12-31,1147861073.309272,,,,-1861200000.0,,,1013253653.629963,,,,,,-1351991006.449323,,2624700000.0,,2490976865.274244,,,199692325.897876,,,7424116916.158807,2529436128.039761,,,,1351991006.449323,1551683332.347198,349091769.717768,,625702621.146678,,,-3895014141.175078,1533658718.419028,,5100289923.673155,122536240.459144,,,,3490917697.177682,4352700000.0,,4894680788.119046,,,,-4014829536.713804,1193716348.14508,,,,,,,1414117507.839773,,,2217324418.673451,829832554.286729,,,122536240.459144,,141765871.841903,634700000.0,,1368500000.0,1609372226.495474,,,,,
1994-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890252000.0,0.065,1836800000.0,1836800000.0,,,193700000.0,,,,,,,,,,,1836800000.0,,,,,,,,,,0.065,,,,1890252000.0,193700000.0,,348100000.0,,,,,,,,,
1994-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890968000.0,0.125,1836800000.0,1836800000.0,,,348100000.0,,,,,,,,,,,1836800000.0,,,,,,,,,,0.125,,,,1890968000.0,348100000.0,,348100000.0,,,,,,,,,
1994-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575454545.0,0.11,1752800000.0,1752800000.0,,,173300000.0,,,,,,,,,,,1752800000.0,,,,,,,,,,0.11,,,,1575454545.0,173300000.0,,173300000.0,,,,,,,,,
1994-12-31,1213201382.048997,,,,-2167500000.0,,,347075653.111955,,,,,,-856745305.879962,,1849800000.0,,2709378859.653237,,,292356518.612323,,,7318293388.365149,2770351609.524256,,,,856745305.879962,1149101824.492285,368963306.911808,,791082344.480403,,,-4029861579.350562,1826649215.952973,,4593280490.283445,327087902.381064,,,,2964213686.03724,4879600000.0,,4547941778.840892,,,,-3984522867.908009,1494614073.761393,,,,,,,1399246439.347748,,,2634335475.196598,822350421.337336,,,327087902.381064,,182068325.438144,766900000.0,,158100000.0,1629066804.246205,,,,,
1995-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1924285714.0,0.14,2017100000.0,2017100000.0,,,269400000.0,,,,,,,,,,,2017100000.0,,,,,,,,,,0.14,,,,1924285714.0,269400000.0,,269400000.0,,,,,,,,,
1995-06-30,1297900000.0,32800000.0,,8000000.0,-2167500000.0,,,478400000.0,,,,,,67000000.0,,43000000.0,128400000.0,2917900000.0,,397900000.0,,,,7827400000.0,2984900000.0,,,,961500000.0,961500000.0,,,2564000000.0,1858620690.0,0.145,378700000.0,2017000000.0,,4719700000.0,269500000.0,,1069100000.0,,3085400000.0,5085400000.0,,4842500000.0,,,,378700000.0,1986700000.0,,,,,947900000.0,,,,0.145,2951400000.0,877000000.0,,1858620690.0,269500000.0,690400000.0,269500000.0,757300000.0,690400000.0,0.0,1634300000.0,,,,,
