date,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyOtherNonCurrentAssets,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyInventory,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyStockBasedCompensation,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyAccumulatedDepreciation
1996-12-31,306450274.25,306450274.25,,,411812830,,,,,423527781.28,,1500000.0,,167044000.0,,,67187804.0,,,103231766.9,423527781.28,,82129482.39,,,,,,0.0,,,,,53794131.79,719942107.16,395522965.33,105372462.89,,,,,,500895428.22,,492215585.28,,1212157692.44,,,105372462.89,,0.0,-335570.34,,,,205627972.35,711262264.22,,,,184377919.52,,,,,,,,,,,,,,,
1997-06-30,,,,,417312830,,,,,425633920.73,,68005694.0,,,,,,,,351815724.41,425633920.73,,,,,,,,,,,,,92870543.48,730090856.88,351815724.41,111692674.29,,,,,,463508398.7,,493639614.73,,1223730471.61,,,,,111692674.29,730090856.88,,,,,760222072.91,,,,,,,,,,,,,,,,,,,
1997-12-31,228240619.64,228240619.64,,,427312830,,,,,444597602.91,,1500000.0,,145590723.95,,,65823584.0,,,4892698.85,444597602.91,,88540173.26,,,,,,0.0,,,,,87231007.05,705445327.1,302162933.57,109360245.77,,,,,,411523179.34,,511921186.91,,1217366514.01,,,109360245.77,,0.0,-937486.48,,,,246597295.16,805843334.67,,,,198313226.59,,,,,,,,,,,,,,,
1998-06-30,249743165.86,249743165.86,,,427312830,,,,,446033493.03,,0.0,,176230000.0,,,65141474.0,,,2217101.48,446033493.03,,76954481.37,,,,,,,,,,,125711374.01,746071907.06,305013407.71,109360245.77,,,,,,414373653.48,,512674967.03,,1258746874.09,,,109360245.77,,0.0,-937486.48,,,,271295722.68,844373220.61,,,,176772749.73,,,,,,,,,,,,,,,
1998-12-31,51282.92,261668845.13,,,427312830,,,,,463986613.08,,0.0,,190630000.0,,,64459364.0,,,4558184.75,463986613.08,,76522978.96,,,,,,261617562.21,,,,,118272024.47,770642314.83,336742801.76,113940018.9,,,,,,450682820.66,,529945977.08,,1300588291.91,,,113940018.9,,0.0,-19995229.26,,,,272915183.63,849905471.25,,,,180310721.38,,,,,,,,,,,,,,,
1999-06-30,311355339.47,311355339.47,,,427312830,,,,,496057227.57,,0.0,,245230000.0,,,63777254.0,,,58195608.27,496057227.57,,117788995.83,,,,,,,,,,,157985450.24,831683269.52,471505910.04,31933547.5,,,,,,503439457.54,,561334481.57,,1393017751.09,,,28372047.5,,3561500.0,-18295488.26,,,,293323881.14,889578293.55,,,,173495692.97,,,,,,,,,,,,,,,
1999-12-31,289648901.11,289648901.11,,,427312830,,,,,502075743.57,,63707292.0,,276230000.0,,,,,,63146000.0,502075743.57,,99100021.19,,,,,,0.0,,,,,148886816.45,816777075.8,489771846.5,3561500.0,,,,,,493333346.5,,567490535.57,,1384267611.37,,,,,149696.06,-24171501.13,,,,276952202.56,890784568.81,,,,179517333.91,,,,,,,,,,,,,,,
2000-06-30,343970926.03,343970926.03,,,427312830,,,,,487623802.06,,0.0,,305500000.0,,,63011270.0,,,63364400.0,487623802.06,,109052097.19,,,,,,,,,,,192319240.43,882183568.22,529749589.03,3561500.0,,,,,,533311089.03,,585542572.06,,1467726140.28,,,,,3561500.0,-24867731.95,,,,295940530.85,934216992.79,,,,161216787.49,,,,,,,,,,,,,,,
2000-12-31,279225711.56,279225711.56,,,427312830,,,,,499652041.47,,0.0,,259100000.0,,,62315248.0,,,2500000.0,499652041.47,,101954803.98,,,,,,0.0,,,,,166518592.59,762095983.65,433253300.43,3561500.0,,,,,,436814800.43,,600630789.47,,1362726773.12,,,,,3561500.0,-5395137.18,,,,220345849.54,925696191.6,,,,166121510.65,,,,,,,,,,,,,,,
2001-06-30,308941722.86,308941722.86,,,427312830,,,,,505153741.57,,163500.0,,299300000.0,,,61619226.0,,,94200.0,505153741.57,,100043800.91,,,,,,,,,,,216476308.51,818284372.5,444148997.34,3561500.0,,,,,,447710497.34,,605436467.57,,1423720840.07,,,,,3561500.0,0.0,,,,238397383.62,975759266.73,,,,178241064.34,,,,,,,,,,,,,,,
