date,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyTotalNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyOtherCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit
2000-03-31,,,,,589432000000.0,31457000000.0,-20103000000.0,2759000000.0,1332000000.0,1332000000.0,298000000.0,,6004000000.0,,-1481000000.0,49967000000.0,1332000000.0,14435000000.0,146324000000.0,,571571000000.0,0.534172,-1421000000.0,17620000000.0,2493870592.0,-1318000000.0,3746046670.0,54408000000.0,,-4783000000.0,-373000000.0,,61458000000.0,2590000000.0,-163000000.0,,10045000000.0,5697000000.0,2907304990.0,,0.538927,2471168786.0,67000000.0,-19940000000.0,-11376000000.0,,,12166000000.0,,400000000.0,1732000000.0,,96000000.0,-21607000000.0,5170000000.0,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,579518000000.0,32451000000.0,3692000000.0,2751000000.0,1257000000.0,1257000000.0,282000000.0,,6397000000.0,,77000000.0,54191000000.0,1257000000.0,-1739000000.0,137883000000.0,,559753000000.0,0.504055,96000000.0,19521000000.0,2469448065.0,482000000.0,3547956750.0,55558000000.0,,-1827000000.0,-341000000.0,,49967000000.0,2644000000.0,-405000000.0,,-1161000000.0,5507000000.0,2654022000.0,,0.508811,2469448065.0,-153000000.0,4097000000.0,3012000000.0,,,13737000000.0,,362000000.0,1619000000.0,,34000000.0,2709000000.0,5031000000.0,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,585531000000.0,29303000000.0,18209000000.0,2300000000.0,1203000000.0,1203000000.0,245000000.0,,6172000000.0,,-567000000.0,56671000000.0,1203000000.0,-12202000000.0,135358000000.0,,563886000000.0,0.467599,70000000.0,21403000000.0,2570455113.0,-706000000.0,3703771500.0,58139000000.0,,-2751000000.0,-412000000.0,,54191000000.0,2502000000.0,187499700.0,,-11595000000.0,4870000000.0,2704012200.0,,0.472354,2541346721.0,-84000000.0,18070000000.0,5909000000.0,,,14203000000.0,,360000000.0,1563000000.0,,8000000.0,16930000000.0,4801000000.0,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,673847000000.0,33988000000.0,4433000000.0,3364000000.0,1152000000.0,1152000000.0,585000000.0,,9403000000.0,,-9885000000.0,57852000000.0,1152000000.0,7397000000.0,167107000000.0,,644280000000.0,,-1179000000.0,27779000000.0,,-9298000000.0,19574995500.0,61080000000.0,,-5906000000.0,-426000000.0,,56671000000.0,2754000000.0,-587000000.0,,1731000000.0,6896000000.0,1950905700.0,,,,52000000.0,5020000000.0,-3133000000.0,,,14989000000.0,,349000000.0,1501000000.0,,199000000.0,3210000000.0,5521000000.0,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,698716000000.0,93668000000.0,-15761000000.0,3134000000.0,907000000.0,907000000.0,415000000.0,,7239000000.0,,-600000000.0,52707000000.0,907000000.0,16348000000.0,163323000000.0,,672082000000.0,0.30126,,24909000000.0,2736843630.0,-289000000.0,20318688000.0,18834000000.0,,-1163000000.0,252000000.0,,53613000000.0,2556000000.0,-311000000.0,,14971000000.0,5858000000.0,2194920000.0,,0.338573,2679598563.0,72000000.0,-15450000000.0,-1079000000.0,,,14762000000.0,,315000000.0,1222000000.0,,25000000.0,-16968000000.0,5059000000.0,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,731899000000.0,94481000000.0,13409000000.0,4027000000.0,601000000.0,601000000.0,,,6860000000.0,,-4646000000.0,62764000000.0,601000000.0,3199000000.0,224462000000.0,,695459000000.0,0.061356,,33883000000.0,2731123223.0,-4580000000.0,36205593600.0,112559000000.0,,-4394000000.0,33883000000.0,,52707000000.0,,-66000000.0,,2525000000.0,5689000000.0,1705440000.0,,0.061356,2731123223.0,-3247000000.0,13475000000.0,11355000000.0,,,,,306000000.0,907000000.0,,,,5282000000.0,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,700892000000.0,87067000000.0,16017000000.0,4134000000.0,557000000.0,557000000.0,,,7330000000.0,,431000000.0,70048000000.0,557000000.0,-14660000000.0,237397000000.0,,671337000000.0,0.211534,,27069000000.0,2634803920.0,654000000.0,18755198400.0,102045000000.0,,-3608000000.0,-216000000.0,,62764000000.0,2214000000.0,-223000000.0,,-14149000000.0,5478000000.0,1287312200.0,,0.211534,2634803920.0,3554000000.0,16240000000.0,2521000000.0,,,17280000000.0,,183000000.0,740000000.0,,,,5191000000.0,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,,,756365000000.0,94278000000.0,-6886000000.0,3536000000.0,614000000.0,614000000.0,418000000.0,,4149000000.0,,118000000.0,70162000000.0,614000000.0,10100000000.0,257927000000.0,,727613000000.0,,,26270000000.0,,508000000.0,19148790180.0,127612000000.0,,-1986000000.0,-116000000.0,,70048000000.0,2166000000.0,-390000000.0,,7578000000.0,4779000000.0,1397632040.0,,,,-121000000.0,-6496000000.0,1200000000.0,,,17564000000.0,,88000000.0,702000000.0,,144000000.0,-7861000000.0,5247000000.0,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,,,,729905000000.0,92157000000.0,-3395000000.0,4165000000.0,809000000.0,809000000.0,435000000.0,,4422000000.0,,-169000000.0,65471000000.0,809000000.0,-706000000.0,255925000000.0,,700887000000.0,0.310828,,26575000000.0,2603132162.0,57000000.0,18757728000.0,118563000000.0,,-2297000000.0,72000000.0,,69011000000.0,2131000000.0,-226000000.0,,200000000.0,5743000000.0,1837114400.0,,0.310828,2603132162.0,138000000.0,-3169000000.0,-3137000000.0,,,18085000000.0,,212000000.0,1021000000.0,,-94000000.0,-4457000000.0,5155000000.0,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,,,,837983000000.0,105191000000.0,-8163000000.0,4582000000.0,1234000000.0,1450000000.0,517000000.0,,5310000000.0,,999000000.0,67739000000.0,1450000000.0,762000000.0,257652000000.0,,805475000000.0,0.546448,,29984000000.0,2610256697.0,105000000.0,16292693400.0,146468000000.0,,-1956000000.0,334000000.0,,65471000000.0,2427000000.0,-312000000.0,,72000000.0,6451000000.0,2245993400.0,,0.562632,2576470790.0,-66000000.0,-7851000000.0,-6782000000.0,,,21479000000.0,,215000000.0,1449000000.0,,-157000000.0,-9469000000.0,5748000000.0,,,,,,,,,,,,,,,,,,,,,,
