date,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyIncomeTaxPayable
2003-09-30,,,,,20000000.0,,,,,1966000.0,,,,3655000,31000,3708000,,3655000,,,,,0.18275,,,,,,,,,,,,,,,,,,12004000.0,,5609000,,,,,20000000.0,,,,,,,,,,10239000,,,,0.18275,,,,,,,,6395000,13970000,,,,,,
2003-12-31,479698000.0,,253429000.0,,,,3267000.0,,,3020000.0,,,,3886000,255000,4161000,,3886000,-36123000.0,5174000.0,,,,5174000.0,,5174000.0,44436000.0,,,3149000.0,328303000.0,,,-5676000.0,-28208000.0,,,,,,15261000.0,,8047000,,,1907000.0,,,147951000.0,170000.0,,-35300000.0,-13026000.0,394231000.0,,,-2844000.0,12478000,,3588000.0,,,,8085000.0,-36293000.0,31305000.0,407257000.0,,,7214000,18281000,,,,,,
2004-03-31,,,,,20000000.0,,-921000.0,,,,,,,3461000,92000,3461000,,3461000,-40571000.0,4253000.0,,,0.17305,,,,,0.0,,3240000.0,,,,12447000.0,-33944000.0,,,,,,,,11450000,,,5174000.0,,20000000.0,,0.0,,-20305000.0,,,,,2246000.0,12827000,,-2425000.0,,0.17305,,6627000.0,-40571000.0,33023000.0,,,,7320000,18770000,,,,,,
2004-06-30,1022826000.0,,470628000.0,,20000000.0,,15000.0,,,,,,,-1792000,12365000,-1792000,,-1792000,-187176000.0,4268000.0,,,-0.09,,7182000.0,,7950000.0,0.0,,4101000.0,528431000.0,,,49668000.0,-178795000.0,,,,,,,,-22228000,,200000.0,4253000.0,,20000000.0,186719000.0,0.0,,-48858000.0,,797624000.0,,,4662000.0,63353000,,-3699000.0,,-0.09,,8381000.0,-187176000.0,178810000.0,797624000.0,,,59252000,37024000,,,,,,
2004-09-30,822189000.0,,517095000.0,,20000000.0,,-1639000.0,,,5336000.0,,,,3359000,86000,3359000,,3359000,-93990000.0,2629000.0,,,0.156807,2629000.0,7926000.0,2629000.0,6117000.0,-46195000.0,,4930000.0,593699000.0,,,-70213000.0,-67886000.0,,,,,,24010000.0,,12697000,,,4268000.0,,20000000.0,225363000.0,0.0,,-69680000.0,-24997000.0,650207000.0,,,3522000.0,19917000,,2654000.0,,0.156807,,16543000.0,-84429000.0,75808000.0,675204000.0,,,11313000,29346000,,,,,,
2004-12-31,1013287000.0,,475498000.0,,,,1928000.0,,,,8276000.0,,,-5359000,20774000,-5359000,,-5359000,-49540000.0,4557000.0,,,,4557000.0,,4557000.0,44000000.0,-22399000.0,-3995000.0,5983000.0,839091000.0,,,37829000.0,-32458000.0,,,-2481000.0,,,,1257000.0,54742000,91000.0,214000.0,2629000.0,,,173199000.0,0.0,,-440088000.0,-30980000.0,787412000.0,117140000.0,,12404000.0,3664000,,-1224000.0,,,-9517000.0,13087000.0,-45545000.0,38381000.0,818392000.0,,,-6912000,36205000,,,,,,
2005-03-31,1099727000.0,,479701000.0,,21421300.0,,-1682000.0,,,,0.0,,,2739000,2413000,1468000,,1468000,-71645000.0,2875000.0,,,0.07,2875000.0,8121000.0,2875000.0,36000000.0,-1271000.0,,6801000.0,829985000.0,,,-129686000.0,-60371000.0,,,-3160000.0,,,,-2793000.0,26627000,1258000.0,99511000.0,4557000.0,,21535485.0,269593000.0,0.0,,-67788000.0,-37691000.0,852112000.0,103500000.0,,7452000.0,25159000,,-5953000.0,,0.07,-13271000.0,11708000.0,-72079000.0,58255000.0,889803000.0,,,13016000,39643000,,,,,,
2005-06-30,1368256000.0,,577687000.0,,21421300.0,,1107000.0,,,,0.0,,,4335000,2453000,2136000,,2136000,-254933000.0,3982000.0,,,0.1,3982000.0,9289000.0,3982000.0,188000000.0,-36285000.0,,7530000.0,856617000.0,,,127993000.0,-221135000.0,,,-3712000.0,,,,4455000.0,32900000,783000.0,214000.0,2875000.0,,21584913.0,266077000.0,0.0,,-11981000.0,-45098000.0,1054601000.0,0.0,,9328000.0,31091000,,743000.0,,0.1,-16357000.0,22610000.0,-243745000.0,233430000.0,1099699000.0,,,16763000,49663000,,,,,,
2005-09-30,1454222000.0,,583154000.0,,25704721.0,,3088000.0,,,,0.0,,,4425000,3324000,1326000,,1326000,-82194000.0,7070000.0,,,0.05,7070000.0,10724000.0,7070000.0,103755000.0,-17439000.0,,9169000.0,792538000.0,,,-575000.0,-48146000.0,,95278000.0,-6383000.0,,,,13118000.0,39783000,1881000.0,160087000.0,3982000.0,,26004324.0,392696000.0,71504000.0,,-167973000.0,-54256000.0,1119076000.0,1002000.0,,8907000.0,33730000,-71504000.0,6735000.0,,0.05,-21688000.0,29984000.0,-78130000.0,55298000.0,1173332000.0,,,16773000,56556000,,,,,,
2005-12-31,1529170000.0,,568067000.0,,,,3860000.0,,,,15639000.0,,,4602000,4425000,1157000,,1157000,-72043000.0,10930000.0,,,,10930000.0,10988000.0,10930000.0,181000000.0,-3443000.0,,10250000.0,880228000.0,,,-3048000.0,-60399000.0,,-686000.0,-7495000.0,,,,651000.0,46145000,1644000.0,160073000.0,7070000.0,,,386497000.0,0.0,,-117184000.0,-64404000.0,1194106000.0,718000.0,,9846000.0,35606000,,-6844000.0,,,-27782000.0,18546000.0,-78945000.0,57357000.0,1258510000.0,,,16802000,62947000,,,,,,
