date,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicEPS,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness
2014-03-31,,35230000.0,,6597000,380000,,,,-31282000,,6050000,,27987000,,6259000,6050000,,35230000.0,-39461000,0.0,,-379000,,,,6620000,,,-183835000,,29607000,14449000,4000,-15190000.0,14973000,31267000,,,,,6597000,-183398000,,,,6642000,-7785000,5675000,0.171729,,,,8179000,14982000,-39461000,,13538000,,57594000,,,,-9697000,2000,338000,,,19836000,-16294000,0.171729,,,,,,,
2014-06-30,,35230000.0,,8609000,310000,,,,21073000,,8841000,,31306000,,8950000,8841000,,35230000.0,-2985000,0.0,,-263000,,,,8094000,,,-3135000,,31391000,16601000,667000,-1397000.0,31298000,14973000,,,,,9396000,-1252000,,,,5046000,-358000,2605000,0.250951,,,,24058000,-4745000,-2985000,,14705000,,62697000,,,,6232000,0,446000,,,23051000,16325000,0.250951,,,,,,,
2014-09-30,,35230000.0,,8630000,316000,,,,12979000,,8127000,,30810000,,8303000,8127000,,35230000.0,-3585000,0.0,,-447000,,,,8582000,,,-7011000,,32657000,16855000,-200000,6014000.0,33896000,31298000,,,,,8411000,-1172000,,,,5097000,-196454000,-4093000,0.230684,,,,16838000,-10656000,-3859000,,13955000,,63467000,,,,-347000,0,108000,,,22138000,2598000,0.230684,,,,,,,
2014-12-31,,,75318000.0,9006000,309000,396642000.0,60885000.0,474000.0,21347000,533958000.0,-16984000,609276000.0,39892000,457527000.0,13783000,13790000,10229000.0,,-8331000,0.0,3012000.0,-172000,176981000.0,383175000.0,606000.0,11825000,21224000.0,8494000.0,-11393000,19275000.0,56127000,20551000,-1240000,15615000.0,43291000,33896000,,43291000.0,43291000.0,145520000.0,14074000,-1140000,2954000.0,-15728000.0,3900000.0,5472000,193981000,-7819000,,295162000.0,-636000.0,,30330000,-12533000,-8983000,,19341000,153000.0,96019000,65307000.0,26738000.0,9330000.0,7537000,-65000,291000,49579000.0,,28552000,9395000,,,,,,,,
2015-03-31,,35230000.0,48347000.0,8314000,305000,515630000.0,51512000.0,480000.0,6713000,531220000.0,1381000,579567000.0,36635000,567142000.0,8538000,8425000,12873000.0,35230000.0,-5320000,0.0,2011000.0,-736000,176981000.0,501000000.0,638000.0,14138000,20079000.0,7580000.0,-139688000,9444000.0,40287000,22333000,1001000,-16745000.0,27532000,43291000,,27532000.0,27532000.0,6083000.0,8810000,-1115000,7857000.0,-18659000.0,5100000.0,4929000,-1698000,9792000,0.04,289779000.0,-1314000.0,,12039000,-22501000,-5326000,,14302000,493000.0,76922000,70246000.0,10515000.0,9443000.0,-5130000,7000,272000,51587000.0,,22053000,-15759000,0.04,,,,,,,
2015-06-30,,98709740.0,54027000.0,8105000,381000,514523000.0,49247000.0,482000.0,21385000,525663000.0,11501000,579690000.0,38945000,563770000.0,11614000,11501000,12391000.0,98709740.0,-3151000,0.0,767000.0,-76000,176981000.0,499725000.0,696000.0,12354000,20602000.0,9804000.0,-15400000,11374000.0,40008000,20276000,1244000,3581000.0,32148000,27532000,,32148000.0,32148000.0,9465000.0,12033000,-1393000,7398000.0,-20684000.0,5100000.0,6560000,0,-2440000,0.116513,284390000.0,-1529000.0,,24597000,-16793000,-3212000,,18669000,1844000.0,78953000,72585000.0,11754000.0,9308000.0,4009000,14000,419000,51901000.0,,26698000,4616000,0.116513,,,,,,,
2015-09-30,-17376000.0,98710000.0,59801000.0,8121000,384000,654337000.0,61008000.0,483000.0,14645000,641342000.0,-3893000,701143000.0,35654000,715345000.0,738000,-3893000,10248000.0,98710000.0,-5283000,0.0,2775000.0,-1815000,176981000.0,498450000.0,0.0,17348000,19860000.0,8358000.0,-16013000,9890000.0,33163000,25315000,-2008000,1419000.0,28461000,32148000,10000.0,28461000.0,28461000.0,-19132000.0,1968000,-1360000,8949000.0,-23296000.0,5100000.0,6556000,-171981000,1478000,-0.039439,278986000.0,-1888000.0,,19937000,-18253000,-5292000,,10339000,5700000.0,68817000,77631000.0,14695000.0,12033000.0,6217000,-162000,1230000,54335000.0,,16645000,-3687000,-0.039439,,,,,,,
2015-12-31,-14032000.0,,72945000.0,8096000,-2023000,634005000.0,66252000.0,484000.0,19432000,626232000.0,2485000,699177000.0,48326000,700257000.0,17240000,2485000,2135000.0,,-5407000,0.0,4557000.0,2352000,176981000.0,479779000.0,,11733000,20304000.0,13667000.0,-5385000,19079000.0,57519000,19534000,-1782000,12008000.0,31430000,28461000,10000.0,31430000.0,31430000.0,-15380000.0,24467000,-11308000,5825000.0,-23525000.0,5100000.0,6677000,-5385000,-9244000,,273619000.0,-1710000.0,0.0,25090000,-16693000,-5658000,0.0,28792000,212000.0,105845000,79664000.0,23950000.0,12016000.0,-4680000,6276000,7227000,56139000.0,230000.0,39240000,2969000,,,,,,,,
2016-03-31,-11805000.0,36598000.0,68813000.0,7802000,371000,626509000.0,51896000.0,484000.0,14397000,616853000.0,3368000,685666000.0,44972000,678405000.0,16345000,3368000,1368000.0,36598000.0,-845000,0.0,1476000.0,393000,176981000.0,478875000.0,,11845000,20730000.0,9853000.0,-6411000,10446000.0,38371000,19362000,3081000,-16202000.0,38268000,31430000,10000.0,38268000.0,38268000.0,-13605000.0,19636000,-1287000,12318000.0,-25197000.0,5100000.0,6367000,-6411000,8864000,0.09,268679000.0,-2387000.0,,15262000,-7698000,-865000,,25610000,253000.0,83343000,79499000.0,10090000.0,10277000.0,-11082000,1354000,3291000,54302000.0,576000.0,33805000,6838000,0.09,,,,,,,
2016-06-30,-7673000.0,36771000.0,88387000.0,7778000,370000,697822000.0,62998000.0,484000.0,31202000,691024000.0,4132000,779411000.0,47911000,760820000.0,18091000,4132000,1133000.0,36773000.0,-3500000,0.0,893000.0,-160000,176981000.0,477969000.0,1167000.0,12381000,25138000.0,9100000.0,-11061000,11575000.0,43561000,20080000,583000,2271000.0,55664000,38268000,10000.0,55664000.0,55664000.0,-749000.0,21510000,-1288000,17626000.0,-26285000.0,5100000.0,6161000,-11061000,-1079000,0.11,263739000.0,-1067000.0,,34824000,-13932000,-3622000,,27831000,313000.0,91472000,81216000.0,11992000.0,8456000.0,2678000,5349000,3419000,54931000.0,384000.0,35449000,17396000,0.11,,,,,,,
