date,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,6515000,341512000,29531600000,2121418000,20752412000,7983088000.0,4774755000,15704440000,405789000.0,2251687000,1458153000,19761571000,302528000,8434708000,311993000.0,4486851000,4480336000,2839505000.0,811943000,794355000.0,0.0,-8800106000.0,16847211000,,25647317000.0,8779188000,4057131000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,8072000,341512000,30140046000,2425869000,20712894000,8030863000.0,5155080000,15977129000,411689000.0,2678556000,1339064000,20497127000,302528000,8432188000,312138000.0,4931124000,4923052000,2689421000.0,597057000,748643000.0,8657000.0,,16831794000,,,9427152000,4519998000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2964000,341512000,27063006000,2107644000,20925323000,0.0,10930566000,13646665000,431250000.0,1355536000,963700000,16396598000,302528000,10177646000,,2318452000,2315488000,2034277000.0,550640000,80332000.0,0.0,-12114400000.0,13264914000,1893236000.0,25379314000.0,6137683000,2749933000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,3132000,341512000,31844112000,2889311000,22164448000,0.0,10645843000,13711621000,455463000.0,1876483000,1002339000,17873924000,393287000,13459419000,,5260413000,5257281000,2045446000.0,889332000,0.0,0.0,,13788301000,2286595000.0,,9679664000,4162303000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2963000,24682000,33882470000,2061357000,18424699000,0.0,9926733000,12777928000,244915000.0,2345070000,1951756000,19057392000,393287000,14389925000,,10782030000,10779067000,1728235000.0,1162127000,0.0,976822000.0,-13602383000.0,13843288000,,27445671000.0,15457771000,6279464000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,19979000,24682000,31692775000,1578797000,18155995000,113599000.0,8750627000,11571510000,178881000.0,3254768000,1994167000,16681935000,393287000,14564718000,,9022130000,9002151000,1667554000.0,556932000,129266000.0,58769000.0,,13681366000,,,13536780000,5110425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,3029000,24682000,30169882000,2331084000,16981382000,0.0,9926522000,13007846000,198385000.0,1106757000,1286287000,16429262000,393287000,13334781000,,8523379000,8520350000,1692831000.0,963790000,194970000.0,1081803000.0,-15563455000.0,14413782000,2811571000.0,29977237000.0,13188500000,3421416000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,3029000,24682000,27448919000,1750221000,16481782000,0.0,3558630000,5060460000,172616000.0,7094003000,867150000,13366736000,393426000,13966385000,,4976140000,4973111000,879504000.0,591435000,0.0,302766000.0,,8297255000,,22610000.0,10967137000,8306276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,3029000,24682000,27885981000,2050036000,14682606000,0.0,6548423000,7277258000,146581000.0,7070353000,1300099000,16224599000,393426000,11667692000,-316830000.0,6997068000,6994039000,66840000.0,958307000,184215000.0,826255000.0,-5216500000.0,7748345000,1283062000.0,12964845000.0,13203375000,8947341000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3029000,24682000,22697612000,756118000,14406248000,0.0,6009841000,6706854000,1050771000.0,3534161000,1521343000,11538866000,393426000,11157346000,,3802538000,3799509000,69786000.0,522716000,0.0,602285000.0,,6690678000,,21613000.0,8291364000,4832012000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
