date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyPurchaseOfInvestment,quarterlyCurrentDeferredRevenue
2011-03-31,,,,,,,381000000,,36000000,,,77000000,,76000000,335000000,-38000000.0,,35000000,,6000000,2000000.0,170000000,101000000,-151000000,0.152,,-345000000.0,77000000,112000000,,983000000,,,,-34000000,150000000,351000000,63000000,,0.152,,,,,500000000.0,,63000000,,,,452000000,602000000,0,,76000000,,-379000000,99000000,500000000.0,-29000000,,,0,9000000,,,49000000,,,,29000000,389000000,,,,,
2011-06-30,,,,,,,454000000,,14000000,,,66000000,,66000000,360000000,0.0,,38000000,,5000000,0.0,163000000,105000000,34000000,,,0.0,-22000000,104000000,,1074000000,,,,-23000000,137000000,-101000000,139000000,,,,,,,,,99000000,,,,483000000,620000000,-1000000,,66000000,,-24000000,113000000,,-24000000,,,-49000000,9000000,,,50000000,,,,116000000,-52000000,,,,,
2011-09-30,,,,,,,398000000,,31000000,,,95000000,,94000000,331000000,0.0,,53000000,,4000000,0.0,209000000,102000000,10000000,,,0.0,18000000,148000000,,1049000000,,,,-24000000,201000000,-128000000,181000000,,,,,,,,,113000000,,,,450000000,651000000,4000000,,94000000,,-20000000,144000000,,-44000000,,,0,9000000,,,52000000,,,,157000000,-128000000,,,,,
2011-12-31,575000000.0,461000000.0,5711000000.0,3400000000.0,150000000.0,871000000.0,419000000,,-65000000,124000000.0,1132000000.0,10000000,989000000.0,9000000,427000000,-105000000.0,-906000000.0,20000000,1243000000.0,4000000,70000000.0,93000000,119000000,-10000000,,,0.0,-8000000,30000000,18000000.0,1127000000,2149000000.0,843000000.0,2311000000.0,-54000000,144000000,-152000000,114000000,,,202000000.0,,,,,,144000000,,214000000.0,-65000000.0,564000000,708000000,28000000,3720000000.0,-44000000,311000000.0,-26000000,79000000,,-105000000,1063000000.0,79000000.0,-367000000,9000000,79000000.0,0.0,54000000,97000000.0,1975000000.0,928000000.0,60000000,320000000,,,,,
2012-03-31,579000000.0,453000000.0,5906000000.0,3380000000.0,140000000.0,848000000.0,393000000,,34000000,250000000.0,1151000000.0,112000000,990000000.0,111000000,338000000,0.0,,59000000,1242000000.0,6000000,1000000.0,227000000,102000000,-163000000,0.222,,0.0,-9000000,171000000,12000000.0,1047000000,,805000000.0,2526000000.0,-31000000,198000000,71000000,-4000000,,0.222,238000000.0,,,,500000000.0,,79000000,,200000000.0,-31000000.0,456000000,654000000,-2000000,3934000000.0,111000000,322000000.0,-33000000,113000000,500000000.0,-19000000,1230000000.0,113000000.0,-52000000,8000000,113000000.0,,48000000,88000000.0,1956000000.0,915000000.0,-35000000,123000000,,,,,
2012-06-30,573000000.0,384000000.0,5800000000.0,3323000000.0,103000000.0,889000000.0,378000000,,-7000000,232000000.0,1128000000.0,173000000,980000000.0,173000000,344000000,0.0,,79000000,1199000000.0,6000000,-4000000.0,314000000,92000000,-143000000,0.346,,-1000000.0,-17000000,252000000,32000000.0,1094000000,,741000000.0,2477000000.0,-24000000,264000000,-53000000,74000000,,0.346,222000000.0,,,,500000000.0,,113000000,,222000000.0,-193000000.0,452000000,716000000,-1000000,3915000000.0,173000000,323000000.0,-26000000,106000000,500000000.0,-4000000,1172000000.0,106000000.0,-10000000,8000000,106000000.0,,54000000,88000000.0,1869000000.0,888000000.0,50000000,-43000000,,,,,
2012-09-30,580000000.0,355000000.0,5904000000.0,3349000000.0,145000000.0,848000000.0,359000000,,27000000,91000000.0,1058000000.0,161000000,981000000.0,162000000,335000000,0.0,,52000000,1204000000.0,6000000,2000000.0,274000000,94000000,-96000000,0.324,,1000000.0,-55000000,213000000,42000000.0,1019000000,,737000000.0,2555000000.0,-26000000,215000000,-18000000,74000000,,0.324,230000000.0,,,,500000000.0,,106000000,,195000000.0,-169000000.0,445000000,660000000,-5000000,4094000000.0,162000000,299000000.0,-30000000,133000000,500000000.0,5000000,1272000000.0,133000000.0,-1000000,7000000,133000000.0,,54000000,69000000.0,1795000000.0,877000000.0,48000000,-17000000,,,,,
2012-12-31,509000000.0,507000000.0,6262000000.0,3398000000.0,194000000.0,900000000.0,433000000,,184000000,107000000.0,1098000000.0,-10000000,985000000.0,-10000000,453000000,0.0,-1011000000.0,84000000,1241000000.0,10000000,4000000.0,126000000,121000000,253000000,,,0.0,7000000,74000000,30000000.0,1176000000,2252000000.0,1123000000.0,2864000000.0,-45000000,153000000,-78000000,310000000,,,201000000.0,,,,,4183000000.0,133000000,,319000000.0,-157000000.0,590000000,743000000,-1000000,4026000000.0,32000000,323000000.0,-46000000,317000000,,-71000000,1345000000.0,317000000.0,0,8000000,317000000.0,73000000.0,44000000,88000000.0,2221000000.0,868000000.0,265000000,-78000000,,,,,
2013-03-31,3640000000.0,409000000.0,6142000000.0,3200000000.0,132000000.0,861000000.0,402000000,,151000000,121000000.0,4131000000.0,140000000,985000000.0,140000000,357000000,,-929000000.0,52000000,1237000000.0,11000000,1000000.0,265000000,90000000,68000000,0.28,13000000.0,,7000000,192000000,49000000.0,1090000000,2166000000.0,1287000000.0,2942000000.0,-22000000,226000000,-108000000,281000000,,0.28,188000000.0,,,,500000000.0,5000000.0,317000000,,275000000.0,-121000000.0,462000000,688000000,0,709000000.0,140000000,337000000.0,-22000000,468000000,500111000.0,-12000000,1120000000.0,468000000.0,0,22000000,468000000.0,6000000.0,51000000,60000000.0,5418000000.0,855000000.0,259000000,-2738000000,,,,,
2013-06-30,3640000000.0,449000000.0,6261000000.0,3179000000.0,157000000.0,1137000000.0,416000000,,-99000000,131000000.0,4117000000.0,128000000,982000000.0,128000000,399000000,,-974000000.0,59000000,1252000000.0,20000000,-2000000.0,270000000,95000000,-183000000,0.26,109000000.0,,-26000000,187000000,83000000.0,1114000000,2226000000.0,1321000000.0,3082000000.0,-58000000,189000000,-32000000,-12000000,,0.26,227000000.0,,,,500000000.0,5000000.0,468000000,,587000000.0,-183000000.0,509000000,698000000,0,800000000.0,128000000,308000000.0,-52000000,369000000,500217000.0,30000000,1257000000.0,369000000.0,-33000000,32000000,369000000.0,12000000.0,51000000,57000000.0,5438000000.0,834000000.0,-70000000,-5000000,,,,,
