date,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyInventory,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
2010-12-31,,-1261,,8433734.0,146841730.0,-104845670.0,0.0,-13622891,486304.0,,,-7915994,7454364,,637562.0,,32065,12900693,,0.0,,12187777.0,915213.0,727826.0,44766687.0,724237,-5117049,6084329.0,,7587338,-341411,-341411,105638043.0,1207691,46868377.0,0.0,0.0,-12440528,4089745,,4387845,,,-341411,,,25037404.0,66878653.0,251687400.0,,77492,,8311575,132974,,20010276.0,,-3965778,-1279270,492230,-13590826,172516696.0,147479292.0,,,,4089745.0,4089745.0,3597515,13426899.0,,,,,,,
2011-03-31,0.126084,-12114,,,,,,-21339980,495768.0,,,-150000,6428392,,,22611532.0,5567894,13383313,,,2850961.0,,392237.0,,,2291789,-121491,,22611532.0,9783023,2850961,2850961,,601048,,,,-21956058,1084894,,7465912,0.0,,2850961,,,,,,,13691,,12074812,3354631,,,,-1481267,976033,-3004851,-15772086,,,,,0.126084,,,4089745,,,,,,,,
2011-06-30,,-16067,,,,,,-17165426,601285.0,,,-190814,6746694,,,,7951492,9909186,,,3472611.0,,1760136.0,,,620946,-78962,,,10833881,3472611,3472611,,820265,,,,-16407503,2538069,,7898568,0.0,,3472611,,,,,,,15045,,11454827,4087187,,,,555917,287880,1453175,-9213934,,,,,,,,1084894,,,,,,,,
2011-09-30,0.092386,-7000,,6430770.0,190797899.0,-115218694.0,,-18100418,718000.0,,5946720.0,685441,7571000,,790722.0,22611532.0,520880,12285441,,0.0,2089000.0,22373739.0,990525.0,1018553.0,80000000.0,588000,-687879,13672682.0,22611532.0,10383000,2089000,2089000,115019422.0,755000,82488904.0,,0.0,-12126307,3218083,,6487119,259186.0,,2089000,,,32663903.0,115179822.0,306016593.0,,322242,,10971000,2812000,,32690918.0,,-5622602,-11807341,680014,-17579538,230199244.0,197535341.0,,,0.092386,3218083.0,3218083.0,2538069,17711908.0,,,,,,,
2011-12-31,,-12981007,,6006355.0,207026619.0,-119500035.0,,-25838757,713126.0,,10309668.0,8064552,8668147,,1214759.0,,16343928,13064552,,8320351.0,,17695893.0,-3152434.0,1079725.0,85000000.0,768254,16363,18727001.0,,13403008,-8957244,-8957244,114847282.0,1427052,92218298.0,0.0,0.0,-25824174,6802389,,9016202,285104.0,,-8957244,,,30932839.0,134636603.0,326526654.0,,299988,,14171262,4734861,,42418305.0,,7727872,4677847,3584306,-9494829,249483885.0,218551046.0,,75667.0,,6802389.0,6802389.0,3218083,12205686.0,,,,,,,
2012-03-31,0.060108,-4359362,,7184217.0,227470320.0,-124159732.0,12490000.0,-31812622,881469.0,,10490579.0,3764970,8558049,,1497856.0,22611532.0,19156452,16254970,,10965579.0,1359131.0,8135276.0,929417.0,1136123.0,85000000.0,847806,812008,13161416.0,22611532.0,15156701,1359131,1359131,120505336.0,1191402,93062223.0,,0.0,-33170446,9043365,,6905542,291110.0,,1359131,,,27582051.0,146535470.0,351630052.0,,19855,,16004507,6598652,,53473247.0,,7913176,-3561972,2240976,-12656170,267040806.0,239458755.0,,,0.060108,9043365.0,9043365.0,6802389,9317178.0,,,,,,,
2012-06-30,0.602524,10489000,0.0,5890578.0,255729773.0,-129720725.0,10072546.0,-23795498,1173000.0,,0.0,-527821,1753000,,1997772.0,22611532.0,3152869,16082179,,3843506.0,13624000.0,7297777.0,549637.0,1195662.0,104448342.0,9970000,-631278,22905993.0,22611532.0,6060000,13624000,13624000,123873729.0,1732000,107310643.0,,0.0,-26211696,2066717,,20367788,291111.0,,13624000,,,25263765.0,159117581.0,385450498.0,,20340,,16030000,4307000,,51806938.0,,-6506477,502223,-6976648,-20642629,282991310.0,257727545.0,,,0.602524,2066717.0,2066717.0,9043365,10101407.0,,,,,,,
2012-09-30,0.012418,-2477000,,6310000.0,277350000.0,-135733000.0,10133000.0,-24998880,1130000.0,,0.0,-310149,11624000,,3513000.0,35111532.0,9472679,15634851,,6185000.0,436000.0,8182000.0,845946.0,1264000.0,120275000.0,932000,-224730,17579000.0,35111532.0,15666000,436000,436000,124600000.0,1654000,123095000.0,,0.0,-25898858,1275000,,7632270,290779.0,,436000,,,26904000.0,183167000.0,413083000.0,,21805,,16598000,4042000,,60072000.0,,-608699,-1196251,-791328,-15526201,307767000.0,280863000.0,,,0.012418,1275000.0,1275000.0,2066717,22683000.0,,,,,,,
2012-12-31,,1003000,,6195000.0,554242000.0,-145837000.0,145000.0,-95882000,426000.0,62695000.0,0.0,-2256000,-19951000,,2184000.0,,17910000,104813000,,4817000.0,3006000.0,8081000.0,-8962000.0,2125000.0,193000.0,44128000,-595000,40046000.0,,-17522000,-3547000,-3547000,462068000.0,6332000,65401000.0,,0.0,-97797000,26358000,-1938000.0,13403000,2609000.0,,-3547000,,-52074000.0,50275000.0,144633000.0,700079000.0,,530000,,26606000,2429000,,79232000.0,,2752000,5316000,24926000,-77972000,606701000.0,556426000.0,370000.0,0.0,,26358000.0,26358000.0,1275000,12141000.0,,,,,,,
2013-03-31,0.15,381000,3162000.0,6247000.0,612813000.0,-156570000.0,145000.0,-73814000,485000.0,65206000.0,0.0,-103000,2647000,-18550000.0,965000.0,37059071.0,16855000,36397000,,4462000.0,8558000.0,12354000.0,-289000.0,2230000.0,36657000.0,17600000,-89000,59595000.0,37205690.0,11309000,5396000,5396000,468034000.0,2604000,104093000.0,,914000.0,-74094000,5516000,,9043000,655000.0,,5396000,3135000.0,-46678000.0,34516000.0,180429000.0,769383000.0,,196000,0.0,28909000,8662000,,76336000.0,3162000.0,-1746000,-4485000,-20842000,-56959000,648463000.0,613947000.0,370000.0,,0.15,5516000.0,5516000.0,26358000,8485000.0,,,,,,,
