date,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyCashDividendsPaid
1989-11-30,,,,,120000000.0,,,,,,,,,143300000,,,,,,,,,,,,,0.03,,,,,,143300000,,143300000,,,,,,3600000,3600000,,,,120000000.0,,,,,,,,,,,,,,,,,0.03,,,3600000,,,,,,,,,,,
1990-02-28,,,,,95000000.0,,,,,,,,,133500000,,,,,,,,,,,,,0.02,,,,,,133500000,,133500000,,,,,,1900000,1900000,,,,95000000.0,,,,,,,,,,,,,,,,,0.02,,,1900000,,,,,,,,,,,
1990-05-31,,,,,106000000.0,,,,,,,,,155000000,,,,,,,,,,,,,0.05,,,,,,155000000,,155000000,,,,,,5300000,5300000,,,,106000000.0,,,,,,,,,,,,,,,,,0.05,,,5300000,,,,,,,,,,,
1990-08-31,,,143700000.0,,,,,,11000000.0,117600000.0,,84600000.0,,-382500000,,,,,,,,192800000.0,164900000.0,,,78900000.0,,,,,41300000.0,112200000.0,239900000,,-382500000,,-31500000.0,,3000000.0,,12500000,12500000,46400000.0,,,,,,,73900000.0,2000000.0,,176700000.0,900000.0,900000.0,,,,,,,900000.0,,2500000.0,243800000.0,12500000,20900000.0,,135600000.0,328400000.0,,,,,,,
1990-11-30,,,,,123333333.0,,,,,,,,,165500000,,,,,,,,,,,,,0.06,,,,,,165500000,,165500000,,,,,,7400000,7400000,,,,123333333.0,,,,,,,,,,,,,,,,,0.06,,,7400000,,,,,,,,,,,
1991-02-28,,,,,116000000.0,,,,,,,,,153600000,,,,,,,,,,,,,0.05,,,,,,153600000,,153600000,,,,,,5800000,5800000,,,,116000000.0,,,,,,,,,,,,,,,,,0.05,,,5800000,,,,,,,,,,,
1991-05-31,,,165100000.0,,137142857.0,,,,13700000.0,147900000.0,,186500000.0,,20100000,,,,58000000.0,75800000.0,,,254800000.0,204700000.0,55700000.0,,14500000.0,0.07,,15600000.0,6000000.0,64000000.0,128500000.0,185000000,,17800000,,-36600000.0,,2700000.0,,9600000,9600000,41200000.0,,,137142857.0,,109200000.0,,10000000.0,1800000.0,0.0,235800000.0,1000000.0,1000000.0,,,,,,2200000.0,15600000.0,0.07,1900000.0,219200000.0,9600000,20500000.0,,150900000.0,405700000.0,,,,,,,
1991-08-31,,,182600000.0,,,22300000.0,,,15600000.0,121000000.0,,208600000.0,0.0,37900000,,0.0,-17700000.0,95800000.0,131300000.0,30200000.0,,234500000.0,177600000.0,93400000.0,,12700000.0,,,34900000.0,13700000.0,85200000.0,142800000.0,313900000,-16900000.0,35500000,-18800000.0,-39800000.0,8100000.0,3600000.0,42700000.0,21200000,21200000,56400000.0,,,,200000.0,182600000.0,,7000000.0,2100000.0,100000.0,205700000.0,9000000.0,9000000.0,2400000.0,,0.0,,,700000.0,200000.0,,1300000.0,190300000.0,21200000,20300000.0,23900000.0,164400000.0,398900000.0,800000.0,,,,,,
1991-11-30,,,195700000.0,,140000000.0,10200000.0,,,16900000.0,118600000.0,,225100000.0,0.0,23100000,,0.0,-13100000.0,66400000.0,86900000.0,9700000.0,-100000.0,243000000.0,180600000.0,63800000.0,,12500000.0,0.09,,20700000.0,8100000.0,97800000.0,153500000.0,215800000,3800000.0,20500000,-13100000.0,-42200000.0,16100000.0,3500000.0,25300000.0,12600000,12600000,46600000.0,,,140000000.0,2200000.0,128900000.0,,7000000.0,2000000.0,100000.0,196000000.0,25100000.0,25100000.0,2600000.0,,9000000.0,,,,15400000.0,0.09,1600000.0,193100000.0,12600000,20100000.0,12200000.0,175200000.0,418200000.0,-100000.0,,,,,,
1992-02-29,,,209500000.0,,135000000.0,4500000.0,,,18000000.0,138900000.0,,239900000.0,0.0,20800000,,0.0,-13800000.0,62800000.0,80700000.0,-12900000.0,,263100000.0,196800000.0,59900000.0,,12600000.0,0.08,,18000000.0,7200000.0,108600000.0,164600000.0,197100000,600000.0,17900000,-13800000.0,-44900000.0,5000000.0,3600000.0,18200000.0,10800000,10800000,57700000.0,,,135000000.0,100000.0,116400000.0,,7000000.0,2000000.0,100000.0,208900000.0,30100000.0,30100000.0,2800000.0,,0.0,,,,200000.0,0.08,1600000.0,209400000.0,10800000,20000000.0,4400000.0,186200000.0,449300000.0,2300000.0,,,,,,
1992-05-31,,,223800000.0,,143000000.0,7900000.0,,,17000000.0,148300000.0,,254900000.0,0.0,26800000,,0.0,-14500000.0,73500000.0,97200000.0,-4400000.0,,278500000.0,210300000.0,70500000.0,,12700000.0,0.1,,23800000.0,9500000.0,123000000.0,176200000.0,239800000,500000.0,23700000,-14500000.0,-47600000.0,11200000.0,3800000.0,25300000.0,14300000,14300000,61800000.0,,,143000000.0,500000.0,142600000.0,,6900000.0,2000000.0,200000.0,213200000.0,41400000.0,41400000.0,3100000.0,,0.0,,,,200000.0,0.1,3400000.0,223000000.0,14300000,19800000.0,10800000.0,199400000.0,477900000.0,0.0,,,,,,
1992-08-31,,,252900000.0,,,11400000.0,,,18500000.0,141300000.0,,282100000.0,0.0,46800000,,0.0,-29200000.0,106700000.0,148300000.0,15000000.0,,280400000.0,207100000.0,101500000.0,,12900000.0,,,42000000.0,16400000.0,148500000.0,199800000.0,349700000,5100000.0,41600000,-29400000.0,-53100000.0,16400000.0,4300000.0,40500000.0,25600000,25600000,65600000.0,,,,5100000.0,201400000.0,,6800000.0,1800000.0,400000.0,198200000.0,57800000.0,57800000.0,5200000.0,,0.0,,,,200000.0,,2200000.0,220000000.0,25600000,19700000.0,11100000.0,221700000.0,502100000.0,100000.0,,,,,,
1992-11-30,,,272600000.0,,142500000.0,8300000.0,,,17400000.0,153300000.0,,305600000.0,0.0,31400000,,0.0,-19300000.0,77300000.0,105100000.0,-3200000.0,,298800000.0,218400000.0,73700000.0,,12800000.0,0.12,,28200000.0,11100000.0,165600000.0,216100000.0,252500000,6300000.0,27800000,-19300000.0,-56500000.0,16000000.0,4400000.0,29000000.0,17100000,17100000,64900000.0,,,142500000.0,6300000.0,147400000.0,,6800000.0,1600000.0,400000.0,201400000.0,73800000.0,73800000.0,3600000.0,,57800000.0,,,,200000.0,0.12,2400000.0,231200000.0,17100000,19500000.0,9700000.0,238000000.0,536800000.0,100000.0,,,,,,
1993-02-28,,,290200000.0,,145454545.0,-20100000.0,,,21100000.0,150700000.0,,340000000.0,0.0,30200000,,0.0,-17600000.0,75700000.0,100900000.0,-13100000.0,,316000000.0,213500000.0,70700000.0,,13000000.0,0.11,,25800000.0,9800000.0,181700000.0,228900000.0,242300000,18400000.0,25200000,-17600000.0,-61300000.0,1600000.0,4700000.0,900000.0,16000000,16000000,62600000.0,,,145454545.0,18500000.0,141400000.0,,6700000.0,1600000.0,600000.0,214600000.0,75400000.0,75400000.0,5000000.0,,0.0,,,,200000.0,0.11,2200000.0,226500000.0,16000000,19400000.0,-16700000.0,250500000.0,566500000.0,-100000.0,,,,,,
1993-05-31,,,318500000.0,,141428571.0,14800000.0,,,21700000.0,187500000.0,,360200000.0,0.0,36000000,,0.0,-28300000.0,83500000.0,115300000.0,-36500000.0,,365000000.0,268400000.0,79300000.0,,10400000.0,0.14,,32300000.0,12500000.0,201500000.0,253100000.0,282800000,-2200000.0,31800000,-28300000.0,-65400000.0,8500000.0,4900000.0,38900000.0,19800000,19800000,80700000.0,,,141428571.0,200000.0,167500000.0,,4300000.0,1200000.0,500000.0,251000000.0,83900000.0,83900000.0,4200000.0,,0.0,,,,200000.0,0.14,1700000.0,278800000.0,19800000,19200000.0,10600000.0,274000000.0,639000000.0,100000.0,,,,,,
1993-08-31,,,370900000.0,,,11700000.0,,,23700000.0,203700000.0,,396600000.0,0.0,64500000,,0.0,-54000000.0,128900000.0,184900000.0,-9000000.0,,378500000.0,286100000.0,120400000.0,,13800000.0,,,56800000.0,22900000.0,231400000.0,297400000.0,439200000,6500000.0,56000000,-55400000.0,-73500000.0,700000.0,5200000.0,48200000.0,33900000,33900000,82200000.0,,,,6600000.0,254300000.0,,4300000.0,4300000.0,1000000.0,260100000.0,84500000.0,84500000.0,8500000.0,,0.0,,,,200000.0,,1600000.0,299900000.0,33900000,19000000.0,-7200000.0,318000000.0,696500000.0,-100000.0,,,,,,
1993-11-30,,,404400000.0,,146666667.0,8800000.0,,,25200000.0,220100000.0,,421100000.0,0.0,42300000,,0.0,-33500000.0,101800000.0,137600000.0,-9600000.0,,396100000.0,306400000.0,95300000.0,,13600000.0,0.15,,36600000.0,14600000.0,257500000.0,324500000.0,322800000,2500000.0,35800000,-33500000.0,-79900000.0,6300000.0,5500000.0,37300000.0,22000000,22000000,86100000.0,,,146666667.0,1200000.0,185200000.0,,4200000.0,3900000.0,800000.0,269700000.0,90800000.0,90800000.0,6500000.0,,84500000.0,,,,200000.0,0.15,1600000.0,320000000.0,22000000,18900000.0,3800000.0,345000000.0,741100000.0,1300000.0,,,,,,
1994-02-28,,,439300000.0,,149285714.0,-26600000.0,,,30300000.0,204200000.0,,448500000.0,0.0,39800000,,0.0,-36500000.0,95500000.0,129700000.0,-22800000.0,,391100000.0,304300000.0,89900000.0,,13600000.0,0.14,,34700000.0,13800000.0,274400000.0,355200000.0,303200000,6300000.0,34200000,-36500000.0,-84100000.0,-30100000.0,5700000.0,0.0,20900000,20900000,99900000.0,,,149285714.0,6400000.0,173500000.0,,4200000.0,3700000.0,500000.0,292400000.0,60700000.0,60700000.0,5600000.0,,0.0,,,,200000.0,0.14,1300000.0,317900000.0,20900000,18800000.0,-36500000.0,375300000.0,766400000.0,-100000.0,,,,,,
1994-05-31,,,478800000.0,,148421053.0,15300000.0,,,35600000.0,241400000.0,,478500000.0,0.0,54000000,,0.0,-39700000.0,107400000.0,154000000.0,-28600000.0,,438300000.0,352800000.0,100000000.0,,14600000.0,0.19,,46800000.0,18600000.0,302600000.0,387600000.0,358200000,1800000.0,46600000,-39700000.0,-91200000.0,12800000.0,7600000.0,50900000.0,28200000,28200000,111200000.0,,,148421053.0,1800000.0,204200000.0,,4100000.0,2900000.0,300000.0,321100000.0,73600000.0,73600000.0,7400000.0,,0.0,,,,200000.0,0.19,1400000.0,367400000.0,28200000,18600000.0,11200000.0,407600000.0,845900000.0,100000.0,,,,,,
1994-08-31,,,539000000.0,,,-18900000.0,,,27000000.0,242800000.0,,528400000.0,100000.0,87800000,,0.0,-62000000.0,159600000.0,233800000.0,-13000000.0,,424400000.0,339000000.0,146000000.0,,14700000.0,,,74800000.0,29600000.0,347800000.0,436100000.0,523800000,4600000.0,74200000,-63300000.0,-102900000.0,-17300000.0,7700000.0,40100000.0,45200000,45200000,96000000.0,,,,4700000.0,290000000.0,,4000000.0,3000000.0,600000.0,334100000.0,56200000.0,56200000.0,13600000.0,,0.0,,,,200000.0,,3200000.0,353700000.0,45200000,18400000.0,-23200000.0,457700000.0,882100000.0,0.0,,,,,,
1994-11-30,,,593800000.0,,145263158.0,7600000.0,,,29100000.0,249500000.0,,559700000.0,0.0,54500000,,0.0,-55100000.0,122400000.0,167900000.0,-15700000.0,-2800000.0,433700000.0,362400000.0,113400000.0,,15300000.0,0.19,,45800000.0,18200000.0,375400000.0,482200000.0,389800000,3600000.0,45500000,-55100000.0,-111600000.0,-10100000.0,8800000.0,41400000.0,27600000,27600000,112700000.0,,,145263158.0,3700000.0,221900000.0,,4000000.0,2500000.0,400000.0,349800000.0,46200000.0,46200000.0,9000000.0,,56200000.0,,,,200000.0,0.19,3200000.0,377700000.0,27600000,18300000.0,-13700000.0,503700000.0,937400000.0,0.0,,,,,,
1995-02-28,,,644700000.0,,148750000.0,-37000000.0,,,30700000.0,242100000.0,,586900000.0,0.0,48800000,,0.0,-51700000.0,119500000.0,158700000.0,-25700000.0,-1400000.0,421700000.0,351000000.0,109900000.0,,29800000.0,0.16,,39400000.0,15600000.0,426900000.0,524300000.0,364100000,18300000.0,39200000,-51700000.0,-120400000.0,-38200000.0,9100000.0,-4900000.0,23800000,23800000,108700000.0,,,148750000.0,3300000.0,205400000.0,,18900000.0,1800000.0,200000.0,375400000.0,7900000.0,7900000.0,9600000.0,,0.0,,,,200000.0,0.16,3600000.0,380800000.0,23800000,18100000.0,-56600000.0,546000000.0,967700000.0,0.0,,,,,,
1995-05-31,,,704200000.0,,147272727.0,18600000.0,,,37600000.0,252800000.0,,622500000.0,0.0,63900000,,0.0,-60000000.0,134800000.0,187900000.0,-3400000.0,-8100000.0,426100000.0,373000000.0,124000000.0,,27000000.0,0.22,,53100000.0,20700000.0,459300000.0,573700000.0,425500000,900000.0,53100000,-60000000.0,-130500000.0,-5500000.0,9200000.0,53700000.0,32400000,32400000,120000000.0,,,147272727.0,3200000.0,237600000.0,,16600000.0,1200000.0,0.0,378800000.0,2500000.0,2500000.0,10800000.0,,0.0,,,,200000.0,0.22,4700000.0,400000000.0,32400000,18000000.0,-6300000.0,596400000.0,1022500000.0,0.0,,,,,,
1995-08-31,,,792300000.0,,,9000000.0,,,35900000.0,300600000.0,,684700000.0,0.0,108900000,,0.0,-89900000.0,195000000.0,285000000.0,-16900000.0,14300000.0,447800000.0,417500000.0,176100000.0,,9600000.0,,,89900000.0,35000000.0,486600000.0,644200000.0,628800000,4000000.0,90000000,-91300000.0,-148100000.0,4000000.0,8400000.0,89900000.0,54900000,54900000,103400000.0,,,,7400000.0,343800000.0,,,1200000.0,0.0,395800000.0,6400000.0,6400000.0,18900000.0,,0.0,,,,13500000.0,,2000000.0,427100000.0,54900000,17800000.0,-1400000.0,664000000.0,1111800000.0,-100000.0,,,,,,
