date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfInvestment,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyInventory
2011-10-31,15000,21809000,,,,2522000,-16920000,-0.150185,,1110000,-8174000,-2497000,8749000,36450000,-19442000,131857000.0,,-19803000,,,-5511000,75640000,5005000,,,,,,131857000.0,16404000,,,0.0,,,-1197000.0,46000,,,-19685000,22411000,,,-2663000,81304000,,477000.0,,0,,,,-19731000,,,17679000,,0.0,,,-155000,18771000,-243000,98051000,-421000,-19731000,,38213000,-0.150185,,,,,,,,
2012-01-31,7114000,27632000,183172000.0,145238000.0,-282122000.0,3069000,-20064000,,262961000.0,1427000,-7899000,-51358000,10429000,43158000,-23091000,,232638000.0,-23843000,49466000.0,408199000.0,-6642000,-40522000,4480000,44728000.0,3000.0,2730000.0,,73363000.0,,18287000,0.0,53634000.0,,57529000.0,111163000.0,-1348000.0,51000,,25861000.0,-23535000,98051000,101000.0,,-1257000,14255000,,-21774000.0,90000.0,0,1871000.0,-18867000.0,10051000.0,-23586000,0.0,-175561000.0,20330000,8488000.0,0.0,54467000.0,6808000.0,-48135000,22828000,464000,57529000,1804000,-23586000,,45919000,,,114734000.0,,,,,,
2012-04-30,3267000,30899000,,,,3534000,-16423000,-0.153621,,1445000,10511000,-53867000,24517000,56818000,-19957000,131857000.0,,-20256000,,,12708000,-27988000,16421000,,,,,,131857000.0,20786000,,,,,,-1766000.0,63000,,,-19992000,57529000,,,-2197000,-1061000,,-471000.0,,-1766000,,,,-20055000,,,25090000,,0.0,,,-39643000,31728000,-35000,29541000,-434000,-20055000,,51685000,-0.153621,,,,,,,,
2012-07-31,2349000,37245000,209897000.0,195574000.0,-329465000.0,3943000,-22748000,-0.168987,289271000.0,2283000,-1881000,-32073000,20230000,62702000,-26360000,160290031.0,267155000.0,-27087000,57258000.0,484845000.0,1924000,7200000,36519000,54148000.0,25000.0,3366000.0,,95869000.0,160290031.0,23552000,0.0,85910000.0,,36741000.0,122651000.0,-1777000.0,-116000,,29406000.0,-26997000,29541000,103000.0,,-3805000,4648000,306000.0,-13543000.0,44000.0,-1777000,3831000.0,-24742000.0,14221000.0,-26881000,0.0,-217690000.0,28265000,8488000.0,0.0,68481000.0,14285000.0,641000,34437000,-394000,36741000,760000,-26881000,,60797000,-0.168987,,151602000.0,,,,,,
2012-10-31,11261000,55217000,881654000.0,214894000.0,-370936000.0,4461000,-36407000,-0.67,119753000.0,6152000,-10159000,-288659000,7328000,72618000,-40868000,61960000.0,950148000.0,-41471000,68494000.0,334647000.0,-9358000,406239000,19845000,69416000.0,32000.0,3481000.0,,87742000.0,61960000.0,28075000,0.0,354397000.0,684620000.0,442980000.0,797377000.0,-2369000.0,78000,,39760000.0,-41232000,36741000,160000.0,,-801000,685206000,,7382000.0,8509000.0,-2369000,3165000.0,-29656000.0,14578000.0,-41310000,0.0,615501000.0,30194000,,0.0,61099000.0,14925000.0,-269615000,42424000,-364000,442980000,-253000,-41310000,,83292000,-0.67,,164421000.0,,,,,,
2013-01-31,3047000,48959000,884302000.0,254774000.0,-401880000.0,5784000,-24894000,-0.19,112023000.0,5448000,-3155000,-391198000,22605000,81519000,-30678000,161916000.0,959080000.0,-30944000,74778000.0,366797000.0,5940000,-358822000,38792000,79340000.0,68000.0,2665000.0,,85920000.0,161916000.0,30252000,0.0,706181000.0,0.0,84158000.0,790339000.0,-3541000.0,99000,,44585000.0,-30845000,442980000,162000.0,,-9095000,-3256000,,-6338000.0,938000.0,0,3130000.0,-34755000.0,13131000.0,-30944000,0.0,592283000.0,32986000,8488000.0,0.0,67437000.0,13558000.0,-361501000,48533000,-167000,84158000,-138000,-30944000,,79211000,-0.19,,199340000.0,,,,,,
2013-04-30,2456000,51288000,893684000.0,309132000.0,-434895000.0,6569000,-26055000,-0.2,100338000.0,7416000,15415000,-287841000,33884000,91645000,-32624000,168074000.0,981255000.0,-33015000,87571000.0,409470000.0,17310000,135106000,406708000,94623000.0,65000.0,16408000.0,,76575000.0,168074000.0,36282000,0.0,586503000.0,,219264000.0,805767000.0,-3753000.0,135000,,54197000.0,-32880000,84158000,169000.0,,-1895000,820000,,7131000.0,8488000.0,8000,5794000.0,-40426000.0,13600000.0,-33015000,0.0,571785000.0,36699000,,90000.0,60345000.0,13915000.0,117062000,54946000,-256000,219264000,2421000,-33015000,,87570000,-0.2,,224363000.0,,,,,,
2013-07-31,5742000,57916000,1395395000.0,310721000.0,-470873000.0,8051000,-24232000,-0.21,556511000.0,9783000,-42648000,-441860000,-514000,107555000,-32283000,173375000.0,1505973000.0,-35978000,110578000.0,867232000.0,-12916000,218168000,170159000,111493000.0,111000.0,6337000.0,,78298000.0,173375000.0,41168000,0.0,857169000.0,,437432000.0,1294601000.0,-2935000.0,216000,,64097000.0,-35762000,219264000,171000.0,,-29732000,532517000,3879000.0,-6808000.0,8488000.0,-143657000,19122000.0,-47396000.0,12677000.0,-35978000,0.0,638741000.0,40754000,,0.0,66972000.0,14619000.0,-301433000,66801000,-3479000,437432000,1251000,-35978000,,99084000,-0.21,457849000.0,247320000.0,,,,,,
2013-10-31,9061000,70331000,1405602000.0,361702000.0,-518407000.0,9361000,-31038000,-0.27,553081000.0,19683000,-9681000,-499787000,16505000,127872000,-40399000,174385000.0,1528185000.0,-47534000,122583000.0,914783000.0,7076000,-253972000,256240000,129196000.0,184000.0,8228000.0,,72479000.0,174385000.0,49349000,0.0,1099235000.0,0.0,183460000.0,1282695000.0,-2817000.0,242000,,73960000.0,-47292000,437432000,172000.0,,-16757000,-776000,7663000.0,-19997000.0,,-596000,22096000.0,-55236000.0,11964000.0,-47534000,0.0,613402000.0,48591000,,0.0,86961000.0,17890000.0,-260304000,79281000,-6893000,183460000,1891000,-47534000,,119680000,-0.27,463092000.0,279290000.0,,,,,,
2014-01-31,10033000,83759000,2023658000.0,421890000.0,-574389000.0,10714000,-37262000,-0.32,567158000.0,24969000,7452000,-359752000,45059000,141866000,-47976000,175194000.0,2176265000.0,-55982000,152607000.0,989048000.0,34793000,397866000,150135000,138446000.0,269000.0,6212000.0,,80883000.0,175194000.0,55317000,0.0,1305253000.0,592241000.0,581326000.0,1886579000.0,-2624000.0,1085000,,77664000.0,-54897000,183460000,181000.0,,-27341000,601049000,7654000.0,-5363000.0,4865000.0,-2948000,45658000.0,-60782000.0,14274000.0,-55982000,0.0,1187217000.0,50766000,8488000.0,-1000000.0,92184000.0,17999000.0,-237958000,91100000,-6921000,581326000,-2016000,-55982000,,139076000,-0.32,468412000.0,332682000.0,,,,,,
