date,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyBasicAverageShares,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,473392000.0,1291900000,,0.16,,,,,,,,,1291900000,1291900000,,,,,,,473392000.0,75700000,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,0.195,,,,,,,,,,,,,,,,,,,,,,,453748000.0,1364600000,,0.195,,,,,,,,,1364600000,1364600000,,,,,,,453748000.0,92800000,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,453748000.0,1405400000,,0.21,,,,,,,,,1405400000,1405400000,,,,,,,453748000.0,94600000,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,1046600000.0,,1046600000.0,,,,,1860700000.0,,,,,,181700000.0,,,,660600000.0,-2245400000.0,,,,4106100000.0,,,,,,,,1081700000.0,,,,-3561700000,,,2831000000.0,,,1263400000.0,,3299500000.0,704700000.0,,-3561700000,1386100000,,2521300000.0,5352300000.0,,1968100000.0,18100000.0,,66500000,,0.0,3384200000.0,,,,,,,,,,480200000.0,206400000.0,496500000.0,,,,,,,
1985-03-31,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,433984000.0,1173700000,,0.13,,,,,,,,,1173700000,1173700000,,,,,,,433984000.0,56400000,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,-0.34,,,,,,,,,,,,,,,,,,,,,,,434568000.0,1216500000,,-0.34,,,,,,,,,1216500000,1216500000,,,,,,,434568000.0,-146800000,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,426640000.0,1188100000,,0.145,,,,,,,,,1188100000,1188100000,,,,,,,426640000.0,62400000,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,622700000.0,,622700000.0,,,,,1571800000.0,,,,,,169000000.0,,,,686900000.0,-2310500000.0,,,,3882300000.0,,,,,,,,975800000.0,,,,-3489200000,,,2403300000.0,,,1144800000.0,,2764700000.0,659300000.0,,-3489200000,1200400000,,2258700000.0,4662000000.0,,1804100000.0,14100000.0,,56700000,,234100000.0,2857900000.0,,,,,,,,,,447700000.0,197500000.0,473500000.0,,,,,,,
1986-03-31,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,434640000.0,1004900000,,0.03,,,,,,,,,1004900000,1004900000,,,,,,,434640000.0,11200000,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,-1.18,,,,,,,,,,,,,,,,,,,,,,,434600000.0,854900000,,-1.18,,,,,,,,,854900000,854900000,,,,,,,434600000.0,-524600000,,,,,,,,,,,,,,,,,,,,,,
