date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyAccountsReceivable,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,1047300000,1047300000,,,,,,,88065000.0,1047300000,,,,,,,,,,,,,,,1.08,,,125200000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,628600000,628600000,,,,,,,88065000.0,628600000,,,,,,,,,,,,,,,0.54,,,78200000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,611000000,611000000,,,,,,,88065000.0,611000000,,,,,,,,,,,,,,,0.04,,,33800000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,879700000,879700000,,,,,,,,879700000,,,,,,,,,,,,,,,,,,-16000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,1098400000,1098400000,,,,,,,88065000.0,1098400000,,,,,,,,,,,,,,,0.38,,,63700000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,635700000,635700000,,,,,,,88065000.0,635700000,,,,,,,,,,,,,,,-0.25,,,7700000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,632500000,632500000,,,,,,,88065000.0,632500000,,,,,,,,,,,,,,,-0.08,,,22900000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,-0.08,,,,,,,,,,,,,,,,,,,
1985-12-31,,,,,,,931700000,931700000,,,,,,,,931700000,,,,,,,,,,,,,,,,,,-364100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,,,,,1027900000,1027900000,,,,,,,88065000.0,1027900000,,,,,,,,,,,,,,,0.39,,,64200000,,88065000.0,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,612200000,612200000,,,,,,,87987000.0,612200000,,,,,,,,,,,,,,,-0.05,,,25300000,,87987000.0,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,596100000,596100000,,,,,,,87987000.0,596100000,,,,,,,,,,,,,,,0.1,,,37200000,,87987000.0,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,
