date,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2014-03-31,9201000,,87893000,,,,4.175815,,,24345000,,33779000,,,-8972000,6575000,-8130000.0,120653000,,-32000,,24345000,24345000,47507000,,,,81286000,-46858000,,,6238000,5339000,4.175815,0.0,,,,5830000.0,,,,,,39367000,208546000,,-3219000,706000,,,56167000,-46966000,-8972000,488000,,,,39335000,,,,14990000,5830000.0,73146000,,337000,488000,,,,,,,,,
2014-06-30,19321000,,81587000,,,,4.608405,,,26867000,,33802000,,0.0,-18699000,7185000,182000.0,123524000,,-32000,,26867000,26867000,46279000,,,,80082000,-38827000,,,6575000,709000,4.608405,-24000.0,,,,5830000.0,,,,,,43442000,205111000,,-4088000,781000,,,58136000,-38815000,-18699000,529000,,,,43410000,,,,16543000,5830000.0,77213000,,610000,529000,,,,,,,,,
2014-09-30,-7647000,,79436000,,,,11.870497,,,69205000,,34417000,,0.0,-91400000,6024000,6365000.0,120251000,,75217000,,69205000,69205000,49236000,,,0.0,83653000,52585000,,,7185000,-421000,11.870497,-16000.0,,,,5830000.0,,,,,,36598000,199687000,,7187000,2009000,,,37654000,-45301000,-91400000,498000,,,,111815000,,,,42610000,5830000.0,146232000,,-1161000,498000,,,,,,,,,
2014-12-31,7558000,28353000.0,79056000,313129000.0,1211919000.0,50121000.0,,85488000.0,,26892000,1262040000.0,32169000,37000.0,,-8190000,6410000,-3217000.0,122412000,408752000.0,-957000,13309000.0,26892000,26892000,45837000,21004000.0,291486000.0,,78006000,-45300000,26327000.0,853288000.0,6024000,-5000000,,3000.0,6410000.0,6410000.0,,,0.0,496892000.0,,0.0,7384000.0,44406000,201468000,17155000.0,-7405000,780000,2079681000.0,-1463451000.0,53876000,-46318000,-8190000,482000,0.0,3200000.0,95623000.0,43449000,,1325919000.0,616230000.0,16557000,,1422000,,386000,482000,,,,,,,,,
2015-03-31,18353000,,81268000,307349000.0,1206474000.0,51042000.0,3.792281,85488000.0,,22109000,1257516000.0,36379000,57000.0,,-15707000,9064000,-428000.0,121641000,393466000.0,-19000,13374000.0,22109000,22109000,49329000,22050000.0,285954000.0,,85708000,-37409000,25880000.0,864050000.0,6410000,3849000,3.792281,0.0,9064000.0,9064000.0,,5830000.0,0.0,496861000.0,,0.0,,35933000,202909000,60780000.0,2172000,-5580000,2108215000.0,-1497464000.0,55770000,-37417000,-15707000,273000,0.0,3287000.0,86117000.0,35914000,,1348028000.0,610751000.0,13805000,5830000.0,72312000,,2654000,273000,,,,,,,,,
2015-06-30,24454000,,79115000,852498000.0,1217543000.0,151401000.0,3.67,85488000.0,547500000.0,21435000,1368944000.0,35435000,35000.0,997000.0,-19173000,105465000,8742000.0,123583000,954907000.0,34000,22412000.0,21435000,21435000,52359000,21883000.0,280079000.0,,87794000,-37007000,29780000.0,414037000.0,9064000,-3900000,3.67,0.0,105465000.0,105465000.0,,5843313.0,0.0,496831000.0,,58000.0,2500000.0,35789000,202698000,75258000.0,5961000,-5875000,2143788000.0,-1530976000.0,61467000,-37013000,71941000,4011000,0.0,2768000.0,102409000.0,34826000,,919463000.0,612812000.0,13391000,5843313.0,71258000,,96401000,4011000,,,,,,,,,
2015-09-30,48518000,,75291000,837971000.0,1210522000.0,190636000.0,3.3,85488000.0,546555000.0,19412000,1401158000.0,36108000,35000.0,7804000.0,-3206000,144506000,16336000.0,122924000,970969000.0,103000,21998000.0,19412000,19412000,47820000,21859000.0,267500000.0,0.0,83928000,-28686000,30405000.0,430189000.0,105465000,-625000,3.31,0.0,144506000.0,144506000.0,,5871928.0,0.0,496815000.0,,59000.0,3125000.0,38996000,198215000,89466000.0,31622000,-11922000,2169859000.0,-1563638000.0,77490000,-28972000,-9763000,2054000,0.0,18548000.0,132998000.0,31295000,,434009000.0,606221000.0,11883000,5875588.0,75207000,,39041000,2054000,,,,,,,,,
2015-12-31,-1048000,33842000.0,75251000,846417000.0,1242242000.0,166353000.0,,85488000.0,545301000.0,26077000,1408595000.0,32713000,90000.0,7289000.0,-5028000,119199000,-9233000.0,128193000,973249000.0,-350000,19417000.0,26077000,26077000,44456000,22363000.0,276627000.0,-8782000.0,77169000,-52123000,30715000.0,435346000.0,144506000,-4300000,,-26000.0,119199000.0,119199000.0,-625000.0,,0.0,496770000.0,-557000.0,59000.0,12453000.0,51024000,203444000,30925000.0,-21543000,12095000,1853378000.0,-1212811000.0,51686000,-52734000,-24870000,2875000,0.0,5431000.0,126832000.0,43385000,,447282000.0,640567000.0,17308000,,83387000,-10435000.0,-25307000,2875000,,,,,,,,,
2016-03-31,30779000,,76836000,832964000.0,1225937000.0,151727000.0,4.65,85488000.0,534663000.0,27044000,1377664000.0,34693000,152000.0,7555000.0,-43000,106217000,2473000.0,125969000,955486000.0,510000,11013000.0,27044000,27044000,43893000,22392000.0,273957000.0,-8694000.0,78586000,-46565000,29738000.0,422178000.0,119199000,4967000,4.67,-19365000.0,106217000.0,106217000.0,-628000.0,5796252.0,0.0,496744000.0,-530000.0,59000.0,4375000.0,47383000,202805000,78559000.0,14614000,-2670000,1877787000.0,-1245095000.0,77539000,-46760000,-43956000,404000,0.0,17196000.0,122522000.0,40338000,,465632000.0,632692000.0,13294000,5810639.0,82586000,-34591000.0,-12982000,3046000,,,,,,,,,
2016-06-30,18820000,,75829000,831633000.0,1227841000.0,146046000.0,4.62,85488000.0,533812000.0,26633000,1373887000.0,34689000,218000.0,7549000.0,-1401000,102741000,-7447000.0,128728000,942157000.0,183000,10398000.0,26633000,26633000,43482000,22203000.0,273297000.0,-8609000.0,78171000,-28957000,31093000.0,431730000.0,106217000,-1355000,4.64,-56616000.0,102741000.0,102741000.0,-630000.0,5743465.0,0.0,496719000.0,-502000.0,59000.0,5000000.0,50557000,204557000,77913000.0,-16603000,-660000,1904130000.0,-1268894000.0,48041000,-29221000,-22560000,405000,0.0,5408000.0,110524000.0,43191000,,483656000.0,635236000.0,16558000,5766312.0,85429000,-11920000.0,-3476000,3420000,,,,,,,,,
