date,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,726057000,52357000,83197000,297029000,309899000,9208000,0.0,283272000,0.0,-62292000.0,,95131000,848530000,157423000.0,503261000,12870000.0,414615000,524008000,619982000,1468512000,,0.0,188237000,104071000,0.0,14457000,691498000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,803908000,54599000,83460000,230031000,240098000,9208000,0.0,340420000,13565000.0,,,104369000,979760000,,580412000,10067000.0,420562000,716012000,635594000,1615354000,,11374000.0,172028000,146898000,0.0,23484000,752440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,1036448000,61133000,181316000,484172000,492998000,32784000,0.0,460799000,74430000.0,-94413000.0,,108871000,1322899000,203284000.0,801454000,8826000.0,729111000,811282000,1050724000,2373623000,165109000.0,17830000.0,470166000,186950000,0.0,18441000,1271620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1338110000,70179000,162702000,560284000,567071000,32779000,0.0,477567000,62444000.0,,,114957000,1636251000,,756129000,6787000.0,729111000,288018000,1064530000,2700781000,162030000.0,37830000.0,540138000,169000000,0.0,37682000,1296267000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1725672000,77879000,157172000,772950000,785521000,24767000,0.0,613149000,0.0,-126509000.0,,131456000,1940688000,257965000.0,890105000,12571000.0,657129000,363683000,1006846000,2947534000,223420000.0,5557000.0,253744000,165600000,0.0,24405000,1143849000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1803243000,78963000,147579000,609808000,616624000,24767000,0.0,555654000,0.0,,,136104000,2044791000,,853576000,6816000.0,657129000,873033000,1002143000,3046934000,236073000.0,0.0,266397000,186200000,0.0,60757000,1119973000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,1927624000,81804000,159330000,774847000,774847000,17602000,4468000.0,352216000,0.0,-171667000.0,,175330000,2415484000,346997000.0,1343465000,,629075000,1391168000,1026866000,3442350000,19000000.0,0.0,36602000,508387000,0.0,23989000,1380067000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2107333000,84667000,233977000,514062000,514062000,17602000,0.0,418707000,0.0,,295804000.0,191738000,2480919000,191738000.0,1391762000,2124000.0,745408000,1636059000,1234747000,3715666000,69400000.0,0.0,87002000,625761000,0.0,48109000,1478764000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,2268223000,87085000,280649000,940823000,940823000,17589000,5201000.0,380858000,0.0,-206733000.0,361667000.0,215668000,3175245000,422401000.0,1471225000,,936988000,1874962000,1497712000,4672957000,707306000.0,0.0,760531000,471328000,14850000.0,19883000,2231756000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,2396664000,87926000,329113000,382252000,382252000,32536000,333000.0,358900000,0.0,,,246473000,3078388000,246473000.0,1263314000,,970064000,2322536000,1641239000,4719627000,831957000.0,0.0,900129000,381775000,0.0,24535000,2163443000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
