date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,1092900000,,,1092900000,0.32,,,,,65900000,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,205248000.0,,,,,,,,,,,,,,,,,,,,1092900000,205248000.0,
1984-06-30,,,,,,,,,,813700000,,,813700000,0.24,,,,,44800000,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,205248000.0,,,,,,,,,,,,,,,,,,,,813700000,205248000.0,
1984-09-30,,,,,,,,,,617200000,,,617200000,0.01,,,,,1400000,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,205584000.0,,,,,,,,,,,,,,,,,,,,617200000,205584000.0,
1984-12-31,,,,,,,,,,864900000,,,864900000,,,,,,11600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864900000,,
1985-03-31,,,,,,,,,,1044600000,,,1044600000,0.14,,,,,28900000,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,206452000.0,,,,,,,,,,,,,,,,,,,,1044600000,206452000.0,
1985-06-30,,,,,,,,,,726500000,,,726500000,0.09,,,,,18000000,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,205764000.0,,,,,,,,,,,,,,,,,,,,726500000,205764000.0,
1985-09-30,,,,,,,,,,552500000,,,552500000,-0.13,,,,,-26000000,,,,,,,,,,,,,,,,,,,,,,,,,-0.13,,,,,,,,,,,205764000.0,,,,,,,,,,,,,,,,,,,,552500000,205764000.0,
1985-12-31,,,,,,,,,,816000000,,,816000000,,,,,,10700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816000000,,
1986-03-31,,,,,,,,,,796400000,,,796400000,0.07,,,,,14200000,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,205854000.0,,,,,,,,,,,,,,,,,,,,796400000,205854000.0,
1986-06-30,,,,,,,,,,507000000,,,507000000,0.05,,,,,8700000,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,206008000.0,,,,,,,,,,,,,,,,,,,,507000000,206008000.0,
1986-09-30,,,,,,,,,,425000000,,,425000000,-0.15,,,,,-30300000,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,206032000.0,,,,,,,,,,,,,,,,,,,,425000000,206032000.0,
