date,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyNetPPE,quarterlyTotalNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyInventory,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2008-12-31,1504170000,0.0,329865000,16114897000,1257019000,2433427000,,5185000,11877776000,,13681470000,606967000.0,0,15000.0,1712134000,1712119000,,,8197609000.0,9053071000,12704315000,826539000,,3154820000,,130000000,2264230000,63977000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,2167617000,0.0,337686000,18773494000,1346721000,2657683000,,64477000,14028290000,,16115811000,732823000.0,1637037000,,2355849000,2355849000,,,15000.0,10319007000,14800402000,772112000,9634222000.0,3442905000,,60000000,2639914000,76019000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,1284313000,0.0,592393000,28275250000,1447946000,2988015000,-593542000.0,19387000,14754855000,,25287235000,895451000.0,2264568000,15000.0,6937258000,6937243000,2041488000.0,,0.0,12135002000,15770795000,1015940000,10463660000.0,4272807000,,50000000,10910856000,97261000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,1800486000,0.0,691372000,35395648000,2755339000,5342186000,,21436000,19955759000,,30053462000,1865929000.0,2264568000,560000.0,8138153000,8137593000,,,0.0,16148018000,21429614000,1473855000,15450205000.0,5301278000,,116000000,11328180000,263353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3344182000,0.0,816061000,42014480000,3330750000,7151180000,-924538000.0,637726000,25754076000,,34863300000,2257087000.0,2264568000,990000.0,7475688000,7474698000,4255288000.0,,732098000.0,19831205000,27295400000,1541324000,17751877000.0,7530376000,,90900000,11711138000,265651000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,5899543000,0.0,947073000,58164994000,4015718000,10397329000,,53556000,35007218000,,47767665000,5410110000.0,2402625000,1418000.0,11213404000,11211986000,,,0.0,24647721000,39034519000,4027301000,25390934000.0,8881954000,,2181953000,14967295000,517887000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,8666785000,0.0,812851000,67627852000,4430655000,11394791000,-1248918000.0,222278000,40291560000,,56233061000,5574947000.0,2402625000,1163000.0,13092175000,13091012000,5679573000.0,,1198519000.0,27053995000,47239766000,6948206000,26591821000.0,12214060000,,5182353000,15673849000,517551000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,9223555000,0.0,726184000,75515360000,4714044000,12574600000,,198100000,47029250000,,62940760000,6362588000.0,2402625000,1163000.0,11746013000,11744850000,,,0.0,32492625000,53987017000,6957767000,36295716000.0,11489862000,,5228735000,16188490000,582903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,10888203000,281939000.0,176937000,79847109000,6399490000,13830789000,-1711236000.0,113266000,50105470000,,66016320000,2152539000.0,2402625000,1559000.0,9723551000,9721992000,8110726000.0,127322000.0,1590374000.0,35137489000,57103908000,6998438000,34597266000.0,13618051000,3396955000.0,5191580000,17078291000,591899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,14448462000,4383212000.0,198286000,97387284000,7075071000,14873891000,-15806000.0,870290000,61216947000,,82513393000,11183888000.0,2568293000,1559000.0,13497641000,13496082000,7090877000.0,144553000.0,0.0,41237425000,70304815000,9087868000,44590630000.0,14447822000,,7201789000,20782613000,610580000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
