date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetPPE,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyRetainedEarnings,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyInvestmentsAndAdvances,quarterlySaleOfInvestment,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory,quarterlyAccumulatedDepreciation
2009-09-30,,632213000000,,,13298000000,,,,26365000000,629000000.0,,13191000000.0,131600000000,,-5469000000,,8655000000,,53611000000,-3971000000,,,0.07,32340000000,604139000000,18767000000,18765000000,,23213000000,,-1267000000.0,,,553875000000,-518193000000,30409000000,0.07,18765000000,,268071428571.0,4684000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,260000000000.0,604139000000,26642000000.0,,17885000000,1628934000000.0,,,37615000000,922000000.0,342819000000.0,18497000000.0,-434513000000,,4370000000,111973000000.0,-227071000000,111973000000.0,64654000000,-13247000000,59817000000.0,,,-116875000000,329300000000,13515000000,13513000000,,34269000000,8539663000000.0,1267000000.0,66762000000.0,1731292000000.0,340251000000,-444801000000,25752000000,,13513000000,8882588000000.0,,-240318000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,329300000000,,,31788000000,,,,26032000000,406000000.0,,31640000000.0,216377000000,10000000.0,6809000000,,259734000000,,66172000000,-2075000000,,,0.1,-42757000000,545677000000,24979000000,24970000000,,22394000000,,10000000.0,,,363698000000,-404786000000,27672000000,0.1,24970000000,,249700000000.0,257659000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,270000000000.0,545677000000,26167000000.0,,26239000000,1963804000000.0,,,32539000000,167000000.0,354263000000.0,25846000000.0,-18839000000,15527000000.0,5355000000,109726000000.0,-86897000000,109726000000.0,69508000000,-2144000000,1421000000.0,,,75790000000,526838000000,20884000000,20870000000,,28688000000,9341550000000.0,15527000000.0,70624000000.0,1792555000000.0,430088000000,-352321000000,28900000000,,20870000000,9695967000000.0,,-89041000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,324794000000.0,526838000000,26002000000.0,,31168000000,159431000000.0,,,30059000000,438000000.0,528108000000.0,30826000000.0,78237000000,150045000000.0,6846000000,109091000000.0,31366000000,109091000000.0,73809000000,-2459000000,25727000000.0,0.0,0.08,-102152000000,605075000000,24322000000,24306000000,,26237000000,9588844000000.0,148778000000.0,73048000000.0,1903185000000.0,352725000000,-452856000000,29661000000,0.08,24306000000,10117122000000.0,303825000000.0,28907000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,324794000000.0,605075000000,26294000000.0,,31539000000,2255600000000.0,,,38946000000,362000000.0,542071000000.0,31118000000.0,-189458000000,-1810000000.0,6817000000,121391000000.0,-294081000000,121391000000.0,80929000000,-12056000000,45484000000.0,-32082000000.0,,138375000000,415617000000,24722000000,24727000000,,34752000000,9795170000000.0,-723000000.0,73771000000.0,1764732000000.0,266869000000,-116800000000,29275000000,,24727000000,10337406000000.0,,-306137000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,324794000000.0,415617000000,26070000000.0,,44471000000,178894000000.0,,,33130000000,543000000.0,576400000000.0,44278000000.0,336995000000,,10398000000,121096000000.0,280537000000,121096000000.0,89556000000,-8402000000,79533000000.0,,0.1,56993000000,752612000000,34073000000,34067000000,,28261000000,10383358000000.0,,72275000000.0,1763452000000.0,237590000000,-172738000000,32651000000,0.1,34067000000,10959928000000.0,340670000000.0,272135000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,324794000000.0,752612000000,25990000000.0,,41192000000,2811575000000.0,,,38289000000,-213000000.0,589332000000.0,40764000000.0,110706000000,,8586000000,117787000000.0,100957000000,117787000000.0,94532000000,779000000,88211000000.0,,,-37391000000,863318000000,32606000000,32600000000,,32968000000,10872275000000.0,,78767000000.0,1849173000000.0,258324000000,-296281000000,39571000000,,32600000000,11461784000000.0,,101736000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,324794000000.0,863318000000,25745000000.0,,45007000000,302971000000.0,0.0,,36421000000,30000000.0,620351000000.0,44855000000.0,167524000000,,10910000000,117712000000.0,150560000000,117712000000.0,94986000000,-3077000000,122291000000.0,,0.1,35870000000,1030842000000,34097000000,34090000000,,30946000000,10968538000000.0,0.0,87080000000.0,1902550000000.0,295523000000,-256606000000,44482000000,0.1,34090000000,11589073000000.0,340900000000.0,147483000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,324794000000.0,1030842000000,25730000000.0,,27531000000,2831639000000.0,192000000.0,,48928000000,996000000.0,649601000000.0,26841000000.0,-388735000000,,6351000000,131815000000.0,-309050000000,131815000000.0,98561000000,-12359000000,131086000000.0,0.0,,-79721000000,642107000000,21180000000,21170000000,,43386000000,11027789000000.0,-50000000.0,91143000000.0,1906796000000.0,257889000000,-326247000000,49018000000,,21170000000,11677577000000.0,,-321409000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,324794000000.0,642107000000,25638000000.0,,56135000000,393283000000.0,,,40537000000,726000000.0,693791000000.0,55697000000.0,357712000000,,12675000000,130383000000.0,443574000000,130383000000.0,106967000000,-6343000000,174489000000.0,,0.13,-86068000000,999819000000,43460000000,43454000000,,34235000000,11865348000000.0,,96577000000.0,2067884000000.0,161811000000,-242262000000,51348000000,0.13,43454000000,12559332000000.0,334261538462.0,437231000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,324794000000.0,999819000000,25454000000.0,,47867000000,3032412000000.0,,,42775000000,-168000000.0,691464000000.0,47952000000.0,129061000000,,10805000000,128797000000.0,65562000000,128797000000.0,102766000000,-3686000000,158398000000.0,,,68153000000,1128880000000,37062000000,37045000000,,36538000000,12209586000000.0,,108436000000.0,1992405000000.0,268949000000,-196942000000,59224000000,,37045000000,12901412000000.0,,61876000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,324794000000.0,1128880000000,26289000000.0,,50972000000,526771000000.0,,,45720000000,-271000000.0,726674000000.0,49922000000.0,-20143000000,0.0,11379000000,128557000000.0,23570000000,128557000000.0,106479000000,-6342000000,197978000000.0,,0.12,-42939000000,1108737000000,39593000000,39584000000,,39226000000,12334828000000.0,4502000000.0,121942000000.0,2125524000000.0,203951000000,-240277000000,56683000000,0.12,39584000000,13061873000000.0,329866666667.0,17228000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,324794000000.0,1108737000000,26598000000.0,,32953000000,3098724000000.0,,,51726000000,1408000000.0,749815000000.0,33400000000.0,-155801000000,0.0,7937000000,141490000000.0,-191927000000,141490000000.0,105735000000,-11499000000,208488000000.0,-246000000.0,,26928000000,952936000000,25016000000,25011000000,1381000000.0,45131000000,12492988000000.0,0.0,133744000000.0,2247787000000.0,280155000000,-243284000000,56929000000,,25011000000,13244342000000.0,,-203426000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,324794000000.0,952935000000,26714000000.0,,60724000000,686086000000.0,,,45999000000,360000000.0,798740000000.0,60890000000.0,86802000000,,13673000000,139965000000.0,208204000000,139965000000.0,119026000000,-8500000000,255152000000.0,,0.14,-120377000000,1039737000000,47051000000,47011000000,1381000000.0,36484000000,13467419000000.0,,133197000000.0,2417976000000.0,100010000000,-212247000000,56626000000,0.14,47011000000,14267738000000.0,335792857143.0,199704000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,324794000000.0,1039737000000,26596000000.0,,58778000000,3305206000000.0,,,47148000000,-154000000.0,789668000000.0,58450000000.0,-369683000000,,13445000000,138582000000.0,-337057000000,138582000000.0,115932000000,-602000000,186144000000.0,,,-26924000000,670055000000,45333000000,45341000000,1381000000.0,38674000000,13431370000000.0,,141468000000.0,2491886000000.0,211899000000,-238478000000,59835000000,,45341000000,14222601000000.0,,-337659000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
