date,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyInventory,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyRepurchaseOfCapitalStock,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments
2006-03-31,,258333333.0,,,,,,,,,,,,124000000,124000000,,0.48,,,,,,,124000000,,,,,,,,258333333.0,,,,,,,0.48,,,,,,,,,,,,,,1437000000,,1437000000,,1437000000,,,,,,,,,,,,,,,,,,,,
2006-06-30,,258333333.0,,,,,,,,,,,,124000000,124000000,,0.48,,,,,,,124000000,,,,,,,,258333333.0,,,,,,,0.48,,,,,,,,,,,,,,1437000000,,1437000000,,1437000000,,,,,,,,,,,,,,,,,,,,
2006-09-30,,258333333.0,,,,,,,,,,,,124000000,124000000,,0.48,,,,,,,124000000,,,,,,,,258333333.0,,,,,,,0.48,,,,,,,,,,,,,,1437000000,,1437000000,,1437000000,,,,,,,,,,,,,,,,,,,,
2006-12-31,,,,,580000000.0,,3180000000.0,7714000000.0,9346000000.0,,,29000000.0,3084000000.0,138000000,138000000,4405000000.0,,,708000000.0,,119000000.0,,,138000000,,6096000000.0,,,,,300000000.0,,3250000000.0,3651000000.0,,,,,,1292000000.0,35000000.0,35000000.0,,,,788000000.0,,,0.0,3250000000.0,,,-3266000000,,424000000,,-3266000000,,195000000.0,,-499000000.0,,,,755000000.0,,1632000000.0,,1254000000.0,1691000000.0,,,,,,,
2007-03-31,,251219512.0,,,,,,,,,,,,103000000,103000000,,0.41,,,,,,,103000000,,,,,,,,251219512.0,,,,,,,0.41,,,,,,,,,,,,,,1406000000,,1406000000,,1406000000,,,,,,,,,,,,,,,,,,,,
2007-06-30,,251219512.0,,,,,,,,,,,,103000000,103000000,,0.41,,,,,,,103000000,,,,,,,,251219512.0,,,,,,,0.41,,,,,,,,,,,,,,1406000000,,1406000000,,1406000000,,,,,,,,,,,,,,,,,,,,
2007-09-30,,253086420.0,,,,,,,,,,,,153000000,153000000,,0.60355,,,,,,,153000000,,,,,,,,253086420.0,,,,,,,0.60355,,,,,,,,,,,,,,1535000000,,1535000000,,1535000000,,,,,,,,,,,,,,,,,,,,
2007-12-31,,,,,597000000.0,,3183000000.0,7789000000.0,10528000000.0,,,136000000.0,2912000000.0,138000000,138000000,4372000000.0,,,126000000.0,,113000000.0,,,138000000,,5507000000.0,,,,,325000000.0,,5021000000.0,3617000000.0,,,,,,1324000000.0,67000000.0,67000000.0,,,,987000000.0,0.0,,0.0,20000000.0,,,-3343000000,,1401000000,,-3343000000,,22000000.0,,-603000000.0,,,,868000000.0,,2739000000.0,,1471000000.0,1135000000.0,,,,,,,
2008-03-31,56000000.0,250000000.0,577000000.0,,561000000.0,48000000.0,3185000000.0,7799000000.0,10595000000.0,,508000000.0,206000000.0,2427000000.0,95000000,95000000,3933000000.0,0.38,48000000.0,612000000.0,,119000000.0,-8000000.0,99000000.0,95000000,-2000000.0,5550000000.0,,,-50000000.0,730000000.0,360000000.0,250000000.0,5045000000.0,3611000000.0,,534000000.0,-35000000.0,,0.38,1300000000.0,99000000.0,99000000.0,,37000000.0,,982000000.0,0.0,67000000.0,0.0,-3000000.0,-44000000.0,-66000000.0,196000000,,1307000000,,244000000,32000000.0,23000000.0,,-603000000.0,100000000.0,,,876000000.0,,2796000000.0,155000000.0,1479000000.0,1617000000.0,-69000000.0,28000000.0,,60000000.0,,,
2008-06-30,80000000.0,254000000.0,706000000.0,,625000000.0,51000000.0,3177000000.0,8493000000.0,10007000000.0,,536000000.0,752000000.0,3643000000.0,108000000,108000000,5657000000.0,0.42,92000000.0,220000000.0,,579000000.0,-17000000.0,300000000.0,108000000,1238000000.0,6760000000.0,,,-2028000000.0,851000000.0,348000000.0,254000000.0,3247000000.0,3607000000.0,,568000000.0,13000000.0,,0.42,1262000000.0,300000000.0,300000000.0,,1341000000.0,,877000000.0,3000000.0,99000000.0,0.0,-10000000.0,-98000000.0,-1216000000.0,283000000,,1557000000,,334000000,201000000.0,6000000.0,,-603000000.0,178000000.0,,,930000000.0,,1514000000.0,188000000.0,1533000000.0,1103000000.0,-31000000.0,9000000.0,,80000000.0,85000000.0,,
