date,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyLongTermDebt,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2010-03-31,50610940.403731,1074131.015457,-101566130.993563,370171960.984367,0.0,199301488.177081,166256111.617113,32733702.478434,9749940.053422,183616534.045628,118946803.433025,,82050403.052065,33045376.559968,118946803.433025,-510203427.989666,261400347.834654,129078852.388668,1074131.015457,,500333748.741078,238933400.906424,0.0,130152983.404125,0.0,,,45681383.390988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,48569790.552297,1050157.633563,,351156357.749565,0.0,181092797.628408,149347048.83676,32003123.490365,129122045.756267,,,,73887197.370626,31745748.791648,0.0,-500160814.177998,251101298.034414,129416434.207643,1050157.633563,,481631557.440227,230530259.405813,0.0,130466591.841206,0.0,,,3484457.45956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,42725853.34092,1714467.781527,-122130517.409472,339523682.132476,0.0,177656661.455878,135280114.050761,31369191.756592,19679255.185206,186769833.950107,,,64639316.540636,42376547.405117,0.0,,251827642.626392,136125535.663502,1714467.781527,,477372122.918949,225544480.292558,0.0,137840003.445029,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,40542306.973067,1788413.533169,,307670441.655406,0.0,140392518.001491,113835193.728256,30570770.919395,9750348.356927,,,,62094540.130717,26557324.273235,0.0,,217466152.078754,131324644.694004,1788413.533169,,440791722.473535,223325570.394782,0.0,133113058.227172,0.0,,,3418131.060866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,34626317.618537,3373104.752291,-140576090.323278,324117021.188388,0.0,142477929.972872,108710324.233712,30204398.26239,9713111.854142,199094420.865741,,,58518330.542462,33767605.73916,0.0,,223477938.696973,109186393.449715,3373104.752291,,436683831.033644,213205892.336671,0.0,112559498.202006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,32759406.21639,3656053.47457,,311464795.882048,0.0,132261442.366468,100527287.235277,30132656.202849,9690041.086669,,,,54997223.825625,31734155.131191,0.0,,230809549.245971,127252705.839569,3656053.47457,,442380849.472682,211571300.226712,0.0,130908759.314139,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,31359211.981395,3482132.280182,-139153149.57293,289764180.133112,0.0,130090636.030487,99214341.658326,29775114.085764,4905257.639401,180457421.042666,32854414.595723,,41304271.469735,30876294.372161,127545508.066729,-521746427.420051,208131082.712791,132721455.841986,3482132.280182,,366363081.713225,158231999.000434,0.0,136203588.122169,0.0,,,58726945.746499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,29182300.278296,3517597.670466,,276814691.499212,0.0,95261416.409391,71731155.373636,29402150.1327,,,3153817.33584,,4476079.769523,23530261.035755,43418764.591184,-526772113.554474,109463084.342446,56196153.431498,26418360.561956,,300689753.026047,191226668.683602,0.0,82614513.993454,0.0,22900762.89149,,14201667.933054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,28817900.938964,4245148.008326,-61080385.990939,363549580.876581,0.0,177018993.032203,173050563.413267,29983157.2781,,69153205.131113,2192953.247707,,8072819.140174,3968429.618937,0.0,,198395088.730497,79117466.441539,4245148.008326,,391081461.092601,192686372.362104,0.0,83362614.449865,0.0,,,14420547.049384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,27746071.963937,4856908.875295,,1359832326.066551,0.0,1215610721.156161,1171855777.039268,64722092.230753,,,2302933.476171,18794883.146481,2467654.990285,43754944.116893,50989227.921853,-567340491.126508,1235721792.554842,105573027.731031,23651792.021776,,1432468970.27834,196747177.723498,0.0,129224819.752807,0.0,,,12150587.456978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
