date,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyBasicEPS,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,778400000.0,778400000.0,778400000.0,,,,,,,,,,,,,275872000.0,,,,,,,,,,,,,,0.09,,,,26500000.0,,,,,275872000.0,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.095,,,,,,,,,,,810800000.0,810800000.0,810800000.0,,,,,,,,,,,,,276488000.0,,,,,,,,,,,,,,0.095,,,,27200000.0,,,,,276488000.0,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,744400000.0,744400000.0,744400000.0,,,,,,,,,,,,,270296000.0,,,,,,,,,,,,,,0.09,,,,25300000.0,,,,,270296000.0,,,
1984-12-31,,,,,55600000.0,242800000.0,,-674500000.0,,877300000.0,,,,,452400000.0,,,589500000.0,,,2210000000.0,,695200000.0,,,42900000.0,42900000.0,,,,,,,,,-2133100000.0,-2133100000.0,887500000.0,,,,,,1004300000.0,,645100000.0,1126900000.0,,,1514800000.0,,,1152800000.0,,,1205700000.0,,,,,,,200400000.0,,,,158800000.0,,34500000.0,,44800000.0,,359200000.0,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.175,,,,,,,,,,,921200000.0,921200000.0,921200000.0,,,,,,,,,,,,,270328000.0,,,,,,,,,,,,,,0.175,,,,42500000.0,,,,,270328000.0,,,
1985-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,994800000.0,994800000.0,994800000.0,,,,,,,,,,,,,272096000.0,,,,,,,,,,,,,,0.17,,,,38900000.0,,,,,272096000.0,,,
1985-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,936000000.0,936000000.0,936000000.0,,,,,,,,,,,,,306840000.0,,,,,,,,,,,,,,0.19,,,,40700000.0,,,,,306840000.0,,,
1985-12-31,,,,,38800000.0,1632600000.0,,-501000000.0,,1025600000.0,,,,,588900000.0,,,1020000000.0,,,4337400000.0,,2221500000.0,,,47600000.0,47600000.0,,,,,,,,,-2560500000.0,-2560500000.0,1186500000.0,,,,,,2745100000.0,,1058800000.0,1089900000.0,,,2115900000.0,,,1337600000.0,,,1592300000.0,,,,,,,1503100000.0,,,,183200000.0,,58000000.0,,426200000.0,,1686300000.0,,,,
1986-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,1015200000.0,1015200000.0,1015200000.0,,,,,,,,,,,,,328544000.0,,,,,,,,,,,,,,0.16,,,,49500000.0,,,,,328544000.0,,,
1986-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,1127600000.0,1127600000.0,1127600000.0,,,,,,,,,,,,,315272000.0,,,,,,,,,,,,,,0.185,,,,61000000.0,,,,,315272000.0,,,
1986-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,,,,,,,,,,1339300000.0,1339300000.0,1339300000.0,,,,,,,,,,,,,329888000.0,,,,,,,,,,,,,,0.225,,,,65200000.0,,,,,329888000.0,,,
1986-12-31,,,,,31400000.0,1656400000.0,,-595000000.0,,1320700000.0,,,,,857600000.0,,,1253800000.0,,,5557100000.0,761900000.0,3275900000.0,,,51700000.0,51700000.0,,,,,,,,,-3080900000.0,-3080900000.0,1541200000.0,,,,,,3745500000.0,,1285200000.0,1452600000.0,,,2281200000.0,,,1502800000.0,,,1811600000.0,,,,,,,2181500000.0,,,,278800000.0,,65900000.0,,64800000.0,,2460300000.0,,,,
1987-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,1367900000.0,1367900000.0,1367900000.0,,,,,,,,,,,,,345832000.0,,,,,,,,,,,,,,0.18,,,,61500000.0,,,,,345832000.0,,,
1987-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,1352500000.0,1352500000.0,1352500000.0,,,,,,,,,,,,,345832000.0,,,,,,,,,,,,,,0.27,,,,86700000.0,,,,,345832000.0,,,
1987-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,,,,,,,,,,1285500000.0,1285500000.0,1285500000.0,,,,,,,,,,,,,345832000.0,,,,,,,,,,,,,,0.225,,,,57600000.0,,,,,345832000.0,,,
1987-12-31,,,,,3900000.0,1638900000.0,,-632900000.0,,1210400000.0,,,,,791000000.0,,,1283800000.0,,,5343600000.0,739300000.0,3169200000.0,,,10500000.0,10500000.0,,,,,,,,,-3609500000.0,-3609500000.0,1382500000.0,,,,,,3036400000.0,,1287700000.0,1423900000.0,,,2174400000.0,,,1672100000.0,,,2307200000.0,,,,,,,1485800000.0,,,,262900000.0,,55300000.0,,180300000.0,,1748700000.0,,,,
1988-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,1334000000.0,1334000000.0,1334000000.0,,,,,,,,,,,,,357604000.0,,,,,,,,,,,,,,0.19,,,,68400000.0,,,,,357604000.0,,,
1988-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.195,,,,,,,,,,,1810700000.0,1810700000.0,1810700000.0,,,,,,,,,,,,,356408000.0,,,,,,,,,,,,,,0.195,,,,68900000.0,,,,,356408000.0,,,
1988-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,1736200000.0,1736200000.0,1736200000.0,,,,,,,,,,,,,356408000.0,,,,,,,,,,,,,,0.18,,,,62800000.0,,,,,356408000.0,,,
1988-12-31,,,,,,922100000.0,,-869300000.0,,1231700000.0,,,,,960300000.0,,,,,,12554100000.0,1116400000.0,2998800000.0,,,2895400000.0,2895400000.0,,,,,,,,,-3636200000.0,-3636200000.0,1917900000.0,,,,,,10192900000.0,,516600000.0,1829600000.0,,,9555300000.0,,,1819400000.0,,,2361200000.0,,,,,,,5867800000.0,,,,3808500000.0,,72000000.0,,0.0,,9676300000.0,,,,
1989-03-31,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,1824900000.0,1824900000.0,1824900000.0,,,,,,,,,,,,,339824000.0,,,,,,,,,,,,,,0.185,,,,63300000.0,,,,,339824000.0,,,
1989-06-30,,,,,,,,,,,,,,,,,,,,,,,,,0.195,,,,,,,,,,,1847300000.0,1847300000.0,1847300000.0,,,,,,,,,,,,,339824000.0,,,,,,,,,,,,,,0.195,,,,68800000.0,,,,,339824000.0,,,
1989-09-30,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,1734800000.0,1734800000.0,1734800000.0,,,,,,,,,,,,,355240000.0,,,,,,,,,,,,,,0.165,,,,59500000.0,,,,,355240000.0,,,
1989-12-31,,,,,,1277800000.0,,-1003400000.0,350600000.0,1320800000.0,,,,,1011300000.0,,,1207500000.0,,,13790400000.0,1083300000.0,3372400000.0,,,29300000.0,29300000.0,,,503500000.0,,21700000.0,,,,-5271400000.0,-5271400000.0,1025300000.0,,,,,,11243300000.0,,1711000000.0,2014700000.0,,,10418000000.0,,,1989200000.0,,,2547100000.0,,,,,,,6617300000.0,,,,2564400000.0,,86600000.0,,3079600000.0,,9532300000.0,,,,
1990-03-31,188200000.0,,-49200000.0,222800000.0,,1327000000.0,600000.0,-1003400000.0,321100000.0,1372400000.0,-232900000.0,-16500000.0,-25300000.0,39400000.0,1013900000.0,105600000.0,,1215000000.0,,,14144700000.0,1073800000.0,3414700000.0,-74500000.0,0.185,12800000.0,12800000.0,137500000.0,57500000.0,498700000.0,,21300000.0,29300000.0,,-237500000.0,584200000.0,526700000.0,1883900000.0,924300000.0,-213700000.0,0.0,,66200000.0,11552500000.0,85400000.0,1713700000.0,2017300000.0,-22600000.0,,10730000000.0,357837838.0,,2032800000.0,-268300000.0,5800000.0,2592200000.0,,,959600000.0,,-67100000.0,397600000.0,6849000000.0,-51600000.0,0.185,,2668700000.0,340100000.0,66200000.0,66200000.0,3239000000.0,,9838800000.0,357837838.0,,,
1990-06-30,192900000.0,,-43600000.0,76700000.0,,1328700000.0,-700000.0,-1003400000.0,315700000.0,1361200000.0,-246600000.0,20200000.0,291300000.0,44300000.0,1013200000.0,116400000.0,,1192900000.0,,,14401300000.0,1064200000.0,3406100000.0,247700000.0,0.2,33000000.0,33000000.0,105600000.0,52600000.0,532700000.0,,21100000.0,0.0,,-160200000.0,611000000.0,555900000.0,1989100000.0,960600000.0,-348000000.0,0.0,,72100000.0,11769600000.0,98800000.0,1725600000.0,2016600000.0,-22400000.0,,10995200000.0,360500000.0,,2082500000.0,26300000.0,8700000.0,2631700000.0,,,1028500000.0,,-252100000.0,404700000.0,6979900000.0,11200000.0,0.2,,2748400000.0,349600000.0,72100000.0,72100000.0,3301900000.0,,10044000000.0,360500000.0,,,
1990-09-30,195900000.0,,-42000000.0,91900000.0,,1375300000.0,1000000.0,-1003400000.0,325100000.0,1376800000.0,-242200000.0,5000000.0,206700000.0,40300000.0,991800000.0,106900000.0,,1190900000.0,,,14704200000.0,1054700000.0,3421800000.0,164700000.0,0.19,38000000.0,38000000.0,160100000.0,55600000.0,532700000.0,,20800000.0,0.0,,-218700000.0,600600000.0,545000000.0,1899300000.0,938400000.0,-294500000.0,0.0,,66600000.0,12051800000.0,67300000.0,1723600000.0,1995200000.0,-21900000.0,-38500000.0,11282400000.0,350526316.0,,2127200000.0,-22300000.0,1300000.0,2652400000.0,,,960900000.0,,-198300000.0,393400000.0,7182100000.0,-15600000.0,0.19,,2821000000.0,338200000.0,66600000.0,66600000.0,3364200000.0,,10328200000.0,350526316.0,,,
1990-12-31,197600000.0,,-56400000.0,51600000.0,,1453500000.0,10800000.0,-1123700000.0,328700000.0,1294200000.0,-248400000.0,28400000.0,304500000.0,52200000.0,1000700000.0,130300000.0,,1237800000.0,,,14891500000.0,1045200000.0,3499400000.0,248100000.0,,66400000.0,66400000.0,157000000.0,54300000.0,521900000.0,,20600000.0,0.0,,-162700000.0,630600000.0,576300000.0,2145300000.0,946300000.0,-327400000.0,0.0,,76800000.0,12229100000.0,132300000.0,1759700000.0,2124400000.0,-21500000.0,-32000000.0,11392100000.0,,,2183800000.0,16000000.0,-24300000.0,2662400000.0,,,1199000000.0,,-269200000.0,370000000.0,7244300000.0,82600000.0,,,2896400000.0,315700000.0,78100000.0,78100000.0,3348100000.0,,10469400000.0,,,,
1991-03-31,193700000.0,,-37300000.0,279500000.0,,1495700000.0,19300000.0,-1123700000.0,289000000.0,1365300000.0,-251200000.0,-23900000.0,-34400000.0,45900000.0,1000600000.0,112300000.0,,1234800000.0,,,15161100000.0,1035600000.0,3531900000.0,-71700000.0,0.19,42500000.0,42500000.0,179300000.0,53700000.0,478700000.0,,20200000.0,66400000.0,,-287700000.0,610900000.0,557200000.0,1908700000.0,946600000.0,-268600000.0,0.0,,66400000.0,12441500000.0,112100000.0,1713500000.0,2124300000.0,-21600000.0,,11629200000.0,349473684.0,,2228600000.0,-303400000.0,-1200000.0,2719600000.0,,,962100000.0,,-125600000.0,389400000.0,7445100000.0,-71100000.0,0.19,,2993900000.0,335700000.0,66400000.0,66400000.0,3463200000.0,,10728000000.0,349473684.0,,,
