date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyCurrentAssets,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyOtherShortTermInvestments,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyOtherCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyCurrentDebt,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2007-12-31,363532748000,7319777000.0,,,8873574000.0,,30098768000,2656719000.0,13652000000.0,,-2189522000.0,,40087852000,5130255000,11383000.0,393978660000,108929597000.0,,3935918000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,362572000000,7899000000.0,,,29564000000.0,,33741000000,,,,,,26888000000,7899000000,2756000000.0,396660000000,,,4177000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,382769000000,9800000000.0,333000000.0,,5339000000.0,1863000000.0,32146000000,2705000000.0,11036000000.0,,-2493000000.0,77000000.0,34783000000,7307000000,29000000.0,415254000000,124718000000.0,,4183000000,17702000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,377939000000,11017000000.0,,,28957000000.0,,33561000000,,,,,,33799000000,11017000000,4110000000.0,411857000000,,,4604000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,394559000000,12245000000.0,,,6993000000.0,,35165000000,2738000000.0,,,-2873000000.0,,58698000000,9372000000,1397000000.0,434082000000,97696000000.0,,4623000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,431940000000,,,,27408000000.0,,41775000000,,,,,,55431000000,11574000000,4161000000.0,478102000000,27479000000.0,,5079000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,485550000000,13191000000.0,618000000.0,,8841000000.0,2206000000.0,44243000000,2822000000.0,17643000000.0,,-3351000000.0,214000000.0,90651000000,9840000000,1366000000.0,534193000000,106529000000.0,,5105000000,20966000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,547994000000,,,,31963000000.0,,46513000000,,,,,,55146000000,12519000000,4249000000.0,598942000000,55910000000.0,,5147000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,559358000000,13554000000.0,473000000.0,,10768000000.0,3136000000.0,47616000000,2882000000.0,23134000000.0,,-3855000000.0,461000000.0,112403000000,9699000000,1333000000.0,611402000000,133857000000.0,,5190000000,19621000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,586601000000,16339000000.0,,,45150000000.0,,50400000000,,,,-4069000000.0,,133894000000,12270000000,4039000000.0,641487000000,123289000000.0,,5250000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
