date,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyGoodwill,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable
1996-11-30,4185230,0,,-101525584,,-26866478.0,27271500.0,,71148913,43877413,,-29296612,1655326043,0.00337,-4455245.0,,203861212,,982179020.0,,163899014,64803564,165654111,44552451.0,1302551640,,21736195.0,,,94505198,,1491427029,71148913,,-23086270,-49277710.0,-12150668,571891454,4185230,,-213041717.0,,-2295126.0,-2295126.0,144322938.0,,,1485082,27271500,769137303,1287835831,0.00337,37397057.0,31591738,280012000.0,93965168,106115836,31321723.0,135007.0,-10665586,,-52247874,22951262,34156878.0,2227892534,-675037.0,2163088970,,,15255839,-17550965,,92345079.0,,280012000.0,,
1997-02-28,3966083,0,,-81871571,,8950723.0,27433095.0,,70979212,43490153,,-19664001,1703364333,0.003418,3224392.0,,205415755,,1025574398.0,,161925602,56892779,167532823,43626914.0,1350519694,,18462801.0,,,96553611,,1541438731,70979212,,0,-20470649.0,3966083,573440919,3966083,,-215809628.0,,-4102845.0,-4102845.0,147292123.0,,,8205689,27489059,809764770,1298550328,0.003418,37335886.0,31318381,280012000.0,37599383,112417944,133419.0,-2596714.0,12171772,,-62084730,42420729,35968272.0,2277625821,-8770.0,2220733042,,,-1716452,0,,88621444.0,,280012000.0,,
1997-05-31,4268796,0,,-90218929,120754.0,33338504.0,27641866.0,,76287524,48609198,,16187273,1773065271,0.003448,6188165.0,,209859543,,1059212338.0,,222665932,49435417,176948499,40622418.0,1356375654,,14321123.0,,,100660975,,1550399339,76287524,,-1,-35181413.0,4268796,577802258,4268796,,-217295511.0,,-7435968.0,-7435968.0,153401267.0,,,8950702,27678326,841916827,1293996144,0.003448,70228587.0,35389700,280012000.0,16328591,166483063,-58832.0,0.0,13219498,,-54353708,70540981,44753511.0,2351831451,-2207959.0,2302396034,,,-3349357,0,,107683834.0,,280012000.0,,
1997-08-31,4128742,0,,-124690177,-2518133.0,10399825.0,35521094.0,,83561509,48040415,,-129617,1849229488,,6565665.0,,211439678,,1172566986.0,,240177704,41649313,178134279,39983341.0,1408024434,,16937387.0,,,94572770,,1609051784,83561509,,1337649,-66387734.0,4133349,579341941,4128742,,-293211162.0,,-20824656.0,-20824656.0,161044009.0,,,8204471,35521094,879355824,1294599472,,70248508.0,37040245,,52995377,213660975,-20494.0,-138831.0,12337820,,-58302443,58172826,53172289.0,2429265584,115145.0,2387616271,,,-13521975,0,,116756907.0,,,,
1997-11-30,6404782,0,,-74722459,,-43267863.0,36293766.0,,85254768,48961002,,-42413891,1825789924,0.003558,8255053.0,,217762596,,1201964134.0,,212496442,272701395,191858810,39709651.0,1401793339,,14944492.0,,,106604042,,1613293482,85254768,,1423285,-24765158.0,6404782,877597495,6404782,,-300597780.0,,190435525.0,190435525.0,171790492.0,,,9962995,36293766,901366354,1290065471,0.003558,70167948.0,33874182,280064000.0,278536863,239965841,288499858.0,142328.0,16367777,,-49957301,7543410,35155138.0,2704099061,,2431397666,,,211357814,-20922289,295900939.0,107173356.0,,280064000.0,,
1998-02-28,-2414087,0,,-17296854,,5494503.0,37548892.0,,73334180,35785288,,-26600594,2001704061,-0.005338,4383402.0,,210735586,,1263135473.0,,259585345,256177222,188866799,37631354.0,1528969043,,50553819.0,,,115592161,,1742118716,73274638,,568020,51320114.0,-2414087,870065322,-2414087,,-299914797.0,,129508662.0,129508662.0,175518319.0,,14626527.0,6390230,37489350,963220676,1305026981,-0.005338,70292531.0,35785288,280132000.0,-85693921,359414939,-797501.0,-284333.0,3976143,,-68616968,42016374,35359272.0,2883839818,,2627662596,,,-60974400,0,295938654.0,153933542.0,,280132000.0,,
1998-05-31,10196650,0,,-607470855,-4782149.0,2522084.0,37155157.0,,86681741,49526584,,-12267380,1964894391,0.007275,14164167.0,,216314639,,1280990531.0,,199563001,93663511,200436999,35688274.0,1539985433,,20830299.0,,,113765477,,1765331391,86671522,,11507647,-544253427.0,10196650,1158048070,10196650,,-307647487.0,,21849964.0,21849964.0,189657684.0,,,15877640,37144938,973343044,1280990532,0.007275,35251275.0,34814275,327520000.0,448817655,775819374,282436026.0,287672.0,26074290,,-63217428,50950048,34377276.0,3123816460,,3030152950,,,-107703152,0,295848507.0,129934450.0,,327520000.0,,
1998-08-31,-772405,0,,240077387,-5133660.0,-19545395.0,50094978.0,,84722511,34627533,,-172133114,1784738577,,28308070.0,,210394096,,1339456743.0,,306170513,116815827,202587483,33129219.0,1225310096,,35170357.0,,,117864972,,1478568064,84722511,,55851673,144798487.0,-772405,1415606846,-772405,,-342125922.0,,21981473.0,21981473.0,220128749.0,,,39247506,50094978,997330821,1304914429,,121997174.0,30597565,,-268132571,782069399,-32377353.0,-145668.0,38475101,,-200371908,28238794,37682524.0,3201130476,,3084314649,,,183610,0,,146490815.0,,,,
1998-11-30,-8587640,0,,-63027143,-6900782.0,-35730716.0,46925318.0,-2300261.0,94924091,47998773,,-44165006,1832694372,-0.01147,6747431.0,,194755406,,1359300721.0,,153044012,118693452,213157491,271277411.0,1408372949,,110259163.0,,,118233400,,1679650360,94924091,,-13494863,-11808005.0,-8587640,1410979911,-8587640,,-334151204.0,,8434289.0,8434289.0,,,,11041251,46925318,1025149517,1288912743,-0.01147,,32203650,330256000.0,27296427,810918571,,0.0,2453611,,-66400859,22235853,,3243674283,,3124980831,,766754.0,-13494863,22082503,,,,330256000.0,,
1999-02-28,30655391,0,,-139328641,-8502419.0,13078948.0,46852997.0,-76829911.0,93213613,46360616,,14868720,1945182724,0.01887,9863865.0,,217003926,,1381304742.0,,187405618,127453941,216399879,273482332.0,1484294775,,108879492.0,,,123225612,,1757777107,93174267,,26125038,-1481032.0,30655391,1433252794,30655391,,-329054666.0,,18574449.0,18574449.0,,,,10117789,46813651,1052250076,1284204168,0.01887,,31712474,335028000.0,74334500,914527333,,-1.0,40773180,,-60298024,75166744,,3378435518,,3250981577,,,10021592,0,,,,335028000.0,,
