date,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyCommonStockIssuance,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1984-03-31,,,,,51500000,,134712000.0,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,134712000.0,,,,,,,,,,,617300000,,,,,,,,,,,,,,,,,0.33,,,617300000,617300000,,,,,
1984-06-30,,,,,33300000,,134712000.0,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,134712000.0,,,,,,,,,,,453400000,,,,,,,,,,,,,,,,,0.19,,,453400000,453400000,,,,,
1984-09-30,,,,,27000000,,135920000.0,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,135920000.0,,,,,,,,,,,417800000,,,,,,,,,,,,,,,,,0.14,,,417800000,417800000,,,,,
1984-12-31,,,,,28700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512600000,,,,,,,,,,,,,,,,,,,,512600000,512600000,,,,,
1985-03-31,,,,,33100000,,139034000.0,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,139034000.0,,,,,,,,,,,604900000,,,,,,,,,,,,,,,,,0.19,,,604900000,604900000,,,,,
1985-06-30,,,,,18100000,,140542000.0,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,140542000.0,,,,,,,,,,,389800000,,,,,,,,,,,,,,,,,0.08,,,389800000,389800000,,,,,
1985-09-30,,,,,22700000,,142100000.0,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,142100000.0,,,,,,,,,,,391000000,,,,,,,,,,,,,,,,,0.11,,,391000000,391000000,,,,,
1985-12-31,,,,,33200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522800000,,,,,,,,,,,,,,,,,,,,522800000,522800000,,,,,
1986-03-31,,,,,34300000,,146090000.0,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,146090000.0,,,,,,,,,,,539500000,,,,,,,,,,,,,,,,,0.19,,,539500000,539500000,,,,,
1986-06-30,,,,,16200000,,146090000.0,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,146090000.0,,,,,,,,,,,365800000,,,,,,,,,,,,,,,,,0.07,,,365800000,365800000,,,,,
1986-09-30,,,,,-86700000,,146258000.0,,,,,,,,,,,,,,,,,,-0.59,,,,,,,,,,,,,,,146258000.0,,,,,,,,,,,321800000,,,,,,,,,,,,,,,,,-0.59,,,321800000,321800000,,,,,
