date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyInventory,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyOtherIntangibleAssets,quarterlyGoodwill
1984-03-31,,,,,,,,,1522000.0,14400000,14400000,,0.35,,,,,,1522000.0,600000,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,14400000,,,,,,,,,
1984-06-30,,,,,,,,,1522000.0,11200000,11200000,,0.22,,,,,,1522000.0,300000,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,11200000,,,,,,,,,
1984-09-30,,,,,,,,,1522000.0,14400000,14400000,,0.35,,,,,,1522000.0,600000,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,14400000,,,,,,,,,
1984-12-31,,,,,,,,,,13500000,13500000,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500000,,,,,,,,,
1985-03-31,,,,,,,,,1516000.0,14600000,14600000,,0.32,,,,,,1516000.0,500000,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,14600000,,,,,,,,,
1985-06-30,,,,,,,,,1516000.0,10800000,10800000,,0.49,,,,,,1516000.0,800000,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,10800000,,,,,,,,,
1985-09-30,,,,,,,,,1516000.0,14600000,14600000,,0.32,,,,,,1516000.0,500000,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,14600000,,,,,,,,,
1985-12-31,,,,,,,,,,14200000,14200000,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14200000,,,,,,,,,
1986-03-31,,,,,,,,,1518000.0,16000000,16000000,,0.47,,,,,,1518000.0,700000,,,,,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,16000000,,,,,,,,,
1986-06-30,,,,,,,,,1520000.0,11700000,11700000,,0.35,,,,,,1520000.0,600000,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,11700000,,,,,,,,,
1986-09-30,,,,,,,,,1522000.0,13300000,13300000,,0.32,,,,,,1522000.0,500000,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,13300000,,,,,,,,,
1986-12-31,,,,,,,,,,13900000,13900000,,,,,,,,,600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13900000,,,,,,,,,
1987-03-31,,,,,,,,,1528000.0,18200000,18200000,,0.57,,,,,,1528000.0,900000,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,18200000,,,,,,,,,
1987-06-30,,,,,,,,,1530000.0,15400000,15400000,,0.35,,,,,,1530000.0,600000,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,15400000,,,,,,,,,
1987-09-30,,,,,,,,,1532000.0,15600000,15600000,,0.27,,,,,,1532000.0,500000,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,15600000,,,,,,,,,
1987-12-31,,,,,,,,,,16900000,16900000,,,,,,,,,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16900000,,,,,,,,,
1988-03-31,,,,,,,,,1534000.0,18800000,18800000,,0.52,,,,,,1534000.0,800000,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,18800000,,,,,,,,,
1988-06-30,,,,,,,,,1538000.0,16900000,16900000,,0.37,,,,,,1538000.0,600000,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,16900000,,,,,,,,,
1988-09-30,,,,,,,,,1542000.0,19000000,19000000,,0.39,,,,,,1542000.0,600000,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,19000000,,,,,,,,,
1988-12-31,,,,,,,,,,18600000,18600000,,,,,,,,,700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18600000,,,,,,,,,
