date,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyResearchAndDevelopment
1988-09-30,,,,,,,,,0.081507,,928180187.0,928180187.0,,,,,,,,36134637.0,,,,,,,,415622000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.081507,,,,,,,,,,,,,,,,,415622000.0,,,,,928180187.0,
1988-12-31,,,471023125.0,418278125.0,,,2192599375.0,226392500.0,,,-2394769146.0,619402104.0,,2663622500.0,3998002500.0,3579724375.0,,214062500.0,,45715656.0,59509375.0,1334380000.0,,,,,,,,,,,106945625.0,189659375.0,1788877500.0,,,,,171250.0,,171250.0,,,,,1010118125.0,,,,,127153125.0,,,,56255625.0,2513350625.0,-477958750.0,,,,,1488076875.0,,,,,,,,,343870000.0,,,,-2394769146.0,
1989-03-31,,,,,,,,,0.018172,,781015368.0,781015368.0,,,,,,,,12265830.0,,,,,,,,393300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.018172,,,,,,,,,,,,,,,,,393300000.0,,,,,781015368.0,
1989-06-30,,,,,,,,,0.084922,,1027086830.0,1027086830.0,,,,,,,,36610904.0,,,,,,,,391135000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.084922,,,,,,,,,,,,,,,,,391135000.0,,,,,1027086830.0,
1989-09-30,,,731626200.0,458014320.0,294554340.0,,1907305080.0,239705040.0,0.018132,,69898860.0,926635860.0,7524780.0,2638931280.0,4263739800.0,3805725480.0,,-90660.0,11513820.0,11513820.0,67995000.0,1624808520.0,511775700.0,,,,,415000000.0,414860160.0,,,,126198720.0,262460700.0,1644935040.0,344961300.0,,271980.0,,1269240.0,,1269240.0,15321540.0,,,26835360.0,1124909280.0,226650000.0,,43426140.0,,388478100.0,,0.018132,,56662500.0,2624153700.0,-506064120.0,,,,,1630973400.0,,,,343148100.0,,,,415000000.0,0.0,,,,120305820.0,
1989-12-31,,,839184367.0,415674698.0,197780676.0,,1942483079.0,262176664.0,,,38770307.0,577691633.0,-1255115.0,2781667446.0,3986483793.0,3570809095.0,-16953420.0,239261480.0,1476099.0,1476099.0,49452989.0,1204816347.0,302427680.0,,,,,,275263953.0,150314280.0,0.0,,107751913.0,224181267.0,1479040332.0,236493646.0,,1286800.0,,8171959.0,,8171959.0,1375514.0,,,2851613.0,1083669161.0,,0.0,37205494.0,,462853018.0,,,,61753051.0,2425386883.0,-561085020.0,,-189298080.0,,,1644754181.0,,,,,,,,,376331349.0,,,,77483277.0,
1990-03-31,-4475034.0,-4143550.0,617637563.0,426205553.0,257977423.0,48479535.0,1924430362.0,260463553.0,0.008287,,53949021.0,751142744.0,3149098.0,2542067925.0,3913168620.0,3486963067.0,-15994103.0,0.0,6629680.0,6629680.0,55109215.0,1371100695.0,390736765.0,,,,-994452.0,380000000.0,360405979.0,-21463589.0,0.0,,119582853.0,254496841.0,1669933521.0,306456958.0,,82871.0,,8204229.0,,8204229.0,6878293.0,,,13507973.0,1059754348.0,207177500.0,8038487.0,40441048.0,-30082173.0,275214591.0,7458390.0,0.008287,,56849506.0,2370359213.0,-551920860.0,0.0,14088070.0,165742.0,-26270107.0,1611675208.0,,,5883841.0,342422972.0,,-42429952.0,,380000000.0,0.0,2486130.0,,,102428556.0,
1990-06-30,-7015322.0,-4676512.0,772443228.0,521192838.0,296645388.0,45951771.0,1959753042.0,294298766.0,0.113285,,84478392.0,910246582.0,41430016.0,2732196270.0,4087815524.0,3566622686.0,24409575.0,242754.0,44747654.0,44747654.0,78895050.0,1355619254.0,482028526.0,,,,-192399568.0,365714286.0,428218056.0,-169098301.0,0.0,,120001394.0,284993196.0,1674517092.0,343739664.0,,42724704.0,,42077360.0,,42077360.0,43048376.0,,,87796030.0,1043275774.0,202295000.0,0.0,39326148.0,-46789927.0,384360500.0,132044242.0,0.113285,,54700568.0,2468646344.0,-538913880.0,0.0,71199502.0,34062572.0,-25112823.0,1582189654.0,,,34979749.0,388082728.0,,-1589440.0,,365714286.0,0.0,2449868.0,,,131572668.0,
1990-09-30,2385716.0,-3774690.0,828142880.0,419344544.0,261075552.0,38799926.0,1682461600.0,285961568.0,0.030349,,69650496.0,809781856.0,11380800.0,2510604480.0,3755664000.0,3336319456.0,24968208.0,34521760.0,14415680.0,14415680.0,80727808.0,1245059520.0,434367200.0,,,,12059940.0,375000000.0,375414656.0,-16568670.0,0.0,,111987072.0,250529344.0,1397410496.0,305764160.0,,-910464.0,,10622080.0,,10622080.0,14036320.0,,,28452000.0,981480192.0,189680000.0,0.0,40288032.0,-26465564.0,515246752.0,-65830920.0,0.030349,,52275808.0,2302563456.0,-537097888.0,0.0,51433772.0,-30965818.0,-33897198.0,1518578080.0,,,11336346.0,312896128.0,,-14098560.0,,375000000.0,0.0,1740738.0,,,114339104.0,
1990-12-31,5309940.0,-3751648.0,769740300.0,361445175.0,209166860.0,38624893.0,1707104175.0,278910450.0,,,39428936.0,592841708.0,3077453.0,2476844475.0,3663782850.0,3302337675.0,19815095.0,32181975.0,5715994.0,5715994.0,50717625.0,1186938375.0,305621019.0,,,,-14165945.0,,287220689.0,-100532040.0,0.0,,93772875.0,244466250.0,1430455950.0,247791753.0,,6302435.0,,364875.0,,364875.0,5563700.0,,,11279694.0,1001727825.0,182437500.0,0.0,34454574.0,-85813536.0,420773850.0,-14999812.0,,,77134575.0,2223475275.0,-528266025.0,0.0,105628631.0,-9976196.0,-12798272.0,1529993850.0,,,3479989.0,348966450.0,,53666477.0,,,0.0,328864.0,,,78053829.0,
