date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyAccumulatedDepreciation
1994-06-30,,,,,,215294794,,,,,,,,270969411,,981400539,,,,2592710317,,1196695333,,,,,,900000000,,,,,,,386158476,,,,,,270969411,,1396014984,981400539,,,155163117,,2206551841,,,,,,,,,115189065.0,,,1396014984,115189065,,,,,,,,,,,,,,,
1994-12-31,194685000.0,,,,,237756000,,320218000.0,,,,,,158353000,,1099156000,,1055000.0,,2698116000,,1336912000,,713483000.0,712428000.0,,109702000.0,900000000,,,,,,,741638000,,,,,,527987000,,1361204000,1099156000,,,101002000,,1956478000,,114665000.0,,65917000.0,,,,,147734000.0,,,212838000,213651000,,,,,,,,,,,,,,,
1995-06-30,,,,,,35888186,,,,,,,,480066196,,1145266959,,,,2739917554,187700520.0,1368855665,,,,,,900000000,,,,,,,714030048,,,,,,480066196,,1371061889,1145266959,,,170391692,,2025887506,,,,,,,,,233963852.0,,,1371061889,233963852,,,,,,,,,,,,,,,
1995-12-31,282757379.0,,,,,12018612,,399263648.0,,,,,,20570000,,1167740191,,200050.0,,2885426091,185100303.0,1386210893,,741938924.0,741738874.0,,148778649.0,900000000,,,,,,,860777400,,,,,,666331811,,1499215198,1167740191,,,141138601,,2024648691,,191362169.0,,83027379.0,,,,,111418210.0,,,-572911,194445589,,,,,,,,,,,,,,,
1996-06-30,,,,,,255722488,,,,,,,,736646141,,1370992434,,,,3176797956,,1626714922,,,,,,900000000,,,,,,,1010896353,,,,,,736646141,,1550083034,1370992434,,,218129063,,2101669153,,,,,,,,,274250212.0,,,1550083034,274250212,,,,,,,,,,,,,,,
1996-12-31,533407400.0,,,,,27619891,,349094657.0,,,,,,38464997,,1502916256,,10050.0,,3244171733,221267920.0,1751804067,,671415778.0,671405728.0,,109440930.0,900000000,,,,,,,1090059169,,,,,,893871565,,1492367666,1502916256,,,197322679,,2097554978,,230618129.0,,127215485.0,,,,,68972119.0,,,-677965,196187604,,,,,,,,,,,,,,,
1997-06-30,,,,,,255060660,,,,,,,,1134180097,,1566447556,,,,3525788659,,1821508216,,,,,,900000000,,,,,,,1313988742,,,,,,1134180097,,1704280443,1566447556,,,259005804,,2159482841,,,,,,,,,179808645.0,,,1704280443,179808645,,,,,,,,,,,,,,,
1997-12-31,849798700.0,,,,,268761096,,365995384.0,,,,,,38058487,,1582481310,,94280.0,,3885463586,215741876.0,2066984282,,737792804.0,737698524.0,,305416535.0,900000000,,,,,,,1627615743,,,,,,1455274387,,1818479304,1582481310,,,279104051,,2200326433,,392088959.0,,144083427.0,,,,,28257929.0,,,19060954,172341356,,,,,,,,,,,,,,,
1998-06-30,1038420715.0,,,,,8931001,,461017990.0,,,,,,78292572,,1683951551,,94280.0,,4256451515,225973453.0,2161943743,,868171967.0,868077687.0,,420298836.0,900000000,,,,,,,2006499878,,,,,,1848618856,,2094507772,1683951551,,,262253597,,2183475978,,500728936.0,,151307130.0,,,,,6573892.0,,,-79862162,157881022,,,,,,,,,,,,,,,
1998-12-31,814579804.0,,,,,44474673,,359845778.0,,,,,,65252372,,1735037327,,0.0,,3931838740,228667850.0,2212148834,,617779169.0,617779169.0,,285040137.0,900000000,,,,,,,1610419278,,,,,,1376629415,,1719689906,1735037327,,,307360597,,2247534986,,504766493.0,,247418566.0,,,,,-13628703.0,,,-89121723,233789863,,,,,,,,,,,,,,,
1999-06-30,1160805881.0,,,,,44736030,,381955144.0,,,,,,25427279,,2588482650,,,,4687273817,255580127.0,2946227220,,664791660.0,664791660.0,,290949005.0,900000000,,,,,,,2140003600,,,,,,1849833005,,1741046597,2588482650,,,366424211,,2306598602,,518380911.0,,303290916.0,,,,,-13120321.0,,,-132787630,290170595,,,,,,,,,,,,,,,
1999-12-31,1416321290.0,,,,,65732170,,416769861.0,,,,,,55552722,,3044099956,,0.0,,5172518356,321591494.0,3501159499,,605287249.0,605287249.0,,343248101.0,900000000,,,,,,,2643095905,,,,,,2393668230,,1671358857,3044099956,,,281816232,,2247007213,,494639478.0,,271492415.0,,,,,-22064740.0,,,-125807931,249427675,,,,,,,,,,,,,,,
2000-06-30,1835299620.0,,,,,42818803,,604024609.0,,,,,,62931439,,3428558065,,,,5895245030,330834710.0,3858261727,,699014997.0,699014997.0,,386400371.0,900000000,,,,,,,3217564016,,,,,,2966560455,,2036983303,3428558065,,,344692484,,2310078211,,491833494.0,,276692708.0,,,,,-25689147.0,,,-124524345,251003561,,,,,,,,,,,,,,,
2000-12-31,1979367680.0,,,,,76350708,,731951543.0,,,,,,80088877,,4412824980,,0.0,,6995231025,484336555.0,4761677291,,789195199.0,789195199.0,,387480462.0,900000000,,,,,,,4234254902,,,,,,3461507469,,2233553734,4412824980,,,243120432,,2235378634,,382921919.0,,728243568.0,,,,,-22194515.0,,,-125395034,772747433,,,,,,,,,,,,,,,
2001-06-30,2219802577.0,,,,,32365354,,952887359.0,,,,,,97778146,,5231539616,,0.0,,8490085085,671702749.0,5705024392,,951815347.0,951815347.0,,737294457.0,1000000000,,,,,,,4713829696,,,,,,4305143478,,2785060693,5231539616,,,289769667,,3041771117,,484105857.0,,329449973.0,,,,,734484272.0,,,-243955106,408686218,,,,,,,,,,,,,,,
2001-12-31,2496232770.0,,,,,105099670,,1044561742.0,,,,,,134462448,,5370551327,,0.0,,8243838412,684035518.0,6040827661,,570326922.0,570326922.0,,750956847.0,1000000000,,,,,,,4601685314,,,,,,4341835512,,2203010751,5370551327,,,179964360,,2964914586,,322576568.0,,203348432.0,,,,,677238512.0,,,-206995213,259849802,,,,,,,,,,,,,,,
