date,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue
1997-03-31,,869100000,,,225700000,506900000,1385600000,44100000,4000000,114285714.0,19600000,124000000,4000000,599100000,92200000,0,-4200000,8800000,,10600000.0,0,,839200000,49500000,,4000000,,300000,28600000,162400000,0.035,143600000,,,700000.0,114285714.0,546400000,540400000,1000000.0,42000000,1000000.0,,67900000,67900000,214700000.0,128600000.0,,38400000,,0.035,-5900000,388100000,-298600000.0,-19900000,240100000,577800000.0,8400000,,,516500000,-8000000.0,26000000,50000000,,18800000,16600000.0,-4000000,,8200000,279200000,4400000,-623900000,,,,,
1997-06-30,,873700000,,,226400000,499200000,1397200000,23400000,8100000,115714286.0,19200000,127900000,8100000,584500000,85300000,0,-22400000,16500000,,10500000.0,-100000,,836000000,48800000,,8100000,,-1200000,27900000,175100000,0.07,147100000,,,-15600000.0,115714286.0,561200000,551800000,300000.0,0,1000000.0,,75800000,75800000,210100000.0,131800000.0,,47200000,,0.07,-7100000,401500000,-309300000.0,-200000,251500000,582400000.0,16500000,,,523500000,10100000.0,7900000,30500000,,28000000,24900000.0,-37800000,,-2100000,273100000,8400000,-615800000,,,,,
1997-09-30,,868300000,,,216300000,491000000,1421700000,48800000,3000000,120000000.0,19000000,119700000,3000000,576100000,85100000,0,-8500000,24400000,,10400000.0,-19100000,,855100000,64900000,,3000000,,-2000000,29200000,157300000,0.025,138700000,,,100000.0,120000000.0,566600000,535500000,0.0,0,1000000.0,,124500000,124500000,233000000.0,128600000.0,,37600000,,0.025,-8600000,373600000,-317700000.0,-100000,279000000,585600000.0,6300000,,,553400000,-4700000.0,48600000,57400000,,18600000,21600000.0,9900000,,2800000,267900000,3300000,-612900000,,,,,
1997-12-31,,829000000,,,207100000,482200000,1400900000,13200000,-37400000,,18600000,130600000,-37400000,564100000,81900000,0,0,32600000,,9500000.0,19200000,,859200000,65000000,,-37400000,,-49900000,30400000,158300000,,149200000,0.0,,14800000.0,,541700000,513800000,0.0,0,1000000.0,,161700000,161700000,244900000.0,141400000.0,,27700000,,,-25200000,365400000,-326200000.0,-1300000,295100000,576400000.0,-50200000,,,571900000,2700000.0,37200000,38400000,,9100000,17600000.0,-17900000,,-10000000,250200000,-12800000,-650300000,,,,,
1998-03-31,,822000000,,,206100000,469400000,1403600000,18600000,6600000,120000000.0,17300000,120400000,6600000,552700000,83300000,0,-9800000,37700000,,9100000.0,-100000,,852100000,65700000,,6600000,,-1200000,30000000,161800000,0.055,137700000,,,0.0,120000000.0,551500000,508600000,,161700000,1000000.0,,172600000,172600000,248300000.0,136400000.0,,41400000,,0.055,-10000000,367900000,-335700000.0,-7900000,299400000,583400000.0,13600000,,,581600000,-7900000.0,10900000,28600000,,24100000,13400000.0,-22400000,,9300000,247700000,7000000,-643700000,,,,,
1998-06-30,,813000000,,,206000000,446300000,1364100000,3100000,8900000,118666667.0,17200000,116100000,8900000,525100000,78800000,0,-9700000,42700000,,9000000.0,-4900000,,803500000,63000000,,8900000,,-100000,29200000,160700000,0.0725,133300000,,,-500000.0,122758621.0,560600000,505600000,,0,1000000.0,,152700000,152700000,226100000.0,126000000.0,,44600000,,0.075,-9500000,366700000,-341700000.0,-22800000,278400000,586100000.0,18300000,,,551100000,-5700000.0,-19900000,12600000,,27400000,9600000.0,-34600000,,3800000,244400000,9400000,-634900000,,,,,
1998-09-30,,804500000,,,199200000,423500000,1366200000,54800000,6100000,122000000.0,17200000,122800000,6100000,501400000,77900000,0,-9200000,47100000,,8400000.0,100000,,804800000,62200000,,6100000,,-1100000,29800000,161500000,0.05,140000000,0.0,,-700000.0,122000000.0,561400000,500900000,,0,,,181000000,181000000,243800000.0,114500000.0,,38700000,,0.05,-8500000,360700000,-352200000.0,-25700000,303400000,593600000.0,12100000,,,561700000,13700000.0,28300000,63300000,-7400000.0,21500000,12500000.0,1400000,0.0,1300000,241400000,6000000,-628800000,,,,,
1998-12-31,,782000000,,,202600000,413400000,1360200000,24400000,5400000,,17100000,122200000,5400000,482800000,69400000,0,-11000000,51400000,,6900000.0,2400000,,792300000,46900000,,5400000,,-4500000,31200000,160700000,,139300000,0.0,,-1000000.0,,567900000,494700000,,0,1000000.0,,202900000,202900000,242300000.0,123200000.0,,38500000,,,-12500000,363300000,-349100000.0,-4000000,309500000,589500000.0,10000000,,,578200000,-10800000.0,21900000,36900000,-600000.0,21400000,15800000.0,-800000,0.0,-2100000,240400000,4600000,-623500000,,,,,
1999-03-31,,787600000,,,215600000,360200000,1318200000,10900000,7400000,118400000.0,16500000,127000000,7400000,431700000,71500000,0,-18000000,56400000,,7400000.0,-5200000,,740900000,56500000,,7400000,,-1300000,33000000,166200000,0.06,143500000,,,-6000000.0,123333333.0,577300000,489800000,,202900000,1000000.0,,154200000,154200000,243200000.0,113600000.0,,39200000,,0.0625,-12700000,381800000,-355100000.0,-54300000,309200000,596400000.0,14000000,,,530600000,-5600000.0,-48700000,23600000,-1100000.0,22700000,9600000.0,-28400000,200000.0,11300000,241300000,6600000,-616100000,,,,,
1999-06-30,,785000000,,,214300000,338400000,1312800000,15800000,13100000,119090909.0,16600000,131600000,13100000,401600000,63200000,0,-18000000,61500000,,5000000.0,-700000,,715000000,59100000,,13100000,,-2000000,32900000,179700000,0.1075,148200000,,,-4900000.0,121860465.0,597800000,482800000,,0,1000000.0,,148500000,148500000,239200000.0,121500000.0,,48100000,,0.11,-13200000,394000000,-355400000.0,-16800000,313400000,598500000.0,24500000,,,527800000,5800000.0,-5700000,29000000,0.0,31500000,12700000.0,-23900000,800000.0,-5000000,243100000,11400000,-603100000,,,,,
