date,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyNetPPE,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyChangeInInventory
2018-04-30,,,,-16749000,,-13774000,3149000,,171202000.0,-0.196359,,,19394000,-33617000,-33617000,,43394000,49405000,-190000,0,171202000.0,-302000,192000,2316000.0,-33617000,-7756000,,,,,2600000,20684000.0,,27895000,61009000,63179000,,,,,,,-0.196359,,121000,1719000,,-30155000,,-33496000,,-6393000,5643000,449000,-33114000,,17615000,,-10356000,,47289000,16635000,,,,,,,,,,,,,,,
2018-07-31,,,,-35657000,,66129000,3648000,,171202000.0,-0.192036,,,18575000,-32877000,-32877000,,48590000,115534000,-1852000,-80204000,171202000.0,0,236000,,-32877000,-87117000,,,,,0,,,37126000,67553000,49405000,,,,,,,-0.192036,,362000,2224000,,-28631000,,-32515000,,-28744000,6535000,182171000,-30427000,,18963000,,-6913000,,55701000,-10285000,,,,,,,,,,,,,,,
2018-10-31,,,,-13076000,,-32072000,3837000,,171202000.0,-0.247211,,,22274000,-42323000,-42323000,,60228000,83462000,303000,-55049000,171202000.0,-184000,0,,-42323000,-36486000,,,,,28000000,,,44105000,86196000,115534000,,,,,,,-0.247211,0.0,535000,13460000,,-37951000,0.0,-41788000,,-3639000,7321000,8094000,-42091000,,25968000,,-9437000,,66379000,13137000,,,,,,,,,,,,,,,
2019-01-31,101831000.0,7947000.0,103247000.0,-131000,5776000.0,4946000,4764000,433219000.0,,,51825000.0,92476000.0,26995000,-31260000,-31260000,77143000.0,62687000,88408000,321000,-64082000,,-1445000,0,,-27684000,-10671000,1048000.0,9183000.0,358563000.0,1105000.0,69350000,,98000.0,53460000,84692000,83462000,88408000.0,191655000.0,218700000.0,90000.0,74656000.0,6855000.0,,0.0,349000,3102000,73735000.0,-26147000,,-30911000,-529488000.0,15808000,9241000,-325000,-31232000,4040000.0,22005000,-26688000.0,-15939000,71367000.0,80455000,29813000,100423000.0,281420000.0,331388000.0,,,,,,,,,,,,
2019-04-30,146110000.0,7809000.0,82066000.0,-16110000,10964000.0,4585000,5019000,457361000.0,196688971.0,-0.132071,43868000.0,87355000.0,29273000,-25977000,-25977000,639817000.0,68704000,92993000,394000,-51805000,196688971.0,-2392000,1000,2818000.0,-25977000,4138000,879000.0,13069000.0,942538000.0,1503000.0,73468000,5375000.0,-186000.0,66804000,92579000,88408000,92993000.0,175059000.0,244271000.0,24000.0,-485177000.0,9915000.0,-0.132071,,595000,3752000,86349000.0,-20362000,,-25382000,-521685000.0,1415000,6921000,-882000,-25775000,4667000.0,23875000,-31544000.0,-17525000,70941000.0,96077000,11300000,117893000.0,302721000.0,311251000.0,,,,,,,,,,,,
2019-07-31,166154000.0,7780000.0,94003000.0,-29158000,11897000.0,639815000,5459000,1171586000.0,130091000.0,-0.4,52625000.0,115256000.0,31582000,-51889000,-51889000,101708000.0,95535000,732808000,-451000,-65767000,130091000.0,-1688000,164000,-8715000.0,-51889000,-34392000,738000.0,7881000.0,443489000.0,2397000.0,54319000,-28177000.0,-530000.0,76526000,127165000,92993000,732808000.0,826811000.0,279951000.0,103000.0,728097000.0,1126000.0,-0.4,,635000,29859000,107989000.0,-45631000,,-51254000,-573574000.0,-6214000,8318000,680684000,-50639000,8079000.0,31630000,-36836000.0,-22944000,89811000.0,108108000,-2645000,144825000.0,341781000.0,1005432000.0,,,,,,,,,,,,
2019-10-31,202834000.0,7794000.0,90083000.0,7048000,11570000.0,10797000,5930000,1256054000.0,204096000.0,-0.17,66365000.0,145694000.0,37355000,-35505000,-35505000,123408000.0,90290000,743605000,3579000,-70125000,204096000.0,-1792000,132000,,-35505000,-27262000,637000.0,6639000.0,539012000.0,2606000.0,74450000,,-98000.0,87764000,126282000,732808000,743605000.0,833688000.0,335801000.0,103000.0,717042000.0,5244000.0,-0.17,0.0,434000,21966000,129504000.0,-29009000,0.0,-35071000,-609079000.0,38635000,9179000,-968000,-38518000,8194000.0,35992000,-42680000.0,-31587000,111838000.0,125119000,37027000,172184000.0,415604000.0,1053220000.0,,,,,,,,,,,,
