date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable
2001-06-30,174528000,13185000.0,,,,60937000,412277000,205416000,35850000,31791000.0,,35850000,,,,,,0.31,14971000,,,,35404000,68268000.0,412277000,,25087000,233705000,159557000,,,9691000.0,,4618000,103174000,,,,,,21269000,21269000,,,-190000,31791000,10353000,,13808000,,,134902000.0,144479000,25087000,85367000,11249000.0,,,,21269000,586805000,47443000,47443000,353100000,221000.0,218135000,256000.0,,0.31,68268000.0,,,,,,,
2001-09-30,459428000,16151000.0,13808000.0,-1628000.0,,67332000,-95636000,217983000,42721000,,,54531000,,,-37536000.0,43175000.0,,0.35,282702000,24059000.0,,,39440000,68618000.0,159645000,,24611000,234845000,176726000,0.0,,34146000.0,,7339000,127995000,-181000.0,-14979000.0,,,48049000.0,24059000,24059000,-14002000.0,-4268000.0,383000,32849000,15363000,,15381000,,260000000.0,149081000.0,150651000,24611000,85136000,11088000.0,688000.0,47443000.0,34047000.0,24059000,619073000,43175000,43175000,384228000,406000.0,223384000,3664000.0,11810000.0,0.35,68618000.0,,,,,,,
2001-12-31,485708000,22005000.0,-28775000.0,8173000.0,,69582000,-71490000,232748000,46358000,101987000.0,,59520000,0.0,,-8646000.0,27674000.0,,,263772000,50568000.0,,,42513000,,211865000,,23224000,282906000,221936000,0.0,,39422000.0,-67647000.0,9143000,135751000,0.0,-28212000.0,1820000.0,,19798000.0,26509000,26509000,-8646000.0,-15501000.0,201000,34340000,24629000,,16949000,,230000000.0,186344000.0,163166000,23224000,102511000,13164000.0,688000.0,43175000.0,11152000.0,26509000,697573000,27674000,27674000,414667000,423000.0,240630000,3101000.0,13162000.0,,,,,,,,,
2002-03-31,411512000,20038000.0,-4357000.0,3479000.0,,55734000,-80685000,234842000,27781000,103766000.0,,37787000,,,-12137000.0,23939000.0,,0.23,238082000,66615000.0,,,25987000,69963000.0,235836000,,27953000,230577000,173430000,0.0,,39144000.0,-67647000.0,5361000,137648000,-165000.0,-16679000.0,8486000.0,,26107000.0,16047000,16047000,-12137000.0,-3735000.0,184000,36119000,27721000,,9940000,,205000000.0,144709000.0,179108000,27953000,88201000,8429000.0,695000.0,27674000.0,13970000.0,16047000,647348000,23939000,23939000,416771000,254000.0,239088000,1978000.0,10006000.0,0.23,68868000.0,,,,,,,
2002-06-30,434137000,24242000.0,12902000.0,,,66433000,-103878000,255369000,38318000,105693000.0,,50025000,,,-14713000.0,21392000.0,,0.33,216543000,89558000.0,,,37157000,70404000.0,223766000,,28115000,262733000,217594000,0.0,,76290000.0,-67647000.0,5145000,137592000,2000.0,-30594000.0,3812000.0,,43142000.0,22944000,22944000,-14713000.0,-2547000.0,587000,38046000,29398000,,14213000,,182000000.0,193352000.0,188936000,28115000,86825000,,695000.0,23939000.0,28429000.0,22944000,657903000,21392000,21392000,395170000,,216073000,1748000.0,11707000.0,0.33,69052000.0,,,,,,,
2002-09-30,467154000,20789000.0,-20215000.0,,,75374000,-131867000,254506000,37291000,103871000.0,,44943000,-5850000.0,,-12847000.0,17843000.0,,0.32,202644000,111542000.0,,,35823000,69451000.0,211037000,,28718000,307297000,264510000,0.0,,80842000.0,-67647000.0,4990000,142211000,-195000.0,-17872000.0,3473000.0,,27449000.0,21983000,21983000,-12847000.0,-3549000.0,-9214000,36224000,30954000,,13840000,,166700000.0,229170000.0,179132000,38083000,86756000,9330000.0,695000.0,21392000.0,14602000.0,21983000,678191000,17843000,17843000,370894000,,189413000,1619000.0,7652000.0,0.32,68850000.0,,,,,,,
2002-12-31,503698000,22916000.0,-9877000.0,-3056000.0,,79987000,-123915000,263251000,48559000,115303000.0,,58244000,-62296000.0,,-19697000.0,14166000.0,,,252768000,140552000.0,,,46981000,,198443000,,28563000,312000000,250930000,-10433000.0,,114601000.0,-76666000.0,5767000,151206000,-1000.0,-14633000.0,164000.0,,29957000.0,29010000,29010000,-9264000.0,-3677000.0,-2668000,38637000,32801000,,17971000,,214200000.0,217375000.0,183264000,31428000,104597000,10639000.0,695000.0,17843000.0,20693000.0,29010000,702141000,14166000,14166000,390141000,,200298000,1775000.0,9685000.0,,,,,,,,,
2003-03-31,512824000,21470000.0,22527000.0,558000.0,,64112000,-118272000,240169000,20956000,114150000.0,,30768000,-11796000.0,,-8432000.0,34597000.0,,0.18,245910000,152744000.0,,,19430000,66202000.0,205225000,,30516000,326004000,266914000,0.0,,88830000.0,-76666000.0,5590000,151692000,0.0,-18505000.0,491000.0,,48562000.0,12192000,12192000,-8432000.0,20431000.0,-12485000,37484000,33320000,,7238000,,207000000.0,238897000.0,176057000,43156000,87816000,6547000.0,695000.0,14166000.0,40130000.0,12192000,718049000,34597000,34597000,392045000,,202869000,1681000.0,9812000.0,0.19,65840000.0,,,,,,,
2003-06-30,515404000,23632000.0,2323000.0,190000.0,,66415000,-98574000,247392000,37402000,114595000.0,,47652000,0.0,,-15138000.0,39819000.0,,0.35,225704000,175712000.0,,,36602000,66077000.0,253665000,,29450000,347812000,289700000,0.0,,97257000.0,-76666000.0,7377000,168027000,0.0,-21441000.0,559000.0,,36384000.0,22968000,22968000,-15138000.0,5222000.0,1265000,37929000,33327000,,13634000,,185000000.0,256150000.0,180977000,29013000,90675000,9918000.0,695000.0,34597000.0,21246000.0,22968000,769069000,39819000,39819000,421257000,,215301000,1628000.0,10250000.0,0.35,65536000.0,,,,,,,
2003-09-30,517287000,21308000.0,-4321000.0,-752000.0,,73535000,-98159000,255791000,43523000,115785000.0,,58636000,-28042000.0,,-15243000.0,44666000.0,,0.4,239508000,198795000.0,,,41952000,65820000.0,238543000,,30012000,329064000,277779000,-4521000.0,,96025000.0,-76666000.0,7727000,170759000,-5000.0,-14538000.0,1829000.0,,34132000.0,26325000,26325000,-10722000.0,4847000.0,474000,39119000,32277000,,15627000,,199504000.0,245191000.0,182256000,30012000,88759000,11280000.0,695000.0,39819000.0,23410000.0,26325000,755830000,44666000,44666000,426766000,,216888000,2045000.0,15113000.0,0.4,65019000.0,,,,,,,
