date,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherCurrentAssets,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyChangeInInventory
2018-03-31,,,654000,74641000,,,-83569000,131359000,5294000,448639000.0,,4787000,,-52709000,,-52709000,-52709000,,-0.117486,51653000,,,,,448639000.0,87027000,79706000,185013000,4484000,134688000,,,,83969000,,123000,-52586000,39309000,242000,435000,-8240000,,,,,178836000,,,13534000,101044000,,-54982000,-0.117486,60047000,,55968000,-47557000,,,4834000,,,,,,,,,,,,,,,,,
2018-06-30,,,633000,82982000,,,-214856000,161192000,-47706000,448639000.0,,5511000,,-38407000,,-38407000,-38407000,,-0.085608,57974000,,,,,448639000.0,-18617000,103218000,124303000,-1198000,144586000,,,,185013000,,12000,-38395000,-24710000,214000,426000,-5345000,,,,,201584000,,,-42361000,-60710000,,-41368000,-0.085608,61604000,,-14057000,-32670000,,,3959000,,,,,,,,,,,,,,,,,
2018-09-30,,,-491000,85438000,,,-128880000,190197000,-16770000,448639000.0,,5117000,,-18874000,,-18874000,-18874000,,-0.042069,63649000,,,,,448639000.0,704000,126548000,112042000,2439000,148979000,,,,124303000,,72000,-18802000,-16577000,82000,-313000,-4051000,,,,,133635000,0.0,,-12719000,-12261000,,-22431000,-0.042069,63541000,,-2359000,-13603000,,0.0,3888000,,,,,,,,,,,,,,,,,
2018-12-31,398443000.0,889352000.0,231000,94346000,168534000.0,-1730881000.0,-91406000,273184000,-23381000,,566977000.0,5444000,263379000.0,47016000,1152731000.0,47016000,47016000,17139000.0,,68308000,376274000.0,6905000.0,221932000.0,585754000.0,,44949000,204876000,135290000,808000,160816000,627813000.0,122509000.0,5000.0,112042000,226715000.0,203000,47219000,-84116000,621000,-2764000,-4558000,22593000.0,-51249000.0,,7166000.0,141413000,,277964000.0,-18823000,23248000,22169000.0,44060000,,66470000,-1421000.0,-73692000,53284000,505304000.0,,2178000,,,,,,,,,,,,,,,,,
2019-03-31,123526000.0,846947000.0,-993000,100599000,1651703000.0,-886775000.0,-113952000,201911000,29416000,529344043.0,1775229000.0,5696000,294293000.0,-41420000,1141240000.0,-41420000,-41420000,23945000.0,-0.078248,73694000,93206000.0,,161108000.0,-633989000.0,529344043.0,-3822000,128217000,161429000,7481000,173043000,642216000.0,134648000.0,1000.0,135290000,243833000.0,153000,-41267000,61329000,500000,-3169000,-3706000,36732000.0,,-3279000.0,,113836000,,243833000.0,33122000,26139000,30320000.0,-44826000,-0.078248,72444000,-231000.0,69145000,-35071000,507568000.0,,694000,,,,,,,,,,,,,,,,,
2019-06-30,139897000.0,2106416000.0,-1720000,521098000,174039000.0,-2046276000.0,-45363000,261249000,-57705000,443340000.0,313936000.0,6507000,280760000.0,-1159501000,2387176000.0,-1159501000,-1159501000,18192000.0,-2.62,105415000,109373000.0,,202957000.0,2073240000.0,443340000.0,59120000,155834000,1435320000,-292000,1322977000,1850748000.0,1408739000.0,5000.0,161429000,238230000.0,37000,-1159464000,-41714000,448000,1264293000,-8208000,27166000.0,,-6824000.0,,112691000,,238230000.0,-49497000,1273891000,30524000.0,-1167143000,-2.62,801879000,523000.0,-29382000,-1152509000,442009000.0,,1134599000,,,,,,,,,,,,,,,,,
2019-09-30,144194000.0,1982528000.0,-583000,162190000,179877000.0,-2171008000.0,-368584000,279703000,-1045000,546126000.0,324071000.0,7293000,297944000.0,-124732000,2280472000.0,-124732000,-124732000,18713000.0,-0.23,83520000,112685000.0,,210339000.0,1956401000.0,546126000.0,-258077000,196183000,1061102000,1708000,329893000,1725765000.0,1033871000.0,5000.0,1435320000,254680000.0,-197000,-124929000,-7284000,1056000,-123450000,-8519000,28305000.0,,-1202000.0,,119026000,-122290000.0,254680000.0,7474000,-374218000,31509000.0,-133710000,-0.23,167703000,376000.0,-4792000,-116580000,691894000.0,0.0,130288000,,,,,,,,,,,,,,,,,
