date,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyChangeInAccountPayable,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable
2002-09-30,15583000,4515000.0,54748500.0,48505000,18340000.0,23872000.0,36000.0,,,10689000,,,1386000.0,-423000.0,2044000.0,,0,0.0,-7367000.0,2724000.0,5059000.0,-0.12,18056000.0,-9285000.0,0.0,-5532000.0,3890000,-4001000.0,-6842000,0.0,9099000,,1115000.0,,,859000.0,30165000.0,-5662000,,79442000,25194000,1180000.0,,11693000,-126191000.0,1792000,-3036000.0,54748500.0,17081000,26986000,-9708000.0,92855000,-6464000,13413000,-6464000,0.0,-6464000,0.0,-0.12,8340000,,0.0,19044000.0,10194000.0,65869000,,-2641000.0,1792000.0,1600000.0,8741000,378000.0,18340000.0,9871000,,,,
2002-12-31,14628000,4838000.0,,50839000,17607000.0,18340000.0,36000.0,,,10388000,,,1511000.0,-560000.0,282000.0,,0,0.0,-8514000.0,2568000.0,80000.0,,18902000.0,2472000.0,-1000.0,-733000.0,4026000,3895000.0,-2995000,0.0,9282000,,1415000.0,,,112000.0,33232000.0,-1820000,,78625000,26063000,1175000.0,,10602000,-128791000.0,1838000,-2998000.0,,21145000,27901000,1912000.0,91581000,-2600000,12956000,-2600000,0.0,-2600000,0.0,,9512000,,-40000.0,16887000.0,10432000.0,63680000,,1133000.0,1838000.0,-3518000.0,11633000,-1446000.0,17607000.0,8738000,,,,
2003-03-31,13632000,6140000.0,55293000.0,45009000,22774000.0,17607000.0,37000.0,,,9823000,,,1434000.0,-318000.0,966000.0,,0,0.0,-8514000.0,3370000.0,10556000.0,-0.04,18337000.0,-5946000.0,,5167000.0,3423000,-4888000.0,-3135000,0.0,10142000,,994000.0,,,1350000.0,22235000.0,-1901000,,76223000,25526000,1234000.0,,10209000,-131084000.0,1531000,,55293000.0,19235000,27057000,-6264000.0,89416000,-2293000,13193000,-2293000,0.0,-2293000,0.0,-0.04,8738000,,0.0,20895000.0,7810000.0,62359000,,456000.0,1531000.0,10238000.0,10497000,842000.0,22774000.0,8282000,,,,
2003-06-30,13016000,7131000.0,56919000.0,42850000,17681000.0,22774000.0,27000.0,,,11630000,,,1244000.0,-712000.0,-213000.0,,0,0.0,-8514000.0,153501000.0,-15000.0,0.016667,20144000.0,2932000.0,,-5093000.0,3627000,716000.0,531000,5449000.0,17204000,,593000.0,,,279000.0,25169000.0,1865000,,80352000,38795000,1334000.0,,9389000,-130206000.0,2112000,,55740000.0,21453000,40907000,2220000.0,245483000,878000,165131000,878000,877000.0,878000,0.0,0.016667,7906000,,-4088000.0,21855000.0,7767000.0,204576000,,-647000.0,1235000.0,-7748000.0,13547000,347000.0,17681000.0,13601000,,,,
2003-09-30,16649000,8824000.0,80634000.0,35449000,12478000.0,17681000.0,27000.0,,,10688000,,,1156000.0,-884000.0,3179000.0,,330000,0.0,-8514000.0,152912000.0,5032000.0,-0.04,19202000.0,-7903000.0,0.0,-5203000.0,4407000,-6732000.0,-3663000,0.0,11420000,,441000.0,,,3552000.0,22971000.0,-1481000,,74834000,31940000,2182000.0,,12242000,-133559000.0,2177000,-3032000.0,80634000.0,23393000,34117000,-8787000.0,238764000,-3353000,163930000,-3353000,1227000.0,-3353000,0.0,-0.04,10407000,,0.0,23656000.0,10540000.0,204647000,,855000.0,950000.0,-466000.0,12986000,310000.0,12478000.0,12746000,,,,
2003-12-31,12612000,11345000.0,,112949000,11335000.0,12478000.0,33000.0,,,10288000,,,1030000.0,-611000.0,78401000.0,,1563000,0.0,-12409000.0,151195000.0,15554000.0,,22697000.0,3063000.0,0.0,8412000.0,4733000,1152000.0,-5613000,1673000.0,12455000,,779000.0,,,78782000.0,101614000.0,266000,,151948000,34194000,5879000.0,,7879000,-138414000.0,1843000,-85626000.0,,27594000,36037000,2452000.0,314994000,-4855000,163046000,-4855000,1148000.0,-4855000,0.0,,20595000,,125000.0,26820000.0,7691000.0,278957000,,3958000.0,695000.0,-73200000.0,6999000,-1105000.0,11335000.0,8788000,,,,
2004-03-31,15553000,12998000.0,102411000.0,115835000,13346000.0,11335000.0,33000.0,36000.0,,9384000,889000.0,,998000.0,-537000.0,3824000.0,,1308000,0.0,-12409000.0,150954000.0,28147000.0,0.01,21793000.0,-915000.0,,2011000.0,5310000,-3505000.0,283000,0.0,4670000,,1008000.0,,,4116000.0,102489000.0,2139000,,154693000,30224000,1856000.0,,10243000,-137561000.0,1960000,-28778000.0,99846000.0,27059000,32184000,-1452000.0,316339000,853000,161646000,853000,1525000.0,853000,0.0,0.006667,11223000,,269000.0,27324000.0,11558000.0,284155000,,805000.0,435000.0,-872000.0,15836000,606000.0,13346000.0,7983000,,,,
2004-06-30,15161000,13385000.0,102630000.0,106414000,8230000.0,13346000.0,34000.0,263000.0,,29012000,5093000.0,,904000.0,-20872000.0,938000.0,,1014000,0.0,-12409000.0,150487000.0,15957000.0,0.046667,41421000.0,11866000.0,,-5116000.0,3626000,5457000.0,4467000,0.0,4311000,,-287000.0,,,1237000.0,98184000.0,6250000,,141947000,32080000,1783000.0,,11535000,-132731000.0,1453000,-13004000.0,100677000.0,31057000,33533000,-9006000.0,322460000,4830000,180513000,4830000,1223000.0,4830000,0.0,0.046667,11429000,,38000.0,24705000.0,13480000.0,288927000,,821000.0,230000.0,-17882000.0,19628000,626000.0,8230000.0,7162000,,,,
2004-09-30,17235000,14092000.0,105915000.0,121215000,11268000.0,8230000.0,34000.0,66000.0,,27779000,6179000.0,,813000.0,-551000.0,4210000.0,,960000,0.0,-12409000.0,150020000.0,24139000.0,0.06,40188000.0,10878000.0,,3038000.0,4635000,2772000.0,5487000,806000.0,5214000,,-32000.0,,,4479000.0,109947000.0,7207000,,158064000,35863000,1720000.0,,12600000,-126618000.0,1186000,-35659000.0,101469000.0,35493000,37049000,10327000.0,336823000,6113000,178759000,6113000,1134000.0,6113000,0.0,0.056667,12771000,,0.0,26361000.0,14938000.0,299774000,,566000.0,52000.0,-12071000.0,22722000,692000.0,11268000.0,6596000,,,,
2004-12-31,18857000,15372000.0,,132038000,5771000.0,11268000.0,34000.0,361000.0,,27065000,12043000.0,,609000.0,-479000.0,3145000.0,,927000,0.0,-13895000.0,149553000.0,27627000.0,,40960000.0,8486000.0,,-5497000.0,4241000,-5281000.0,10947000,0.0,4485000,,-392000.0,,,3401000.0,126267000.0,12699000,,176684000,38385000,1752000.0,,14616000,-114936000.0,912000,-44449000.0,,45194000,39297000,8007000.0,354229000,11682000,177545000,11682000,,11682000,0.0,,15390000,,-1000.0,35443000.0,17919000.0,314932000,,630000.0,,-17328000.0,29804000,-1682000.0,5771000.0,5966000,,,,
