date,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyCurrentAssets,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyOperatingExpense,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOtherNonCurrentAssets
2000-06-30,,,,3979000000.0,,,,,,,,,3979000000.0,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,154950000000.0,4644000000.0,,,,,,,132239000000.0,150842000000.0,,,,3971000000.0,1611000000.0,,,5277000000.0,,5277000000.0,,,,,,,,,,10591000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,,97066440.0,97066440.0,,,97066440.0,,,,,0.098192,988537152.0,,,,,,,,3812319600.0,0.098192,,988537152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,4338000000.0,,267933560.0,286933560.0,,,286933560.0,,,4338000000.0,,,,,,,,,,,3843882240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,97298630.0,97298630.0,,,97298630.0,,,,,0.098728,985522142.0,,,,,,,,3832069120.0,0.098728,,985522142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,384088900.0,,155668000000.0,9837000000.0,-592576300.0,-700576300.0,,,-700576300.0,,97746000000.0,149456000000.0,1818000000.0,,,5964000000.0,2747000000.0,125000000.0,,6631000000.0,100000000.0,1313000000.0,-6333207360.0,,,,,,,,5222000000.0,10733876200.0,5318000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,,,,,211377250.0,211377250.0,,,211377250.0,,,,,0.20403,1036009485.0,,,,,,,,4146786250.0,0.20403,,1036009485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,,,152345000000.0,109405166640.0,211900920.0,211900920.0,,,211900920.0,2332878240.0,,152345000000.0,,0.204734,1032859020.0,4127147640.0,1637000000.0,,,,100374120.0,,6494796000.0,0.204734,,1032859020.0,,0.0,,25585560.0,3482916360.0,10639656720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,,,,,,111916640.0,111916640.0,,,111916640.0,,,,,0.10827,1033680595.0,,,,,,,,4100218720.0,0.10827,,1033680595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,,378286440.0,,150379000000.0,8330349200.0,-1207239930.0,-889239930.0,1633650800.0,,-889239930.0,,96735000000.0,145277000000.0,591000000.0,,,4878000000.0,2582000000.0,-145000000.0,,8636000000.0,100000000.0,1086000000.0,-12857801350.0,,,,,,,,4354000000.0,10972791400.0,7550000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
