date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-06-30,82895000000,24088000000,92703000000,27604000000.0,,,,222268000000,39381000000,707000000,0.0,58807000000,2644000000,-5992000000.0,0.0,31795000000.0,18719000000,68347000000.0,2854000000.0,21612000000,602000000,309815000000,4647000000.0,217112000000,8143000000,8745000000,0,,14600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,88443000000,27740000000,97761000000,,,,,232509000000,39488000000,682000000,73737000000.0,60703000000,2253000000,,3850000000.0,,20533000000,,6827000000.0,15353000000,634000000,325527000000,4519000000.0,227766000000,7169000000,7803000000,1282000000,,15044000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,101737000000,44867000000,110037000000,23524000000.0,202179000000.0,,,245078000000,34126000000,739000000,0.0,56870000000,11262000000,-6699000000.0,0.0,36035000000.0,22005000000,,10672000000.0,16825000000,850000000,351601000000,4357000000.0,241564000000,8204000000,9054000000,0,5163000000.0,17667000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,101545000000,41775000000,119181000000,,243440000000.0,,,281176000000,50541000000,872000000,91495000000.0,59770000000,12782000000,,318000000.0,,8357000000,,0.0,17224000000,914000000,386527000000,4344000000.0,267346000000,7820000000,8734000000,1285000000,,20544000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,101002000000,38800000000,131817000000,24495000000.0,,,,306965000000,50753000000,839000000,0.0,62202000000,9682000000,-6599000000.0,0.0,45297000000.0,10610000000,,3525000000.0,17896000000,1126000000,413197000000,5049000000.0,281380000000,7898000000,9024000000,0,,20452000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,113945000000,57357000000,147520000000,,,,,322643000000,44616000000,0,110344000000.0,56588000000,18709000000,,425000000.0,,11972000000,,0.0,17993000000,1063000000,442233000000,4879000000.0,294713000000,9220000000,10283000000,1285000000,,23151000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,116611000000,41927000000,156789000000,25930000000.0,295636000000.0,35000000.0,18627000000.0,346559000000,61465000000,707000000,24159000000.0,74684000000,9801000000,-7339000000.0,587000000.0,,12451000000,117581000000.0,0.0,18591000000,711000000,467570000000,4664000000.0,310781000000,14338000000,15049000000,1308000000,,20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,119380000000,39661000000,163592000000,,311873000000.0,,21983000000.0,368302000000,66234000000,665000000,3460000000.0,79719000000,5931000000,,0.0,,12820000000,125118000000.0,4706000000.0,19622000000,715000000,492357000000,4498000000.0,328765000000,11551000000,12266000000,1328000000,,54000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,122367000000,51317000000,168612000000,31270000000.0,327163000000.0,35000000.0,14267000000.0,385912000000,56570000000,615000000,0.0,71050000000,8060000000,-8482000000.0,0.0,,13803000000,133245000000.0,15031000000.0,22788000000,705000000,512896000000,4902000000.0,344284000000,16471000000,17176000000,1335000000,,7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,131165000000,54113000000,182764000000,,339780000000.0,,16222000000.0,402589000000,61122000000,557000000,907000000.0,77052000000,8985000000,,0.0,,15373000000,137134000000.0,0.0,23978000000,907000000,538600000000,4740000000.0,355836000000,18121000000,19028000000,1352000000,,22000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,137359000000,46555000000,192377000000,34794000000.0,351820000000.0,35000000.0,18034000000.0,414783000000,74490000000,502000000,0.0,90804000000,9241000000,-9418000000.0,0.0,,15753000000,149708000000.0,0.0,25376000000,747000000,557048000000,4504000000.0,364671000000,18528000000,19275000000,53464000000,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,138121000000,49420000000,193352000000,,360743000000.0,,14710000000.0,433141000000,71806000000,426000000,4010000000.0,88701000000,10971000000,,0.0,,16469000000,149975000000.0,6295000000.0,25421000000,780000000,576778000000,4315000000.0,383426000000,23119000000,23899000000,63136000000,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,147292000000,57733000000,204189000000,36021000000.0,373382000000.0,35000000.0,16177000000.0,451026000000,72316000000,366000000,0.0,89559000000,10816000000,-10400000000.0,0.0,,16824000000,150044000000.0,13904000000.0,25621000000,894000000,604110000000,4055000000.0,399921000000,32561000000,33455000000,68451000000,,4000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,149000000000,65667000000,203797000000,,381174000000.0,,15753000000.0,455766000000,66137000000,264000000,0.0,83333000000,14545000000,,0.0,,16932000000,161955000000.0,20239000000.0,25569000000,752000000,610440000000,3982000000.0,406643000000,24131000000,24883000000,70220000000,,11000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,140007000000,59071000000,201630000000,36837000000.0,396031000000.0,147000000.0,23634000000.0,468707000000,63275000000,203000000,0.0,80936000000,17486000000,-11391000000.0,0.0,,17410000000,145440000000.0,6976000000.0,25446000000,1118000000,614515000000,3607000000.0,412885000000,30048000000,31166000000,70384000000,,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,138992000000,56402000000,197412000000,,408604000000.0,,23178000000.0,476834000000,64699000000,227000000,181000000.0,82590000000,11012000000,,0.0,,17664000000,138025000000.0,11126000000.0,26040000000,1092000000,621001000000,5799000000.0,423589000000,33951000000,35043000000,70432000000,,41000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,132053000000,50972000000,196738000000,39577000000.0,426555000000.0,144000000.0,16973000000.0,502125000000,61936000000,168000000,176000000.0,81081000000,5390000000,-12600000000.0,0.0,,18930000000,146853000000.0,10458000000.0,26977000000,798000000,639416000000,5380000000.0,442678000000,31274000000,32072000000,70516000000,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
