date,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory
1993-03-31,29202000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,23400000,,,23400000,,,,,,,23400000,,,,,,,,,,,,29202000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1993-06-30,29202000.0,,,,,,,,,,,,,,,,,,,,0.0,,,,23400000,,,23400000,,,,,,,23400000,,,,,,,,,,,,29202000.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
1993-09-30,28000000.0,,,,149200000.0,,,,,,,,6000000.0,,,,,,,,0.075,,,,50500000,,,29500000,397400000.0,,,,397400000.0,,50500000,,,,,,800000.0,,,,515000000.0,,28000000.0,,,,2100000.0,,,2100000.0,1600000.0,281100000.0,,,,,,259300000.0,-21000000.0,,,1800000.0,,0.075,,,,,,,,,
1993-12-31,,,,,146500000.0,,-14200000.0,,,,,,4300000.0,,1700000.0,-1300000.0,,,,,,15300000.0,19300000.0,0.0,60200000,10200000.0,,37700000,,,-4800000.0,,,,66700000,-58300000.0,6500000.0,-3800000.0,4200000.0,,2700000.0,,,,535900000.0,,,,29500000.0,,3900000.0,,,3900000.0,4300000.0,306200000.0,,-104400000.0,,,,278800000.0,-22500000.0,,,1300000.0,,,-1100000.0,-83700000.0,,,,,,,
1994-03-31,37837838.0,14100000.0,,,272100000.0,,-48100000.0,,,,,,5300000.0,,-9200000.0,,,,,,-0.185,116200000.0,-141500000.0,166800000.0,64800000,19400000.0,,41300000,707500000.0,,4800000.0,,707500000.0,,71200000,-7400000.0,6400000.0,-6600000.0,1200000.0,,2400000.0,,,,760000000.0,,29202000.0,,-122100000.0,,7000000.0,,,7000000.0,7000000.0,376600000.0,,-1500000.0,,,,341500000.0,-23500000.0,-10800000.0,25000000.0,1700000.0,,-0.185,2400000.0,-143000000.0,,,,,,,
1994-06-30,42857143.0,,,,308900000.0,,-99400000.0,,,,,,8200000.0,,11100000.0,,,,,,0.175,155000000.0,-145500000.0,47700000.0,80300000,22500000.0,,50200000,880800000.0,,5400000.0,,880800000.0,,88700000,26500000.0,8400000.0,-10700000.0,1200000.0,,1300000.0,,,,972800000.0,,42857143.0,,-123000000.0,,7500000.0,,,7500000.0,7500000.0,546600000.0,,-5100000.0,,,,503600000.0,-30100000.0,-13800000.0,,3200000.0,,0.175,4000000.0,-150900000.0,,,,,,,
1994-09-30,57575758.0,,,,542000000.0,,-40200000.0,,,,,,9900000.0,,123900000.0,-3900000.0,,,,,0.165,253400000.0,-254300000.0,287500000.0,99600000,24900000.0,,61500000,1196700000.0,,6800000.0,,1196700000.0,,109800000,19000000.0,10200000.0,-26200000.0,-1600000.0,,1200000.0,,,,1297700000.0,,57575758.0,,-229400000.0,,9500000.0,,,9500000.0,9500000.0,609300000.0,,-5400000.0,,,,551800000.0,-38100000.0,-15000000.0,,5900000.0,,0.165,7300000.0,-259400000.0,,,,,,,
1994-12-31,,,,,609900000.0,,-134500000.0,,,,,,13500000.0,,-120300000.0,-5200000.0,,,,,,283900000.0,536100000.0,82100000.0,127400000,27200000.0,,78100000,1770700000.0,,600000.0,,1770700000.0,,141700000,-32100000.0,14300000.0,-23600000.0,1900000.0,,2100000.0,,,,1847700000.0,,,,563300000.0,,10400000.0,,,10400000.0,10400000.0,1060400000.0,,-879300000.0,,,,998600000.0,-49300000.0,-20200000.0,,5700000.0,,,5500000.0,-343200000.0,,,,,,,
1995-03-31,68666667.0,20000000.0,,,607800000.0,,-20800000.0,,,,,,20400000.0,,400000.0,-300000.0,,,,,0.15,12000000.0,-49100000.0,-300000.0,147600000,31600000.0,,91700000,1811700000.0,,7600000.0,,1811700000.0,,165000000,-7100000.0,17400000.0,-35800000.0,-3700000.0,,2200000.0,,,,1875800000.0,,68666667.0,,-17500000.0,,10300000.0,,,10300000.0,10300000.0,1097800000.0,,-1700000.0,,,,1029200000.0,-55900000.0,-22000000.0,,9500000.0,,0.15,4100000.0,-50800000.0,,,,,,,
1995-06-30,68484848.0,,,,748600000.0,,-238100000.0,,,,,,20400000.0,,-158200000.0,2300000.0,,,,,0.165,16100000.0,3000000.0,153200000.0,151800000,37500000.0,,94800000,1806000000.0,,5400000.0,,1806000000.0,,174200000,46100000.0,22400000.0,-38400000.0,-2800000.0,,1900000.0,,,,1910400000.0,,68484848.0,,40500000.0,,11300000.0,,,12500000.0,12500000.0,993900000.0,,-10400000.0,,,,920400000.0,-57000000.0,-23000000.0,,7500000.0,,0.165,400000.0,-7400000.0,,,,,,,
