date,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicAverageShares,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfBusiness,quarterlyChangeInInventory
2008-12-31,212000,-1040000,-1040000,14810000.0,-1162000,0.0,,374335000.0,,152000000.0,-3141000.0,2881000,1767000,-5592000.0,0.0,-2929000,386702000.0,1767000,,17250000.0,,12367000.0,160679000.0,648000,2496000,6117000,,4955000.0,4955000.0,,353024000.0,,,5165000,358616000.0,,,,2669000,-2524000,,8679000.0,,0.0,98000,10891000,,177305000.0,-1040000,,543000,0.0,16626000.0,0.0,1228000.0,5303000,-3141000,4955000,0.0,,,,,,-836000,5588000,2919000,,,,,,,,,,
2009-03-31,1690000,97000,97000,,2367000,,,,0.004779,,-1932000.0,2097000,2609000,,,-242000,,2609000,,,0.004779,,,-176000,2449000,4955000,,,,20297096.0,,,,4622000,,,20297096.0,,2173000,-1250000,,,,,-148000,9892000,,,97000,,607000,,,0.0,,4663000,-1932000,7322000,,,,,,,-72000,5229000,3056000,,,,,,,,,,
2009-06-30,-637000,-68000,-71000,,-4282000,,,,-0.00335,,-3882000.0,2181000,237000,,,-4519000,,0,,,-0.00335,,,1066000,3156000,7322000,,,,20297096.0,,,,5201000,,,20297096.0,,2045000,-4659000,,,,,-291000,10828000,,,-68000,,0,,,0.0,,6095000,-3882000,4272000,,,,,,,63000,4733000,2688000,,,,,,,,,,
2009-09-30,-3656000,95000,97000,12194000.0,-498000,0.0,,373802000.0,0.00468,152000000.0,1651000.0,2231000,1477000,-11071000.0,0.0,-2005000,386557000.0,1714000,97000.0,14867000.0,0.00468,12755000.0,158356000.0,-2077000,1939000,4272000,,2542000.0,2542000.0,20297096.0,353930000.0,,,5057000,365001000.0,,20297096.0,,2194000,-4943000,,6356000.0,,0.0,-60000,11556000,,172164000.0,95000,,0,0.0,13808000.0,0.0,1656000.0,6633000,1681000,2542000,0.0,,,,,,130000,4923000,2729000,,,,,,,,,,
2009-12-31,2515000,-172000,-172000,11444000.0,-286000,0.0,,374442000.0,,152000000.0,-3404000.0,2046000,603000,-12909000.0,0.0,-889000,384615000.0,603000,,14235000.0,,10173000.0,156207000.0,-311000,3108000,2542000,,2256000.0,2256000.0,,353505000.0,,,4780000,366414000.0,,,,1672000,85000,,4207000.0,,0.0,263000,9476000,,169686000.0,-172000,,522000,0.0,13479000.0,0.0,1273000.0,4846000,-3404000,2256000,0.0,,,,,,194000,4630000,2958000,,,,,,,,,,
2010-03-31,1927000,738000,738000,10653000.0,2256000,0.0,,372156000.0,0.03636,152000000.0,-654000.0,2052000,983000,-14811000.0,0.0,1273000,386554000.0,983000,,13621000.0,0.03636,14398000.0,157011000.0,-661000,2498000,2256000,,4512000.0,4512000.0,20297096.0,352727000.0,,,5078000,367538000.0,,20297096.0,,2580000,-1144000,,5011000.0,,0.0,-300000,10142000,,169904000.0,738000,,541000,,12893000.0,0.0,1705000.0,4523000,-654000,4512000,0.0,,,,,,207000,5619000,3039000,,,,,,,,,,
2010-06-30,-244000,-2563000,-2847000,13682000.0,78036000,0.0,,528948000.0,-0.115389,94020000.0,-12260000.0,2331000,90540000,-21442000.0,0.0,-12504000,621780000.0,-2728000,,22288000.0,-0.115389,92832000.0,99880000.0,-784000,3170000,4512000,222000.0,84509000.0,84509000.0,22211799.0,487936000.0,-2177000.0,,4944000,509378000.0,,22211799.0,,1774000,667000,,5860000.0,,0.0,378000,11087000,,138374000.0,-2563000,,0,,38494000.0,0.0,1724000.0,6358000,-12260000,84509000,417059000.0,8754000.0,,,,,-2293000,4729000,2955000,,,,,,,,,,
2010-09-30,1738000,-172000,27000,13114000.0,-43245000,0.0,-235000.0,571866000.0,-0.01,94069000.0,-36274000.0,1784000,-1230000,-24222000.0,0.0,-34536000,623915000.0,2867000,27000.0,39317000.0,-0.01,52049000.0,104815000.0,-1365000,4317000,84509000,222000.0,40741000.0,40741000.0,21946508.0,515812000.0,-1948000.0,,6353000,540034000.0,,21946508.0,,2036000,-1991000,8839000.0,10746000.0,-30000.0,0.0,-1931000,17513000,,142725000.0,-172000,,2379000,-3459000.0,37910000.0,-7479000.0,3346000.0,8781000,-43753000,40741000,414868000.0,8754000.0,,,,,-248000,8732000,6696000,,,,,,,,,,
2010-12-31,4198000,-679000,-531000,36605000.0,8134000,0.0,7169000.0,940413000.0,-0.05,342060000.0,-192968000.0,2635000,189425000,-27113000.0,0.0,-188770000,1004575000.0,78431000,-531000.0,85241000.0,-0.05,64162000.0,353566000.0,-922000,5990000,40741000,87724000.0,48875000.0,48875000.0,21946508.0,839032000.0,-3482000.0,,8031000,865890000.0,,21946508.0,,3866000,-1288000,,11507000.0,6000.0,0.0,-1964000,21090000,,402717000.0,-1185000,,2114000,0.0,49151000.0,7479000.0,4478000.0,9183000,-185489000,48875000,495846000.0,8754000.0,,,,,-1784000,11907000,8041000,,,,,,,,,,
2011-03-31,11567000,-2510000,93000,46338000.0,-10602000,0.0,,932412000.0,-0.11,332153000.0,-3652000.0,4642000,-18517000,-33388000.0,0.0,7915000,993825000.0,-624000,,81295000.0,-0.11,61413000.0,347646000.0,-695000,11780000,48875000,87725000.0,38273000.0,38273000.0,21949118.0,832443000.0,-5930000.0,,16205000,865831000.0,,21949118.0,,4844000,-231000,11656000.0,15493000.0,-119000.0,0.0,-1583000,34804000,,438194000.0,-2510000,-5159000.0,3146000,-112734000.0,90548000.0,0.0,5973000.0,15453000,-3652000,38273000,490587000.0,8754000.0,,,,0.0,-117000,19351000,14507000,,,,,,,,,,
