date,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlyCurrentDebt,quarterlyChangeInInventory
2011-03-31,,,,13700000,,,,-11600000.0,,5500000,-100000,-100000,12600000.0,,-0.005151,,-1800000.0,,-21400000.0,20900000,10500000,42700000,,,9800000.0,-1800000.0,,,,,300000,,,,-3100000.0,0.0,200000,,,19413165.0,,,11600000.0,,18500000,,,,,,,-3400000.0,,,4900000.0,-0.005151,8100000,,-100000,29000000,19413165.0,,3100000.0,-9800000.0,2700000.0,,1600000.0,-2200000,,,,,,,,,
2011-06-30,,,,14100000,,,,7700000.0,,5200000,1400000,1400000,13600000.0,,0.072116,,-3600000.0,,-16900000.0,24200000,11000000,44500000,,,24600000.0,-2400000.0,,,,,1100000,,,,7800000.0,1100000.0,2500000,,,19413165.0,,,-6500000.0,,19400000,,,,,,,-1100000.0,,,3100000.0,0.072116,8100000,,1400000,30400000,19413165.0,,700000.0,-23400000.0,-2400000.0,,-2500000.0,-400000,,,,,,,,,
2011-09-30,,,,15500000,,,,-24200000.0,,6900000,500000,500000,13800000.0,,0.025756,,18000000.0,,-38000000.0,22900000,10300000,46500000,,0.0,13800000.0,300000.0,,,,,700000,,,,-2200000.0,500000.0,1200000,,,19413165.0,,,6500000.0,,20700000,,,,,,,-1000000.0,,,700000.0,0.025756,7900000,,500000,31000000,19413165.0,,1000000.0,-31500000.0,600000.0,,22600000.0,-1200000,,,,,,,,,
2011-12-31,,,276200000.0,14900000,954100000.0,954700000.0,480200000.0,-23400000.0,48900000.0,6400000,-300000,-300000,15500000.0,621000000.0,,,22900000.0,,-41200000.0,24100000,11200000,48000000,-131200000.0,0.0,17800000.0,-400000.0,660200000.0,600000.0,22200000.0,,100000,,49000000.0,,0.0,0.0,-200000,529000000.0,0.0,,311500000.0,,100000.0,120700000.0,21900000,600000.0,49000000.0,600000.0,,22200000.0,0.0,-17700000.0,,,1000000.0,,8800000,,-3000000,33100000,,28200000.0,600000.0,-41100000.0,2600000.0,,44800000.0,-2600000,643200000.0,,-4200000.0,,,,,,
2012-03-31,,,276200000.0,17300000,984900000.0,986800000.0,524200000.0,-40300000.0,49000000.0,7000000,-700000,-700000,16400000.0,614600000.0,-0.036058,,41600000.0,,-52800000.0,26600000,10200000,52100000,-142500000.0,,12500000.0,1300000.0,705600000.0,1900000.0,61800000.0,,600000,,,,-3800000.0,-600000.0,-100000,563100000.0,0.0,19413165.0,310400000.0,,0.0,116500000.0,24600000,1900000.0,48800000.0,1900000.0,,,0.0,-1600000.0,,,600000.0,-0.036058,10300000,,-700000,34800000,19413165.0,29100000.0,1900000.0,-52800000.0,-2600000.0,,-800000.0,0,676400000.0,,,,,,,,
2012-06-30,,,276200000.0,18100000,1030200000.0,1031600000.0,561500000.0,-32700000.0,50000000.0,8500000,-9900000,-9900000,17700000.0,650800000.0,-0.509963,,36000000.0,,-52000000.0,13000000,8500000,54000000,-149600000.0,,19300000.0,-500000.0,752600000.0,1400000.0,80300000.0,,-4600000,,,,1000000.0,-3900000.0,-14500000,603000000.0,0.0,19413165.0,300500000.0,,-3800000.0,110800000.0,27400000,1400000.0,51100000.0,1400000.0,,,0.0,-1700000.0,,,1900000.0,-0.509963,9700000,,-9900000,35900000,19413165.0,40200000.0,1400000.0,-55800000.0,2600000.0,,300000.0,-13300000,731100000.0,,,,,,,,
2012-09-30,,,276200000.0,20000000,1077200000.0,1090800000.0,612100000.0,-30600000.0,49900000.0,8300000,-2900000,-2800000,18800000.0,752100000.0,-0.26,,48400000.0,,-41600000.0,26500000,9600000,56700000,-162900000.0,0.0,11000000.0,1800000.0,807500000.0,13600000.0,41200000.0,,-700000,,52100000.0,,-5300000.0,-800000.0,-3600000,644600000.0,0.0,19413165.0,297500000.0,,-16000000.0,106700000.0,27100000,3200000.0,52100000.0,3200000.0,,41200000.0,0.0,-1900000.0,,,1400000.0,-0.26,11300000,,-5100000,36700000,19413165.0,40100000.0,3200000.0,-57600000.0,-1200000.0,,132400000.0,-1900000,793300000.0,,,,,,,,
2012-12-31,,33200000.0,276200000.0,20600000,1152700000.0,1210900000.0,525000000.0,-80200000.0,68400000.0,9800000,-6900000,-6900000,20500000.0,678400000.0,-0.355429,,98000000.0,,-81900000.0,23600000,7200000,58000000,-176700000.0,-4800000.0,1700000.0,13300000.0,883600000.0,58200000.0,32400000.0,,-400000,,52800000.0,,-12700000.0,800000.0,-7300000,706900000.0,0.0,19413165.0,500100000.0,,-4500000.0,102600000.0,30200000,16500000.0,52800000.0,16500000.0,,29500000.0,0.0,-403800000.0,,493000000.0,3200000.0,-0.355429,10500000,,-6900000,37400000,19413165.0,67000000.0,16500000.0,-86400000.0,600000.0,,-543700000.0,-4000000,710800000.0,,6100000.0,,,,,,
2013-03-31,,30000000.0,276200000.0,20100000,1189600000.0,1574000000.0,525000000.0,-27700000.0,81300000.0,9700000,-23000000,-900000,,689000000.0,-0.05,360500000.0,336100000.0,,-52600000.0,10200000,8600000,60100000,-192100000.0,,24900000.0,312100000.0,946400000.0,384400000.0,68500000.0,,600000,-3900000.0,51700000.0,,,,-22400000,754300000.0,0.0,18000000.0,332000000.0,,3700000.0,98400000.0,31400000,328600000.0,51700000.0,328600000.0,,60300000.0,0.0,-1200000.0,,200000.0,28800000.0,-0.05,10900000,,-900000,40000000,18000000.0,60700000.0,340900000.0,-48900000.0,,,-23200000.0,-20100000,757500000.0,,,,,,,,
2013-06-30,,27200000.0,276200000.0,24600000,1223900000.0,1519800000.0,525000000.0,-32100000.0,82800000.0,10000000,-6800000,-2300000,,680400000.0,-0.12,0.0,-32000000.0,,-48700000.0,27300000,6000000,63600000,-208700000.0,,16600000.0,-61500000.0,998700000.0,295900000.0,38200000.0,,300000,-9700000.0,52800000.0,,,,-6500000,790000000.0,0.0,19166667.0,328000000.0,,2600000.0,94100000.0,33000000,267100000.0,52800000.0,267100000.0,,30500000.0,0.0,-21700000.0,,200000.0,340900000.0,-0.12,10800000,,-2300000,39000000,19166667.0,63600000.0,279400000.0,-46100000.0,,,0.0,-1700000,718600000.0,,,,,,,,
