date,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherNonCashItems,quarterlyRetainedEarnings,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyGoodwill,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlySaleOfInvestment,quarterlyCostOfRevenue,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAssets,quarterlyStockBasedCompensation,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyOtherNonCurrentLiabilities,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyInventory,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyChangeInAccountPayable
2013-09-30,23868000000.0,3176598000000,,6000000.0,26674000000.0,12525000000,13893000000.0,198117000000.0,19879000000.0,,9771000000.0,,13946000000.0,,81193000000,0.22,7856000000.0,-3768000000.0,219824000000,47586363636.0,10469000000.0,10596000000.0,47586363636.0,377406000000,-1275000000.0,-158197000000.0,799000000.0,12525000000,,3350000000.0,-142838000000.0,929000000,250345000000,46787000000,340955000000.0,0.22,-114578000000.0,3401408000000,-159472000000.0,20304000000.0,-7018000000.0,,10469000000.0,135741000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,28143000000.0,3410468000000,,18000000.0,27894000000.0,13734000000,11297000000.0,199643000000.0,8669000000.0,-2317000000.0,12668000000.0,,11360000000.0,,76690000000,,10683000000.0,1935000000.0,225601000000,,8315000000.0,8478000000.0,,353752000000,-2976000000.0,-25412000000.0,792000000.0,13734000000,,2882000000.0,1526000000.0,1263000000,750501000000,46787000000,198117000000.0,,-43004000000.0,3641193000000,-28388000000.0,22619000000.0,0.0,,8315000000.0,54609000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,33126000000.0,3738160000000,,62000000.0,29720000000.0,13562000000,14351000000.0,202821000000.0,2499000000.0,,10500000000.0,,14374000000.0,,87396000000,0.23,8365000000.0,,237953000000,46547826087.0,10706000000.0,10931000000.0,46547826087.0,371727000000,-742000000.0,-13074000000.0,799000000.0,13562000000,91000000.0,3443000000.0,3178000000.0,1256000000,267515000000,46787000000,199643000000.0,0.23,-287506000000.0,3981514000000,-13816000000.0,27818000000.0,-5453000000.0,,10706000000.0,290744000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,35178000000.0,4064489000000,,1000000.0,32280000000.0,13520000000,15128000000.0,302680000000.0,-3505000000.0,,10510000000.0,,15129000000.0,,86934000000,,8295000000.0,,239287000000,,11328000000.0,11494000000.0,,374219000000,-360000000.0,103146000000.0,800000000.0,13520000000,-73000000.0,3635000000.0,99859000000.0,1246000000,248517000000,46787000000,202821000000.0,,-1814000000.0,4311187000000,102786000000.0,28848000000.0,7296000000.0,,11328000000.0,-1332000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,37595000000.0,3788202000000,,35000000.0,30415000000.0,13817000000,13537000000.0,224986000000.0,-19207000000.0,-9608000000.0,10768000000.0,,13590000000.0,,97180000000,0.22,8622000000.0,-23536000000.0,250091000000,46572727273.0,10246000000.0,10428000000.0,46572727273.0,385008000000,-7420000000.0,-83969000000.0,799000000.0,13817000000,0.0,3162000000.0,-77694000000.0,1251000000,180170000000,46787000000,302680000000.0,0.22,-148569000000.0,4045887000000,-91389000000.0,27963000000.0,-1000000.0,,10246000000.0,136779000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,37311000000.0,3871469000000,,37000000.0,32099000000.0,14738000000,11388000000.0,228375000000.0,-28072000000.0,-3740000000.0,14861000000.0,,11481000000.0,,95586000000,,12530000000.0,-13209000000.0,259677000000,,8412000000.0,8601000000.0,,423966000000,-2910000000.0,28047000000.0,795000000.0,14738000000,0.0,2880000000.0,3389000000.0,1283000000,701068000000,46787000000,224986000000.0,,-8562000000.0,4138815000000,25137000000.0,26269000000.0,1000000.0,,8412000000.0,-16619000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,37188000000.0,4151466000000,,20000000.0,33006000000.0,14677000000,14645000000.0,205655000000.0,-23772000000.0,-390000000.0,11828000000.0,,14637000000.0,,106514000000,0.23,9350000000.0,-15857000000.0,270812000000,47513043478.0,10928000000.0,11097000000.0,47513043478.0,475885000000,-1273000000.0,-31117000000.0,806000000.0,14677000000,,3540000000.0,-22720000000.0,1258000000,136409000000,46787000000,228375000000.0,0.23,-152446000000.0,4430215000000,-32390000000.0,29140000000.0,0.0,,10928000000.0,129946000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,36523000000.0,4270195000000,,7000000.0,36891000000.0,14748000000,15465000000.0,211275000000.0,-68823000000.0,-2868000000.0,11409000000.0,,15483000000.0,,118172000000,,8822000000.0,-37668000000.0,283001000000,,11658000000.0,11872000000.0,,536270000000,-973000000.0,69297000000.0,816000000.0,14748000000,,3611000000.0,5620000000.0,1230000000,683461000000,46787000000,205655000000.0,,-274591000000.0,4561277000000,68324000000.0,28801000000.0,0.0,,11658000000.0,206751000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,37954000000.0,4357002000000,,19000000.0,37530000000.0,14664000000,13621000000.0,220178000000.0,-26644000000.0,-3126000000.0,12020000000.0,,13722000000.0,,128512000000,0.22,9615000000.0,-50432000000.0,294184000000,47000000000.0,10340000000.0,10465000000.0,47000000000.0,575723000000,-1183000000.0,1441000000.0,836000000.0,14664000000,,3257000000.0,8903000000.0,1225000000,197717000000,46787000000,211275000000.0,0.22,-339978000000.0,4653138000000,258000000.0,26933000000.0,0.0,,10340000000.0,314507000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,38159000000.0,4802606000000,,23000000.0,37654000000.0,15983000000,10906000000.0,226364000000.0,-23315000000.0,-2173000000.0,15203000000.0,,11144000000.0,,118668000000,,12640000000.0,-49339000000.0,317740000000,,8232000000.0,8306000000.0,,594684000000,-2998000000.0,-60456000000.0,854000000.0,15983000000,,2838000000.0,6186000000.0,1653000000,711959000000,48935000000,220178000000.0,,-8096000000.0,5122292000000,-63454000000.0,26354000000.0,5116000000.0,,8232000000.0,-12215000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
