date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyEbitda,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables
1984-03-31,,,,,,,,,,,,,59800000,385544000.0,,,,,,,,,,,,,,,,,0.1475,,,,,385544000.0,,,,,,,0.155,,,,,,815100000,,815100000,,,,,,,,,,,,,,815100000,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,71600000,385544000.0,,,,,,,,,,,,,,,,,0.1775,,,,,385544000.0,,,,,,,0.185,,,,,,897500000,,897500000,,,,,,,,,,,,,,897500000,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,58000000,387000000.0,,,,,,,,,,,,,,,,,0.1425,,,,,387000000.0,,,,,,,0.15,,,,,,866500000,,866500000,,,,,,,,,,,,,,866500000,,,,,,,,,,,,
1984-12-31,,,,780800000.0,,,,2611900000.0,926900000.0,441100000.0,190900000.0,,65000000,,,36800000.0,,,,,,,,,461700000.0,,111300000.0,148800000.0,1410500000.0,,,1201400000.0,,87900000.0,,,492700000.0,492700000.0,,,167900000.0,,,,,,,,930700000,,-2173400000,-531300000.0,,,,1259000000.0,629700000.0,1685000000.0,961900000.0,,,,,,-2173400000,727700000.0,,592900000.0,,,,,,,,,
1985-03-31,,,,,,,,,,,,,65900000,390760000.0,,,,,,,,,,,,,,,,,0.16,,,,,390760000.0,,,,,,,0.1675,,,,,,909200000,,909200000,,,,,,,,,,,,,,909200000,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,59600000,390760000.0,,,,,,,,,,,,,,,,,0.145,,,,,390760000.0,,,,,,,0.1525,,,,,,912600000,,912600000,,,,,,,,,,,,,,912600000,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,50200000,393712000.0,,,,,,,,,,,,,,,,,0.1225,,,,,393712000.0,,,,,,,0.1275,,,,,,869100000,,869100000,,,,,,,,,,,,,,869100000,,,,,,,,,,,,
1985-12-31,,,,847000000.0,,,,2814200000.0,971100000.0,436200000.0,208100000.0,,55200000,,,34900000.0,,,,,,,,,448200000.0,,221200000.0,202700000.0,1419100000.0,,,1395100000.0,,,,,576500000.0,576500000.0,,,122000000.0,,,,,,,,983600000,,-2325400000,-599500000.0,,,,1349400000.0,572100000.0,1843100000.0,1128700000.0,,,,,,-2325400000,749900000.0,,537200000.0,,,,,,,,,
1986-03-31,,,,,,,,,,,,,50100000,393752000.0,,,,,,,,,,,,,,,,,0.1225,,,,,393752000.0,,,,,,,0.1275,,,,,,882400000,,882400000,,,,,,,,,,,,,,882400000,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,52500000,393752000.0,,,,,,,,,,,,,,,,,0.13,,,,,393752000.0,,,,,,,0.135,,,,,,1003300000,,1003300000,,,,,,,,,,,,,,1003300000,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,-11800000,393064000.0,,,,,,,,,,,,,,,,,-0.0325,,,,,393064000.0,,,,,,,-0.0325,,,,,,897600000,,897600000,,,,,,,,,,,,,,897600000,,,,,,,,,,,,
1986-12-31,,,,1123400000.0,,,,3025100000.0,1348600000.0,632700000.0,218500000.0,,46800000,,,31000000.0,,,,,,,,,484700000.0,,178300000.0,272200000.0,1769700000.0,,,1255400000.0,,315800000.0,,,190800000.0,190800000.0,,,166500000.0,,,,,,,,1028300000,,-2473900000,-663200000.0,,,,1517700000.0,646300000.0,1676500000.0,984700000.0,,,,,,-2473900000,854500000.0,,615300000.0,,,,,,,,,
1987-03-31,,,,,,,,,,,,,54100000,375792000.0,,,,,,,,,,,,,,,,,0.1675,,,,,375792000.0,,,,,,,0.17,,,,,,771600000,,771600000,,,,,,,,,,,,,,771600000,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,,61800000,375792000.0,,,,,,,,,,,,,,,,,0.19,,,,,375792000.0,,,,,,,0.1925,,,,,,807700000,,807700000,,,,,,,,,,,,,,807700000,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,,46400000,342560000.0,,,,,,,,,,,,,,,,,0.1475,,,,,342560000.0,,,,,,,0.15,,,,,,753500000,,753500000,,,,,,,,,,,,,,753500000,,,,,,,,,,,,
1987-12-31,,,,1324800000.0,,,,3026200000.0,1908000000.0,794900000.0,233900000.0,,43900000,,,36200000.0,,,,,,,,,407100000.0,,788500000.0,296000000.0,1950300000.0,,,1075900000.0,,271900000.0,,,48100000.0,48100000.0,,,204400000.0,,,,,,,,805100000,,-1957100000,-676100000.0,,,,1523700000.0,625500000.0,1118200000.0,749100000.0,,,,,,-1957100000,847600000.0,,589300000.0,,,,,,,,,
1988-03-31,,,,,,,,,,,,,60100000,299024000.0,,,,,,,,,,,,,,,,,0.2025,,,,,299024000.0,,,,,,,0.2025,,,,,,857100000,,857100000,,,,,,,,,,,,,,857100000,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,,63600000,298280000.0,,,,,,,,,,,,,,,,,0.215,,,,,298280000.0,,,,,,,0.215,,,,,,880100000,,880100000,,,,,,,,,,,,,,880100000,,,,,,,,,,,,
