date,quarterlyOperatingIncome,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyGoodwill,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyNetPPE,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyInventory
1994-09-30,26900000,39259259.0,16700000,,,,,,,340100000.0,12200000,,,,,,,26900000,-0.135,,,-132500000.0,,,,,,,339500000,2700000.0,,,,,,,,,,,,-5300000,-5300000,,,13100000,,,39259259.0,-14700000,340100000.0,800000.0,,,,,,,,,-0.135,-5300000,356200000,,,,,,,100000,,,,,,,
1994-12-31,13900000,,17400000,-700000.0,-8600000.0,,,,,338500000.0,12300000,,,,-1100000.0,-8800000.0,-5500000.0,17300000,,,,-137100000.0,,,,2400000.0,,,335400000,,,,,,-8700000.0,,,,100000.0,,,17100000,7100000,6400000.0,,12600000,,,,-1600000,338500000.0,,,,-3500000.0,,,2900000.0,,,,7100000,352800000,,,-3600000.0,,3400000.0,,300000,,,,,,,
1995-03-31,16700000,38709677.0,20900000,300000.0,1200000.0,,,,,347500000.0,11900000,,,,-12300000.0,-8800000.0,-600000.0,20000000,0.155,,,453000000.0,,,,300000.0,,,332700000,900000.0,,,,,-5500000.0,,,,3300000.0,,-12600000.0,6000000,6000000,9900000.0,,15900000,,,38709677.0,-4800000,347500000.0,,,,-7900000.0,11700000.0,,-2700000.0,,,0.155,6000000,353600000,,,300000.0,,3300000.0,,300000,,,,,,,
1995-06-30,17400000,38666667.0,49500000,-400000.0,-200000.0,,,,,373000000.0,12300000,,,,-29000000.0,-8800000.0,100000.0,21000000,0.15,,,-142800000.0,,,,0.0,,,329700000,800000.0,,,,,19500000.0,,,,28300000.0,,-29000000.0,5800000,5800000,9300000.0,,44200000,,,38666667.0,-5100000,373000000.0,,,,-100000.0,,,-19700000.0,,,0.15,5800000,379200000,,,300000.0,,3600000.0,,600000,,,,,,,
1995-09-30,17800000,39354839.0,65700000,600000.0,-1600000.0,,,,,383600000.0,13100000,,,,-14300000.0,,800000.0,21700000,0.155,,,-146200000.0,,,,200000.0,,,346200000,1300000.0,,,,,4400000.0,,,,,,-14500000.0,6100000,6100000,9200000.0,,57200000,,,39354839.0,-4700000,383600000.0,,,,-800000.0,,,-5300000.0,,,0.155,6100000,411900000,,22600000.0,-1400000.0,,3900000.0,,1000000,,,,,,,
1995-12-31,-26218000,,36218000,-600000.0,400000.0,,,,,515426000.0,14255000,,,,-10655000.0,,-237000.0,-22169000,,,,-157674000.0,,22567000.0,,-1482000.0,,,381421000,1721000.0,,-126062000.0,,,-2480000.0,,,,26190000.0,,-9790000.0,7700000,7600000,11912000.0,,18597000,,,,40473000,389364000.0,1638000.0,,,-1223000.0,,22976000.0,2122000.0,1650000.0,1650000.0,,7600000,417639000,,,,,4049000.0,,700000,,,,,,,
1996-03-31,19200000,46470588.0,33300000,-100000.0,1000000.0,,,,,387700000.0,14400000,,,,-1700000.0,-16000000.0,-900000.0,23300000,0.17,,,-156900000.0,,,,1500000.0,,,382100000,1300000.0,,,-15300000.0,,-10000000.0,,,,6000000.0,700000.0,-3200000.0,7900000,7900000,12100000.0,,24600000,,,46470588.0,-4800000,387700000.0,1100000.0,,,300000.0,1700000.0,,8900000.0,,,0.17,7900000,415400000,,22300000.0,600000.0,,4100000.0,,500000,,,,,,,
1996-06-30,18200000,46060606.0,32900000,-300000.0,-400000.0,,,,,385700000.0,13800000,,,,-1600000.0,-10700000.0,0.0,22200000,0.165,,,-160000000.0,,,,600000.0,,,378900000,1300000.0,,,0.0,,-10800000.0,,,,-100000.0,200000.0,-2200000.0,7600000,7600000,11200000.0,,24600000,,,46060606.0,-4400000,385700000.0,,,,-1100000.0,,,9000000.0,,,0.165,7600000,411800000,,22100000.0,100000.0,,4000000.0,,500000,,,,,,,
1996-09-30,18500000,46470588.0,45300000,,1600000.0,,,,,395200000.0,14100000,,,,-13000000.0,-10600000.0,-1200000.0,22600000,0.17,,,-162800000.0,,,,1500000.0,,,376100000,1300000.0,,,0.0,,1300000.0,,,,-100000.0,300000.0,-14500000.0,7900000,7900000,12400000.0,,36600000,,,46470588.0,-4400000,395200000.0,,,,600000.0,,,-2100000.0,,,0.17,7900000,421400000,,21900000.0,400000.0,,4100000.0,,500000,,,,,,,
1996-12-31,-25532000,,79856000,,-1450000.0,,,,,564540000.0,14457000,,,,-35000000.0,-10800000.0,778000.0,-21310000,,,,-164743000.0,,21834000.0,,,,,374241000,1281000.0,,-138307000.0,3000.0,,22636000.0,,,,221000.0,300000.0,-35805000.0,8823000,8823000,12373000.0,,70000000,,,,39989000,426233000.0,1905000.0,,,109000.0,,22980000.0,-23432000.0,1559000.0,1559000.0,,8823000,454097000,,,-1700000.0,,4222000.0,,976000,,,,,,,
