date,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyAccountsReceivable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,22264000.0,,,,,,,,,,,9400000,,,,,,,,,,,0.095,,,22264000.0,,,,,,,,,,,,,,,,,,50600000,0.095,,,,,50600000,,,,,,,,,,50600000,,,,,,,
1984-06-30,,,,,,,,,,,22264000.0,,,,,,,,,,,6000000,,,,,,,,,,,0.0575,,,22264000.0,,,,,,,,,,,,,,,,,,41400000,0.0575,,,,,41400000,,,,,,,,,,41400000,,,,,,,
1984-09-30,,,,,,,,,,,22920000.0,,,,,,,,,,,4700000,,,,,,,,,,,0.0425,,,22920000.0,,,,,,,,,,,,,,,,,,38700000,0.0425,,,,,38700000,,,,,,,,,,38700000,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,2600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41600000,,,,,,41600000,,,,,,,,,,41600000,,,,,,,
1985-03-31,,,,,,,,,,,23120000.0,,,,,,,,,,,9000000,,,,,,,,,,,0.0875,,,23120000.0,,,,,,,,,,,,,,,,,,51000000,0.0875,,,,,51000000,,,,,,,,,,51000000,,,,,,,
1985-06-30,,,,,,,,,,,23340000.0,,,,,,,,,,,5200000,,,,,,,,,,,0.045,,,23340000.0,,,,,,,,,,,,,,,,,,40800000,0.045,,,,,40800000,,,,,,,,,,40800000,,,,,,,
1985-09-30,,,,,,,,,,,23532000.0,,,,,,,,,,,4500000,,,,,,,,,,,0.0375,,,23532000.0,,,,,,,,,,,,,,,,,,38300000,0.0375,,,,,38300000,,,,,,,,,,38300000,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44400000,,,,,,44400000,,,,,,,,,,44400000,,,,,,,
1986-03-31,,,,,,,,,,,23912000.0,,,,,,,,,,,7900000,,,,,,,,,,,0.075,,,23912000.0,,,,,,,,,,,,,,,,,,49400000,0.075,,,,,49400000,,,,,,,,,,49400000,,,,,,,
1986-06-30,,,,,,,,,,,23912000.0,,,,,,,,,,,4500000,,,,,,,,,,,0.04,,,23912000.0,,,,,,,,,,,,,,,,,,38600000,0.04,,,,,38600000,,,,,,,,,,38600000,,,,,,,
1986-09-30,,,,,,,,,,,23912000.0,,,,,,,,,,,5600000,,,,,,,,,,,0.0525,,,23912000.0,,,,,,,,,,,,,,,,,,40200000,0.0525,,,,,40200000,,,,,,,,,,40200000,,,,,,,
