date,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyRetainedEarnings,quarterlyStockholdersEquity,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentAccruedExpenses,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyGoodwill,quarterlyResearchAndDevelopment
2017-02-28,,,423245,,,,,,,,,,,,,,-35723,-10723,423245,,412522,,0,,87522.0,,,,,,,,,,,,,,,,,0.0,,,,123245.0,,,,,,1150,,412522,325000,325000,300000.0,,,,0,,,,,,,,,,,,,,,,
2017-04-30,,,646903067,,,,,,,,,,,,,,-64915,5000004,1367547,,1903071,,645535520,,0.0,622785520.0,,,,650000000.0,,,,0.0,,,,,,,,0.0,,,,1367547.0,,,,,,1997,,651903071,1776071,1776071,,,,,650000000,,,,,,,,,,,,,,,,
2017-06-30,,,24549645,,,0.01,0.0,-206743.0,,,-206743.0,,206743.0,,,,248804,628099243,1799645,,1996189,445977.0,22750000,,0.0,623099240.0,,0.01,52862637.0,650652699.0,289885.0,,52862637.0,0.0,,,,289885.0,,156092.0,0.0,0.0,,,,1799645.0,206743.0,,,,,623101134,289885.0,652648888,1776071,1776071,,,,,650652699,,,,,,,,,,,,,,,,
2017-09-30,,,23979470,,,0.01,0.0,-327649.0,,-21539937.0,-327649.0,,327649.0,638699.0,394354000.0,0.0,918017,628768456,1229470,,1138019,1029559.0,22750000,,0.0,623768450.0,,0.01,81250000.0,651609907.0,669213.0,-589316029.0,81250000.0,0.0,,-587503000.0,193185958.0,669213.0,,360346.0,0.0,0.0,-1776071.0,,,1229470.0,327649.0,,,,,623770337,669213.0,652747926,955993,955993,,4980958.0,,,651609907,,,,,,,,,,,,,,,,
2017-12-31,933000.0,,24554828,84111000.0,359823.0,,124978000.0,63618000.0,,-39294000.0,95153000.0,,13933000.0,-1300000.0,-58771000.0,0.0,1532195,629382634,1804828,,993742,54286000.0,22750000,450000.0,,624382630.0,,,,652839151.0,53512000.0,-5476000.0,,,-59221000.0,0.0,64247000.0,53512000.0,,774000.0,-9332000.0,,0.0,,,1445005.0,20493000.0,,40867000.0,40867000.0,0.0,624384511,53512000.0,653937462,851466,851466,,5026000.0,0.0,0.0,652943720,-5476000.0,-42709000.0,,,,,,,,,,,,,,
2018-03-31,,,28712718,,759964.0,-0.02,0.0,-4025836.0,,3350843.0,-4025836.0,,4025836.0,-2073575.0,,571738.0,-10091,627840348,5962718,,725655,-1952261.0,22750000,,,,,-0.02,81250000.0,654912726.0,-1542286.0,-14710.0,81250000.0,,,0.0,-265018.0,-1542286.0,,-409975.0,,,-279728.0,,,5202754.0,4025836.0,,,,851466.0,622842236,-1542286.0,656553066,571738,571738,,-265018.0,,,655827411,-14710.0,,,,,,,,,,,,,,,
2018-06-30,,,34332073,,25658.0,-0.04,0.0,-6861992.0,,3268354.0,-6861992.0,,6861992.0,-2608750.0,,242065.0,-3371515,624478924,11582073,,355398,-4253242.0,22750000,,,619478920.0,,-0.04,81250000.0,655322929.0,-3361424.0,173600.0,81250000.0,,,,-503273.0,-3361424.0,,-891818.0,,,-329673.0,,,10556415.0,6861992.0,,,,571738.0,619480850,-3361424.0,658810997,242065,242065,1000000.0,-503273.0,,,658455599,-826400.0,,,,,,,,,,,,,,,
2018-09-30,,178072000.0,657088000,,,,,,3081740000.0,,,,,,,,3120000,1651050000,178072000,,211713000,,479016000,,2033000.0,,-65069000.0,,,18409000.0,,,,,,,,,3016671000.0,,,,,388343000.0,47236000.0,,,167174000.0,,,,25000,,3300097000,36715000,36715000,,,,,3088384000,,,41983000.0,,,,,,,,,,,,,
2018-12-31,,,725568000,139440000.0,,0.21,255055000.0,74110000.0,3251102000.0,,73220000.0,,38241000.0,,,,35507000,1676769000,197361000,,292359000,65726000.0,528207000,,156601000.0,139572000.0,-177898000.0,0.21,156273000.0,18873000.0,32921000.0,,158998000.0,67960000.0,,,,57808000.0,3073204000.0,7918000.0,-890000.0,,,388635000.0,54593000.0,,65330000.0,140284000.0,115615000.0,,,25000,32921000.0,3433523000,135758000,135758000,,,,7494000.0,3141164000,,,38356000.0,,,,,,,,,,,,,
2019-03-31,3415000.0,,721396000,99102000.0,,0.08,218674000.0,33515000.0,3462402000.0,-37870000.0,153476000.0,2432000.0,37714000.0,6300000.0,-183314000.0,76307000.0,48533000,1685213000,184460000,197000.0,203245000,26488000.0,536936000,-53326000.0,6692000.0,694000.0,-293858000.0,0.08,156322000.0,19261000.0,13026000.0,7301000.0,158140000.0,2039000.0,-134435000.0,,116562000.0,22713000.0,3168544000.0,3775000.0,389000.0,2468000.0,-59451000.0,388928000.0,58096000.0,,65587000.0,107388000.0,119572000.0,119572000.0,135758000.0,25000,13026000.0,3437973000,76307000,76307000,,-17873000.0,,7416000.0,3234728000,7301000.0,5012000.0,34730000.0,,,,,,,,,,,,,
