date,quarterlyOtherIntangibleAssets,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyAccumulatedDepreciation,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyCurrentDebt,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyInventory,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2013-12-31,40130000.0,1388082000,946759000,1272299000,80000,-34797000.0,34990000,8465000,99006000.0,15242000.0,64209000,0.0,8465000,194929000,1421100000,325540000.0,-386686000,1591476000,170376000,203394000,0.0,0.0,15670000.0,92194000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,39627000.0,1404873000,1120341000,1120341000,80000,,23624000,5973000,,0.0,55892000,87464000.0,5973000,145996000,1261909000,,-408459000,1556842000,294933000,151969000,0.0,0.0,15670000.0,74145000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,77698000.0,1392322000,1051947000,1051947000,80000,-44172000.0,25927000,6866000,87530000.0,0.0,43358000,8708000.0,7553000,150621000,1206760000,,-425217000,1559220000,352460000,158174000,7000.0,0.0,5360000.0,90212000,1586000.0,687000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,79503000.0,1631344000,1028292000,1028292000,92000,,39537000,2037000,,,34884000,53781000.0,2724000,109799000,1386351000,,-439667000,1743867000,357516000,112523000,0.0,0.0,200000000.0,92077000,,687000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,57064000.0,1444754000,1127129000,1127129000,88000,-48890000.0,24091000,1358000,75087000.0,,26197000,40063000.0,2202000,78183000,1243405000,,-554361000,1525111000,281706000,80385000,0.0,0.0,674000.0,68584000,1586000.0,844000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,31322000.0,1299749000,1108987000,1108987000,86000,,37176000,591000,,,18571000,29751000.0,655000,78628000,1196224000,,-678536000,1378619000,182395000,79283000,0.0,0.0,771000.0,55818000,,64000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,13336000.0,1059156000,716983000,716983000,87000,-43964000.0,26652000,410000,54640000.0,,10676000,64107000.0,474000,103233000,768382000,,-949535000,1161817000,393435000,103707000,0.0,0.0,807000.0,38561000,1586000.0,64000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,14626000.0,1027626000,291776000,291776000,87000,,19185000,1296000,,,4690000,50489000.0,1360000,79517000,715001000,,-969614000,1107431000,392430000,80877000,0.0,0.0,100584000.0,25780000,,64000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,170713000.0,1108701000,654915000,689565000,87000,-18930000.0,34169000,270000,27495000.0,,8565000,252854000.0,32447000,309518000,1106452000,34650000.0,-881487000,1523382000,416930000,341965000,0.0,0.0,34650000.0,40249000,205883000.0,32177000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,9018000.0,843275000,471710000,471710000,87000,,34709000,225000,,,6642000,,244000,221738000,1030376000,,-1130841000,1097104000,66728000,221982000,,,,25583000,,19000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,8124000.0,809241000,757018000,798552000,86000,-21597000.0,29153000,122000,29752000.0,,8155000,,581000,141372000,886711000,41534000.0,-1173277000,989640000,102929000,141953000,,,,23100000,0.0,459000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,912630000,339169000,339169000,102000,,16388000,0,64219000.0,,64219000,,30731000,167116000,850733000,,-1162890000,1169253000,318520000,197847000,,,,12706000,,9346000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
