date,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyEbitda,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital
1986-03-31,,,,,,,0.087837,,,,,,,260285935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087837,,3450565281.0,,,,,,1160193440.0,,,,,,,,1160193440.0,3450565281.0,,,,,,,1160193440.0,,,,,,,,,,
1986-06-30,,,,,,,0.08311,,,,,,,246279215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08311,,3450565281.0,,,,,,1097760160.0,,,,,,,,1097760160.0,3450565281.0,,,,,,,1097760160.0,,,,,,,,,,
1986-09-30,,,,,,,0.078578,,,,,,,232849695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078578,,3450565281.0,,,,,,1037899680.0,,,,,,,,1037899680.0,3450565281.0,,,,,,,1037899680.0,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,200690035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894551840.0,,,,,,,,894551840.0,,,,,,,,894551840.0,,,,,,,,,,
1987-03-31,,,,,,,0.037859,,,,,,,108321300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037859,,3450565281.0,,,,,,1100105550.0,,,,,,,,1100105550.0,3450565281.0,,,,,,,1100105550.0,,,,,,,,,,
1987-06-30,,,,,,,0.038407,,,,,,,109891228.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038407,,3450565281.0,,,,,,1116049658.0,,,,,,,,1116049658.0,3450565281.0,,,,,,,1116049658.0,,,,,,,,,,
1987-09-30,,,,,,,0.038454,,,,,,,110021848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038454,,3450565281.0,,,,,,1117376228.0,,,,,,,,1117376228.0,3450565281.0,,,,,,,1117376228.0,,,,,,,,,,
1987-12-31,261601236.0,575891388.0,,4904139906.0,15409510974.0,,,,,,,5496851808.0,,52121112.0,,29723922.0,,16820514.0,,,,,,,,19892754.0,1153395702.0,19892754.0,,,,5146002.0,14504736294.0,6911848746.0,657382554.0,30568788.0,,,,8497662228.0,,,,,,,,,,,-3288302898.0,13842207738.0,,382186656.0,,,,,-3288302898.0,,,,1414996938.0,904774680.0,22700550942.0,,529339332.0,,,-8858343204.0,,,,,,,
1988-03-31,,,,,,,0.03501,,,,,,,111603492.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03501,,3450565281.0,,,,,,1088254830.0,,,,,,,,1088254830.0,3450565281.0,,,,,,,1088254830.0,,,,,,,,,,
1988-06-30,,,,,,,0.038104,,,,,,,121553906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038104,,3450565281.0,,,,,,1184427570.0,,,,,,,,1184427570.0,3450565281.0,,,,,,,1184427570.0,,,,,,,,,,
