date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyInterestExpense,quarterlyDilutedEPS,quarterlyCurrentDebt,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepaymentOfDebt,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid
2010-03-31,,-141000,,,1162000,,-2166000,,,,1228000,,-2806000,,-0.067097,,-2806000,,,,-1595000,-91000,412000,,,2534000,5000,-1324000,,,-842000,,5331000,,-2823000,,,,,415000,,,,,3000000,-0.067097,-233000,228000,,,4169000,41820000.0,4439000,,0.0,,,17000,,4458000,,,,-980000,,6992000,0,696000,4298000,-2806000,,,,72318000.0,,,
2010-06-30,,-232000,,,1222000,,-1815000,,,,1354000,,-1972000,,-0.053333,,-1972000,,,,-643000,-4818000,429000,,,2878000,422000,-1598000,,,-217000,,7334000,,-1997000,,,,,-169000,,,,,5407000,-0.053333,-908000,226000,,,6112000,37980000.0,4298000,,0.0,,,25000,,5231000,,,,-4246000,,8109000,0,-437000,4066000,-1972000,,,,37980000.0,,,
2010-09-30,,3194000,,,1263000,,489000,,,,1314000,,-1510000,,-0.04,,-1510000,,,,-210000,-1429000,468000,,,2528000,160000,-1214000,,,1703000,,8229000,,-1524000,,,,,1382000,0.0,,,,4245000,-0.04,-242000,129000,,,6966000,38409000.0,4066000,,0.0,,,14000,,5962000,,,,-1700000,,8490000,0,1331000,7260000,-1510000,,,,38409000.0,,,
2010-12-31,0.0,5018000,0.0,,1326000,1925000.0,224000,3984000.0,5842000.0,24013000.0,1366000,,-486000,,,,-486000,0.0,335000.0,,873000,6307000,406000,-26294000.0,-78709000.0,2711000,363000,-1390000,1499000.0,,1614000,31223000.0,9573000,,-493000,6230000.0,4929000.0,18171000.0,,297000,,,0.0,,5930000,,27000,-256000,750000.0,5000.0,8247000,,7260000,17448000.0,0.0,,,7000,,6029000,13777000.0,12278000.0,3284000.0,-1499000,,8740000,0,3041000,12278000,-486000,888000.0,6565000.0,25000.0,,,,
2011-03-31,0.0,-1223000,0.0,,1817000,3345000.0,2118000,3729000.0,8649000.0,28625000.0,1526000,,-826000,,-0.013333,,-826000,1140000.0,301000.0,,661000,-16000,390000,-27550000.0,-79535000.0,2996000,657000,-1366000,4499000.0,,3484000,32544000.0,11260000,,-865000,9644000.0,4994000.0,19976000.0,,2390000,,,0.0,,500000,-0.013333,234000,517000,1267000.0,2000.0,9443000,67869000.0,12278000,18680000.0,-1000000.0,,,39000,,7312000,15554000.0,11055000.0,4762000.0,-3498000,,10308000,0,-5364000,11055000,-826000,1518000.0,9945000.0,997000.0,67869000.0,,,
2011-06-30,0.0,5106000,0.0,,2713000,2336000.0,2108000,5307000.0,11764000.0,33902000.0,1868000,,1576000,,0.0,,1576000,1140000.0,405000.0,,3439000,847000,413000,-29090000.0,-77959000.0,3304000,-1502000,-2744000,0.0,,4852000,34634000.0,15845000,,1571000,12356000.0,5544000.0,22138000.0,,695000,,,0.0,,4750000,0.0,-1735000,1257000,2524000.0,5000.0,13132000,41820000.0,11055000,21141000.0,0.0,,,5000,,8257000,16161000.0,16161000.0,5647000.0,-250000,,11561000,-1854000,1756000,16161000,0,1934000.0,12761000.0,3146000.0,72318000.0,,,
2011-09-30,471000.0,79652000,0.0,,3084000,4063000.0,1328000,6115000.0,11146000.0,113922000.0,2035000,,-570000,,-0.006667,,-570000,1140000.0,1100000.0,,1429000,1963000,488000,-28636000.0,-78531000.0,3849000,78327000,-4355000,0.0,,5683000,36888000.0,19057000,,-606000,15155000.0,8252000.0,102776000.0,,1402000,0.0,,0.0,,69999000,-0.006667,-1015000,1210000,3734000.0,3000.0,15973000,72060000.0,16161000,97667000.0,0.0,,,36000,,12730000,95813000.0,95813000.0,5734000.0,-70002000,,16579000,7354000,-4358000,95813000,-570000,1714000.0,16255000.0,40000.0,72060000.0,,,
2011-12-31,118000.0,-47887000,0.0,,2961000,4893000.0,451000,5638000.0,30965000.0,116668000.0,1761000,15285000.0,924000,,,,924000,3676000.0,1465000.0,,2659000,1288000,654000,-30014000.0,-77607000.0,3995000,1723000,-356000,28925000.0,0.0,807000,37241000.0,19891000,,898000,13990000.0,7227000.0,85703000.0,,-3810000,-5540000.0,,0.0,,-70499000,,308000,-2068000,1681000.0,3000.0,16930000,,95813000,101213000.0,0.0,,,26000,,12037000,76851000.0,47926000.0,5769000.0,25978000,,16032000,0,-50417000,47926000,924000,4532000.0,15455000.0,245000.0,,,,
2012-03-31,0.0,6374000,0.0,,3350000,4173000.0,3469000,6140000.0,31902000.0,123273000.0,2336000,15230000.0,1724000,,0.02,,1724000,3676000.0,1756000.0,,1693000,2334000,1418000,-31598000.0,-75883000.0,5030000,2905000,-3029000,28780000.0,,6498000,40082000.0,22833000,,1693000,13874000.0,8484000.0,91371000.0,,248000,0.0,,0.0,,0,0.02,-601000,-413000,1268000.0,3000.0,19483000,85044000.0,47926000,107643000.0,0.0,,,31000,,12760000,83080000.0,54300000.0,6533000.0,0,,17790000,0,-3029000,54300000,1724000,4289000.0,15630000.0,223000.0,92982000.0,,,
2012-06-30,0.0,-28508000,0.0,,3264000,5209000.0,6009000,7775000.0,56159000.0,135153000.0,2749000,0.0,1332000,,0.013333,,1332000,35432000.0,2247000.0,,1298000,2020000,1225000,-33528000.0,-74551000.0,5818000,1888000,-4557000,43810000.0,,10566000,44193000.0,27765000,,1298000,20120000.0,10665000.0,78994000.0,,4385000,-36405000.0,,0.0,,0,0.016667,-1796000,1983000,3472000.0,3000.0,24501000,86838000.0,54300000,112786000.0,0.0,,,34000,,17385000,69602000.0,25792000.0,8699000.0,0,,23203000,0,-40962000,25792000,1332000,9655000.0,22367000.0,407000.0,93960000.0,,,
