date,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyBasicEPS,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyTaxProvision,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyGoodwill,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlyFreeCashFlow,quarterlyPurchaseOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems
1992-09-30,,,0.008055,17721000.0,17721000.0,,,,,,,2200000000.0,,,,,,,17721000.0,,,,,,,,,,,,,,0.008055,320052000.0,,320052000.0,320052000.0,,,,,,,,,,,,,2200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-31,,,0.008475,25425000.0,25425000.0,,,,,,,3000000000.0,,,,,,,25425000.0,,,,,,,,,,,,,,0.008475,318660000.0,,318660000.0,318660000.0,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,,0.00864,25920000.0,25920000.0,,,,,,,3000000000.0,,,,,,,25920000.0,,,,,,,,,,,,,,0.00864,324864000.0,,324864000.0,324864000.0,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-30,,,0.008685,26055000.0,26055000.0,,,,,,,3000000000.0,,,,,,,26055000.0,,,,,,,,,,,,,,0.008685,326556000.0,,326556000.0,326556000.0,,,,,,,,,,,,,3000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31,,53360000.0,,135000.0,135000.0,462260000.0,,,295220000.0,,35380000.0,,178640000.0,,,,,,135000.0,1572960000.0,77720000.0,77720000.0,515620000.0,348000000.0,,,,594500000.0,32480000.0,,,,,4012000.0,499960000.0,-832928000.0,-832928000.0,35380000.0,,42920000.0,,,538240000.0,1057340000.0,,559120000.0,433840000.0,-37700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-31,,,0.004355,6968000.0,6968000.0,,,,,,,2607300000.0,,,,,,,6968000.0,,,,,,,,,,,,,,0.004355,321399000.0,,321399000.0,321399000.0,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,,0.004325,7785000.0,7785000.0,,,,,,,2607300000.0,,,,,,,7785000.0,,,,,,,,,,,,,,0.004325,319185000.0,,319185000.0,319185000.0,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-30,,,0.004265,7677000.0,7677000.0,,,,,,,2607300000.0,,,,,,,7677000.0,,,,,,,,,,,,,,0.004265,314757000.0,,314757000.0,314757000.0,,,,,,,,,,,,,2607300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,81120000.0,,9932000.0,9932000.0,807820000.0,,,275470000.0,,21970000.0,,189280000.0,,,,,,9932000.0,2219815000.0,422500000.0,422500000.0,888940000.0,428415000.0,,,,789230000.0,149565000.0,,,,,417024000.0,896545000.0,-883431000.0,-883431000.0,21970000.0,,81965000.0,,,801905000.0,1330875000.0,,767260000.0,479115000.0,-88725000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-31,,,0.004215,8430000.0,8430000.0,,,,,,,2000000000.0,,,,,,,8430000.0,,,,,,,,,,,,,,0.004215,287463000.0,,287463000.0,287463000.0,,,,,,,,,,,,,2000000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
