date,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyFreeCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicAverageShares,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue
1996-08-31,1100000,-100000.0,,5400000,,0,-1800000,2600000.0,101400000,-500000.0,48200000,,88000000.0,1000000,,143800000.0,33200000,61400000,2800000,65600000,58500000.0,300000.0,2000000,42600000.0,,,53100000,68200000,0.0125,12500000,,1100000,,1100000,49000000,7100000,0.0,7700000,88000000.0,,-60800000.0,700000,4700000,4700000,83000000,400000,200000,9700000,,4400000.0,1100000.0,0.0,-600000,6000000,,3100000,1800000,,-2100000,700000,150400000,15000000.0,,89000000,0.0125,,4000000,,13800000,,,,,,,,
1996-11-30,5900000,6000000.0,,10700000,,0,-3400000,,107600000,,54100000,,88000000.0,6400000,,146500000.0,41400000,72500000,10700000,78600000,56500000.0,,7700000,600000.0,,,60800000,66200000,0.065,17800000,,5900000,,5900000,54900000,7100000,0.0,2000000,88000000.0,,-62800000.0,3800000,9000000,9000000,83700000,42900000,200000,7100000,,4300000.0,1200000.0,0.0,-2000000,6300000,,9800000,9700000,,-3400000,4400000,162500000,9400000.0,,90000000,0.065,,0,,27700000,,,,,,,,
1997-02-28,6900000,2900000.0,,11600000,,0,-3300000,,100700000,,61000000,,88000000.0,11000000,,150600000.0,36200000,82600000,11600000,79600000,54800000.0,,7700000,1200000.0,,,60500000,64500000,0.0675,19100000,,6900000,,6900000,74100000,7500000,-4700000.0,2000000,88000000.0,,-64400000.0,4400000,24300000,24300000,86200000,42400000,600000,7500000,,4200000.0,900000.0,10500000.0,8700000,6000000,,9900000,11300000,,1100000,15300000,174800000,9300000.0,,92200000,0.0675,,0,,22700000,,,,,,,,
1997-05-31,800000,,,2200000,,0,-12100000,,107700000,,61900000,,,-2100000,,161100000.0,36200000,81500000,2200000,68700000,59900000.0,,1600000,2100000.0,,,48700000,71500000,,20000000,,800000,,800000,74600000,7200000,-600000.0,10000000,,,-65800000.0,500000,23700000,23700000,95300000,42600000,400000,17800000,,4500000.0,1200000.0,1800000.0,1800000,5500000,0.0,9700000,1300000,,-11800000,-600000,182300000,16400000.0,,100800000,,,0,,15300000,,,,,,,,
1997-08-31,-1700000,,,-2100000,,0,-5100000,,105500000,,60200000,,52776000.0,-5000000,,166100000.0,36400000,75600000,-2100000,63700000,57500000.0,,1600000,3500000.0,,,58300000,69100000,-0.01625,5400000,,-1700000,,-1700000,72900000,7500000,0.0,10000000,52776000.0,,-68500000.0,-1100000,16900000,16900000,97600000,41400000,200000,7500000,,5100000.0,1000000.0,0.0,-1900000,5200000,100000.0,100000,-2800000,,-5100000,-6900000,178400000,9900000.0,-100000.0,102800000,-0.01625,,23700000,,21400000,,,,,,,,
1997-11-30,4200000,,,7300000,,0,-5200000,,118400000,,64400000,,52776000.0,800000,,170800000.0,46000000,90000000,7300000,79400000,60700000.0,,1700000,600000.0,,,64000000,72400000,0.04,15400000,,4200000,,4200000,77100000,8100000,-400000.0,10000000,52776000.0,,-71200000.0,2400000,20900000,20900000,99600000,44200000,200000,8100000,,5100000.0,900000.0,0.0,3200000,5900000,0.0,6100000,6600000,,-5300000,4100000,195500000,9900000.0,0.0,105500000,0.04,,0,,31000000,,,,,,,,
1998-02-28,3700000,7500000.0,,5400000,,0,-2200000,,127100000,,68000000,,52776000.0,7600000,,172200000.0,43300000,102000000,5400000,89300000,72200000.0,,1600000,700000.0,,,74400000,83800000,0.035,14900000,,3700000,,3700000,80700000,9500000,1100000.0,10000000,52776000.0,,-72400000.0,2100000,41000000,41000000,99800000,43300000,800000,9500000,,4300000.0,400000.0,0.0,11000000,6000000,0.0,11200000,5800000,,-3600000,20000000,207800000,10000000.0,0.0,105800000,0.035,,0,,29000000,,,,,,,,
1998-05-31,-800000,-11300000.0,,-300000,,0,-5600000,,123700000,,67000000,,,2900000,,170900000.0,40700000,97300000,-300000,76600000,71000000.0,,1700000,1100000.0,,,55900000,83000000,,20700000,,-800000,,-800000,79500000,9000000,-1100000.0,10300000,,,-71500000.0,-600000,41100000,41100000,99400000,41400000,1500000,21000000,,4500000.0,2500000.0,-500000.0,-1700000,6500000,0.0,7500000,-1400000,,-4600000,200000,203200000,18500000.0,-200000.0,105900000,,,0,,17700000,,,,,,,,
1998-08-31,-2100000,,,-2800000,,0,-1400000,,123500000,,64900000,,52524000.0,-4100000,,171700000.0,38900000,96200000,-2800000,68800000,72600000.0,,1700000,1900000.0,,,62700000,84600000,-0.02,6100000,,-2100000,,-2100000,77300000,8900000,-500000.0,10300000,52524000.0,,-73600000.0,-1200000,38700000,38700000,98100000,40500000,200000,8900000,,4700000.0,600000.0,-100000.0,1600000,6500000,,-2700000,-3300000,,-1400000,-2500000,200800000,10300000.0,-100000.0,104600000,-0.02,,41100000,,23900000,,,,,,,,
1998-11-30,4300000,,,8000000,,0,-1800000,,130100000,,68900000,,52376000.0,7500000,,167400000.0,43800000,108500000,8000000,77900000,74400000.0,,1600000,500000.0,,,60600000,86300000,0.04,17300000,,4300000,,4300000,81100000,9300000,-200000.0,10300000,52376000.0,,-72000000.0,2500000,50900000,50900000,95400000,37500000,-300000,9300000,,5000000.0,900000.0,0.0,1700000,7300000,,12300000,6800000,,-4800000,12200000,211200000,10400000.0,-200000.0,102700000,0.04,,0,,28400000,,,,,,,,
