date,quarterlyEbitda,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyDilutedEPS,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2013-03-31,21554000,573000,7970000,-132966000.0,,138082000,-136971000,-4913000,,-7523000,,,32304000,,,16779000,-0.06219,,,,,,,79000000.0,476000,,,-0.06219,31828000,,,-4913000,-6558000,-4005000,,839000,,,,,15049000,,,-2256000,,185259000.0,-132966000.0,,185259000.0,-6512000,,-5719000,,,41776000,-6512000,,,,,,79000000.0,97499000,18728000,,,,,,,,,,,,,
2013-06-30,42354000,978000,16205000,-208038000.0,,153952000,-210936000,24081000,,17538000,,,56000000,,,31890000,,,,,,,,,2199000,,,,53801000,,,24081000,25398000,-2898000,,-14239000,,,,,21911000,,,554000,,207751000.0,-208038000.0,,207751000.0,17862000,,11159000,,,14677000,17862000,,,,,,,138082000,22682000,,,,,,,,,,,,,
2013-09-30,47543000,883000,33265000,-132952000.0,,160453000,-123928000,2515000,,-51035000,,,65725000,,,37118000,,,,,,,,,1478000,,,,64247000,,,2515000,4823000,9024000,,-992000,,,,,27129000,,,1518000,,166297000.0,-132952000.0,,166297000.0,-37377000,,3831000,,,4992000,-37377000,,,,,,,153952000,35085000,,,,,,,,,,,,,
2013-12-31,17629000,24441000,-8491000,72278000.0,,357664000,-222732000,30917000,4326750000.0,50233000,,266363000.0,56878000,,4492286000.0,25799000,,,726868000.0,274915000.0,0.0,2842338000.0,416264000.0,,17271000,26649000.0,4051835000.0,,39607000,387324000.0,1217919000.0,-25100000,-25521000,-54371000,,2630000,357664000.0,21839000.0,357664000.0,-74166000.0,13808000,,5244000.0,-28212000,4418120000.0,-116321000.0,72278000.0,0.0,355566000.0,63415000,,-22891000,4418120000.0,18792000.0,196249000,63415000,,4887080000.0,5613948000.0,,101409000.0,,160453000,19262000,52312000.0,-27591000.0,,,,,,,,,,,
2014-03-31,42798000,1707000,76217000,-26306000.0,,809676000,-39947000,-13500000,4509281000.0,-36332000,,164336000.0,63822000,,4501745000.0,23901000,-0.17,,1073567000.0,697296000.0,0.0,2312519000.0,817667000.0,79000000.0,4499000,36323000.0,3811985000.0,-0.17,59323000,402640000.0,1419804000.0,-26906000,-28561000,-13641000,,-1814000,809676000.0,3328000.0,809676000.0,-101023000.0,35422000,,5357000.0,-8090000,4400722000.0,492509000.0,-26306000.0,0.0,492509000.0,-470000,,-30375000,4400722000.0,18564000.0,452092000,-470000,,4921699000.0,5995266000.0,,69552000.0,79000000.0,357664000,45935000,517051000.0,-46577000.0,,,,,,,,,,,
2014-06-30,93281000,87000,79048000,-50991000.0,,217345000,-39633000,-14733000,3928434000.0,-93885000,73603000.0,280992000.0,105986000,,,56075000,,15010000.0,619169000.0,202790000.0,0.0,2453600000.0,1124583000.0,,7584000,114372000.0,3725644000.0,,98402000,785926000.0,1835262000.0,-1327000,738000,11358000,,4520000,498337000.0,3816000.0,217345000.0,,42327000,18400000.0,6460000.0,6953000,4373789000.0,-483248000.0,-50991000.0,0.0,-483248000.0,-69026000,,5258000,4373789000.0,13246000.0,-591907000,-69026000,,5207523000.0,5826692000.0,8000000.0,137095000.0,,809676000,58065000,52106000.0,1812252000.0,,,,,,,,,,,
2014-09-30,94193000,68000,49892000,-4640000.0,,265106000,-4640000,42626000,3887956000.0,17197000,,261677000.0,99505000,,,54968000,,29936000.0,630011000.0,238587000.0,0.0,2382131000.0,1115439000.0,,3300000,96310000.0,3649369000.0,,96205000,780301000.0,1833050000.0,14393000,15464000,0,,1419000,526783000.0,7788000.0,265106000.0,,41237000,18400000.0,6918000.0,3943000,4319308000.0,-10059000.0,-4640000.0,0.0,-10059000.0,67475000,0.0,16883000,4319308000.0,4509000.0,52776000,67475000,,5149376000.0,5779387000.0,8000000.0,125758000.0,,217345000,47625000,105170000.0,1795114000.0,,,,,,,,,,,
2014-12-31,49913000,27833000,-47656000,24977000.0,,354154000,-260948000,-17772000,6124364000.0,45029000,64400000.0,229417000.0,93380000,16440000.0,7025576000.0,38399000,,-2031000.0,735335000.0,581016000.0,0.0,3868037000.0,1043837000.0,,16200000,78521000.0,5543348000.0,,77180000,5711000.0,1751602000.0,-17772000,-16906000,-19056000,,288000,583571000.0,60818000.0,354154000.0,-300398000.0,38781000,18400000.0,22068000.0,-22180000,6725178000.0,643678000.0,24977000.0,0.0,305238000.0,45629000,-266869000.0,-16618000,6725178000.0,144704000.0,89920000,45629000,,7228660000.0,7963995000.0,8000000.0,54074000.0,,265106000,27932000,333444000.0,1745633000.0,,,,,,,,,,,
2015-03-31,98872000,571000,90024000,-9194000.0,,267442000,-91222000,-14554000,6443623000.0,-20658000,,625445000.0,118304000,15983000.0,6952368000.0,42855000,-0.181925,17822000.0,1040993000.0,625121000.0,0.0,3813238000.0,1709313000.0,80000000.0,12923000,135465000.0,5818502000.0,-0.181925,105381000,503737000.0,1683766000.0,-14554000,-12698000,-9194000,,-3876000,892887000.0,43780000.0,267442000.0,-334449000.0,62526000,18400000.0,12641000.0,130000,6617919000.0,-18601000.0,-9194000.0,0.0,-18601000.0,37377000,-82028000.0,-16574000,6617919000.0,0.0,-72446000,37377000,,7240822000.0,8281815000.0,8000000.0,243001000.0,80000000.0,354154000,63192000,366137000.0,1657944000.0,,,,,,,,,,,
2015-06-30,159331000,1223000,116079000,-83976000.0,,528164000,-480650000,12881000,8114339000.0,21037000,,608167000.0,190265000,22258000.0,,95285000,0.14,-78547000.0,1382929000.0,795910000.0,0.0,5115014000.0,1705334000.0,90442000.0,5796000,232813000.0,7318429000.0,0.14,184469000,393991000.0,2284374000.0,12881000,17839000,3143000,,10304000,1136331000.0,56971000.0,528164000.0,,89184000,18400000.0,13785000.0,1739000,8562689000.0,693561000.0,-83976000.0,0.0,693561000.0,41932000,-399817000.0,28143000,8562689000.0,0.0,254843000,41932000,,9151841000.0,10534770000.0,10022000.0,270361000.0,90442000.0,267442000,73093000,503291000.0,2352899000.0,,,,,,,,,,,
2015-09-30,217329000,1083000,168702000,-6627000.0,,662508000,-277211000,25868000,9377438000.0,6304000,50600000.0,165017000.0,267345000,26212000.0,,138286000,0.26,-111180000.0,1530917000.0,875959000.0,0.0,6128610000.0,1371743000.0,100217000.0,8444000,194814000.0,8501479000.0,0.26,258901000,263064000.0,2136163000.0,25868000,29139000,551000,,15981000,827525000.0,77413000.0,662508000.0,,120615000,18400000.0,15479000.0,4047000,9566445000.0,253482000.0,-6627000.0,0.0,253482000.0,157984000,-275298000.0,45120000,9566445000.0,45906000.0,134255000,157984000,,10124491000.0,11655408000.0,10022000.0,168698000.0,100217000.0,528164000,98567000,582696000.0,2237321000.0,,,,,,,,,,,
2015-12-31,-54707000,2971000,360040000,-6210000.0,,514712000,-80767000,-234200000,8566973000.0,66378000,,221358000.0,214967000,15236000.0,10126023000.0,68095000,-2.34,-356524000.0,948291000.0,2092811000.0,0.0,4235805000.0,1646748000.0,100217000.0,8883000,126844000.0,6474162000.0,-2.34,206084000,149972000.0,1882602000.0,-234200000,-232466000,2274000,,1381000,736070000.0,79654000.0,514712000.0,-825126000.0,137989000,,14913000.0,5780000,9300897000.0,-117511000.0,-6210000.0,0.0,-117511000.0,62192000,-76831000.0,-231085000,9300897000.0,39097000.0,-136086000,62192000,,9642183000.0,10590474000.0,10022000.0,104404000.0,100217000.0,662508000,99069000,1899358000.0,2229104000.0,,,,,,,,,,,
2016-03-31,129648000,2254000,154262000,-5038000.0,,574788000,-39723000,-26006000,8864324000.0,-19510000,,145452000.0,206376000,15514000.0,,75387000,-0.26,-386561000.0,1078630000.0,2199507000.0,0.0,4350354000.0,1640423000.0,100217000.0,7375000,148264000.0,6664817000.0,-0.26,199001000,110256000.0,1856522000.0,-26006000,-22640000,-15614000,,-3599000,720240000.0,81920000.0,574788000.0,,123614000,6337000.0,15165000.0,-20776000,9409064000.0,639000.0,-5038000.0,0.0,639000.0,84499000,-19071000.0,-26239000,9409064000.0,22876000.0,45415000,84499000,,9772168000.0,10850798000.0,10022000.0,141137000.0,100217000.0,514712000,78727000,1986290000.0,2233061000.0,,,,,,,,,,,
