date,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyDilutedAverageShares,quarterlyOtherNonCashItems,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyStockholdersEquity,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyBasicAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2015-03-31,-8794000,2681000,,4291000,,17820000,-108000.0,,33365000,18134000,-0.14,61129595.0,1645000,26555000,-3849000,1645000,-8105000,-6000.0,,,,,-1761000.0,-8741000,0.0,,,,61129595.0,,,,-2088000,,1300000,,-0.14,8480000,0,,53000,,,-8660000,-3523000,-8660000,,-6072000,,,,26614000,-81000,,15545000,,-5611000,,32627000,,,,,,,-3054000,-8660000,,0.0,689000,,,,,,,
2015-06-30,-9460000,-2048000,,-4369000,,21127000,0.0,,37954000,21199000,-0.133015,71991639.0,1922000,121821000,-2486000,1922000,-8516000,-8000.0,,,,,0.0,-9543000,0.0,,,,71991639.0,,,,-2486000,,106285000,,-0.133015,9388000,0,,-83000,,,-9576000,-8533000,-9576000,,95266000,,,,30587000,33000,,16827000,,-11019000,,26555000,,,,,,,-1915000,-9576000,,,944000,,,,,,,
2015-09-30,-8944000,3326000,,1182000,,24660000,0.0,,44262000,22002000,-0.172242,71991639.0,2241000,115994000,-3102000,2241000,-7761000,-20787000.0,,,,,0.0,-8972000,0.0,,,,71991639.0,,,,-3102000,,-421000,,-0.172242,11602000,0,,-28000,,,-9008000,-2304000,-9008000,,-5827000,,,,33604000,36000,,19602000,,-5406000,,121821000,,,,,,,-3352000,-12400000,,,1183000,,,,,,,
2015-12-31,-8195000,-1030000,40891000.0,-446000,2299000.0,28858000,0.0,20408000.0,51338000,23964000,,,3069000,108835000,-2942000,3069000,-6785000,-9000.0,116625000.0,,448000.0,-145406000.0,0.0,-8126000,0.0,40443000.0,136475000.0,3165000.0,,448000.0,,0.0,-2942000,,185000,,,13089000,-694000,14058000.0,69000,1526000.0,-6350000.0,-8260000,-4402000,-8260000,0.0,-7159000,6146000.0,,,37053000,134000,14364000.0,22480000,19094000.0,-7344000,239928000.0,115994000,108835000.0,108835000.0,,2292000.0,157516000.0,21041000.0,-2185000,-8260000,,,1410000,,,,,,,
2016-03-31,-6366000,7497000,52903000.0,7349000,9555000.0,32513000,0.0,24611000.0,59340000,24015000,-0.09,71991639.0,3025000,103320000,-10858000,3025000,-4786000,-1000.0,114351000.0,,396000.0,-151874000.0,0.0,-6384000,-7439000.0,52507000.0,135996000.0,3165000.0,71991639.0,396000.0,,0.0,-3419000,,-679000,,-0.09,14864000,-1434000,16847000.0,-18000,8949000.0,-7764000.0,-6468000,6022000,-6468000,0.0,-5515000,6890000.0,,,38879000,84000,15669000.0,26827000,21197000.0,2603000,73000.0,108835000,103320000.0,103320000.0,,2297000.0,167254000.0,31258000.0,-2406000,-6468000,,0.0,1580000,,,,,,,
2016-06-30,-10853000,2787000,69318000.0,-2701000,8720000.0,36307000,0.0,29871000.0,64510000,29791000,-0.45,24261903.0,4976000,261386000,-4226000,4976000,-9148000,-1000.0,267233000.0,,9751000.0,-162868000.0,0.0,-10881000,0.0,59567000.0,301166000.0,3165000.0,24261903.0,,,0.0,-4226000,,163201000,,-0.45,17369000,-744000,20544000.0,-28000,9072000.0,-9327000.0,-10994000,-909000,-10994000,0.0,158066000,8707000.0,,,47160000,113000,18794000.0,28203000,22981000.0,-5135000,85000.0,103320000,261386000.0,261386000.0,,2604000.0,336551000.0,35385000.0,-2327000,-10994000,,,1705000,,,,,,,
2016-09-30,-11276000,705000,76292000.0,-2331000,6217000.0,40248000,,37148000.0,71533000,30418000,-0.13,83887901.0,7648000,252225000,-6730000,7648000,-11276000,0.0,264274000.0,,10042000.0,-174122000.0,0.0,-11138000,0.0,66250000.0,299843000.0,3165000.0,83887901.0,10042000.0,,0.0,-6730000,,-1737000,0.0,-0.13,21106000,-2214000,25975000.0,138000,9023000.0,-11173000.0,-11254000,-694000,-11254000,0.0,-9161000,9492000.0,,,51524000,116000,50541000.0,31285000,29352000.0,-7424000,85000.0,261386000,252225000.0,252225000.0,,2560000.0,340566000.0,40723000.0,-6542000,-11254000,,,2007000,,,,,,,
2016-12-31,-12820000,5936000,83247000.0,-603000,4174000.0,47747000,,50997000.0,81952000,32120000,,,8576000,305665000,-20611000,8576000,-9797000,0.0,329447000.0,,9543000.0,-186730000.0,-8500000.0,-12595000,0.0,73704000.0,353380000.0,3565000.0,,0.0,,0.0,-12111000,,68379000,65281000.0,,24587000,-1251000,37552000.0,225000,7929000.0,-13445000.0,-12608000,5672000,-12608000,0.0,53440000,10222000.0,,,60567000,13000,29263000.0,34205000,26203000.0,-6439000,87000.0,252225000,305665000.0,305665000.0,,10268000.0,412694000.0,59314000.0,3021000,-12608000,,,3023000,,,,,,,
2017-03-31,-14755000,3461000,91906000.0,149000,6233000.0,50086000,,57154000.0,87372000,38319000,-0.16,88612804.0,-232000,118440000,-202018000,9385000,-10800000,,337860000.0,170086000.0,12306000.0,-200957000.0,-22621000.0,-14257000,0.0,79600000.0,341714000.0,16183000.0,88612804.0,12306000.0,,0.0,-8628000,,12342000,,-0.16,26522000,-393000,40931000.0,498000,8182000.0,-16223000.0,-14227000,2440000,-14227000,0.0,-187225000,11108000.0,,2537000.0,64841000,-30000,62259000.0,37286000,29959000.0,-6188000,90000.0,305665000,288526000.0,118440000.0,-190000.0,22756000.0,429766000.0,88052000.0,-1950000,-14227000,-170769000.0,,3955000,,,,,,,
2017-06-30,-7070000,-16629000,79839000.0,-1431000,4267000.0,53537000,,63393000.0,95870000,30893000,-0.08,90873305.0,44000,92184000,-32273000,12400000,-2545000,,358108000.0,197031000.0,12438000.0,-208066000.0,0.0,-6599000,1170000.0,67401000.0,345644000.0,16950000.0,90873305.0,12438000.0,,0.0,-6298000,,12475000,,-0.08,29714000,-348000,44083000.0,471000,8946000.0,-19310000.0,-7109000,-6489000,-7109000,0.0,-26256000,12583000.0,,2679000.0,60607000,510000,50551000.0,42333000,37321000.0,-12787000,92000.0,118440000,289215000.0,92184000.0,1287000.0,22324000.0,437947000.0,92303000.0,-7415000,-7109000,-50145000.0,,4525000,,,,,,,
