date,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNetPPE,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness
2016-03-31,,,,-535000000,,,-681000000,,2400000000,,,,110000000,16000000,121000000,,,-0.004566,-2000000,-1000000,,-4000000,-7000000.0,205000000,369000000,-50000000,-57000000,1384000000,,-272000000,,,,238000000,453000000.0,19000000,-139000000.0,-58000000,655000000,,1919000000,,,,,,-441000000,51000000,-0.004566,,591000000,26000000,,,438000000.0,,-430000000,-251000000,-107000000,108000000,286000000,3055000000,,31000000,,,,-887000000,161000000,-86000000,,,,,,,
2016-06-30,,,,545000000,,,55000000,,2533000000,,,,53000000,135000000,124000000,,,0.264901,118000000,311000000,,3000000,-1000000.0,239000000,404000000,-34000000,-57000000,1929000000,,29000000,,,,333000000,453000000.0,256000000,-79000000.0,55000000,701000000,,1384000000,,,,,,-441000000,123000000,0.269406,,613000000,29000000,,,438000000.0,,332000000,-277000000,-100000000,27000000,297000000,3234000000,,32000000,,,,-294000000,176000000,8000000,,,,,,,
2016-09-30,,,,-66000000,,,20000000,,2503000000,,,,66000000,166000000,126000000,,,0.33,148000000,-231000000,,8000000,-15000000.0,229000000,395000000,-81000000,-57000000,1863000000,,47000000,,,,65000000,453000000.0,5000000,-8000000.0,10000000,635000000,,1929000000,,,,,,-442000000,56000000,0.34,,564000000,18000000,,,438000000.0,,306000000,-286000000,-143000000,66000000,240000000,3138000000,,30000000,,,,-257000000,122000000,11000000,,,,,,,
2016-12-31,20038000000.0,5148000000.0,8044000000.0,0,240000000.0,153000000.0,351000000,974000000.0,2375000000,14146000000.0,,1122000000.0,-1291000000,-1258000000,128000000,40000000.0,12148000000.0,,-1275000000,-244000000,2253000000.0,-84000000,-29000000.0,269000000,441000000,410000000,-57000000,1863000000,988000000.0,428000000,14897000000.0,155000000.0,0.0,86000000,,0,-12000000.0,-36000000,592000000,496000000.0,1863000000,5115000000.0,1863000000.0,1863000000.0,-2568000000.0,1744000000.0,-1410000000,1246000000,,-6073000000.0,277000000,13000000,-1027000000.0,5892000000.0,,,662000000,-311000000,-404000000,116000000,151000000,2967000000,329000000.0,39000000,2749000000.0,11572000000.0,5499000000.0,336000000,-45000000,1192000000,,,,,,,
2017-03-31,20157000000.0,5170000000.0,8046000000.0,690000000,869000000.0,114000000.0,-403000000,1148000000.0,2492000000,13447000000.0,,446000000.0,322000000,322000000,115000000,47000000.0,12075000000.0,0.65,305000000,1029000000,2328000000.0,281000000,0.0,221000000,382000000,-28000000,-45000000,2553000000,,-122000000,14662000000.0,1274000000.0,0.0,244000000,499000000.0,888000000,-299000000.0,-85000000,700000000,499000000.0,1863000000,5482000000.0,2553000000.0,2553000000.0,-2498000000.0,1597000000.0,-360000000,162000000,0.69,-6160000000.0,732000000,28000000,-768000000.0,6710000000.0,440000000.0,,-300000000,-103000000,-43000000,91000000,318000000,3192000000,420000000.0,28000000,2587000000.0,11633000000.0,5473000000.0,-599000000,484000000,20000000,,,,,,,
2017-06-30,19106000000.0,5215000000.0,6796000000.0,-768000000,875000000.0,124000000.0,91000000,1170000000.0,2583000000,13073000000.0,,0.0,212000000,212000000,183000000,48000000.0,10695000000.0,0.43,194000000,-125000000,2416000000.0,145000000,-1000000.0,204000000,371000000,-1000000,-43000000,1785000000,,53000000,13353000000.0,1271000000.0,0.0,2000000,462000000.0,0,17000000.0,-65000000,678000000,499000000.0,2553000000,5740000000.0,1785000000.0,1785000000.0,-2454000000.0,1667000000.0,-973000000,57000000,0.44,-6231000000.0,589000000,20000000,-567000000.0,6033000000.0,441000000.0,,217000000,-126000000,-860000000,71000000,307000000,3261000000,379000000.0,30000000,2658000000.0,11738000000.0,5507000000.0,-118000000,269000000,7000000,,,,,,,
2017-09-30,19237000000.0,5246000000.0,6802000000.0,30000000,876000000.0,101000000.0,41000000,1150000000.0,2626000000,13089000000.0,,0.0,119000000,119000000,100000000,55000000.0,10599000000.0,0.22,101000000,-128000000,2453000000.0,-18000000,-1000000.0,155000000,320000000,0,-44000000,1815000000,,-25000000,13276000000.0,1293000000.0,0.0,2000000,462000000.0,2000000,4000000.0,-18000000,610000000,500000000.0,1785000000,5948000000.0,1815000000.0,1815000000.0,-2327000000.0,1656000000.0,-151000000,53000000,0.23,-6265000000.0,412000000,11000000,-519000000.0,6148000000.0,442000000.0,,172000000,-131000000,-15000000,16000000,290000000,3236000000,412000000.0,25000000,2677000000.0,11791000000.0,5526000000.0,-167000000,172000000,-3000000,,,,,,,
2017-12-31,18718000000.0,4535000000.0,6806000000.0,335000000,126000000.0,124000000.0,376000000,1035000000.0,2656000000,12340000000.0,,0.0,-727000000,-727000000,98000000,38000000.0,10970000000.0,,-727000000,-236000000,2480000000.0,-671000000,0.0,151000000,320000000,-2000000,-30000000,2150000000,987000000.0,156000000,13794000000.0,481000000.0,0.0,0,,0,154000000.0,-24000000,615000000,536000000.0,1815000000,4910000000.0,2150000000.0,2150000000.0,-2644000000.0,1839000000.0,-150000000,272000000,,-6392000000.0,-216000000,8000000,-1248000000.0,6378000000.0,,,612000000,-236000000,-45000000,48000000,295000000,3271000000,349000000.0,28000000,2824000000.0,11986000000.0,5594000000.0,-42000000,-455000000,410000000,,,,,,,
2018-03-31,18219000000.0,4573000000.0,6309000000.0,-945000000,744000000.0,97000000.0,-553000000,1179000000.0,2768000000,12324000000.0,142000000.0,,143000000,143000000,114000000,45000000.0,10135000000.0,0.29,142000000,29000000,2648000000.0,-27000000,,172000000,337000000,-11000000,-30000000,1208000000,990000000.0,14000000,12937000000.0,458000000.0,,137000000,503000000.0,9000000,-403000000.0,-141000000,677000000,538000000.0,2153000000,5268000000.0,1205000000.0,1205000000.0,-2386000000.0,1874000000.0,-668000000,56000000,0.3,-6721000000.0,455000000,15000000,-1164000000.0,5895000000.0,482000000.0,,-436000000,-117000000,-542000000,56000000,340000000,3445000000,370000000.0,23000000,2802000000.0,12349000000.0,5628000000.0,-854000000,199000000,18000000,,,,,,,
2018-06-30,18219000000.0,4518000000.0,6312000000.0,252000000,713000000.0,113000000.0,5000000,1159000000.0,2903000000,12144000000.0,144000000.0,,120000000,120000000,89000000,45000000.0,10024000000.0,0.24,120000000,117000000,2659000000.0,-60000000,,158000000,331000000,-6000000,-30000000,1460000000,963000000.0,204000000,13001000000.0,455000000.0,,288000000,502000000.0,0,-306000000.0,-79000000,670000000,538000000.0,1208000000,5204000000.0,1455000000.0,1455000000.0,-2556000000.0,2024000000.0,-150000000,74000000,0.25,-6674000000.0,427000000,14000000,-1073000000.0,6075000000.0,483000000.0,,176000000,-171000000,-35000000,16000000,339000000,3573000000,362000000.0,29000000,2977000000.0,12256000000.0,5582000000.0,-179000000,194000000,29000000,,,,,,,
