date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyCostOfRevenue,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyInventory
2013-06-30,,,,,,140000000,-8000000,,,-1900000,,,49200000,,,,,,,,,,,,,,-0.052738,,,,,,-7800000,,,,,,,86400000,,,,39500000,,,,,,,,,147900000.0,,300800000,,,-0.052738,,,,,,121300000,147900000.0,,179500000,5500000,,-6100000,,-7800000,94800000,,,,
2013-09-30,,,,,-2900000.0,134300000,2500000,,,3900000,,,49000000,-23900000.0,1200000.0,-200000.0,-113900000.0,,,62100000.0,63800000.0,,,,-2500000.0,0.0,-0.022989,-1000000.0,-12700000.0,130200000.0,,-3100000.0,-3400000,,117500000.0,-138100000.0,48000000.0,,-300000.0,99500000,1300000.0,39900000.0,,49300000,,21300000.0,-2000000.0,,,,,,147900000.0,,299500000,,,-0.022989,,,,,,115900000,147900000.0,-10600000.0,183600000,2200000,0.0,-1400000,,-3400000,86300000,,,,
2013-12-31,111200000.0,111200000.0,9100000.0,636900000.0,-68200000.0,137100000,-14500000,1934000000.0,150400000.0,1200000,1500000.0,13800000.0,49500000,-27600000.0,4300000.0,-8300000.0,-149200000.0,700000.0,-70200000.0,137400000.0,32300000.0,14200000.0,4492300000.0,-73200000.0,11600000.0,2200000.0,,-400000.0,-6300000.0,117500000.0,100300000.0,-3400000.0,-17600000,-417700000.0,111200000.0,-174500000.0,48300000.0,,-100000.0,83300000,1500000.0,4700000.0,0.0,36300000,,8100000.0,-4100000.0,4142600000.0,247600000.0,349700000.0,220600000.0,3777800000.0,,,292400000,2853100000.0,2900000.0,,165000000.0,100600000.0,12200000.0,3530200000.0,102300000.0,119000000,,7300000.0,173400000,-4300000,200000.0,-15700000,1909700000.0,-17600000,88800000,627900000.0,,,
2014-03-31,,,,,-3800000.0,147700000,-13600000,,,-100000,,,50800000,-38800000.0,700000.0,-600000.0,-30300000.0,,,24800000.0,-6100000.0,,,,-18400000.0,900000.0,-0.099391,,-51800000.0,111200000.0,,-3100000.0,-14700000,,59400000.0,-69900000.0,51500000.0,,-1700000.0,88700000,2000000.0,-44900000.0,,34800000,,-36300000.0,-4000000.0,,,,,,147900000.0,,303400000,,,-0.099391,,,,,,120900000,147900000.0,800000.0,182500000,1900000,8800000.0,-13500000,,-14700000,96200000,,,,
2014-06-30,93200000.0,93200000.0,8700000.0,661500000.0,-1800600000.0,162700000,34200000,1974200000.0,165400000.0,14300000,1100000.0,29000000.0,50000000,-35500000.0,1000000.0,-62600000.0,-15700000.0,15700000.0,-93800000.0,33000000.0,51700000.0,16200000.0,4633700000.0,-78900000.0,-6000000.0,200000.0,0.121028,,33800000.0,59400000.0,107000000.0,-31800000.0,17900000,-414500000.0,93200000.0,-51100000.0,55300000.0,,-100000.0,139500000,2200000.0,16200000.0,,32400000,,8000000.0,10500000.0,4275800000.0,257400000.0,357900000.0,259200000.0,3834400000.0,147900000.0,9000000.0,327500000,2874500000.0,13100000.0,0.121028,193000000.0,79700000.0,11400000.0,3577000000.0,71000000.0,132400000,147900000.0,11200000.0,195100000,51800000,0.0,19900000,2012600000.0,17900000,107400000,629700000.0,,,
2014-09-30,114900000.0,103100000.0,11500000.0,651000000.0,-6300000.0,172700000,100000,1929800000.0,170000000.0,200000,1100000.0,27700000.0,44700000,-43400000.0,100000.0,-2500000.0,0.0,300000.0,-109100000.0,-8800000.0,64500000.0,15800000.0,4579400000.0,-104000000.0,-6000000.0,6200000.0,-0.017579,-100000.0,9900000.0,93200000.0,92700000.0,1800000.0,-2600000,-417100000.0,103100000.0,-43800000.0,67300000.0,,-7600000.0,112100000,2100000.0,21100000.0,11800000.0,40800000,,5100000.0,-9300000.0,4213900000.0,248500000.0,365500000.0,279100000.0,3808800000.0,147900000.0,,338200000,2869500000.0,4300000.0,-0.017579,196300000.0,90400000.0,13000000.0,3560300000.0,84500000.0,124700000,147900000.0,-9100000.0,213500000,3700000,1000000.0,-100000,1994300000.0,-2600000,105400000,604200000.0,,,
2014-12-31,89700000.0,77900000.0,8600000.0,676800000.0,-8900000.0,194000000,-22500000,1939600000.0,181400000.0,-11800000,1500000.0,74000000.0,44600000,-37500000.0,7800000.0,-6000000.0,-69800000.0,100000.0,-123400000.0,42700000.0,44200000.0,18000000.0,4665800000.0,-117500000.0,-5900000.0,3900000.0,,0.0,-25200000.0,103100000.0,106500000.0,3400000.0,-13100000,-430200000.0,77900000.0,-111200000.0,67100000.0,,-7800000.0,89200000,1700000.0,6700000.0,11800000.0,20500000,,1400000.0,-18000000.0,4264800000.0,329900000.0,401000000.0,304800000.0,3918100000.0,,,335600000,2865900000.0,5300000.0,,200400000.0,109800000.0,11300000.0,3588200000.0,82500000.0,121100000,,3200000.0,214500000,13100000,0.0,-10700000,2023900000.0,-13100000,126900000,587100000.0,,,
2015-03-31,102300000.0,87000000.0,8300000.0,663400000.0,-6600000.0,191000000,-7400000,1891900000.0,176100000.0,-3000000,1500000.0,112800000.0,44800000,-30100000.0,800000.0,-100000.0,-800000.0,300000.0,-132900000.0,29100000.0,16500000.0,23000000.0,4614300000.0,-145000000.0,-14500000.0,4200000.0,-0.04,,9100000.0,77900000.0,102800000.0,3500000.0,-6600000,-436800000.0,87000000.0,-34900000.0,69100000.0,,-8200000.0,106500000,2400000.0,-13600000.0,15300000.0,36500000,,-44300000.0,-9500000.0,4186000000.0,331000000.0,428300000.0,309000000.0,3895000000.0,147900000.0,,353100000,2863600000.0,4700000.0,-0.04,211700000.0,74700000.0,12200000.0,3564000000.0,82600000.0,125600000,147900000.0,500000.0,227500000,0,9100000.0,-4400000,2009000000.0,-6600000,121900000,556200000.0,,,
2015-06-30,758000000.0,758000000.0,8600000.0,641600000.0,-1973800000.0,195600000,4700000,1849600000.0,183900000.0,5100000,1800000.0,1029400000.0,44900000,-38200000.0,765700000.0,-59900000.0,-3900000.0,112500000.0,-148400000.0,613000000.0,100000000.0,147100000.0,5254200000.0,-143700000.0,-18200000.0,4700000.0,-0.02,,671000000.0,87000000.0,108300000.0,6000000.0,-2600000,-439400000.0,758000000.0,-42000000.0,68600000.0,,-4600000.0,118200000,2800000.0,61800000.0,14600000.0,51400000,,25800000.0,-1700000.0,4150200000.0,1284800000.0,1104000000.0,332300000.0,3820100000.0,148500000.0,,378500000,1851600000.0,117200000.0,-0.02,228800000.0,100100000.0,26900000.0,2535300000.0,83800000.0,131500000,148500000.0,5900000.0,247000000,-3000000,0.0,-400000,2004200000.0,-2600000,127000000,1271600000.0,,,
2015-09-30,128700000.0,128700000.0,7900000.0,623900000.0,-1013200000.0,193700000,1100000,1792800000.0,177700000.0,2100000,1800000.0,44200000.0,24800000,-28000000.0,0.0,-12000000.0,-14500000.0,87300000.0,-162600000.0,-675000000.0,89700000.0,133700000.0,4489200000.0,-182800000.0,-5600000.0,2600000.0,-0.02,0.0,-629300000.0,758000000.0,94600000.0,34400000.0,-4000000,-443500000.0,128700000.0,-41200000.0,71500000.0,,-1300000.0,97400000,1500000.0,61700000.0,13700000.0,60300000,,-17600000.0,-4600000.0,4035500000.0,272500000.0,453700000.0,340300000.0,3112300000.0,182100000.0,,389100000,2174500000.0,95000000.0,-0.02,230000000.0,92400000.0,28300000.0,2839800000.0,75700000.0,135100000,182100000.0,-10900000.0,254000000,-35300000,0.0,-1000000,1977700000.0,-4000000,122200000,1225300000.0,,,
2015-12-31,133200000.0,133200000.0,10600000.0,588400000.0,-10600000.0,197800000,28100000,1770100000.0,183000000.0,7000000,1800000.0,43900000.0,19800000,-35900000.0,0.0,-8100000.0,-42100000.0,82700000.0,-174300000.0,-18400000.0,102900000.0,146700000.0,4446700000.0,-191800000.0,-900000.0,1900000.0,0.1,-300000.0,4500000.0,128700000.0,105400000.0,2400000.0,19200000,-424300000.0,133200000.0,-79000000.0,69200000.0,,-2900000.0,117100000,2300000.0,67000000.0,15400000.0,48900000,,10400000.0,-1500000.0,4019200000.0,296000000.0,427500000.0,357300000.0,3079700000.0,183900000.0,,386100000,2164600000.0,66000000.0,0.11,228300000.0,91800000.0,27800000.0,2783700000.0,74700000.0,139400000,182200000.0,5800000.0,246700000,-1900000,0.0,21100000,1983400000.0,19200000,128600000,1231400000.0,,,
2016-03-31,150300000.0,150300000.0,9900000.0,632700000.0,-157000000.0,204700000,26600000,1846300000.0,201300000.0,12000000,1800000.0,48000000.0,20400000,-30900000.0,900000.0,-3000000.0,-130200000.0,82300000.0,-186500000.0,135900000.0,41700000.0,122400000.0,4729600000.0,-185300000.0,-30800000.0,9700000.0,0.07,,17100000.0,133200000.0,111000000.0,3100000.0,12600000,-411700000.0,150300000.0,-161000000.0,72500000.0,,-9600000.0,119500000,3700000.0,10800000.0,21800000.0,51900000,,-56000000.0,4600000.0,4235800000.0,281400000.0,493800000.0,387800000.0,3341900000.0,184000000.0,,405700000,2309500000.0,80300000.0,0.07,263200000.0,66600000.0,51800000.0,3060500000.0,77800000.0,149100000,182400000.0,2800000.0,256600000,-5700000,-1100000.0,14600000,2105900000.0,12600000,132200000,1239700000.0,,,
2016-06-30,141300000.0,141300000.0,10800000.0,612300000.0,-11800000.0,218400000,36000000,1820900000.0,192600000.0,16300000,1800000.0,50800000.0,21300000,-24000000.0,1400000.0,500000.0,-140400000.0,91800000.0,-202900000.0,45100000.0,107800000.0,163300000.0,4723900000.0,-184800000.0,7900000.0,10900000.0,0.09,,-9000000.0,150300000.0,112200000.0,500000.0,17300000,-394400000.0,141300000.0,-162400000.0,74000000.0,,-8900000.0,131300000,5200000.0,83800000.0,20000000.0,63500000,,12800000.0,-8700000.0,4225800000.0,326300000.0,498100000.0,395500000.0,3343300000.0,184400000.0,8300000.0,425700000,2350300000.0,100300000.0,0.09,256500000.0,93800000.0,54400000.0,3017000000.0,86400000.0,143800000,182500000.0,-600000.0,281900000,-7300000,-140400000.0,19700000,2120500000.0,17300000,144400000,1250200000.0,,,
2016-09-30,163200000.0,137900000.0,9700000.0,603500000.0,-14200000.0,200300000,75700000,1829600000.0,190400000.0,31200000,1800000.0,49500000.0,21400000,-30600000.0,2400000.0,-900000.0,-81100000.0,1500000.0,-221300000.0,-12700000.0,126600000.0,29200000.0,4775900000.0,-168900000.0,-11300000.0,11300000.0,0.22,,-3400000.0,141300000.0,109000000.0,-1400000.0,41200000,-353300000.0,137900000.0,-118400000.0,63100000.0,,-14500000.0,160300000,5700000.0,96000000.0,25300000.0,95800000,,24200000.0,-9200000.0,4283200000.0,344500000.0,492700000.0,411700000.0,3344400000.0,184800000.0,15100000.0,437600000,2338200000.0,10200000.0,0.23,272700000.0,102800000.0,13700000.0,2999900000.0,91100000.0,141500000,182700000.0,-3700000.0,296100000,2400000,-84600000.0,44500000,2160000000.0,41200000,137100000,1306500000.0,,,
2016-12-31,182200000.0,182200000.0,12000000.0,579000000.0,-11300000.0,202000000,67100000,1762300000.0,197500000.0,14500000,1800000.0,50400000.0,22300000,-38500000.0,1300000.0,-3800000.0,-11100000.0,97500000.0,-235600000.0,-14500000.0,113800000.0,208700000.0,4781200000.0,-174800000.0,-8300000.0,27200000.0,0.27,,44300000.0,137900000.0,114200000.0,-3200000.0,49500000,-303800000.0,182200000.0,-54000000.0,55600000.0,,-33100000.0,144900000,9800000.0,75300000.0,32800000.0,89300000,,5400000.0,-8900000.0,4231200000.0,373300000.0,550000000.0,433100000.0,3308200000.0,185000000.0,11500000.0,435900000,2325200000.0,89900000.0,0.27,277900000.0,116500000.0,30700000.0,2934900000.0,84500000.0,144600000,183000000.0,4400000.0,291300000,-1300000,1500000.0,52600000,2173900000.0,49500000,146500000,1362800000.0,,,
