date,quarterlyOtherCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyCurrentDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,983000000.0,21429000000,,,21151000000.0,-11594000000.0,,,181000000,,721000000,88000000.0,-2949000000,4503000000,721000000.0,5220000000.0,0.0,852000000.0,16278000000,17868000000,1377000000.0,-2884000000.0,9557000000,1590000000,20708000000,272000000,272000000,385000000,0,3062000000.0,5220000000.0,-65000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,0.0,8827000000,0.0,,,,114000000.0,,117000000,0.0,791000000,,9693000000,4504000000,677000000.0,0.0,,,16380000000,17932000000,1340000000.0,8489000000.0,9532000000,1552000000,8036000000,276000000,276000000,361000000,0,3230000000.0,4795000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,916000000.0,8410000000,,,19920000000.0,-10484000000.0,,,160000000,,5087000000,270000000.0,9893000000,4503000000,729000000.0,0.0,4358000000.0,811000000.0,16241000000,17754000000,1328000000.0,-2470000000.0,9436000000,1513000000,3323000000,268000000,268000000,336000000,1204000000,3317000000.0,0.0,-22000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,948000000.0,8125000000,0.0,,,,166000000.0,1189000000.0,112000000,0.0,4491000000,266000000.0,9956000000,4503000000,789000000.0,86000000.0,3702000000.0,852000000.0,16186000000,17597000000,43000000.0,8752000000.0,9464000000,1411000000,3634000000,173000000,173000000,311000000,1204000000,389000000.0,,8752000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,8374000000,,8000000.0,20610000000.0,-11000000000.0,,,239000000,,4302000000,272000000.0,10206000000,4503000000,736000000.0,0.0,3566000000.0,1497000000.0,16260000000,18176000000,1227000000.0,,9610000000,1916000000,4072000000,180000000,180000000,280000000,1204000000,4064000000.0,,9002000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,1693000000.0,9445000000,0.0,,,,214000000.0,1004000000.0,289000000,0.0,4715000000,301000000.0,10374000000,4503000000,214000000.0,95000000.0,3929000000.0,1693000000.0,17319000000,19521000000,44000000.0,9169000000.0,9547000000,2202000000,4730000000,220000000,220000000,1336000000,1205000000,429000000.0,,9169000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,0.0,9673000000,,,21451000000.0,-11761000000.0,,,299000000,,1195000000,332000000.0,10584000000,4503000000,1195000000.0,0.0,0.0,1787000000.0,17818000000,20086000000,1207000000.0,,9690000000,2268000000,8478000000,182000000,182000000,1718000000,1205000000,,3853000000.0,9379000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1670000000.0,9539000000,0.0,,,,252000000.0,,315000000,0.0,5026000000,366000000.0,10637000000,4503000000,1251000000.0,0.0,3775000000.0,1670000000.0,17932000000,20141000000,1168000000.0,9432000000.0,9742000000,2209000000,4513000000,224000000,224000000,1785000000,1205000000,,0.0,9432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,9809000000,,,22889000000.0,-12615000000.0,276000000.0,,201000000,,4935000000,,10962000000,4503000000,660000000.0,164000000.0,3746000000.0,1725000000.0,18477000000,20900000000,1144000000.0,-1311000000.0,10274000000,2423000000,4874000000,182000000,182000000,1702000000,1205000000,870000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,9979000000,0.0,,,,307000000.0,,172000000,0.0,5563000000,,10903000000,4503000000,686000000.0,171000000.0,4307000000.0,1756000000.0,18625000000,21131000000,49000000.0,-1454000000.0,10327000000,2506000000,4416000000,249000000,249000000,1620000000,1205000000,809000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
