date,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2010-06-30,760463000,161587000,,972712000,52036000,4135318000,956321000,,5580379000,1006522000.0,1923553000,-50201000.0,7177165000,1827744000,1596786000,251924000,0,0,,1118294000,1066258000,685818000,2037423000,2289347000,41850000,3041847000,4755000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,189883000,169087000,,1881808000,42512000,5315280000,2627233000,1814354000.0,10727008000,,7020371000,,14025379000,3568649000,3298371000,221397000,0,0,,1689728000,1647216000,3303252000,905673000,1127070000,1928080000,8710099000,4755000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2790663000,169090000,,2132882000,32271000,6291013000,2159976000,2721738000.0,13961382000,2257008000.0,10671342000,-97032000.0,18668713000,4172760000,4707331000,309016000,0,0,,1706358000,1674087000,3504458000,2402809000,2711825000,6137390000,12377700000,11639000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,1675767000,169090000,,3036263000,20923000,7059635000,3747078000,3461909000.0,14923335000,,11872527000,,20006789000,5722568000,5083454000,127926000,0,0,,1074627000,1053704000,5110888000,1292581000,1420507000,7346380000,12947154000,427785000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0,219163000,7279641000.0,4761343000,42167000,7498804000,6062299000,,16803611000,6265540000.0,15440211000,-203241000.0,24189824000,6737385000,7386213000,126118000,1645188000,0,459961000.0,1250809000,1208642000,3257510000,2048569000,2174687000,7289272000,16691020000,10101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,82469000,219163000,,3200728000,54065000,6766362000,8050520000,1938886000.0,9678842000,8050520000.0,11371950000,,18407614000,3315868000,8728772000,147560000,1109743000,0,,269302000,215237000,2334633000,1881056000,2028616000,6436617000,11641252000,146732000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0,219163000,,3749330000,47069000,6897025000,8531566000,2088404000.0,10176045000,9012820000.0,10073273000,-481254000.0,19302529000,4368362000,9126484000,558321000,684884000,0,,2332231000,1775902000,2367019000,1351985000,1910306000,4275997000,12405504000,11091000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,142571000,219163000,,6135472000,27117000,7445494000,9124818000,2635041000.0,12959308000,9124818000.0,12630273000,,22774476000,6201633000,9815168000,231425000,1027924000,0,,2698709000,2671592000,2707899000,1229799000,1461224000,3560577000,15328982000,34622000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0,219163000,,7518492000,31088000,7550276000,9282438000,2690019000.0,13598015000,10066797000.0,13306744000,-784359000.0,24473304000,7227475000,10875289000,221580000,1086272000,0,,3616284000,2515650000,2058295000,1610923000,1832503000,2909138000,16923028000,915231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,241176000,219163000,,6383732000,42564000,8379451000,16741125000,3251867000.0,12980552000,16947280000.0,12849307000,-206155000.0,30609025000,7610023000,17628473000,9920000,1408133000,0,,9380267000,6763340000,638995000,1295735000,1305655000,3364208000,22229574000,68598000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
