date,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTaxProvision,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyCurrentLiabilities,quarterlyNetPPE,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyStockholdersEquity,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyBasicAverageShares,quarterlyInventory,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment
2010-03-31,,4000000,,,622000000,45000000,,,,,,81000000,21000000,,83000000,,,44000000,366000000,,4000000,,,,-39000000,0.410959,,-284000000,,329000000,,1164000000,127000000,257000000,,,,,-5000000,,29000000,,11000000,40000000,-30000000,,,34000000,542000000,,,0.0,,197100000.0,5000000,0.410959,,61000000,,,,-2000000.0,197100000.0,,285000000,1000000,,-286000000,38000000,81000000,,,,,,,
2010-06-30,,-4000000,,,662000000,-70000000,,,,,,29000000,21000000,,32000000,,,18000000,290000000,,6000000,,,,67000000,,,-267000000,,197000000,,895000000,50000000,-58000000,,,,,-42000000,,-17000000,,-36000000,55000000,-35000000,,,38000000,233000000,,,1000000.0,,,15000000,,,61000000,,,,-2000000.0,,,291000000,37000000,,-268000000,34000000,29000000,,,,,,,
2010-09-30,,1000000,,,633000000,-583000000,,,,,,-1413000000,34000000,,-1410000000,,,-229000000,-1381000000,,1705000000,,,,554000000,,,-909000000,,326000000,,990000000,-1639000000,56000000,,,,,6000000,,-185000000,,0,-6000000,4000000,,,34000000,357000000,,,32000000.0,,,-1661000000,,,61000000,,,,-2000000.0,,,301000000,12000000,,-879000000,35000000,-1413000000,,,,,,,
2010-12-31,407000000.0,2000000,0.0,,107000000,-192000000,158000000.0,422000000.0,8888000000.0,9846000000.0,105000000.0,13000000,32000000,2261000000.0,21000000,0.0,2179000000.0,17000000,291000000,,19000000,-4115000000.0,,,702000000,,,-396000000,,204000000,,985000000,38000000,573000000,3167000000.0,8449000000.0,12564000000.0,958000000.0,-48000000,,6000000,422000000.0,9000000,-61000000,7000000,515000000.0,4260000000.0,35000000,878000000,4428000000.0,168000000.0,442000000.0,,,-19000000,,1629000000.0,70000000,37000000.0,37000000.0,,-1000000.0,,77000000.0,305000000,189000000,,-904000000,37000000,13000000,5346000000.0,161000000.0,,,,,
2011-03-31,395000000.0,3000000,0.0,,519000000,-79000000,156000000.0,399000000.0,8920000000.0,9764000000.0,109000000.0,-3000000,45000000,2364000000.0,7000000,,2165000000.0,3000000,273000000,,24000000,-4286000000.0,,,105000000,-0.015221,,-319000000,,240000000,,984000000,10000000,163000000,3159000000.0,8503000000.0,12789000000.0,844000000.0,10000000,,-11000000,362000000.0,33000000,6000000,-18000000,438000000.0,4258000000.0,37000000,465000000,4366000000.0,108000000.0,-19000000.0,,197100000.0,6000000,-0.015221,1612000000.0,70000000,40000000.0,40000000.0,,-4000000.0,197100000.0,43000000.0,302000000,2000000,,-342000000,40000000,-3000000,5324000000.0,141000000.0,,,,,
2011-06-30,94000000.0,-4000000,0.0,,526000000,-81000000,155000000.0,436000000.0,9014000000.0,9895000000.0,114000000.0,25000000,44000000,0.0,30000000,,2151000000.0,17000000,327000000,,18000000,-4536000000.0,,,38000000,0.13,0.0,-364000000,,283000000,,953000000,47000000,79000000,875000000.0,8654000000.0,13190000000.0,881000000.0,7000000,,-6000000,70000000.0,-26000000,-27000000,81000000,562000000.0,6678000000.0,40000000,427000000,6793000000.0,115000000.0,41000000.0,,197100000.0,12000000,0.13,1639000000.0,63000000,36000000.0,36000000.0,,-2000000.0,197100000.0,70000000.0,348000000,-18000000,,-325000000,36000000,25000000,3026000000.0,108000000.0,,,,,
2011-09-30,103000000.0,14000000,0.0,,559000000,-40000000,171000000.0,485000000.0,9071000000.0,10141000000.0,119000000.0,14000000,0,0.0,19000000,,2128000000.0,10000000,279000000,,78000000,-4756000000.0,,,38000000,0.07,0.0,-405000000,,365000000,,995000000,29000000,22000000,1006000000.0,8729000000.0,13485000000.0,1070000000.0,10000000,,11000000,65000000.0,-12000000,-18000000,15000000,635000000.0,6729000000.0,36000000,436000000,6929000000.0,200000000.0,18000000.0,,197100000.0,7000000,0.07,1656000000.0,70000000,50000000.0,50000000.0,,-2000000.0,197100000.0,82000000.0,414000000,38000000,,-389000000,50000000,14000000,3134000000.0,105000000.0,,,,,
2011-12-31,155000000.0,476000000,0.0,1503000000.0,291000000,-166000000,107000000.0,509000000.0,8758000000.0,10432000000.0,125000000.0,-338000000,19000000,0.0,-326000000,,3517000000.0,-174000000,-234000000,,579000000,-4036000000.0,,,658000000,,0.0,-484000000,,318000000,,983000000,-500000000,50000000,1156000000.0,8476000000.0,12512000000.0,1674000000.0,-2000000,,-170000000,59000000.0,8000000,-51000000,53000000,702000000.0,2000000.0,50000000,692000000,5678000000.0,219000000.0,-12000000.0,,,-531000000,,1556000000.0,77000000,526000000.0,526000000.0,,-4000000.0,,74000000.0,642000000,-844000000,,-500000000,526000000,-338000000,4673000000.0,147000000.0,,,,,
2012-03-31,151000000.0,-164000000,152000000.0,1509000000.0,587000000,-176000000,261000000.0,414000000.0,8585000000.0,10269000000.0,132000000.0,-43000000,24000000,,-38000000,,3498000000.0,-25000000,196000000,,70000000,-4211000000.0,-43000000.0,,-21000000,-0.216407,0.0,-428000000,1000000.0,252000000,,896000000,-63000000,-11000000,1062000000.0,8289000000.0,12500000000.0,1684000000.0,24000000,,-37000000,331000000.0,11000000,96000000,-80000000,531000000.0,2000000.0,526000000,309000000,5625000000.0,217000000.0,35000000.0,,198700000.0,-28000000,-0.216407,1516000000.0,68000000,362000000.0,362000000.0,,-2000000.0,198700000.0,61000000.0,320000000,-28000000,,-395000000,362000000,-43000000,4560000000.0,142000000.0,,,,,
2012-06-30,111000000.0,65000000,75000000.0,1509000000.0,381000000,-211000000,219000000.0,337000000.0,8629000000.0,9842000000.0,138000000.0,-10000000,23000000,,-29000000,,3422000000.0,-18000000,224000000,,87000000,-4498000000.0,-53000000.0,,0,-0.05,0.0,-400000000,0.0,189000000,,704000000,-47000000,-38000000,789000000.0,8331000000.0,12829000000.0,1213000000.0,-83000000,,-19000000,41000000.0,-4000000,67000000,-78000000,430000000.0,2000000.0,362000000,323000000,5543000000.0,136000000.0,276000000.0,,198900000.0,14000000,-0.05,1503000000.0,71000000,427000000.0,427000000.0,,0.0,198900000.0,66000000.0,361000000,0,,-124000000,427000000,-10000000,4211000000.0,137000000.0,,,,,
