date,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyDilutedEPS,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyInventory,quarterlyCashDividendsPaid
1998-03-31,-900000.0,,,1300000,,,1700000.0,900000,,900000,,-0.07,1900000.0,1200000.0,,,,100000,0,-100000,0,7300000,2600000.0,4400000,,,-200000,,,500000,,,1100000,5714286.0,-0.07,-400000,0,-200000,,,,200000,-200000,100000.0,,,4800000,-100000,,2800000,,4800000,2900000,-400000,2200000.0,500000.0,5714286.0,,,700000,,,,,2100000,,2500000,,2200000,-100000.0,2500000,-400000,-400000,,,,
1998-06-30,-1000000.0,,,1400000,,,1700000.0,1100000,,1100000,,-0.04,3000000.0,,,,,100000,400000,-100000,100000,7900000,2800000.0,4400000,,,200000,,,1100000,,,0,5714286.0,-0.04,-200000,0,-300000,,,,300000,300000,,,,5500000,300000,,3300000,,5600000,3500000,0,2400000.0,1200000.0,5714286.0,,,600000,,,,-100000.0,2700000,,2700000,,2300000,-200000.0,2400000,-200000,-200000,,,,
1998-09-30,-1100000.0,,,1600000,,200000.0,,21800000,22700000.0,21800000,,-0.12,3800000.0,,,,-1700000.0,200000,100000,-400000,21000000,28800000,3700000.0,5400000,,,20700000,,,400000,,,0,8333333.0,-0.12,-1000000,0,-400000,,,800000.0,300000,-800000,,,,4100000,-300000,,3700000,,4100000,23400000,-1100000,2700000.0,400000.0,8333333.0,,,900000,,,,,2800000,,3900000,,3400000,0.0,24700000,-1000000,-1000000,,,,
1998-12-31,-1200000.0,,,2200000,,400000.0,,19700000,0.0,19700000,,,4100000.0,,,,800000.0,200000,-800000,-700000,100000,27500000,3500000.0,6300000,,,-2100000,,,800000,,,0,,,-1500000,0,-1400000,,,,300000,-1400000,,,,4300000,-1500000,-14600000.0,4100000,,4300000,21200000,-1700000,3400000.0,300000.0,,,,1200000,,,,,2900000,,4600000,,4100000,-700000.0,23200000,-1500000,-1500000,,,,
1999-03-31,-1400000.0,,,3200000,,100000.0,,10100000,,10100000,,-0.22,24500000.0,,,,0.0,200000,-1300000,-10900000,3000000,40900000,9100000.0,27700000,,,-9600000,,,1300000,,,19700000,10000000.0,-0.22,-2200000,0,-11300000,,,,1100000,-1100000,-200000.0,,,10400000,-12200000,-16800000.0,6100000,,10400000,13200000,-2200000,4600000.0,400000.0,10000000.0,,,1500000,,,,,4600000,,6800000,,5500000,-400000.0,30500000,-2200000,-2200000,,,,
1999-06-30,-1700000.0,,,4100000,,600000.0,,102400000,,102400000,,-0.23,23800000.0,,,,0.0,300000,-600000,-1200000,94400000,133000000,6100000.0,27900000,,,92400000,,,1600000,,,0,11304348.0,-0.23,-2600000,0,-1500000,,,,1100000,-2100000,,,,7700000,-1800000,-21600000.0,7200000,,7700000,105100000,-3200000,5800000.0,500000.0,11304348.0,,,2000000,,,,,5200000,,8400000,,7000000,-300000.0,125300000,-2600000,-2600000,,,,
1999-09-30,-2000000.0,,,5100000,,,,99300000,0.0,99300000,,-0.25,25000000.0,,,,0.0,300000,-900000,-1500000,0,132600000,7400000.0,30100000,,,-3200000,,,2100000,,145700000.0,0,13200000.0,-0.25,-3300000,99300000,-2200000,,,-500000.0,1300000,-3200000,,,,9500000,-2400000,-22600000.0,8000000,,9500000,102500000,-4500000,7100000.0,800000.0,13200000.0,,,2300000,,,,,5700000,,10200000,,8600000,-700000.0,123100000,-3300000,-3300000,,,,
1999-12-31,-2400000.0,,7000000.0,5900000,,,,94100000,900000.0,94100000,,,400000.0,31200000.0,,,0.0,300000,-4700000,-600000,900000,136900000,8400000.0,37500000,,,-5200000,,,1800000,100000.0,,99300000,,,-4300000,94100000,-1500000,,,-100000.0,1400000,-4100000,-1800000.0,,,17200000,-5300000,-26900000.0,8900000,,10200000,99400000,-5500000,8300000.0,2500000.0,,,,2500000,0.0,,,7000000.0,6400000,,11900000,,10200000,-900000.0,119700000,-4300000,-4300000,,,,
2000-03-31,-2821000.0,,18984000.0,11473000,-565000.0,-5812000.0,,76851000,938000.0,76851000,,-1.06,787000.0,101397000.0,,-15669000.0,0.0,718000,-8329000,-1986000,-1702000,204352000,8927000.0,113657000,,,-17223000,,,15234000,154000.0,201166000.0,94074000,14254000.0,-1.06,-15104000,76851000,-7192000,,,,3037000,-7846000,-1746000.0,,,45036000,-10315000,-42004000.0,11372000,,24161000,90695000,-10883000,14294000.0,4957000.0,14254000.0,1891000.0,,4677000,0.0,,,20875000.0,6695000,,17578000,,13823000,-2799000.0,159316000,-15104000,-15104000,,,,
2000-06-30,-3371000.0,,11100000.0,17146000,-845000.0,751000.0,,64258000,154000.0,64258000,,-0.85,587000.0,90292000.0,,-13978000.0,0.0,1004000,-6180000,-6405000,169000,181555000,8503000.0,108025000,,,-12593000,,,13710000,100000.0,,76851000,15391000.0,-0.85,-13133000,64258000,-6582000,,,,4792000,-9937000,2335000.0,,,35219000,-12585000,-55137000.0,14572000,,22213000,73530000,-14729000,20517000.0,1660000.0,15391000.0,,,5677000,1906000.0,,,13006000.0,8895000,,23624000,,17828000,-177000.0,146336000,-13133000,-13133000,,,,
