date,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue
1989-03-31,,,,,,,,,,0.01,10600000,,,,,,,,1500000,,,,,,,,,,,,,179056000.0,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,179056000.0,,,,,10600000,,,,,,,,,,10600000,
1989-06-30,24700000.0,1800000.0,,,12900000.0,,,,5300000.0,,11700000,,,,46700000.0,22000000.0,18200000.0,800000.0,1600000,,0.0,700000.0,8400000.0,,,,,,,,,,700000.0,4600000.0,,,,,,,,800000.0,28500000.0,7700000.0,7700000.0,,,,,,,,2300000.0,-8500000.0,,,,,,,,28900000.0,,,,-21500000,,10600000.0,,,,,,20400000.0,,-21500000,
1989-09-30,,,,,,,,,,0.01,12300000,,,,,,,,1700000,,,,,,,,,,,,,179056000.0,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,179056000.0,,,,,12300000,,,,,,,,,,12300000,
1989-12-31,23800000.0,5200000.0,,,15500000.0,,4100000.0,,5300000.0,0.01,13200000,,,1800000.0,53100000.0,29300000.0,20800000.0,600000.0,1800000,1800000.0,0.0,800000.0,10500000.0,,100000.0,,,,5500000.0,,,180000000.0,700000.0,4600000.0,,,,,7700000.0,5100000.0,,800000.0,32300000.0,2000000.0,2000000.0,,,,0.01,700000.0,2500000.0,,5100000.0,-8500000.0,,200000.0,,,,,180000000.0,36400000.0,,,,2600000,,5200000.0,,,,5200000.0,,27900000.0,,3600000,
1990-03-31,25100000.0,7200000.0,,1500000.0,16900000.0,,4600000.0,,4900000.0,0.01,14400000,,2400000.0,2000000.0,56400000.0,31300000.0,21800000.0,2000000.0,2000000,2000000.0,0.0,800000.0,12100000.0,0.0,100000.0,-1200000.0,-3000000.0,,5600000.0,,,200000000.0,700000.0,4200000.0,,,,-1600000.0,8800000.0,6100000.0,,700000.0,34600000.0,2700000.0,2700000.0,0.0,,,0.01,700000.0,2700000.0,,5200000.0,-8500000.0,-1800000.0,200000.0,-500000.0,0.0,,,200000000.0,37100000.0,,4200000.0,,2700000,700000.0,6100000.0,400000.0,,700000.0,5600000.0,,28600000.0,,4200000,
1990-06-30,29200000.0,9400000.0,,1100000.0,17100000.0,0.0,4900000.0,,5900000.0,,16200000,,2900000.0,2200000.0,60700000.0,31500000.0,23000000.0,600000.0,2200000,2200000.0,100000.0,1600000.0,12700000.0,0.0,0.0,-600000.0,-300000.0,,7200000.0,,,,900000.0,4900000.0,,,,,9000000.0,6000000.0,,2600000.0,37700000.0,4900000.0,4900000.0,0.0,,,,600000.0,2800000.0,,4800000.0,-10400000.0,300000.0,200000.0,-100000.0,-500000.0,,,,38700000.0,,2600000.0,,3000000,2200000.0,6800000.0,400000.0,,-900000.0,5500000.0,,28300000.0,,4100000,
1990-09-30,30500000.0,11600000.0,,1400000.0,16200000.0,,5300000.0,,5300000.0,0.02,17300000,,1600000.0,2300000.0,62000000.0,31500000.0,21500000.0,3000000.0,2300000,2300000.0,0.0,1700000.0,13500000.0,0.0,100000.0,0.0,-1300000.0,,7000000.0,,,194256000.0,900000.0,4400000.0,,,,,10300000.0,6700000.0,,,40500000.0,3900000.0,3900000.0,4900000.0,,,0.02,1200000.0,3500000.0,,2400000.0,-11400000.0,-1300000.0,200000.0,-2600000.0,0.0,,,194256000.0,39900000.0,,2900000.0,,3600000,-1000000.0,8000000.0,500000.0,,-800000.0,5800000.0,,28500000.0,,5000000,
1990-12-31,32200000.0,14100000.0,,1500000.0,15000000.0,,5500000.0,,5000000.0,0.02,18000000,,1400000.0,2400000.0,63100000.0,30900000.0,20000000.0,2700000.0,2400000,2400000.0,100000.0,1800000.0,14200000.0,0.0,100000.0,0.0,-500000.0,,7200000.0,,,195824000.0,900000.0,4000000.0,,,,,10800000.0,7000000.0,,,43100000.0,4900000.0,4900000.0,0.0,,,0.02,1300000.0,3700000.0,,2500000.0,-11000000.0,-500000.0,200000.0,-400000.0,0.0,,,195824000.0,39200000.0,,1900000.0,,3800000,1000000.0,7900000.0,200000.0,,-1900000.0,4600000.0,,28200000.0,,5300000,
1991-03-31,38000000.0,16700000.0,,1500000.0,16900000.0,200000.0,5700000.0,,4900000.0,0.02,18800000,,4500000.0,2600000.0,68400000.0,30400000.0,21800000.0,2300000.0,2600000,2600000.0,100000.0,1900000.0,14200000.0,0.0,100000.0,0.0,-1100000.0,,7500000.0,,,156666667.0,900000.0,3900000.0,,,,,11300000.0,7200000.0,,,46600000.0,9800000.0,9800000.0,0.0,,,0.02,1400000.0,4000000.0,,2100000.0,-11400000.0,-1100000.0,200000.0,400000.0,0.0,,,156666667.0,39500000.0,,5600000.0,,4100000,4800000.0,9200000.0,900000.0,,1300000.0,5600000.0,,28100000.0,,5600000,
1991-06-30,42100000.0,19500000.0,,1500000.0,15900000.0,,6200000.0,,4700000.0,,19600000,,5600000.0,2800000.0,71800000.0,29700000.0,20600000.0,1300000.0,2800000,2800000.0,0.0,6700000.0,14600000.0,0.0,200000.0,-4900000.0,-6000000.0,,7500000.0,,,,2000000.0,2700000.0,,,,,12100000.0,7700000.0,,600000.0,51200000.0,9800000.0,9800000.0,0.0,,,,1600000.0,4400000.0,,1900000.0,-3900000.0,-1100000.0,200000.0,-700000.0,0.0,,,,31700000.0,,6700000.0,,4400000,100000.0,9000000.0,700000.0,,2200000.0,5000000.0,,27800000.0,,5900000,
1991-09-30,48300000.0,22600000.0,,2300000.0,17400000.0,,6400000.0,,4300000.0,0.02,20400000,-2000000.0,4000000.0,3100000.0,76700000.0,28400000.0,21700000.0,1000000.0,3100000,3100000.0,0.0,8800000.0,14800000.0,0.0,200000.0,0.0,-2900000.0,,7000000.0,,,155000000.0,2000000.0,2300000.0,,,,,13400000.0,8700000.0,,,55000000.0,11900000.0,11900000.0,9800000.0,,,0.02,1700000.0,4800000.0,,1900000.0,-13500000.0,-900000.0,100000.0,100000.0,0.0,,,155000000.0,40900000.0,,4900000.0,,4700000,2100000.0,10600000.0,600000.0,,-500000.0,4900000.0,,27400000.0,,7000000,
1991-12-31,53700000.0,26000000.0,,1200000.0,19900000.0,,6800000.0,,3200000.0,0.02,21100000,-5900000.0,5500000.0,3300000.0,81900000.0,28200000.0,23100000.0,900000.0,3300000,3300000.0,0.0,15800000.0,14500000.0,0.0,300000.0,0.0,-7100000.0,,8100000.0,,,165000000.0,2000000.0,1200000.0,,,,,13000000.0,8000000.0,,,58800000.0,10600000.0,10600000.0,0.0,,,0.02,1800000.0,5100000.0,,1500000.0,-14200000.0,-1200000.0,100000.0,-900000.0,0.0,,,165000000.0,41500000.0,,6700000.0,,5000000,-1300000.0,11300000.0,600000.0,,2200000.0,7100000.0,,27300000.0,,6200000,
1992-03-31,59200000.0,29500000.0,,1300000.0,18300000.0,,7200000.0,,3000000.0,0.02,22100000,-1000000.0,3700000.0,3500000.0,87400000.0,28200000.0,21300000.0,800000.0,3500000,3500000.0,0.0,16400000.0,14700000.0,0.0,200000.0,100000.0,-2200000.0,,8200000.0,,,175000000.0,2000000.0,1000000.0,,,,,13900000.0,8500000.0,,,66100000.0,14000000.0,14000000.0,0.0,,,0.02,1900000.0,5400000.0,,1100000.0,-12200000.0,-1300000.0,100000.0,600000.0,0.0,,,175000000.0,39600000.0,,5000000.0,,5400000,3400000.0,11200000.0,1200000.0,,0.0,6000000.0,,27400000.0,,6700000,
1992-06-30,67900000.0,33200000.0,,1100000.0,20200000.0,,8200000.0,,3000000.0,,23300000,3800000.0,5300000.0,3700000.0,95500000.0,27600000.0,23200000.0,200000.0,3700000,3700000.0,-100000.0,4400000.0,15200000.0,0.0,300000.0,100000.0,3100000.0,,8600000.0,,,,2400000.0,700000.0,,,,,14700000.0,9300000.0,,400000.0,72300000.0,23500000.0,23500000.0,0.0,,,,2000000.0,5700000.0,,1000000.0,-14300000.0,-800000.0,100000.0,200000.0,0.0,,,,41300000.0,,6100000.0,,5400000,9500000.0,12600000.0,600000.0,,1000000.0,6600000.0,,27000000.0,,6500000,
1992-09-30,74700000.0,37200000.0,,1100000.0,22800000.0,,8600000.0,,2900000.0,0.02,25000000,,5200000.0,4000000.0,102600000.0,27900000.0,25700000.0,600000.0,4000000,4000000.0,0.0,12800000.0,15300000.0,0.0,300000.0,0.0,400000.0,,9400000.0,,,200000000.0,2400000.0,500000.0,,,,-200000.0,15600000.0,9700000.0,,,76900000.0,31000000.0,31000000.0,23500000.0,,,0.02,2200000.0,6200000.0,,800000.0,-14300000.0,-1600000.0,,400000.0,0.0,,,200000000.0,41600000.0,,6800000.0,2000000.0,5900000,7500000.0,14800000.0,800000.0,,1700000.0,7200000.0,,27300000.0,,7000000,
1992-12-31,78600000.0,41400000.0,,800000.0,22500000.0,,9100000.0,,2700000.0,0.02,26700000,,0.0,4200000.0,107500000.0,28900000.0,25200000.0,500000.0,4200000,4200000.0,0.0,27200000.0,16000000.0,0.0,300000.0,0.0,-16400000.0,,10500000.0,,,210000000.0,2400000.0,300000.0,,,,-900000.0,16200000.0,10100000.0,,,82300000.0,18300000.0,18300000.0,0.0,,,0.02,2300000.0,6500000.0,,800000.0,-14300000.0,-2300000.0,,1300000.0,0.0,,,210000000.0,42700000.0,,2300000.0,-1900000.0,6100000,-12700000.0,13900000.0,1500000.0,,-3700000.0,7800000.0,,28400000.0,,7100000,
1993-03-31,82500000.0,45700000.0,,1500000.0,23700000.0,,9800000.0,,2600000.0,0.02,28400000,-1000000.0,3800000.0,4400000.0,115100000.0,32600000.0,26300000.0,1100000.0,4400000,4400000.0,0.0,5800000.0,16100000.0,0.0,300000.0,-2000000.0,-7500000.0,,8700000.0,,,220000000.0,2400000.0,200000.0,,,,-1200000.0,19700000.0,13200000.0,,,88800000.0,19900000.0,19900000.0,0.0,,,0.02,2400000.0,6800000.0,,600000.0,-14300000.0,-4400000.0,,900000.0,0.0,,,220000000.0,45800000.0,,8200000.0,,6500000,1600000.0,15200000.0,1100000.0,,3300000.0,7900000.0,,31500000.0,,9900000,
1993-06-30,91300000.0,50500000.0,,1200000.0,27200000.0,,10400000.0,,2400000.0,,30100000,2900000.0,4600000.0,4700000.0,126900000.0,35600000.0,29600000.0,1100000.0,4700000,4700000.0,0.0,7500000.0,15500000.0,0.0,500000.0,1300000.0,-200000.0,,11500000.0,,,,2200000.0,200000.0,,,,-1100000.0,18600000.0,11600000.0,,,97300000.0,28600000.0,28600000.0,0.0,,,,2500000.0,7200000.0,,500000.0,-5100000.0,-4400000.0,,-100000.0,0.0,,,,39600000.0,,9000000.0,,7000000,8700000.0,16600000.0,1400000.0,,3300000.0,10100000.0,,34500000.0,,8200000,
