date,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyInventory,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyNonCurrentDeferredRevenue
1996-03-31,245405000.0,202092000.0,,3306000.0,93457000.0,,10971000.0,48837000.0,5129000.0,0.12,109001000,-2329000.0,-3019000.0,34182000.0,378763000.0,133358000.0,98586000.0,2131000.0,34182000,34182000.0,1129000.0,0.0,28411000.0,63650000.0,0.0,1026000.0,-26999000.0,79125000.0,35356000.0,14789000.0,,284848000.0,4000000.0,,13342000.0,,,-7836000.0,73645000.0,22204000.0,,,280177000.0,112487000.0,63650000.0,61511000.0,61000.0,,0.12,18408000.0,52588000.0,,,-50600000.0,-25696000.0,,6461000.0,0.0,-990000.0,0.0,284848000.0,181827000.0,,22677000.0,,51441000,2139000.0,15335000.0,6461000.0,11233000.0,-14811000.0,49991000.0,0.0,131227000.0,,54747000,
1996-06-30,264551000.0,236796000.0,,3174000.0,88369000.0,,10450000.0,68970000.0,4000000.0,,110000000,-126374000.0,15397000.0,34704000.0,417794000.0,153243000.0,92369000.0,6175000.0,34704000,34704000.0,,0.0,30471000.0,60283000.0,0.0,-4044000.0,-43574000.0,80664000.0,35970000.0,11880000.0,,,,,14531000.0,,,614000.0,74030000.0,22247000.0,,,325425000.0,129253000.0,60283000.0,63650000.0,62000.0,,,18279000.0,52983000.0,,,-50357000.0,-19397000.0,,5413000.0,-40000.0,-1372000.0,0.0,,197425000.0,,34794000.0,,51783000,-3367000.0,32220000.0,5453000.0,11797000.0,-1955000.0,29738000.0,-1129000.0,147068000.0,,54957000,
1996-09-30,278111000.0,268188000.0,,4929000.0,86373000.0,,9948000.0,78874000.0,4000000.0,0.13,101000000,-24313000.0,20825000.0,31392000.0,439361000.0,161250000.0,90373000.0,6354000.0,31392000,31392000.0,,0.0,34597000.0,59316000.0,0.0,-179000.0,-22255000.0,82002000.0,33027000.0,16128000.0,,281536000.0,,,16863000.0,,,-4126000.0,67973000.0,21844000.0,,,348988000.0,138190000.0,59316000.0,60283000.0,62000.0,,0.11,16171000.0,47563000.0,,,-50357000.0,-12172000.0,,-11709000.0,0.0,-787000.0,-16314000.0,281536000.0,205253000.0,,32997000.0,14409000.0,46129000,-967000.0,28627000.0,4605000.0,11896000.0,-3324000.0,24755000.0,,154896000.0,,51058000,
1996-12-31,321551000.0,301502000.0,,4945000.0,68689000.0,,9039000.0,142903000.0,4000000.0,0.14,104686000,-81469000.0,29459000.0,33314000.0,490004000.0,168453000.0,72689000.0,6438000.0,33314000,33314000.0,,0.0,37470000.0,35869000.0,0.0,-84000.0,-75480000.0,81556000.0,35530000.0,14679000.0,,289688000.0,,,15930000.0,,,-2873000.0,69156000.0,20510000.0,,,417315000.0,178772000.0,35869000.0,59316000.0,64000.0,,0.12,17162000.0,50476000.0,,,-50357000.0,-11367000.0,,11207000.0,0.0,-90000.0,-774000.0,289688000.0,212372000.0,,40826000.0,17440000.0,48646000,-23447000.0,19012000.0,11981000.0,11471000.0,2567000.0,19068000.0,,162015000.0,,53591000,
1997-03-31,350848000.0,336905000.0,,2828000.0,76441000.0,,9298000.0,191274000.0,4000000.0,0.14,111005000,-87078000.0,44524000.0,35403000.0,524306000.0,173458000.0,80441000.0,6493000.0,35403000,35403000.0,,0.0,36463000.0,11536000.0,0.0,-55000.0,-57453000.0,83301000.0,37437000.0,14040000.0,,297500000.0,,,14830000.0,,,1007000.0,73568000.0,22390000.0,,,443865000.0,202810000.0,11536000.0,35869000.0,64000.0,,0.12,18237000.0,53640000.0,,,-50357000.0,-9027000.0,,-20431000.0,0.0,-1339000.0,-29047000.0,297500000.0,217322000.0,,53551000.0,38707000.0,51178000,-24333000.0,25484000.0,8616000.0,13092000.0,15320000.0,22087000.0,,166965000.0,,54006000,
1997-06-30,377007000.0,373700000.0,,4311000.0,85221000.0,,9909000.0,,5600000.0,,117019000,-70890000.0,48085000.0,36865000.0,556386000.0,179379000.0,90821000.0,4871000.0,36865000,36865000.0,4000000.0,3079000.0,36833000.0,18562000.0,0.0,1622000.0,-24116000.0,91642000.0,39313000.0,16312000.0,,,1600000.0,,16336000.0,,,-370000.0,77706000.0,24714000.0,,,465565000.0,223953000.0,223953000.0,11536000.0,64000.0,,,18991000.0,55856000.0,,,-67101000.0,-11621000.0,,-28564000.0,0.0,-1106000.0,-34570000.0,,241609000.0,,59706000.0,56773000.0,52992000,7026000.0,27324000.0,6006000.0,14805000.0,17755000.0,25249000.0,,174508000.0,,57303000,
1997-09-30,433634000.0,413734000.0,,3445000.0,84166000.0,,10934000.0,253111000.0,5600000.0,0.16,125000000,-104267000.0,50693000.0,39964000.0,621107000.0,187473000.0,89766000.0,4706000.0,39964000,39964000.0,4000000.0,0.0,37013000.0,22197000.0,0.0,24000.0,-59902000.0,95762000.0,41500000.0,22301000.0,,301620000.0,1600000.0,,15033000.0,,,-180000.0,83500000.0,26414000.0,,,531341000.0,275308000.0,22197000.0,18562000.0,64000.0,,0.13,20588000.0,60552000.0,,,-67100000.0,-12206000.0,,638000.0,0.0,-1749000.0,-10550000.0,301620000.0,249867000.0,,62899000.0,56547000.0,57086000,3635000.0,18604000.0,11188000.0,15480000.0,19490000.0,28228000.0,,182767000.0,,60531000,
1997-12-31,393110000.0,456563000.0,,3605000.0,94690000.0,,11811000.0,214118000.0,5600000.0,0.17,135000000,8938000.0,2682000.0,42829000.0,633277000.0,240167000.0,100290000.0,6542000.0,42829000,42829000.0,4000000.0,0.0,38534000.0,12679000.0,0.0,-1695000.0,-22447000.0,100435000.0,44550000.0,19114000.0,,299498000.0,1600000.0,,14965000.0,,,-1521000.0,90450000.0,28824000.0,,,532987000.0,226797000.0,12679000.0,22197000.0,131000.0,,0.15,22063000.0,64892000.0,,,-67100000.0,-59745000.0,,-49498000.0,-20000.0,-2048000.0,-55089000.0,257466000.0,300725000.0,,62427000.0,30055000.0,61626000,-9518000.0,29478000.0,5611000.0,17013000.0,11151000.0,31133000.0,,233625000.0,,65231000,
1998-03-31,462227000.0,502713000.0,,4108000.0,93639000.0,,12837000.0,249167000.0,5600000.0,0.18,145039000,-181104000.0,59341000.0,46150000.0,708643000.0,246416000.0,99239000.0,6681000.0,46150000,46150000.0,4000000.0,0.0,40948000.0,35033000.0,0.0,-139000.0,-51572000.0,107128000.0,47250000.0,17375000.0,,302446000.0,1600000.0,,21204000.0,,,-2414000.0,97789000.0,31547000.0,,,609404000.0,284200000.0,35033000.0,12679000.0,131000.0,,0.16,23774000.0,69924000.0,,,-67100000.0,-16384000.0,,-1799000.0,10000.0,-2214000.0,-15880000.0,261020000.0,306835000.0,,75725000.0,146055000.0,66242000,22354000.0,21363000.0,14071000.0,18710000.0,19467000.0,33697000.0,,239735000.0,,70350000,
1998-06-30,508015000.0,551914000.0,,3924000.0,130292000.0,,13674000.0,306209000.0,8200000.0,,155181000,-107872000.0,73337000.0,49201000.0,769492000.0,261477000.0,138492000.0,6024000.0,49201000,49201000.0,4000000.0,4039000.0,44707000.0,16739000.0,0.0,657000.0,-77476000.0,101921000.0,50424000.0,22604000.0,,,4200000.0,,23686000.0,,,-3759000.0,104757000.0,34675000.0,,,631000000.0,322948000.0,16739000.0,35033000.0,131000.0,,,25346000.0,74547000.0,,,-83749000.0,-21091000.0,,-35246000.0,10000.0,-2163000.0,-41615000.0,,339202000.0,,94428000.0,50830000.0,70082000,-18294000.0,48833000.0,6359000.0,21001000.0,50103000.0,35169000.0,,255453000.0,,74006000,
1998-09-30,523763000.0,601309000.0,,4787000.0,127573000.0,,13487000.0,289784000.0,8200000.0,0.19,155281000,-59517000.0,54091000.0,49395000.0,792368000.0,268605000.0,135773000.0,5991000.0,49395000,49395000.0,4000000.0,0.0,44707000.0,52275000.0,0.0,33000.0,5214000.0,99479000.0,50453000.0,26537000.0,,297320000.0,4200000.0,,24256000.0,,,,104828000.0,34538000.0,,,656595000.0,342059000.0,52275000.0,16739000.0,131000.0,,0.17,25446000.0,74841000.0,,,-83700000.0,-11244000.0,,-35013000.0,0.0,-1459000.0,-43502000.0,261162000.0,346314000.0,,65335000.0,75942000.0,70290000,35536000.0,50705000.0,8489000.0,21051000.0,10232000.0,26075000.0,921000.0,262614000.0,,75077000,
1998-12-31,567109000.0,647801000.0,,4211000.0,103136000.0,,12643000.0,338787000.0,8200000.0,0.18,145012000,-84573000.0,48099000.0,46492000.0,844855000.0,277746000.0,111336000.0,7766000.0,46492000,46492000.0,4000000.0,0.0,43309000.0,53666000.0,0.0,-1775000.0,-62365000.0,87403000.0,45409000.0,28506000.0,,299944000.0,4200000.0,,23946000.0,,,,99603000.0,34028000.0,,,733519000.0,392453000.0,53666000.0,52275000.0,131000.0,,0.16,23950000.0,70442000.0,,,-83700000.0,-11587000.0,,4070000.0,0.0,-1469000.0,-8904000.0,262618000.0,353680000.0,,59686000.0,35570000.0,65575000,1391000.0,22495000.0,12974000.0,21385000.0,15409000.0,28189000.0,-6426000.0,269980000.0,,69786000,
1999-03-31,640925000.0,695470000.0,,4325000.0,109344000.0,,12798000.0,419615000.0,8200000.0,0.18,147188000,-225277000.0,76898000.0,47669000.0,920434000.0,279509000.0,117544000.0,6622000.0,47669000,47669000.0,4000000.0,0.0,43057000.0,45190000.0,0.0,1144000.0,-86916000.0,84744000.0,45538000.0,33929000.0,,307962000.0,4200000.0,,24238000.0,,,252000.0,101650000.0,34646000.0,,,802890000.0,464805000.0,45190000.0,53666000.0,134000.0,,0.16,24557000.0,72226000.0,,,-83700000.0,-7232000.0,,-5690000.0,0.0,-1469000.0,-18174000.0,267524000.0,356587000.0,,84130000.0,144449000.0,67004000,-8476000.0,27207000.0,12484000.0,21848000.0,36511000.0,23970000.0,-4375000.0,272887000.0,,71329000,
1999-06-30,728874000.0,748036000.0,,4316000.0,120898000.0,,13347000.0,480580000.0,22200000.0,,159484000,-201716000.0,72833000.0,52566000.0,1022314000.0,293440000.0,143098000.0,3307000.0,52566000,52566000.0,4000000.0,5056000.0,45283000.0,34126000.0,0.0,3315000.0,-81913000.0,79330000.0,48273000.0,35477000.0,,,18200000.0,,16316000.0,,,-2226000.0,111211000.0,37312000.0,,,879216000.0,514706000.0,34126000.0,45190000.0,136000.0,,,27079000.0,79645000.0,,,-100243000.0,-24263000.0,,-26247000.0,0.0,-1470000.0,-43363000.0,,390376000.0,,97096000.0,140751000.0,73899000,-11064000.0,28848000.0,17116000.0,23965000.0,27084000.0,40257000.0,10430000.0,290133000.0,,78215000,
1999-09-30,794084000.0,806390000.0,,4804000.0,147313000.0,189000.0,15295000.0,517106000.0,22200000.0,0.22,180046000,-81397000.0,83373000.0,58354000.0,1115175000.0,321091000.0,169513000.0,4082000.0,58354000,58354000.0,4000000.0,4867000.0,44855000.0,62166000.0,0.0,-775000.0,-71481000.0,93074000.0,54482000.0,51749000.0,,313886000.0,18200000.0,,15894000.0,,,428000.0,125564000.0,43604000.0,,,945662000.0,579272000.0,62166000.0,34126000.0,137000.0,,0.19,30061000.0,88415000.0,,,-100200000.0,-34180000.0,,-18032000.0,0.0,-1470000.0,-36214000.0,273586000.0,417209000.0,,117553000.0,44871000.0,81960000,28040000.0,36493000.0,18182000.0,28309000.0,51706000.0,43177000.0,,317009000.0,,86764000,
1999-12-31,799211000.0,871021000.0,,4802000.0,138189000.0,,17268000.0,544912000.0,22200000.0,0.23,201728000,-64137000.0,49200000.0,64631000.0,1150448000.0,351237000.0,160389000.0,8137000.0,64631000,64631000.0,4000000.0,6325000.0,44391000.0,28161000.0,0.0,-4035000.0,-66654000.0,103406000.0,60912000.0,41222000.0,,315711000.0,18200000.0,,15619000.0,,,464000.0,140816000.0,49518000.0,,,990059000.0,573073000.0,28161000.0,62166000.0,277000.0,,0.2,33295000.0,97926000.0,,,-100200000.0,-34813000.0,,-51364000.0,0.0,-1470000.0,-68677000.0,275528000.0,443300000.0,,84013000.0,36331000.0,91298000,-34005000.0,35279000.0,17313000.0,32250000.0,10869000.0,46069000.0,,343100000.0,,96100000,
2000-03-31,928344000.0,945724000.0,,4706000.0,163980000.0,,21346000.0,596743000.0,22200000.0,0.27,226540000,-271539000.0,77109000.0,74703000.0,1309482000.0,381138000.0,186180000.0,8200000.0,74703000,74703000.0,4000000.0,9133000.0,51351000.0,74026000.0,0.0,-83000.0,-95238000.0,125075000.0,68117000.0,49206000.0,,316538000.0,18200000.0,,13856000.0,,,-6960000.0,158423000.0,57783000.0,,,1123302000.0,670769000.0,74026000.0,28161000.0,282000.0,,0.23,38484000.0,113187000.0,,,-100200000.0,-43324000.0,,20670000.0,0.0,-1470000.0,-4953000.0,276167000.0,473138000.0,,120433000.0,219708000.0,100640000,45865000.0,44339000.0,25623000.0,36437000.0,32224000.0,56579000.0,,372938000.0,,105346000,
2000-06-30,931419000.0,1028655000.0,,5419000.0,208451000.0,,23173000.0,587889000.0,23500000.0,,256610000,-113966000.0,97991000.0,82931000.0,1349783000.0,418364000.0,231951000.0,7022000.0,82931000,82931000.0,4000000.0,12010000.0,58593000.0,53057000.0,0.0,1178000.0,-53791000.0,147184000.0,76660000.0,86256000.0,,,19500000.0,,16924000.0,,,-7242000.0,179950000.0,68456000.0,,,1117832000.0,640946000.0,53057000.0,74026000.0,283000.0,,,42722000.0,125653000.0,,,-152979000.0,-63823000.0,,-128992000.0,0.0,-1470000.0,-147162000.0,,564321000.0,,161814000.0,122820000.0,111494000,-20969000.0,50953000.0,18170000.0,45283000.0,71814000.0,54318000.0,,411342000.0,,116913000,
2000-09-30,986526000.0,1121928000.0,,6931000.0,208459000.0,,23051000.0,661967000.0,23500000.0,0.33,285095000,-148319000.0,137686000.0,93273000.0,1421225000.0,434699000.0,231959000.0,5666000.0,93273000,93273000.0,4000000.0,4404000.0,64040000.0,50742000.0,0.0,1356000.0,-114009000.0,144481000.0,84021000.0,116392000.0,,322675000.0,19500000.0,,,,,-5447000.0,201074000.0,69707000.0,,,1189266000.0,712709000.0,50742000.0,53057000.0,285000.0,,0.29,48050000.0,141323000.0,,,-175182000.0,-41287000.0,,-67279000.0,0.0,-1470000.0,-95476000.0,283601000.0,604215000.0,,178973000.0,74241000.0,131367000,-2315000.0,10108000.0,28197000.0,46656000.0,48996000.0,59741000.0,13108000.0,429033000.0,,138298000,
2000-12-31,1011266000.0,1221025000.0,,9478000.0,230570000.0,,24816000.0,697569000.0,23500000.0,0.35,305104000,-165610000.0,131614000.0,99097000.0,1504014000.0,492748000.0,254070000.0,6214000.0,99097000,99097000.0,4000000.0,5231000.0,63451000.0,59702000.0,0.0,-548000.0,-118329000.0,127420000.0,89768000.0,115914000.0,,319920000.0,19500000.0,,,,,589000.0,215336000.0,76157000.0,,,1249944000.0,757271000.0,59702000.0,50742000.0,286000.0,,0.31,51050000.0,150147000.0,,,-175182000.0,-82179000.0,,-86504000.0,0.0,-1470000.0,-103067000.0,284947000.0,661716000.0,,213793000.0,130008000.0,139179000,8960000.0,8555000.0,16563000.0,51341000.0,87019000.0,81197000.0,2999000.0,486534000.0,,148657000,
2001-03-31,1111188000.0,1324962000.0,,9733000.0,223948000.0,,20643000.0,785107000.0,23500000.0,0.36,306752000,-574247000.0,111179000.0,103937000.0,1630747000.0,519559000.0,247448000.0,7440000.0,103937000,103937000.0,4000000.0,10346000.0,63152000.0,61155000.0,0.0,-1226000.0,-139313000.0,143978000.0,87851000.0,117162000.0,,317828000.0,19500000.0,,,,,299000.0,218901000.0,72731000.0,,,1383299000.0,846262000.0,61155000.0,59702000.0,286000.0,,0.33,53544000.0,157481000.0,,,-175182000.0,-53818000.0,,-24231000.0,0.0,1331000.0,-45381000.0,286214000.0,687301000.0,,164997000.0,489978000.0,146170000,1453000.0,6785000.0,21150000.0,52088000.0,29916000.0,74908000.0,2911000.0,512119000.0,,155903000,
2001-06-30,1699092000.0,1745638000.0,,64719000.0,325377000.0,,82112000.0,1126556000.0,4000000.0,,679662000,-464088000.0,92624000.0,38632000.0,2430531000.0,731439000.0,329377000.0,19400000.0,38632000,38632000.0,,10204000.0,162656000.0,93796000.0,0.0,-4427000.0,-284025000.0,152488000.0,275508000.0,170097000.0,,,,,45396000.0,,,-23380000.0,404154000.0,212255000.0,,,2101154000.0,1220352000.0,93796000.0,61155000.0,330000.0,,,17405000.0,56037000.0,,,-696507000.0,-159261000.0,,35621000.0,-5977000.0,3534000.0,-6761000.0,,1408546000.0,,251885000.0,343751000.0,191899000,3481000.0,8963000.0,48359000.0,130143000.0,12127000.0,100921000.0,8367000.0,712039000.0,,256618000,
2001-09-30,1496691000.0,1806932000.0,,14198000.0,295320000.0,,25091000.0,935674000.0,4000000.0,0.19,239426000,-370739000.0,115731000.0,61294000.0,2238920000.0,742229000.0,299320000.0,18786000.0,61294000,61294000.0,,6548000.0,159308000.0,139455000.0,0.0,614000.0,165898000.0,99462000.0,71845000.0,162214000.0,,359499000.0,,,39072000.0,,,3348000.0,167581000.0,91065000.0,,,1939600000.0,1075129000.0,139455000.0,93796000.0,324000.0,,0.17,30189000.0,91483000.0,,,-696507000.0,-25602000.0,,-261572000.0,0.0,3264000.0,-286632000.0,330711000.0,1419950000.0,,141333000.0,561625000.0,76516000,45659000.0,11502000.0,25060000.0,65974000.0,72016000.0,82532000.0,-6175000.0,723443000.0,,90714000,
2001-12-31,1521200000.0,1869486000.0,,14321000.0,265954000.0,,22857000.0,938479000.0,4000000.0,0.19,247108000,-448306000.0,63812000.0,62554000.0,2268578000.0,747378000.0,269954000.0,19578000.0,62554000,62554000.0,,8465000.0,154447000.0,158728000.0,0.0,-792000.0,-25040000.0,94754000.0,73961000.0,163333000.0,,355799000.0,,,31154000.0,,,4861000.0,173147000.0,91424000.0,,,1998624000.0,1097207000.0,158728000.0,139455000.0,325000.0,,0.18,30810000.0,93364000.0,,,-696507000.0,-18678000.0,,-38177000.0,0.0,1588000.0,-67816000.0,323897000.0,1424307000.0,,82490000.0,442736000.0,81723000,19273000.0,10462000.0,29639000.0,68567000.0,12436000.0,61005000.0,-6821000.0,727800000.0,,96044000,
2002-03-31,1451430000.0,1936213000.0,,13176000.0,224064000.0,,21951000.0,944089000.0,7298000.0,0.2,258481000,-377609000.0,41901000.0,66727000.0,2216664000.0,765234000.0,231362000.0,27545000.0,66727000,66727000.0,4000000.0,6447000.0,147724000.0,71189000.0,0.0,-7967000.0,-40096000.0,108569000.0,76989000.0,141834000.0,,358598000.0,3298000.0,,28218000.0,,,6723000.0,181492000.0,90925000.0,,,1985302000.0,1015278000.0,71189000.0,158728000.0,326000.0,,0.19,32866000.0,99593000.0,,,,-23065000.0,,-112409000.0,0.0,-895000.0,-141894000.0,326228000.0,737689000.0,,64966000.0,368545000.0,90567000,-87539000.0,8680000.0,29485000.0,68974000.0,-27933000.0,45332000.0,,737689000.0,,103743000,
2002-06-30,1235664000.0,1686816000.0,,14557000.0,229027000.0,,22083000.0,591694000.0,40634000.0,,280089000,-102006000.0,91945000.0,68608000.0,2010812000.0,775148000.0,269661000.0,28987000.0,68608000,68608000.0,4000000.0,56428000.0,139206000.0,173807000.0,0.0,-1442000.0,330205000.0,129812000.0,89428000.0,145927000.0,,,36634000.0,,27183000.0,,,8518000.0,190661000.0,94115000.0,,,1741151000.0,765501000.0,173807000.0,71189000.0,320000.0,,,33792000.0,102400000.0,,,-686023000.0,-23029000.0,,-342561000.0,0.0,-920000.0,-367670000.0,,1432184000.0,,114974000.0,,96546000,102618000.0,10633000.0,25109000.0,72032000.0,25405000.0,45284000.0,,746161000.0,,111103000,
2002-09-30,1285853000.0,1745946000.0,,15699000.0,232198000.0,,22296000.0,627260000.0,70383000.0,0.23,285881000,-371915000.0,86759000.0,73177000.0,2089250000.0,803397000.0,302581000.0,34284000.0,73177000,73177000.0,4000000.0,7053000.0,136304000.0,160431000.0,0.0,-5297000.0,-80492000.0,135430000.0,87123000.0,148246000.0,,337946000.0,66383000.0,,26350000.0,,,2902000.0,198758000.0,93407000.0,,,1786669000.0,787691000.0,160431000.0,173807000.0,319000.0,,0.22,36042000.0,109219000.0,,,-686023000.0,-38651000.0,,-58294000.0,0.0,94000.0,-68984000.0,319498000.0,1455136000.0,,125410000.0,335371000.0,105351000,-13376000.0,9344000.0,10690000.0,71111000.0,27587000.0,48258000.0,8947000.0,769113000.0,,121050000,
2002-12-31,1390490000.0,1816608000.0,,15137000.0,212308000.0,,21245000.0,765529000.0,74659000.0,0.24,286077000,-257638000.0,151409000.0,77077000.0,2186416000.0,795926000.0,286967000.0,33566000.0,77077000,77077000.0,4000000.0,8330000.0,127929000.0,180153000.0,0.0,718000.0,-144681000.0,122577000.0,86541000.0,147916000.0,,340322000.0,70659000.0,,22812000.0,,,8375000.0,199536000.0,88441000.0,,,1899449000.0,945682000.0,180153000.0,160431000.0,322000.0,,0.23,37963000.0,115040000.0,,,-686023000.0,-8384000.0,,4610000.0,-6415000.0,675000.0,-18289000.0,321199000.0,1448383000.0,,159793000.0,120623000.0,111095000,19722000.0,8638000.0,29314000.0,67196000.0,79456000.0,32942000.0,-11877000.0,762360000.0,,126232000,
2003-03-31,1494289000.0,1887758000.0,-6454000.0,14959000.0,215317000.0,,21065000.0,821687000.0,77720000.0,0.24,286232000,-475273000.0,119391000.0,77604000.0,2283933000.0,789644000.0,293037000.0,33595000.0,77604000,77604000.0,4000000.0,6964000.0,123752000.0,235033000.0,0.0,-29000.0,-66594000.0,123864000.0,86146000.0,137472000.0,,341863000.0,73720000.0,,21729000.0,,,4177000.0,200086000.0,87870000.0,,,1990896000.0,1056720000.0,235033000.0,180153000.0,324000.0,,0.23,38223000.0,115827000.0,,,-686023000.0,-8648000.0,,-6565000.0,0.0,-227000.0,-19978000.0,322905000.0,1442072000.0,,128039000.0,417356000.0,112216000,54880000.0,18348000.0,19867000.0,66805000.0,6146000.0,37768000.0,29330000.0,756049000.0,,127175000,
2003-06-30,1564642000.0,1956491000.0,-13010000.0,14541000.0,215917000.0,,20991000.0,953166000.0,81633000.0,,295029000,-515259000.0,140175000.0,81743000.0,2367962000.0,803320000.0,297550000.0,33435000.0,81743000,81743000.0,4000000.0,16503000.0,121192000.0,210841000.0,0.0,160000.0,-156836000.0,126760000.0,88454000.0,141394000.0,,,77633000.0,,21582000.0,,,2560000.0,206575000.0,88201000.0,,,2070412000.0,1164007000.0,210841000.0,235033000.0,325000.0,,,40262000.0,122005000.0,,,-737661000.0,-28377000.0,,-35908000.0,0.0,1424000.0,-46698000.0,,1507546000.0,,168552000.0,386640000.0,118374000,-24192000.0,10900000.0,23800000.0,67210000.0,50264000.0,42041000.0,22004000.0,769885000.0,,132915000,
2003-09-30,1694556000.0,2017730000.0,-26134000.0,14995000.0,229607000.0,,21389000.0,1130805000.0,85633000.0,0.27,310169000,-602833000.0,132557000.0,87373000.0,2504457000.0,809901000.0,315240000.0,32056000.0,87373000,87373000.0,4000000.0,8785000.0,115449000.0,163835000.0,0.0,1379000.0,-200303000.0,130982000.0,93028000.0,147957000.0,,347333000.0,81633000.0,,22669000.0,,,5743000.0,217141000.0,91485000.0,,,2189217000.0,1294640000.0,163835000.0,210841000.0,328000.0,,0.25,43034000.0,130407000.0,,,-737661000.0,-22955000.0,,-2215000.0,0.0,463000.0,-15460000.0,326247000.0,1515506000.0,,155512000.0,424106000.0,125656000,-47006000.0,9358000.0,39379000.0,70096000.0,50144000.0,49623000.0,3000000.0,777845000.0,,140651000,
2003-12-31,1728094000.0,2089864000.0,-26385000.0,14279000.0,240009000.0,,22193000.0,1169760000.0,92133000.0,0.3,338108000,-277881000.0,102421000.0,98519000.0,2595825000.0,867731000.0,332142000.0,34170000.0,98519000,98519000.0,4000000.0,10478000.0,108275000.0,159789000.0,48271000.0,-2114000.0,-111841000.0,133437000.0,103029000.0,154526000.0,,353888000.0,88133000.0,,21665000.0,,,7174000.0,235079000.0,141675000.0,,,2263683000.0,1329549000.0,159789000.0,163835000.0,329000.0,,0.28,48525000.0,147044000.0,,,-737661000.0,-69995000.0,,-64621000.0,0.0,-598000.0,-100574000.0,329188000.0,1571222000.0,,172416000.0,238149000.0,93404000,-4046000.0,6607000.0,62338000.0,71211000.0,54318000.0,57211000.0,5300000.0,833561000.0,,107683000,
2004-03-31,1517945000.0,1961781000.0,-26261000.0,14297000.0,287145000.0,,23546000.0,979978000.0,106805000.0,0.33,370023000,-5108000.0,119868000.0,109163000.0,2439759000.0,921814000.0,393950000.0,32751000.0,109163000,109163000.0,4000000.0,8501000.0,103366000.0,109033000.0,0.0,1419000.0,129159000.0,162423000.0,111761000.0,161686000.0,,354183000.0,102805000.0,,20928000.0,,,4909000.0,258262000.0,100801000.0,,,2045809000.0,1089011000.0,109033000.0,159789000.0,324000.0,,0.31,53767000.0,162930000.0,,,-737661000.0,-69799000.0,,-369582000.0,0.0,5447000.0,-385083000.0,328247000.0,1626724000.0,,189667000.0,202647000.0,157461000,-50756000.0,19102000.0,41762000.0,77255000.0,-38230000.0,85429000.0,104437000.0,889063000.0,,171758000,
