date,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyEbitda,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyChangeInInventory
2003-03-31,,,5328505000.0,,747045000.0,502238000.0,0.0,0.08,1722972000,0.0,390051000.0,-69185000.0,231045000,580350395.0,132477000,,,132998000,,1891005000,1302745000,100526000.0,,146435000,17927000,63439000,1935579000,-43611000.0,98568000,-9881000.0,580350395.0,789579000,42280000.0,-3392926000.0,85515000.0,272766000,403225000,164283000.0,45512000,0.08,,,886355000,,685082000,558534000,675108000,-25878000,45512000,,296198000,317391000,390051000,45512000,,47867000.0,,875401000.0,304536000.0,390051000,7591000,120672000.0,397282000,0.0,4101460000,32939000.0,2210455000,188797000.0,2189100000,,,,,,,,
2003-06-30,,,5374522000.0,,724494000.0,463453000.0,0.0,0.16,1735082000,-52404000.0,148963000.0,-119053000.0,264770000,580350395.0,152316000,,,146238000,,1764786000,1352013000,135187000.0,,163074000,18694000,108369000,1981596000,-45022000.0,112454000,-64651000.0,580350395.0,868892000,-105534000.0,-3392926000.0,-241088000.0,269544000,343656000,-59101000.0,89675000,0.16,,,809089000,,770224000,604122000,691588000,1697000,89675000,,298635000,240910000,148963000,89675000,,50620000.0,,875401000.0,390051000.0,148963000,7837000,-104123000.0,544904000,-118501000.0,4089497000,44785000.0,2324711000,246094000.0,2161102000,,,,,,,,
2003-09-30,,,5335617000.0,,1824484000.0,455696000.0,0.0,0.0106,1824484000,21382000.0,310755000.0,-30938000.0,250801000,580350395.0,141565000,,,141565000,,1728974000,1297928000,,,156686000,53427000,116846000,1942691000,-34827000.0,109236000,-63884000.0,580350395.0,759615000,40116000.0,-3392926000.0,53410000.0,175115000,329175000,147620000.0,61438000,0.0106,,,783100000,,621866000,508814000,728401000,10630000,61438000,,383975000,224010000,208592000,61438000,-2477000.0,47450000.0,,,148963000.0,208592000,3020000,112793000.0,513057000,0.0,4030980000,53817000.0,2302006000,252124000.0,2081028000,,,,,,,,
2003-12-31,,,5546817000.0,,-252889000.0,459795000.0,153352000.0,,1841280000,719000.0,247834000.0,-33069000.0,225209000,,257277000,,,140477000,,2035895000,1328677000,304612000.0,,21794000,-26130000,-41158000,1960314000,-39164000.0,-32068000,55234000.0,,761566000,-84018000.0,-3586503000.0,45461000.0,226495000,410010000,22834000.0,13683000,,138266000.0,,1019607000,,581116000,536357000,831879000,-118200000,13683000,,418333000,374779000,386100000,13683000,-8088000.0,53862000.0,,1180288000.0,310755000.0,247834000,-3469000,-16330000.0,458872000,0.0,4309548000,54037000.0,2273653000,128490000.0,2348284000,,,,,,,,
2004-03-31,,,5511450000.0,,-254813000.0,484822000.0,0.0,0.08,1888437000,191000.0,220968000.0,-33202000.0,238889000,590185500.0,136318000,,,139818000,,2181651000,1438477000,352980000.0,,156395000,39069000,86672000,1924947000,-39912000.0,102571000,96223000.0,590185500.0,859346000,-174981000.0,-3586503000.0,-26866000.0,239192000,368556000,-89509000.0,48368000,0.08,138637000.0,,968151000,,673566000,620457000,885622000,-6801000,48368000,,395172000,333787000,359605000,48368000,,53824000.0,,1180537000.0,247834000.0,220968000,8693000,-129421000.0,585099000,0.0,4413452000,54317000.0,2231801000,127976000.0,2406628000,,,,,,,,
2004-06-30,,,5476107000.0,,-337637000.0,488189000.0,0.0,0.22,1859365000,16611000.0,268969000.0,-23998000.0,319194000,590268500.0,165482000,,,167547000,,2373914000,1591238000,406732000.0,,201717000,60911000,189957000,1889604000,-42871000.0,153712000,62312000.0,590268500.0,996849000,-136040000.0,-3586503000.0,48001000.0,241612000,392092000,6609000.0,127314000,0.22,139051000.0,,1035856000,,801517000,677655000,916653000,45053000,127314000,,396804000,397440000,408020000,127314000,,48005000.0,,1180537000.0,220968000.0,268969000,10531000,-36262000.0,710957000,-135076000.0,4600793000,57619000.0,2226879000,149868000.0,2627094000,,,,,,,,
2004-09-30,,,5683420000.0,,-404690000.0,538731000.0,0.0,0.24,2007473000,-30849000.0,287424000.0,-122238000.0,365864000,590268500.0,164005000,,,168922000,,2576118000,1733411000,621893000.0,,250399000,67204000,216027000,2096917000,-116303000.0,201859000,933000.0,590268500.0,1007157000,-111643000.0,-3586503000.0,18455000.0,254670000,455859000,139476000.0,141599000,0.24,139591000.0,,1132418000,,792109000,641293000,1064336000,28791000,141599000,,413963000,463785000,427015000,141599000,0.0,48540000.0,,1180537000.0,268969000.0,287424000,13211000,23173000.0,738821000,0.0,5020952000,55421000.0,2444834000,144450000.0,2865829000,,,,,,,,
2004-12-31,,,5962100000.0,,169195000.0,592092000.0,341140000.0,,2495924000,83004000.0,311579000.0,-20458000.0,435180000,,79804000,,,196162000,,3012092000,1999846000,536459000.0,,413126000,53192000,326664000,2164601000,15774000.0,355376000,5542000.0,,1272711000,-198523000.0,-3797499000.0,24155000.0,208521000,569163000,41712000.0,467422000,,119666000.0,,1001247000,,853049000,837531000,1269470000,304319000,467422000,,371975000,420751000,431245000,467422000,-8000.0,57750000.0,,1180537000.0,287424000.0,311579000,14495000,57486000.0,838591000,0.0,5662288000,49211000.0,2650196000,275211000.0,3001093000,,,,,,,,
2005-03-31,,,5913838000.0,,47010000.0,613892000.0,96604000.0,0.44,2829827000,139186000.0,423660000.0,65594000.0,587799000,590270000.0,182116000,,-11344000.0,185083000,,3233276000,1820293000,992547000.0,,457660000,114069000,394039000,2116339000,-47316000.0,405683000,-118153000.0,590270000.0,1452927000,-209878000.0,-3797499000.0,129836000.0,204171000,627486000,182693000.0,279970000,0.44,,,1097172000,,1131168000,865128000,1360708000,806000,279970000,,346105000,546896000,477106000,279970000,,51977000.0,-27680000.0,1180537000.0,293824000.0,477106000,12442000,135377000.0,578915000,0.0,5925675000,157733000.0,2692399000,264381000.0,2917465000,,,,,,,,
2005-06-30,,,6006564000.0,,66432000.0,694611000.0,100911000.0,0.54,2963276000,31232000.0,430284000.0,-71850000.0,700537000,590270000.0,209908000,,28323000.0,212510000,,3367756000,1759486000,1106574000.0,,542395000,144645000,486265000,2209065000,-84318000.0,490629000,-172572000.0,590270000.0,1744311000,-124228000.0,-3797499000.0,6624000.0,210031000,582903000,262995000.0,313456000,0.54,,,1254913000,,1258981000,1043774000,1389631000,40881000,313456000,,362331000,682551000,450586000,313456000,,51766000.0,,1180537000.0,423660000.0,450586000,42643000,178677000.0,481972000,-202241000.0,6195555000,161607000.0,2827799000,285227000.0,3014399000,,,,,,,,
