date,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyInventory,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyDilutedEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-02-29,,,,,,,,,117259000.0,,,,1500000,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,117259000.0,,,,,,,21100000,,,,0.01,,,,,,,,,,,,21100000,21100000,,,,,,,,
1984-05-31,,,,200000.0,13300000.0,,,,,76800000.0,38000000.0,,2400000,,,14900000.0,,,,14500000.0,,3200000.0,,1400000.0,,,,,,,,30700000.0,16200000.0,,,,,,,,,12200000.0,46100000.0,12200000.0,,,,,300000.0,21800000.0,,-45900000,-7200000.0,,,,,38800000.0,29800000.0,15800000.0,29000000.0,,,,,,,-45900000,23400000,12600000.0,,,,,,,
1984-08-31,,,,,,,,,117259000.0,,,,2000000,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,117259000.0,,,,,,,23100000,,,,0.02,,,,,,,,,,,,23100000,23100000,,,,,,,,
1984-11-30,,,,,,,,,117259000.0,,,,2300000,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,117259000.0,,,,,,,26400000,,,,0.02,,,,,,,,,,,,26400000,26400000,,,,,,,,
1985-02-28,,,,,,,,,117259000.0,,,,2000000,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,117259000.0,,,,,,,28500000,,,,0.02,,,,,,,,,,,,28500000,28500000,,,,,,,,
1985-05-31,,,,200000.0,15200000.0,,,,,92100000.0,46400000.0,,2900000,,,17400000.0,,,,21400000.0,,4300000.0,,2000000.0,,,,,,,,37500000.0,14700000.0,,,,,,,,,11400000.0,54600000.0,11400000.0,,,,,200000.0,31700000.0,,-60900000,-9800000.0,,,,,45700000.0,38300000.0,20100000.0,41500000.0,,,,,,,-60900000,29700000,15800000.0,,,,,,,
1985-08-31,,,,,,,,,117259000.0,,,,2500000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,28900000,,,,0.03,,,,,,,,,,,,28900000,28900000,,,,,,,,
1985-11-30,,,,,,,,,117259000.0,,,,2700000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,31200000,,,,0.03,,,,,,,,,,,,31200000,31200000,,,,,,,,
1986-02-28,,,,,,,,,117259000.0,,,,2600000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,31500000,,,,0.03,,,,,,,,,,,,31500000,31500000,,,,,,,,
1986-05-31,,,,200000.0,41200000.0,,,,,130800000.0,60100000.0,,3500000,,,43800000.0,,,,9600000.0,,4200000.0,,2400000.0,,,,,,,,66000000.0,22800000.0,,,,,,,,,33700000.0,64800000.0,33700000.0,,,,,14600000.0,37300000.0,,-70700000,-12800000.0,,,,,70700000.0,48600000.0,22200000.0,50100000.0,,,,,,,-70700000,32100000,18000000.0,,,,,,,
1986-08-31,,,,,,,,,117259000.0,,,,3100000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,35000000,,,,0.03,,,,,,,,,,,,35000000,35000000,,,,,,,,
1986-11-30,,,,,,,,,117259000.0,,,,3300000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,41700000,,,,0.03,,,,,,,,,,,,41700000,41700000,,,,,,,,
1987-02-28,,,,,,,,,117259000.0,,,,3300000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,41800000,,,,0.03,,,,,,,,,,,,41800000,41800000,,,,,,,,
1987-05-31,,,,0.0,51100000.0,,,,,161800000.0,84600000.0,,4200000,,,53900000.0,,,,10500000.0,,6900000.0,,2800000.0,,,,,,,,84100000.0,32300000.0,,,,,,,,,26900000.0,77700000.0,26900000.0,,,,,20200000.0,52300000.0,,-91400000,-17600000.0,,,,,77200000.0,61300000.0,30200000.0,69900000.0,,,,,,,-91400000,44900000,23300000.0,,,,,,,
1987-08-31,,,,,,,,,117259000.0,,,,3800000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,117259000.0,,,,,,,45500000,,,,0.03,,,,,,,,,,,,45500000,45500000,,,,,,,,
1987-11-30,,,,,,,,,119322000.0,,,,4000000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,119322000.0,,,,,,,51000000,,,,0.03,,,,,,,,,,,,51000000,51000000,,,,,,,,
1988-02-29,,,,,,,,,119322000.0,,,,3900000,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,119322000.0,,,,,,,52200000,,,,0.03,,,,,,,,,,,,52200000,52200000,,,,,,,,
1988-05-31,,,,0.0,48600000.0,,,,,179900000.0,93600000.0,,5500000,,,52400000.0,,,,19900000.0,,4800000.0,,3800000.0,,,,,,,,85500000.0,29000000.0,,,,,,,,,18900000.0,94400000.0,18900000.0,,,,,25300000.0,64600000.0,,-118400000,-22800000.0,,,,,86300000.0,77500000.0,33100000.0,87400000.0,,,,,,,-118400000,55800000,28300000.0,,,,,,,
1988-08-31,,,,,,,,,119358000.0,,,,4700000,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,119358000.0,,,,,,,56600000,,,,0.04,,,,,,,,,,,,56600000,56600000,,,,,,,,
1988-11-30,,,,,,,,,127124000.0,,,,5200000,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,127124000.0,,,,,,,60700000,,,,0.05,,,,,,,,,,,,60700000,60700000,,,,,,,,
1989-02-28,,,,,,,,,127148000.0,,,,5200000,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,127148000.0,,,,,,,61200000,,,,0.05,,,,,,,,,,,,61200000,61200000,,,,,,,,
1989-05-31,,,,-100000.0,36900000.0,,,,,213600000.0,108900000.0,,7000000,,,41800000.0,,,,17900000.0,,3900000.0,,5000000.0,,,,,,,,79700000.0,26000000.0,,,,,,,,,30100000.0,133900000.0,30100000.0,,,,,29700000.0,82900000.0,,-141700000,-27900000.0,,,,,104700000.0,97200000.0,37900000.0,110800000.0,,,,,,,-141700000,65200000,34000000.0,,,,,,,
1989-08-31,,,,,,,,,127148000.0,,,,5900000,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,127148000.0,,,,,,,65900000,,,,0.05,,,,,,,,,,,,65900000,65900000,,,,,,,,
1989-11-30,,,,,,,,,127268000.0,,,,6300000,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,127268000.0,,,,,,,70300000,,,,0.05,,,,,,,,,,,,70300000,70300000,,,,,,,,
1990-02-28,,,,100000.0,46900000.0,,,39600000.0,124000000.0,245100000.0,131000000.0,,6200000,6200000.0,17600000.0,52400000.0,,600000.0,,22200000.0,,5300000.0,900000.0,5400000.0,,,,20600000.0,6200000.0,,0.05,92500000.0,28500000.0,,,,,30600000.0,,,,4600000.0,152600000.0,4600000.0,124000000.0,,,9200000.0,58000000.0,102500000.0,3500000.0,13000000,-32200000.0,,,0.05,,114100000.0,115600000.0,40100000.0,134700000.0,,,,,,,10000000,70200000,25600000.0,,,,9700000.0,,,
