date,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInvestmentsAndAdvances,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyGrossProfit,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1984-03-31,,107225000.0,11500000,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,313400000,,313400000,,,,,,,313400000,,107225000.0,,,,,,,,,,,,,,,,0.1,,,,,,,
1984-06-30,,107225000.0,17900000,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,378700000,,378700000,,,,,,,378700000,,107225000.0,,,,,,,,,,,,,,,,0.16,,,,,,,
1984-09-30,,110183000.0,18700000,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,384600000,,384600000,,,,,,,384600000,,110183000.0,,,,,,,,,,,,,,,,0.17,,,,,,,
1984-12-31,,,11300000,,28900000.0,183800000.0,,,157900000.0,,348000000.0,,,,18500000.0,,60700000.0,,,,,,,7000000.0,7000000.0,,,387200000.0,42000000.0,,,,,806400000.0,,10300000.0,,641700000.0,,,,308600000.0,-961800000,,293000000,16700000.0,,,,,,-961800000,,,,,,,,419200000.0,,,591900000.0,,497800000.0,,82800000.0,225800000.0,,,-293700000.0,3600000.0,,,,,
1985-03-31,,104727000.0,13200000,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,315200000,,315200000,,,,,,,315200000,,104727000.0,,,,,,,,,,,,,,,,0.13,,,,,,,
1985-06-30,,103538000.0,21100000,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,408900000,,408900000,,,,,,,408900000,,103538000.0,,,,,,,,,,,,,,,,0.21,,,,,,,
1985-09-30,,96150000.0,23300000,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,,421900000,,421900000,,,,,,,421900000,,96150000.0,,,,,,,,,,,,,,,,0.24,,,,,,,
1985-12-31,,,14100000,,41500000.0,208500000.0,,,158200000.0,,346900000.0,,,,33500000.0,,71300000.0,,,,,,,14800000.0,14800000.0,,,400200000.0,16300000.0,,,,,865800000.0,,11800000.0,,687000000.0,,,,334300000.0,-1005800000,,341200000,13600000.0,,,,,,-1005800000,,,,,,,,465600000.0,,,617300000.0,,531500000.0,,109500000.0,224800000.0,,,-340100000.0,4700000.0,,,,,
1986-03-31,,95141000.0,15400000,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,,357200000,,357200000,,,,,,,357200000,,95141000.0,,,,,,,,,,,,,,,,0.16,,,,,,,
1986-06-30,,93048000.0,23800000,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,465000000,,465000000,,,,,,,465000000,,93048000.0,,,,,,,,,,,,,,,,0.25,,,,,,,
