date,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyResearchAndDevelopment,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyRetainedEarnings,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyCurrentAccruedExpenses
2003-06-30,,7573000,,,,,,,,,,,,,4344000,,,,,,6358292.0,,,,,,,,-0.373213,,,,,2056000,,,,-2373000,,,6358292.0,,,3200000,,,,9307000,1734000,,,,,,,,,,,,-0.373213,,,,,,672000.0,-1340000,-2373000,,,,,,,,
2003-09-30,,8077000,,,,-18779000.0,,,100000.0,,,32353000.0,,,4703000,13612000.0,,,23150000.0,,4491902.0,-9410000.0,,,,,,,-1.15,,,867000.0,1714000.0,1912000,,,,-5166000,-12873000.0,,4491902.0,1688000.0,,2745000,-211000.0,22943000.0,,9134000,1057000,,,-9001000.0,,,,,,,,,-1.15,,967000.0,,-45015000.0,,,-3812000,-3812000,,,,,,,,
2003-12-31,11746000.0,12000000,,,,-7478000.0,,354374000.0,967000.0,5226000.0,11746000.0,-177181000.0,,273808000.0,319000,10496000.0,,,21513000.0,,,-247000.0,,,354374000.0,,2318000.0,,,,,10779000.0,4171000.0,2428000,,,,-4453000,-10487000.0,-54111000.0,,2219000.0,,-203000,1283000.0,-177428000.0,,9578000,-2422000,,,1890000.0,383751000.0,267671000.0,,,-5104000.0,,,,,,11746000.0,,165356000.0,8438000.0,,-8527000,-8527000,273808000.0,,,,,,,
2004-03-31,,-7585000,,,,-123143000.0,,440152000.0,11746000.0,60886000.0,,-86241000.0,19480000.0,345507000.0,6367000,-5022000.0,-669000.0,,79672000.0,,28140000.0,-2971000.0,,,440152000.0,,,,-0.05,,-155000.0,-8164000.0,748000.0,2970000,,,,-6032000,-84865000.0,-73666000.0,28140000.0,3215000.0,,21816000,,-89212000.0,,11016000,18601000,,,-902000.0,476645000.0,459886000.0,,,-12780000.0,,,,-0.05,218000.0,3582000.0,,1376000.0,,-171000.0,-6032000,-6032000,,,,,,,,
2004-06-30,2775000.0,12428000,,,,-70203000.0,,540861000.0,3582000.0,58466000.0,2775000.0,-61366000.0,211000.0,431847000.0,8406000,4843000.0,2668000.0,,72122000.0,,28140000.0,-3958000.0,,,540861000.0,,548000.0,,-0.250036,,-89000.0,-807000.0,1356000.0,3273000,,,,-7036000,-68971000.0,-81131000.0,28140000.0,2551000.0,,4590000,,-65324000.0,,13929000,1501000,,,-1000000.0,584453000.0,596610000.0,,,-22665000.0,,,,-0.250036,-4119000.0,2775000.0,,-6378000.0,7541000.0,,-7036000,-7036000,431847000.0,,,,,,,
2004-09-30,32006000.0,14808000,,,,-112585000.0,,679724000.0,2775000.0,312000.0,32006000.0,-71962000.0,263914000.0,454023000.0,9741000,-59668000.0,-3552000.0,,119778000.0,,15241832.0,-8271000.0,,,679724000.0,,2949000.0,,-0.53,,-18886000.0,29231000.0,1120000.0,2905000,,,,-8020000,-82276000.0,-97178000.0,15241832.0,5057000.0,,8417000,1229000.0,-80233000.0,,18168000,3360000,,,-7451000.0,737600000.0,442616000.0,,,273000000.0,,,,-0.53,-3899000.0,32006000.0,,205161000.0,5383000.0,,-8020000,-5077000,454023000.0,,,,,,,
2004-12-31,24329000.0,13509000,,-27523000.0,,-19986000.0,,696899000.0,32006000.0,312000.0,24329000.0,-27723000.0,-1000.0,39000000.0,5749000,-6266000.0,310000.0,,8467000.0,,,9042000.0,,,696899000.0,,,,,,1000.0,-7677000.0,-1454000.0,3317000,-7092000.0,,,-317000,-25186000.0,-104588000.0,,4729000.0,,14168000,3000.0,-18681000.0,,22948000,9439000,,,4335000.0,748484000.0,483424000.0,,,243607000.0,,,,,4025000.0,24329000.0,,30057000.0,8683000.0,-3523000.0,-317000,-317000,472977000.0,,,,,,,
2005-03-31,12286000.0,17692000,,-55327000.0,,-2765000.0,,755427000.0,24329000.0,312000.0,12286000.0,-56591000.0,,48499000.0,6239000,-1021000.0,-469000.0,,42380000.0,,31169950.0,3256000.0,,,755427000.0,,,,-0.02,,,-12043000.0,13000.0,2957000,-7091000.0,,,-640000,-57679000.0,-112319000.0,31169950.0,5730000.0,,10956000,-1088000.0,-53335000.0,,22918000,5226000,,,-1847000.0,797153000.0,540501000.0,,,235876000.0,,,,-0.02,-1378000.0,12286000.0,,55327000.0,6121000.0,,-640000,-640000,529083000.0,,,,,,,
2005-06-30,95042000.0,18742000,,-14634000.0,,-40534000.0,,763569000.0,12286000.0,374000.0,95042000.0,-16726000.0,,,7493000,-2709000.0,-7037000.0,,100493000.0,,31858839.0,1189000.0,,,763569000.0,,,,-0.04,,,82756000.0,-48000.0,3320000,-7091000.0,,,-1220000,-18926000.0,-120630000.0,31858839.0,6213000.0,,12088000,-2200000.0,-15537000.0,,24617000,5875000,,,-3756000.0,901910000.0,572717000.0,,,308923000.0,,,,-0.04,3281000.0,95042000.0,,14634000.0,7773000.0,,-1220000,-1220000,559095000.0,,,,,,,
2005-09-30,7093000.0,33014000,,-458739000.0,,-43392000.0,,1200509000.0,95042000.0,379000.0,7093000.0,-6691000.0,-28000.0,,14588000,-6187000.0,-21349000.0,,470630000.0,,37465700.0,-17108000.0,,,1200509000.0,,,-2560000.0,-0.08,,,-87949000.0,262000.0,9591000,-8626000.0,,,-2859000,-541471000.0,-132115000.0,37465700.0,9535000.0,,19656000,1548000.0,-23799000.0,,43135000,10121000,,,-24046000.0,1429555000.0,1091902000.0,,,301275000.0,,,,-0.08,-2697000.0,7093000.0,,-77797000.0,96665000.0,,-2859000,-2859000,1053804000.0,,,,,,,
2005-12-31,28653000.0,32926000,,-2272000.0,,-1153500000.0,,1212678000.0,7093000.0,518000.0,28653000.0,-21697000.0,190207000.0,,14229000,808607000.0,9035000.0,,-9116000.0,,,27434000.0,,25730000.0,1212678000.0,,,,,,,21560000.0,6296000.0,8213000,-11777000.0,,,-247000,3242000.0,-144139000.0,,9527000.0,,20659000,-2765000.0,5737000.0,,44058000,11132000,,,11858000.0,1420192000.0,903829000.0,,,480128000.0,,,,,2823000.0,28653000.0,,4246000.0,90898000.0,,-247000,-247000,866783000.0,,,,,,,
2006-03-31,11061000.0,34214000,,,,-4049000.0,,1251315000.0,28653000.0,518000.0,11061000.0,-48694000.0,91000.0,,11985000,-1478000.0,10736000.0,,13422000.0,,55709430.0,15030000.0,,1979000.0,1251315000.0,,,,0.01,,,-17592000.0,1492000.0,9245000,-11777000.0,,,738000,-46044000.0,-155178000.0,51593729.0,9276000.0,,20432000,-57000.0,-33664000.0,,45370000,11156000,,,3524000.0,1428268000.0,923708000.0,,,469141000.0,,,,0.01,-7212000.0,11061000.0,,0.0,89652000.0,,738000,738000,892794000.0,,,,,,,
2006-06-30,4250000.0,33665000,,,,-20549000.0,,1322527000.0,11061000.0,518000.0,4250000.0,-55156000.0,36000.0,,12784000,-909000.0,8049000.0,,33761000.0,,55991088.0,21234000.0,,-1861000.0,1322527000.0,,,,0.06,,,-6811000.0,2083000.0,8747000,-11784000.0,,,3092000,-61806000.0,-163870000.0,51625135.0,9057000.0,,23923000,-4789000.0,-33922000.0,,48531000,14866000,,,7002000.0,1477969000.0,982082000.0,,,461113000.0,,,,0.06,-1047000.0,4250000.0,,0.0,90569000.0,,3092000,3092000,950270000.0,,,,,,,
2006-09-30,151686000.0,34661000,,,,-40615000.0,,1370244000.0,4250000.0,642000.0,151686000.0,-51494000.0,194774000.0,,13429000,-557000.0,3552000.0,,173280000.0,,57072838.0,24452000.0,,6437000.0,1370244000.0,,,,0.08,,,147436000.0,1810000.0,8598000,-11846000.0,,,4307000,-50296000.0,-171409000.0,52501864.0,9253000.0,,25780000,-258000.0,-27042000.0,,51188000,16527000,,,9082000.0,1668536000.0,981922000.0,,,651085000.0,,,,0.07,5530000.0,151686000.0,,-92945000.0,89695000.0,,4307000,4307000,945194000.0,,,,,,,
2006-12-31,70801000.0,35072000,,,,-33653000.0,,1417391000.0,151686000.0,642000.0,70801000.0,-55437000.0,-427000.0,,12755000,-919000.0,-11505000.0,,-13057000.0,,,13804000.0,,-4744000.0,1417391000.0,,,,,,,-80885000.0,2884000.0,9010000,-14598000.0,,,6739000,-81632000.0,-179268000.0,,9586000.0,,26689000,-26432000.0,-41633000.0,,52175000,17103000,,,-5405000.0,1669825000.0,991112000.0,,,643555000.0,,,,,6100000.0,70801000.0,,179286000.0,88115000.0,,6739000,6739000,948174000.0,,,,,,,
2007-03-31,35111000.0,36155000,,,,-692000.0,,1451197000.0,70801000.0,644000.0,321471000.0,-41894000.0,732000.0,,13396000,-6579000.0,14009000.0,,274297000.0,,68786185.0,25662000.0,,290131000.0,1451197000.0,,,,0.1,,,-35690000.0,1517000.0,9240000,-14618000.0,,,6470000,-335649000.0,-187416000.0,64058756.0,8796000.0,,26417000,-291943000.0,-16232000.0,286360000.0,53776000,17621000,,,8247000.0,1951610000.0,1280379000.0,,,636576000.0,,,,0.1,-5762000.0,35111000.0,,-291943000.0,92515000.0,,6470000,6470000,1243300000.0,,,,,,,
2007-06-30,45790000.0,36819000,,,,-29445000.0,,1677026000.0,35111000.0,649000.0,136121000.0,-76136000.0,301000.0,,15437000,-102383000.0,-3097000.0,,-145584000.0,,69248845.0,26243000.0,,-185024000.0,1677026000.0,,,,0.13,,,10679000.0,2549000.0,8968000,-14750000.0,,,8695000,130020000.0,-193471000.0,64439138.0,9123000.0,,28854000,195590000.0,-49893000.0,90331000.0,56550000,19731000,,,4948000.0,1983939000.0,1315376000.0,,,631266000.0,,,,0.13,8045000.0,45790000.0,,293738000.0,91303000.0,,8695000,8695000,1245320000.0,,,,,,,
2007-09-30,41830000.0,41112000,,-46199000.0,,-998000.0,,1757327000.0,45790000.0,653000.0,91030000.0,-58647000.0,306000.0,,16079000,-3942000.0,-1032000.0,,-15529000.0,,70567078.0,26947000.0,,-97467000.0,1757327000.0,,,,0.15,,,-3960000.0,4017000.0,9326000,-14850000.0,,,9828000,-15378000.0,-198493000.0,64901249.0,10598000.0,,33312000,42384000.0,-31700000.0,49200000.0,63826000,22714000,,,2554000.0,2019575000.0,1355314000.0,,,627290000.0,,,,0.15,3586000.0,41830000.0,,142552000.0,89876000.0,,9828000,11338000,1272520000.0,,,,,,,
2007-12-31,17377000.0,40982000,,-39343000.0,,-1029000.0,,1841322000.0,41830000.0,658000.0,39189000.0,-53720000.0,382000.0,,16103000,-3925000.0,614000.0,,-14361000.0,,,22480000.0,,-7640000.0,1841322000.0,,,,,,,-24453000.0,3703000.0,9188000,-16446000.0,,,9591000,-32572000.0,-205348000.0,,11284000.0,,35016000,43131000.0,-31240000.0,21812000.0,64714000,23732000,,,-2098000.0,2054075000.0,1369172000.0,,,619921000.0,,,,,-2712000.0,17377000.0,,25000000.0,95169000.0,,9591000,9591000,1319771000.0,,,,,,,
2008-03-31,21010000.0,43727000,,,,-1082000.0,,1853158000.0,17377000.0,664000.0,21010000.0,-23262000.0,634000.0,,16354000,-2716000.0,-3090000.0,,-18586000.0,,71359324.0,24199000.0,,21812000.0,1853158000.0,,,,0.1,,,3633000.0,3256000.0,10179000,-16604000.0,,,6700000,-1980000.0,-215252000.0,65825022.0,11581000.0,,33561000,-22578000.0,937000.0,0.0,65707000,21980000,,,1247000.0,2049284000.0,1373748000.0,,,612886000.0,,,,0.1,4337000.0,21010000.0,,22048000.0,94711000.0,,6700000,6700000,1320992000.0,,,,,,,
2008-06-30,185837000.0,23195000,,,,-22425000.0,,,21010000.0,819000.0,185837000.0,22377000.0,232084000.0,,15962000,-2695000.0,,,189554000.0,0.0,79092783.0,24328000.0,19087000.0,340000.0,,,,0.0,0.12,1428000.0,,164827000.0,,10070000,-20484000.0,52696000.0,268004000.0,8901000,-49055000.0,-226835000.0,73420540.0,11697000.0,,33605000,-47021000.0,46705000.0,,67336000,21908000,,1981273000.0,23000.0,2249277000.0,1353367000.0,35777000.0,0.0,835468000.0,,1300671000.0,22233000.0,0.12,,185837000.0,45103000.0,-24751000.0,1981273000.0,,9401000,8901000,1300671000.0,,,,,,,
2008-09-30,112076000.0,22713000,,,,-1330000.0,,1905256000.0,185837000.0,824000.0,112076000.0,-483000.0,0.0,1049678000.0,15904000,-1537000.0,,,-21727000.0,0.0,87263018.0,25868000.0,18857000.0,764000.0,1905256000.0,,,0.0,0.15,39000.0,,-73761000.0,1752000.0,10319000,-20584000.0,55341000.0,199085000.0,12327000,-77902000.0,-235092000.0,81736986.0,12355000.0,820000.0,36697000,-77070000.0,25385000.0,,69848000,24342000,,2044601000.0,-2786000.0,2243686000.0,1355019000.0,37153000.0,0.0,829143000.0,,1299678000.0,22793000.0,0.15,,112076000.0,47055000.0,-1113000.0,2044601000.0,2015000.0,12946000,12327000,1299678000.0,,,,,,,
2008-12-31,63972000.0,23888000,,,,-33459000.0,,,112076000.0,858000.0,63972000.0,-974000.0,43883000.0,,16391000,-3758000.0,,,23444000.0,0.0,,22269000.0,22267000.0,2151000.0,,,,0.0,,96000.0,,-48104000.0,1652000.0,9859000,-21448000.0,57395000.0,156561000.0,18960000,-93817000.0,-237580000.0,,13933000.0,696000.0,37646000,-95029000.0,21295000.0,,70360000,23713000,,2134447000.0,-6171000.0,2291008000.0,1357246000.0,42576000.0,0.0,872463000.0,,1299851000.0,22759000.0,,,63972000.0,47601000.0,35000.0,2134447000.0,7970000.0,19650000,18960000,1299851000.0,,,,,,,
2009-03-31,54478000.0,23851000,,,,-120777000.0,,,63972000.0,861000.0,54478000.0,-207000.0,,,16636000,-2752000.0,,,5531000.0,0.0,91222295.0,18618000.0,22297000.0,0.0,,,,-1045000.0,0.34,82000.0,,-9494000.0,841000.0,11246000,-21526000.0,55640000.0,135386000.0,28974000,-33643000.0,-238880000.0,85940389.0,12523000.0,899000.0,33798000,-37247000.0,18411000.0,,69254000,21275000,,2168350000.0,-6347000.0,2303736000.0,1350699000.0,40996000.0,0.0,892086000.0,,1295059000.0,24128000.0,0.34,,54478000.0,45126000.0,3811000.0,2168350000.0,22483000.0,30762000,30525000,1295059000.0,,,,,,,
