date,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedAverageShares,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyDilutedEPS,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt
1999-04-30,5900000.0,,-2500000,700000,1900000.0,-8200000.0,600000,,0,15200000,300000.0,,3400000,1600000,419776119.0,3100000,,9400000,22700000,9300000,8800000,,,,126700000,23300000,0.018343,900000,51800000,51800000,,1700000,27500000,,,50300000,,10700000,,9000000,71000000,6300000,26800000,50000000,-2500000,,0,343455269.0,100000.0,,30900000.0,38700000,103400000,,,,,-4700000,-3200000,,76700000,44200000,,,0.0,17800000,11300000.0,13400000,,0.0,6300000,0.015008,7300000,6300000,2200000.0,11300000,
1999-07-31,900000.0,,-2200000,400000,1800000.0,-10300000.0,3600000,,0,8400000,-100000.0,,-3300000,-5100000,401799100.0,3100000,,9800000,22700000,8400000,10800000,,,,134400000,26300000,0.02001,-5500000,46800000,46800000,,2400000,34800000,-300000.0,0.0,0,,11900000,,9500000,78000000,6700000,30800000,51900000,-2200000,,46800000,334832584.0,0.0,,33000000.0,45000000,108100000,,,,,-12800000,3500000,,82500000,47200000,,,0.0,21300000,6900000.0,6800000,,0.0,6700000,0.016675,8100000,6700000,2700000.0,6900000,
1999-10-31,3800000.0,,-5200000,3200000,2000000.0,-12600000.0,3400000,,100000,11700000,100000.0,,10500000,8400000,423779635.0,5000000,,15600000,26600000,7200000,12400000,,,,157600000,30000000,0.030015,5300000,55200000,55200000,,2600000,43000000,-200000.0,0.0,46800000,,17700000,,15100000,97000000,10600000,39400000,59200000,-5200000,,55200000,353156755.0,-200000.0,,39200000.0,52200000,127600000,,,,,-3900000,14100000,,98400000,57600000,,,0.0,24300000,7000000.0,-3300000,,0.0,10600000,0.025013,9300000,10600000,4300000.0,7000000,
2000-01-31,2800000.0,,-1700000,2700000,1800000.0,-15400000.0,3200000,,-100000,37600000,0.0,,5300000,6400000,,6900000,,21500000,25900000,9500000,15400000,,,,202300000,29100000,,3600000,61600000,61600000,,3000000,64900000,-100000.0,0.0,55200000,,23800000,,20800000,128400000,14600000,51600000,77700000,-1700000,,61600000,,,,41300000.0,76200000,173200000,,,,,-21100000,28700000,,124600000,76800000,,,0.0,30800000,1500000.0,-25900000,,0.0,14600000,,12400000,14600000,6800000.0,1500000,
2000-04-30,5566000.0,,-7451000,205065000,1550000.0,-18006000.0,4122000,,200000000,55241000,0.0,,10626000,208240000,466668000.0,8605000,,26892000,30443000,14321000,17830000,,,,447791000,34565000,0.048333,3175000,269800000,269800000,,3101000,68527000,-65000.0,32000.0,61560000,,28665000,,25564000,148483000,18287000,58609000,285345000,-7451000,,269800000,380160000.0,-35220000.0,,48449000.0,84398000,413226000,,,,,10481000,46973000,,162446000,89874000,,,0.0,33045000,947000.0,17610000,,200000000.0,18287000,0.039167,12114000,18287000,16187000.0,200947000,
2000-07-31,3418000.0,,-7609000,2947000,1104000.0,-21255000.0,5339000,,0,68135000,0.0,,24067000,19405000,953844000.0,10599000,,33121000,34908000,23430000,20141000,,,,507183000,40247000,0.029167,16458000,289205000,289205000,,3343000,75887000,-33000.0,65000.0,269800000,,32366000,,29023000,170398000,22522000,67110000,301093000,-7609000,,289205000,775404000.0,,,56163000.0,100421000,466936000,,,,,-54690000,69495000,,206090000,103288000,,,0.0,38087000,672000.0,-48114000,,200000000.0,22522000,0.023333,14603000,22522000,24504000.0,200672000,
2000-10-31,104140000.0,,-6534000,394531000,685000.0,-24586000.0,20181000,,0,93192000,0.0,,17681000,405678000,482368816.0,13209000,,41277000,37425000,33828000,22023000,,,,983346000,57606000,0.071703,11147000,694883000,694883000,,4380000,86716000,-15000.0,68000.0,289205000,,41027000,,36647000,198165000,28068000,77902000,621873000,-6534000,,694883000,395820090.0,,,62011000.0,121229000,925740000,,,,,-37924000,97563000,,361473000,120263000,,,0.0,41255000,300644000.0,-25057000,,200000000.0,28068000,0.058363,14852000,28068000,33313000.0,500644000,
2001-01-31,3455000.0,,-14735000,3092000,588000.0,-28965000.0,38738000,,0,89905000,-6000.0,,15535000,-20608000,,14614000,,45674000,47280000,33212000,26444000,,,,1016427000,86018000,,800000,674275000,674275000,,5012000,76535000,-6000.0,68000.0,694883000,,44069000,,39057000,218218000,31060000,87381000,610713000,-39235000,,674275000,,,,76245000.0,110335000,930409000,,,,,-2643000,128623000,,405714000,130837000,,,-24500000.0,48324000,300378000.0,3287000,,200000000.0,31060000,,16868000,31060000,61241000.0,500378000,
2001-04-30,16479000.0,,-31741000,16249000,429000.0,,10513000,,0,86770000,-9573000.0,,35678000,-46974000,497136000.0,11086000,,36953000,74333000,0,31206000,,,,1081784000,201131000,0.061667,3937000,627301000,627301000,,6199000,72048000,-2000.0,70000.0,674275000,,54048000,,47206000,240932000,25867000,97832000,618488000,-98901000,,627301000,415932000.0,,,74333000.0,118181000,880653000,,,4154000.0,,-15756000,154490000,86629000.0,463296000,143100000,45704000.0,86232000.0,-3550000.0,50626000,300000000.0,3135000,,200000000.0,25867000,0.051667,18773000,25867000,0.0,500307000,
2001-07-31,15184000.0,,-23829000,19989000,2019000.0,-28965000.0,11681000,,5249000,89610000,-764000.0,,58116000,53777000,510906000.0,14390000,,47966000,94863000,0,33799000,,,80969000.0,1189258000,223528000,0.078333,34287000,681078000,681078000,,10622000,88737000,,72000.0,627301000,,56689000,,46067000,260259000,33576000,103688000,661687000,-24328000,,681078000,425628000.0,,,123828000.0,160151000,965730000,,,-12455000.0,,10767000,188066000,112846000.0,527571000,156571000,69395000.0,,0.0,57621000,300000000.0,-2840000,,197864000.0,33576000,0.065,19802000,33576000,0.0,501536000,
2001-10-31,9743000.0,,-21245000,15007000,4014000.0,-28965000.0,11210000,,5997000,120488000,-3230000.0,,19463000,-282587000,510221889.0,19141000,,63802000,108695000,0,44387000,318674000.0,,85210000.0,1247350000,240413000,0.103385,-1782000,398491000,717165000,,11917000,108953000,818000.0,72000.0,681078000,,74037000,,62120000,370241000,44661000,138543000,636714000,-317057000,,398491000,431835082.0,,0.0,137660000.0,329773000,1006937000,,,-2291000.0,,-62667000,232727000,117664000.0,610636000,231698000,73625000.0,,21000000.0,76423000,300000000.0,-30878000,143181000.0,0.0,44661000,0.08671,24786000,44661000,0.0,306941000,
