date,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue
2008-09-30,,,,,,38.961065,69970000000,,69294000000,,,,,,72081000000,38501000000,,,,86237000000.0,,,,,69294000000,,,,,,,,,,666000000,,,,,,,,,,338178000000,251940000000,410259000000,,,,,,,109137000000,,,,,,38.961065,86238000000,,108471000000,,,,,,,,,,,,,,
2008-12-31,,-829000000.0,,-5939000000.0,,54.418084,97565000000,74876000000.0,96785000000,52660000000.0,251080000000.0,,127171000000.0,342176000000.0,70562000000,53731000000,267834000000.0,-178598000000.0,384033000000.0,56531000000.0,446083000000.0,30807000000.0,46721000000.0,,96785000000,2554650000000.0,1247059000000.0,606598000000.0,222565000000.0,766204000000.0,63541000000.0,31775000000.0,3699000000.0,-18964000000.0,212000000,,1578726000.0,,,635818000000.0,-15825000000.0,75474000000.0,,,325058000000,268527000000,395620000000,9171000000.0,587606000000.0,-6274000000.0,-16557000000.0,,-122331000000.0,182315000000,2068954000000.0,,409768000000.0,1307591000000.0,-64869000000.0,54.418084,56531000000,226050000000.0,151296000000,1876912000000.0,134313000000.0,,273246000000.0,,2291000000.0,0.0,1578726000.0,65343000000.0,70462000000.0,,,,
2009-03-31,,-477000000.0,,-9146000000.0,0.0,,66096000000,56861000000.0,65812000000,144464000000.0,258493000000.0,,131658000000.0,,68273000000,4887000000,21409000000.0,170476000000.0,529248000000.0,,463299000000.0,30948000000.0,135318000000.0,,65812000000,2760188000000.0,1284604000000.0,758781000000.0,229533000000.0,587606000000.0,63541000000.0,15972000000.0,3214000000.0,-733000000.0,359000000,,,,,706348000000.0,37683000000.0,238797000000.0,,,267303000000,-297424000000,335576000000,6267000000.0,758082000000.0,-2472000000.0,1688000000.0,,-16000000.0,102290000000,2012251000000.0,,472106000000.0,1475584000000.0,-6822000000.0,,564727000000,234242000000.0,70983000000,2011451000000.0,141696000000.0,,284446000000.0,,-203000000.0,0.0,,64599000000.0,58461000000.0,,,,
2009-06-30,,-989000000.0,,-8632000000.0,,71.319532,113243000000,,112594000000,76508000000.0,,,,,71336000000,24351000000,,-15973000000.0,,64867000000.0,,30311000000.0,67876000000.0,,112594000000,,,,,758082000000.0,,5144000000.0,,-7917000000.0,342000000,,1578726000.0,,,,-19341000000.0,,,,307641000000,242773000000,378977000000,-22447000000.0,742109000000.0,-1093000000.0,-18465000000.0,,-13000000.0,168247000000,,,,,-64455000000.0,71.319532,64868000000,,137594000000,,,,,,-11147000000.0,,1578726000.0,,,,,,
2009-09-30,,-445000000.0,,-18191000000.0,,48.798842,77633000000,123623000000.0,77040000000,112931000000.0,264867000000.0,,135921000000.0,,69046000000,39677000000,230717000000.0,56973000000.0,547591000000.0,70714000000.0,402395000000.0,29689000000.0,94740000000.0,,77040000000,2739933000000.0,1233901000000.0,808312000000.0,260721000000.0,742109000000.0,63541000000.0,1402000000.0,3101000000.0,-5695000000.0,479000000,,,,,651112000000.0,-7931000000.0,72808000000.0,,,307430000000,236717000000,376476000000,-16605000000.0,799083000000.0,-4738000000.0,-13628000000.0,,-8000000.0,147478000000,2129245000000.0,,429918000000.0,1506032000000.0,-8081000000.0,48.798842,70713000000,221194000000.0,117310000000,2045724000000.0,132278000000.0,,255717000000.0,,5878000000.0,,,36906000000.0,64880000000.0,,,,
2009-12-31,,-1311000000.0,,-27257000000.0,,44.03234,70250000000,126793000000.0,69515000000,79337000000.0,291709000000.0,,138762000000.0,,74248000000,44105000000,251634000000.0,3986000000.0,532288000000.0,73698000000.0,392226000000.0,28054000000.0,52080000000.0,,69515000000,2753315000000.0,1256430000000.0,807404000000.0,275116000000.0,799083000000.0,63541000000.0,5460000000.0,3265000000.0,-301000000.0,347000000,,1578760190.0,,,646572000000.0,5707000000.0,74643000000.0,,,298245000000,224547000000,372493000000,-20810000000.0,803068000000.0,-2208000000.0,-7609000000.0,,-6000000.0,142756000000,2127708000000.0,,426447000000.0,1496885000000.0,-61713000000.0,44.03234,73698000000,220125000000.0,114355000000,2063656000000.0,129794000000.0,,256252000000.0,,1248000000.0,,1578760190.0,30552000000.0,66764000000.0,,,,
2010-03-31,,-576000000.0,,-32880000000.0,0.0,,39034000000,66536000000.0,38595000000,112392000000.0,318949000000.0,,137696000000.0,,70435000000,7535000000,16182000000.0,49412000000.0,616678000000.0,,383778000000.0,26771000000.0,79512000000.0,,38595000000,2823274000000.0,1250400000000.0,883216000000.0,266538000000.0,803068000000.0,63541000000.0,1202000000.0,3285000000.0,-10015000000.0,262000000,,,,,658529000000.0,35713000000.0,195906000000.0,,,267585000000,-283828000000,338019000000,-57659000000.0,852480000000.0,669000000.0,8773000000.0,,-7000000.0,73602000000,2166303000000.0,,428477000000.0,1572874000000.0,-9305000000.0,,551412000000,230052000000.0,46569000000,2121338000000.0,141731000000.0,,256117000000.0,,-16573000000.0,,,35077000000.0,51603000000.0,,,,
2010-06-30,,-941000000.0,,-48272000000.0,,40.608447,64846000000,97962000000.0,64111000000,38896000000.0,353509000000.0,,135654000000.0,,73102000000,38988000000,219563000000.0,-81298000000.0,541417000000.0,62113000000.0,356423000000.0,25920000000.0,-9376000000.0,,64111000000,2684347000000.0,1218166000000.0,771182000000.0,229765000000.0,852480000000.0,63541000000.0,15150000000.0,3058000000.0,-18000000.0,307000000,,1578760190.0,,,599371000000.0,-12590000000.0,73492000000.0,,,281596000000,219484000000,354698000000,-21200000000.0,771182000000.0,-163000000.0,-30693000000.0,,-5000000.0,130061000000,2159363000000.0,,368000000000.0,1466181000000.0,-62556000000.0,40.608447,62112000000,231371000000.0,103834000000,2040797000000.0,127858000000.0,,239998000000.0,,11909000000.0,,1578760190.0,41607000000.0,81594000000.0,,,,
2010-09-30,,-837000000.0,,-36835000000.0,,50.736015,80813000000,98497000000.0,80100000000,110156000000.0,382944000000.0,,135430000000.0,,77481000000,40826000000,200266000000.0,34390000000.0,583590000000.0,62082000000.0,330788000000.0,25283000000.0,73321000000.0,,80100000000,2708669000000.0,1207606000000.0,805572000000.0,221982000000.0,771182000000.0,63541000000.0,882000000.0,2992000000.0,-47000000.0,359000000,,1578760190.0,,,595184000000.0,-4265000000.0,75381000000.0,,,281846000000,219764000000,359327000000,-41386000000.0,805572000000.0,919000000.0,-17184000000.0,,-9000000.0,147281000000,2239463000000.0,,375452000000.0,1501063000000.0,-8438000000.0,50.736015,62082000000,219732000000.0,121639000000,2068812000000.0,119793000000.0,,224195000000.0,,-5706000000.0,,1578760190.0,38669000000.0,77726000000.0,,,,
2010-12-31,,-1418000000.0,,-26329000000.0,,45.149352,72106000000,93709000000.0,71280000000,59202000000.0,402451000000.0,,135988000000.0,,84112000000,38898000000,214058000000.0,-48892000000.0,569129000000.0,65806000000.0,311752000000.0,24971000000.0,32873000000.0,,71280000000,2680068000000.0,1197807000000.0,762379000000.0,193250000000.0,805572000000.0,63541000000.0,-4000000.0,3201000000.0,-3895000000.0,269000000,,1578742190.0,,,587535000000.0,-14312000000.0,82693000000.0,,,282993000000,217187000000,367105000000,-30876000000.0,756680000000.0,-1593000000.0,-3232000000.0,,-26000000.0,136244000000,2239691000000.0,,375067000000.0,1482261000000.0,-62607000000.0,45.149352,65806000000,212468000000.0,111004000000,2048157000000.0,111630000000.0,,216831000000.0,,-639000000.0,,1578742190.0,49229000000.0,78663000000.0,,,,
